Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,2000-01-01 00:00:00,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,###############################################################################################################################################################################################################################################################,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,INF BV 2017-12-11,,,,,,,,
# Records,02/28/09 00:00,,,,,,,,
Sensor File,01/15/18 12:39,INF BV 2018-01-18.a4d,,,,,,,
,,,,,,,,,
Barometric File,01/15/18 12:55,FCR BV 2018-01-15.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,2000-01-01 00:05:00,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,###############################################################################################################################################################################################################################################################,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCR BV 2017-12-11,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,8.87,-1.94,,,,,,
,Maximum,13.62,9.38,,,,,,
,Mean,9.45,1.92,,,,,,
,Variance,0.262,6.149,,,,,,
,Std Deviation,0.512,2.48,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,12/11/17 15:00,9.1,4.19,392.49,2017-12-11 15:00:00,,,,
2,12/11/17 15:15,9.11,4.25,392.46,2017-12-11 15:15:00,,,,
3,12/11/17 15:30,9.14,4.25,392.43,2017-12-11 15:30:00,,,,
4,12/11/17 15:45,9.11,4.25,392.29,2017-12-11 15:45:00,,,,
5,12/11/17 16:00,9.11,4.25,392.38,2017-12-11 16:00:00,,,,
6,12/11/17 16:15,9.15,4.19,392.32,2017-12-11 16:15:00,,,,
7,12/11/17 16:30,9.13,4.19,392.24,2017-12-11 16:30:00,,,,
8,12/11/17 16:45,9.16,4.13,392.27,2017-12-11 16:45:00,,,,
9,12/11/17 17:00,9.13,4,392.21,2017-12-11 17:00:00,,,,
10,12/11/17 17:15,9.18,3.94,392.32,2017-12-11 17:15:00,,,,
11,12/11/17 17:30,9.21,3.88,392.21,2017-12-11 17:30:00,,,,
12,12/11/17 17:45,9.14,3.75,392.05,2017-12-11 17:45:00,,,,
13,12/11/17 18:00,9.18,3.69,392.07,2017-12-11 18:00:00,,,,
14,12/11/17 18:15,9.18,3.63,391.99,2017-12-11 18:15:00,,,,
15,12/11/17 18:30,9.17,3.56,392.02,2017-12-11 18:30:00,,,,
16,12/11/17 18:45,9.15,3.5,391.96,2017-12-11 18:45:00,,,,
17,12/11/17 19:00,9.2,3.5,391.99,2017-12-11 19:00:00,,,,
18,12/11/17 19:15,9.19,3.5,392.02,2017-12-11 19:15:00,,,,
19,12/11/17 19:30,9.17,3.44,391.97,2017-12-11 19:30:00,,,,
20,12/11/17 19:45,9.13,3.38,391.88,2017-12-11 19:45:00,,,,
21,12/11/17 20:00,9.15,3.31,391.83,2017-12-11 20:00:00,,,,
22,12/11/17 20:15,9.17,3.31,391.8,2017-12-11 20:15:00,,,,
23,12/11/17 20:30,9.12,3.25,391.63,2017-12-11 20:30:00,,,,
24,12/11/17 20:45,9.15,3.19,391.58,2017-12-11 20:45:00,,,,
25,12/11/17 21:00,9.17,3.19,391.55,2017-12-11 21:00:00,,,,
26,12/11/17 21:15,9.16,3.19,391.44,2017-12-11 21:15:00,,,,
27,12/11/17 21:30,9.19,3.19,391.33,2017-12-11 21:30:00,,,,
28,12/11/17 21:45,9.18,3.19,391.21,2017-12-11 21:45:00,,,,
29,12/11/17 22:00,9.21,3.25,391.16,2017-12-11 22:00:00,,,,
30,12/11/17 22:15,9.15,3.25,391.02,2017-12-11 22:15:00,,,,
31,12/11/17 22:30,9.16,3.25,391.05,2017-12-11 22:30:00,,,,
32,12/11/17 22:45,9.14,3.25,390.93,2017-12-11 22:45:00,,,,
33,12/11/17 23:00,9.19,3.25,390.91,2017-12-11 23:00:00,,,,
34,12/11/17 23:15,9.19,3.25,390.82,2017-12-11 23:15:00,,,,
35,12/11/17 23:30,9.15,3.25,390.68,2017-12-11 23:30:00,,,,
36,12/11/17 23:45,9.18,3.25,390.57,2017-12-11 23:45:00,,,,
37,12/12/17 00:00,9.19,3.25,390.54,2017-12-12 00:00:00,,,,
38,12/12/17 00:15,9.19,3.31,390.49,2017-12-12 00:15:00,,,,
39,12/12/17 00:30,9.19,3.31,390.29,2017-12-12 00:30:00,,,,
40,12/12/17 00:45,9.16,3.31,390.18,2017-12-12 00:45:00,,,,
41,12/12/17 01:00,9.17,3.38,390.15,2017-12-12 01:00:00,,,,
42,12/12/17 01:15,9.15,3.31,389.98,2017-12-12 01:15:00,,,,
43,12/12/17 01:30,9.15,3.31,389.84,2017-12-12 01:30:00,,,,
44,12/12/17 01:45,9.17,3.38,389.67,2017-12-12 01:45:00,,,,
45,12/12/17 02:00,9.18,3.38,389.7,2017-12-12 02:00:00,,,,
46,12/12/17 02:15,9.17,3.38,389.67,2017-12-12 02:15:00,,,,
47,12/12/17 02:30,9.17,3.31,389.59,2017-12-12 02:30:00,,,,
48,12/12/17 02:45,9.16,3.25,389.48,2017-12-12 02:45:00,,,,
49,12/12/17 03:00,9.23,3.25,389.34,2017-12-12 03:00:00,,,,
50,12/12/17 03:15,9.16,3.25,389.17,2017-12-12 03:15:00,,,,
51,12/12/17 03:30,9.2,3.31,389.2,2017-12-12 03:30:00,,,,
52,12/12/17 03:45,9.22,3.38,389.12,2017-12-12 03:45:00,,,,
53,12/12/17 04:00,9.23,3.38,388.98,2017-12-12 04:00:00,,,,
54,12/12/17 04:15,9.23,3.38,389,2017-12-12 04:15:00,,,,
55,12/12/17 04:30,9.19,3.38,388.89,2017-12-12 04:30:00,,,,
56,12/12/17 04:45,9.27,3.44,388.95,2017-12-12 04:45:00,,,,
57,12/12/17 05:00,9.25,3.38,388.78,2017-12-12 05:00:00,,,,
58,12/12/17 05:15,9.27,3.44,388.72,2017-12-12 05:15:00,,,,
