Reservoir,Year,Date,Depth,pH,PAR
BVR,2014,2014-05-29,0.1,7.66,
BVR,2014,2014-05-29,1,7.74,
BVR,2014,2014-05-29,2,7.69,
BVR,2014,2014-05-29,3,7.65,
BVR,2014,2014-05-29,4,7.45,
BVR,2014,2014-05-29,5,7.13,
BVR,2014,2014-05-29,6,6.82,
BVR,2014,2014-05-29,7,6.45,
BVR,2014,2014-05-29,8,6.31,
BVR,2014,2014-05-29,9,6.21,
BVR,2014,2014-05-29,10,6.07,
BVR,2014,2014-05-29,11,5.99,
BVR,2014,2014-05-29,12,5.93,
BVR,2014,2014-06-18,0.1,7.57,
BVR,2014,2014-06-18,1,7.42,
BVR,2014,2014-06-18,2,7.38,
BVR,2014,2014-06-18,3,7.35,
BVR,2014,2014-06-18,4,6.95,
BVR,2014,2014-06-18,5,6.69,
BVR,2014,2014-06-18,6,6.55,
BVR,2014,2014-06-18,7,6.5,
BVR,2014,2014-06-18,8,6.37,
BVR,2014,2014-06-18,9,6.35,
BVR,2014,2014-06-18,10,6.27,
BVR,2014,2014-06-18,11,6.27,
BVR,2014,2014-06-18,12,6.65,
BVR,2014,2014-06-25,0.1,7.66,
BVR,2014,2014-06-25,1,7.42,
BVR,2014,2014-06-25,2,7.37,
BVR,2014,2014-06-25,3,7.33,
BVR,2014,2014-06-25,4,7.09,
BVR,2014,2014-06-25,5,6.72,
BVR,2014,2014-06-25,6,6.58,
BVR,2014,2014-06-25,7,6.53,
BVR,2014,2014-06-25,8,6.47,
BVR,2014,2014-06-25,9,6.35,
BVR,2014,2014-06-25,10,6.34,
BVR,2014,2014-06-25,11,6.75,
BVR,2014,2014-06-25,12,6.86,
BVR,2014,2014-07-02,0.1,7.58,340
BVR,2014,2014-07-02,1,7.52,83.88
BVR,2014,2014-07-02,2,7.6,59.79
BVR,2014,2014-07-02,3,7.49,44.12
BVR,2014,2014-07-02,4,7.25,26.59
BVR,2014,2014-07-02,5,6.76,15.92
BVR,2014,2014-07-02,6,6.64,10.61
BVR,2014,2014-07-02,7,6.55,6.71
BVR,2014,2014-07-02,8,6.42,3.71
BVR,2014,2014-07-02,9,6.33,1.34
BVR,2014,2014-07-02,10,6.33,0.3041
BVR,2014,2014-07-02,11,6.63,0.01361
BVR,2014,2014-07-02,12,N/A,
BVR,2014,2014-07-09,0.1,7.89,
BVR,2014,2014-07-09,1,7.75,
BVR,2014,2014-07-09,2,7.53,
BVR,2014,2014-07-09,3,7.45,
BVR,2014,2014-07-09,4,6.99,
BVR,2014,2014-07-09,5,6.68,
BVR,2014,2014-07-09,6,6.52,
BVR,2014,2014-07-09,7,6.45,
BVR,2014,2014-07-09,8,6.38,
BVR,2014,2014-07-09,9,6.36,
BVR,2014,2014-07-09,10,6.43,
BVR,2014,2014-07-09,11,6.55,
BVR,2014,2014-07-23,0,7.95,
BVR,2014,2014-07-23,1,7.58,
BVR,2014,2014-07-23,2,7.44,
BVR,2014,2014-07-23,3,7.39,
BVR,2014,2014-07-23,4,6.6,
BVR,2014,2014-07-23,5,6.47,
BVR,2014,2014-07-23,6,6.39,
BVR,2014,2014-07-23,7,6.39,
BVR,2014,2014-07-23,8,6.34,
BVR,2014,2014-07-23,9,,*lake depth was 8 m according to depth finder
BVR,2014,2014-07-23,10,,
BVR,2014,2014-07-23,11,,
BVR,2014,2014-07-23,12,,
BVR,2014,2014-09-25,0,6.3,
BVR,2014,2014-09-25,1,,
BVR,2014,2014-09-25,2,,
BVR,2014,2014-09-25,3,,
BVR,2014,2014-09-25,4,6.35,
BVR,2014,2014-09-25,5,,
BVR,2014,2014-09-25,6,,
BVR,2014,2014-09-25,7,,
BVR,2014,2014-09-25,8,5.8,
BVR,2014,2014-09-25,9,,
BVR,2014,2014-09-25,10,5.9,
BVR,2014,2014-09-25,11,,
BVR,2014,2014-09-25,12,,
