Reservoir,Year,Date,Depth,PO4_ugL,NH4_ugL,NO3_ugL,TP_ugL,TN_ugL,OI TOC Conc (ppm),Used OI TIC Conc (ppm),OI TC Conc (ppm) by addition,Vario TIC Mean of 3 reps,Vario TC Mean of 3 reps,Vario TOC Mean of 3 reps,Vario TNb Mean of 3 reps
BVR,2016,2016-04-06 12:00:00,0.1,12.2,24.19585725,9.332562894,13.8,196,4.103,2.13,6.233,2.138301433,6.100135874,3.961834441,0.787627558
BVR,2016,2016-04-06 12:00:00,3,6.16,9.551937181,3.40625674,12.8,129,2.093,2.3,4.393,2.23725878,4.345235546,2.107976766,0.213349401
BVR,2016,2016-04-06 12:00:00,6,6.02,5.199683015,2.894922082,12.8,152,1.7,2.416,4.116,2.298861367,3.895376186,1.596514819,0.105224879
BVR,2016,2016-04-06 12:00:00,9,3.98,6.753951935,0.924329026,13,147,1.56,2.598,4.158,2.478754027,4.092168078,1.613414051,0.146475066
BVR,2016,2016-04-06 12:00:00,11,4.61,16.52267648,5.349791853,10.7,139,1.643,2.474,4.117,2.294601613,3.754169372,1.459567759,0.114474359
BVR,2016,2016-04-20 12:00:00,0.1,5.13,4.238686533,2.260891058,9.67,158.2610795,1.811,2.414,4.225,2.213338627,4.139812431,1.926473804,0.121437156
BVR,2016,2016-04-20 12:00:00,3,5.78,4.590960261,1.332894156,13.7,145.1785355,1.812,2.195,4.007,2.5577233,4.385629671,1.827906371,0.119263743
BVR,2016,2016-04-20 12:00:00,6,6.04,5.432815734,2.7621977,11.2,148.2,1.523,2.28,3.803,2.679290107,4.283435987,1.60414588,0.09807385
BVR,2016,2016-04-20 12:00:00,9,4.6,5.95089807,4.596707747,17.9,151.1,2.016,2.487,4.503,2.363740687,4.282745489,1.919004802,0.101576014
BVR,2016,2016-04-20 12:00:00,11,6.83,9.73330144,2.565588657,13.9,130,1.523,2.682,4.205,2.47613264,4.052119201,1.575986561,0.10327147
BVR,2016,2016-05-04 12:00:00,0.1,6.63,4.160979919,1.764649679,9.68,217.334763,1.823,2.364,4.187,2.226773233,3.956139998,1.729366765,0.11779012
BVR,2016,2016-05-04 12:00:00,3,4.11,5.013178776,2.698297184,7.71,132.74675,1.855,2.228,4.083,2.277234927,4.194016513,1.916781586,0.135983834
BVR,2016,2016-05-04 12:00:00,6,5.28,1.726324057,2.197010008,12.5,146,1.782,2.302,4.084,2.295584633,4.077667623,1.782082989,0.123205189
BVR,2016,2016-05-04 12:00:00,9,3.98,5.121972706,3.912831214,14,151.7,1.72,2.641,4.361,2.402733813,4.04624997,1.643516156,0.110937091
BVR,2016,2016-05-04 12:00:00,11,4.32,14.68258256,3.371835,14.69387755,203.0612245,1.82,3.1,4.92,2.668476887,4.50888354,1.840406654,0.133995294
BVR,2016,2016-05-12 12:00:00,0.1,6.54,5.43,2.52,9.82,211,,,,,,,
BVR,2016,2016-05-12 12:00:00,3,7.97,1.13,2.51,10.3,131,1.496,2.7621946,4.2581946,2.602614547,4.544098931,1.941484385,0.142720783
BVR,2016,2016-05-12 12:00:00,6,3.99,4.02,2.24,12.5,246,,,,,,,
BVR,2016,2016-05-12 12:00:00,9,2.88,3.5,0.546,14.2,151,1.278,3.1517508,4.4297508,2.819861967,4.638006641,1.818144675,0.126188635
BVR,2016,2016-05-12 12:00:00,11,4.05,49.5,0.87,31.3,341,1.154,3.5010338,4.6550338,3.087243407,4.554801648,1.467558242,0.130497345
,,2016-05-19 12:00:00,0.1,,,,15,179,,,,,,,
BVR,2016,2016-05-19 12:00:00,3,7.38,2.89,1,11.8,150,1.561,2.5911578,4.1521578,2.47514962,4.310710653,1.835561033,0.102055198
