Reservoir,Year,Date,Depth,YSI_TEMP_C,YSI_DO_mgL,YSI_pH,YSI_COND_uScm,YSI_ORP_mV,YSI_PAR,Notes
BVR,2016,4/5/2016 12:00,0.1,11.5,9.64,7,28.8,192.7,923.2,Started with half meter depths for YSI
BVR,2016,4/5/2016 12:00,0.5,11.5,9.67,7.14,26.8,193.3,NA,
BVR,2016,4/5/2016 12:00,1,11.5,9.63,7.26,26.7,189.6,189.4,
BVR,2016,4/5/2016 12:00,1.5,11.4,9.66,7.36,26.7,185.6,NA,
BVR,2016,4/5/2016 12:00,2,11.4,9.65,7.34,26.7,186.2,184.5,
BVR,2016,4/5/2016 12:00,2.5,11.4,9.62,7.33,26.7,186.9,NA,
BVR,2016,4/5/2016 12:00,3,11.4,9.61,7.35,26.7,186.2,125.6,
BVR,2016,4/5/2016 12:00,3.5,11.4,9.58,7.43,26.7,181,NA,
BVR,2016,4/5/2016 12:00,4,11.3,9.55,7.42,26.7,181.1,68,
BVR,2016,4/5/2016 12:00,4.5,11.2,9.55,7.39,26.7,182.6,NA,
BVR,2016,4/5/2016 12:00,5,10.9,9.49,7.31,26.8,185.6,42.67,
BVR,2016,4/5/2016 12:00,5.5,9.9,9.42,7.24,26.8,186.9,NA,
BVR,2016,4/5/2016 12:00,6,9.3,9.09,7.15,26.9,189.4,21.61,
BVR,2016,4/5/2016 12:00,6.5,8.8,8.91,7.06,26.9,191.2,NA,
BVR,2016,4/5/2016 12:00,7,8.3,8.77,6.93,27,195.5,10.66,
BVR,2016,4/5/2016 12:00,7.5,7.8,8.54,6.85,27,197.5,NA,
BVR,2016,4/5/2016 12:00,8,7.4,8.35,6.78,27.1,200.1,4.646,
BVR,2016,4/5/2016 12:00,8.5,7,8.21,6.71,27.2,202.3,NA,
BVR,2016,4/5/2016 12:00,9,6.6,8.05,6.67,27.3,203.6,2.085,
BVR,2016,4/5/2016 12:00,9.5,6.3,7.8,6.64,27.3,203.7,NA,
BVR,2016,4/5/2016 12:00,10,6.2,7.54,6.64,27.4,203.4,0.8614,
BVR,2016,4/5/2016 12:00,10.5,6.2,7.47,6.62,27.4,204.5,NA,
BVR,2016,4/5/2016 12:00,11,6.1,7.36,6.65,27.5,204.7,0.3265,
BVR,2016,4/5/2016 12:00,11.5,6.1,7.36,6.65,27.5,204.6,NA,
BVR,2016,4/20/2016 12:00,0.1,15.9,9.82,7.33,27.3,238.1,1143,
BVR,2016,4/20/2016 12:00,0.5,15.8,9.94,7.39,27.3,231.8,NA,
BVR,2016,4/20/2016 12:00,1,15.5,10.4,7.41,27.3,229.9,619.6,
BVR,2016,4/20/2016 12:00,1.5,15.3,10.21,7.44,27.2,227.1,NA,
BVR,2016,4/20/2016 12:00,2,14.5,10.36,7.49,27.2,224.9,303.1,
BVR,2016,4/20/2016 12:00,2.5,13.9,10.37,7.47,27.2,227.2,NA,
BVR,2016,4/20/2016 12:00,3,12.8,10.48,7.42,27,228.5,130.8,
BVR,2016,4/20/2016 12:00,3.5,11.8,10.54,7.38,26.9,229,NA,
BVR,2016,4/20/2016 12:00,4,11.6,10.51,7.45,26.9,224.1,73.12,
BVR,2016,4/20/2016 12:00,4.5,11.2,10.42,7.38,26.9,225.3,NA,
BVR,2016,4/20/2016 12:00,5,11,10.33,7.31,26.9,226.3,46.46,
BVR,2016,4/20/2016 12:00,5.5,10.7,10.19,7.28,26.9,226.4,NA,
BVR,2016,4/20/2016 12:00,6,10.3,10.16,7.23,27,227.2,33.84,
BVR,2016,4/20/2016 12:00,6.5,9.9,9.91,7.18,27,228.4,NA,
BVR,2016,4/20/2016 12:00,7,9.7,9.56,7.08,27.1,230.9,22.26,
BVR,2016,4/20/2016 12:00,7.5,9.4,9.07,6.96,27.2,232.9,NA,
BVR,2016,4/20/2016 12:00,8,9.1,8.52,6.82,27.2,234.8,12.86,
BVR,2016,4/20/2016 12:00,8.5,8.7,7.72,6.67,27.4,238.5,NA,
BVR,2016,4/20/2016 12:00,9,8.4,6.8,6.53,27.7,242.5,5.356,
BVR,2016,4/20/2016 12:00,9.5,8.2,6.33,6.47,27.8,244,NA,
BVR,2016,4/20/2016 12:00,10,7.7,5.37,6.37,28.3,247.5,1.835,
BVR,2016,4/20/2016 12:00,10.5,7.5,5.01,6.34,28.4,247.6,NA,
BVR,2016,4/20/2016 12:00,11,7.3,4.74,6.33,28.6,247.5,0.7874,
BVR,2016,4/20/2016 12:00,11.5,7.3,4.72,6.31,28.7,247.3,NA,
BVR,2016,5/4/2016 12:00,0.1,19.6,8.76,7.19,29,316.5,215.4,
BVR,2016,5/4/2016 12:00,0.5,19.6,8.8,7.21,29.2,313.6,NA,
BVR,2016,5/4/2016 12:00,1,19.6,8.89,7.2,29.1,313.2,114.5,
BVR,2016,5/4/2016 12:00,1.5,19.5,8.83,7.2,29,311.8,NA,
BVR,2016,5/4/2016 12:00,2,19.5,8.83,7.21,29.1,311.4,52.57,
BVR,2016,5/4/2016 12:00,2.5,19.4,8.81,7.2,29.1,310.6,NA,
BVR,2016,5/4/2016 12:00,3,18.2,9.61,7.21,29.6,311.2,45.1,
BVR,2016,5/4/2016 12:00,3.5,17.2,9.99,7.14,29.6,316.5,NA,
BVR,2016,5/4/2016 12:00,4,15.7,10.45,7.12,29.8,318,38.64,
BVR,2016,5/4/2016 12:00,4.5,13.6,10.69,7.06,30.3,326.9,NA,
BVR,2016,5/4/2016 12:00,5,12.2,10.69,6.93,30.4,332.7,23.35,
BVR,2016,5/4/2016 12:00,5.5,11.4,10.57,6.87,30.4,336.7,NA,
BVR,2016,5/4/2016 12:00,6,10.8,10.29,6.81,30.1,337.4,12.78,
BVR,2016,5/4/2016 12:00,6.5,10.6,9.78,6.76,30,338.2,NA,
BVR,2016,5/4/2016 12:00,7,10,9.47,6.67,29.9,335,7.54,
BVR,2016,5/4/2016 12:00,7.5,9.8,8.79,6.65,30,334.3,NA,
BVR,2016,5/4/2016 12:00,8,9.5,8.13,6.59,30.1,335,4.66,
BVR,2016,5/4/2016 12:00,8.5,8.9,5.61,6.43,30.4,342.3,NA,
BVR,2016,5/4/2016 12:00,9,8.3,3.37,6.25,31.5,349.8,1.93,
BVR,2016,5/4/2016 12:00,9.5,7.9,2.35,6.13,32,352,NA,
BVR,2016,5/4/2016 12:00,10,7.8,1.9,6.07,32.2,351,0.6,
BVR,2016,5/4/2016 12:00,10.5,7.7,1.73,6.05,32.4,351.8,NA,
BVR,2016,5/4/2016 12:00,11,7.7,1.51,6.04,32.6,350.8,0.16,
BVR,2016,5/4/2016 12:00,11.5,7.6,1.15,6.03,33.3,299,NA,
BVR,2016,5/12/2016 12:00,0.1,19.2,8.47,7.24,29.1,325.8,67.59,Moved to 1m depths to save time. 
BVR,2016,5/12/2016 12:00,1,19.1,8.3,7.19,29.1,335.4,47.35,
BVR,2016,5/12/2016 12:00,2,19,8.26,7.16,29.1,342.5,31.11,
BVR,2016,5/12/2016 12:00,3,17.7,8.06,7.16,29.5,352.6,21.39,
BVR,2016,5/12/2016 12:00,4,16.6,8.56,7.05,30,365.9,13.13,
BVR,2016,5/12/2016 12:00,5,14.1,9.94,7,30.5,373.4,8.84,
BVR,2016,5/12/2016 12:00,6,11.4,10.49,6.98,30.6,381.4,6.9,
BVR,2016,5/12/2016 12:00,7,10,8.77,6.81,30.3,398.1,3.45,
BVR,2016,5/12/2016 12:00,8,8.7,4.78,6.47,31.2,421.9,1.91,
BVR,2016,5/12/2016 12:00,9,18.5,2.04,6.2,32.8,429.8,0.74,
BVR,2016,5/12/2016 12:00,10,7.9,1.47,6.06,33.4,230.1,0.2,
BVR,2016,5/12/2016 12:00,11,7.7,1.32,5.98,37.4,136.2,0.03,
BVR,2016,5/19/2016 12:00,0.1,16.6,8.41,7.27,30.1,230.6,114,
BVR,2016,5/19/2016 12:00,1,16.6,8.35,7.22,30.1,230.4,65.7,
BVR,2016,5/19/2016 12:00,2,16.6,7.91,7.19,30.1,230.1,34.45,
BVR,2016,5/19/2016 12:00,3,16.6,8.36,7.15,30.1,230.7,20.44,
BVR,2016,5/19/2016 12:00,4,16.6,8.47,7.14,30.2,232.1,12.32,
BVR,2016,5/19/2016 12:00,5,15.4,8.3,7.06,31,238.1,7.198,
BVR,2016,5/19/2016 12:00,6,11.2,9.74,6.97,31,243.7,4.391,
BVR,2016,5/19/2016 12:00,7,10.1,8.08,6.64,30.5,260.8,2.424,
BVR,2016,5/19/2016 12:00,8,9.1,5.92,6.32,31.4,269.4,1.257,
BVR,2016,5/19/2016 12:00,9,8.4,1.47,6.09,35.8,108.4,0.3606,
BVR,2016,5/19/2016 12:00,10,7.8,1.31,6.01,46.9,-11.2,0.1293,
BVR,2016,5/19/2016 12:00,11,7.7,1.27,6.13,56.3,-14.2,0.0136,
BVR,2016,5/26/2016 12:00,0.1,20.6,8.88,7.44,29.9,211.3,240,
BVR,2016,5/26/2016 12:00,1,20.5,8.89,7.35,29.7,211.9,76,
BVR,2016,5/26/2016 12:00,2,18.7,9.01,7.32,29.7,213.1,49,
BVR,2016,5/26/2016 12:00,3,17.9,8.91,7.24,29.7,216.2,28,
BVR,2016,5/26/2016 12:00,4,17,8.76,7.16,30.2,218.2,18.5,
BVR,2016,5/26/2016 12:00,5,15,8.23,7.01,30.9,225.9,8.9,
BVR,2016,5/26/2016 12:00,6,12.4,9.01,6.93,31.3,225.4,4.3,
BVR,2016,5/26/2016 12:00,7,10.3,6.46,6.81,31,231.5,2,
BVR,2016,5/26/2016 12:00,8,9,2.09,6.57,32.2,246.8,0.8,
BVR,2016,5/26/2016 12:00,9,8.1,0.59,6.32,47.7,-46.5,0.15,
BVR,2016,5/26/2016 12:00,10,7.9,0.36,6.45,55.3,-87.5,0.04,
BVR,2016,5/26/2016 12:00,11,7.7,0.32,6.67,65.9,-118.5,0.01,
BVR,2016,5/29/2016 12:00,0.1,23.2,8.63,7.24,32.1,240.9,500,
BVR,2016,5/29/2016 12:00,1,23,8.6,7.19,32,233.9,143.4,
BVR,2016,5/29/2016 12:00,2,20.7,9.4,7.17,31.7,229.6,75.05,
BVR,2016,5/29/2016 12:00,3,18.4,9.22,7.09,31.6,236,50.07,
