Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
CCR,2015,2015-05-08 12:00:00,0,182,6.98,2.35,5.04,5.13,2.881,6.353,,,,,,
CCR,2015,2015-05-08 12:00:00,6,155,8.05,5.21,5.74,3.21,2.729,8.174,,,,,,
CCR,2015,2015-05-08 12:00:00,20,276,10.9,3.36,57.9,63.4,2.442,9.392,,,,,,
CCR,2015,2015-05-22 12:00:00,0,183,4.44,2.34,9.18,8.15,3.079,7.123,,,,,,
CCR,2015,2015-05-22 12:00:00,6,163,7.7,,,,2.79,7.795,,,,,,
CCR,2015,2015-05-22 12:00:00,20,533,54.8,3.69,183,65,2.541,10.818,,,,,,
CCR,2015,2015-05-29 12:00:00,0,135,5.05,2.77,5.73,5.33,,,,,,,,
CCR,2015,2015-05-29 12:00:00,6,160,6.36,2.53,6.88,5.51,2.904,7.817,,,,,,
CCR,2015,2015-05-29 12:00:00,19,,,,,,2.986,6.957,,,,,,"*bottles for this date were labeled 6, 19, 21 m and no 0; not sure why"
CCR,2015,2015-05-29 12:00:00,20,305,14.9,2.05,76.1,68.4,2.613,10.036,,,,,,
CCR,2015,2015-06-12 12:00:00,0,140,2.74,,,,2.98,7.794,,,,,,
CCR,2015,2015-06-12 12:00:00,6,214,11.5,,,,2.958,7.583,,,,,,
CCR,2015,2015-06-12 12:00:00,20,266,12.5,,,,2.483,10.304,,,,,,*was rerun on 17DE15 and values averaged
CCR,2015,2015-06-26 12:00:00,0,145,2.18,,,,2.828,7.049,,,,,,
CCR,2015,2015-06-26 12:00:00,6,165,8.68,,,,2.891,6.682,,,,,,
CCR,2015,2015-06-26 12:00:00,20,480,28.6,,,,2.732,10.957,,,,,,
CCR,2015,2015-07-10 12:00:00,0,127,2.48,2.37,2.15,3.94,2.848,8.236,,,,,,*was rerun on 17DE15 and values averaged
CCR,2015,2015-07-10 12:00:00,6,164,4.99,3.52,3.51,5.77,2.898,8.124,,,,,,
CCR,2015,2015-07-10 12:00:00,20,382,16,2.02,172,26.5,2.696,11.057,,,,,,*was rerun on 17DE15 and values averaged
CCR,2015,2015-07-24 12:00:00,0,141,4.89,4.9,3.9,2.71,2.863,7.896,,,,,,
CCR,2015,2015-07-24 12:00:00,6,190.9669597,3.9,2.91,4.59,4.07,2.957,7.629,,,,,,*was rerun on 17DE15 and values averaged; negative SRP replaced with positive rerun result; however this is unusually high…toss?
CCR,2015,2015-07-24 12:00:00,20,390,16.1,4.18,206,42.1,2.923,11.778,,,,,,*was rerun on 17DE15 and values averaged
CCR,2015,2015-08-07 12:00:00,0,137,1.6,3.81,3.86,3.17,2.775,8.027,,,,,,
CCR,2015,2015-08-07 12:00:00,6,126,2.04,4.69,0.83,2.68,2.634,8.518,,,,,,*was rerun on 17DE15; original value kept for SRP and other values averaged
CCR,2015,2015-08-07 12:00:00,20,491.9164038,14.1,9.88,259,42.7,2.62,9.347,,,,,,
CCR,2015,2015-08-26 12:00:00,0,140.8912189,1.53,3.61,3.19,2.83,2.69,8.121,,,,,,
CCR,2015,2015-08-26 12:00:00,6,142.6412243,2.18,14.4,0.855,1.71,2.655,9.118,,,,,,
CCR,2015,2015-08-26 12:00:00,20,692.1136339,18.6,3.75,423,30.8,2.586,10.322,,,,,,
CCR,2015,2015-09-09 12:00:00,0,140.8450704,3.59,3.26,4.84,2.6,2.803,9.24,,,,,,*I feel these values for NH4-NO3-NO2 are uncomfortably high but have no reason to throw them out…
CCR,2015,2015-09-09 12:00:00,6,130,0.0779,1.19,3.06,1.45,2.719,9.237,,,,,,
CCR,2015,2015-09-09 12:00:00,20,390.8934708,10.1,4.64,142,109,2.446,11.134,,,,,,*values for lowest sampling depth ranged from 19 to 21 meters and were all standardized to 20 m
CCR,2015,2015-09-23 12:00:00,0,141.0355487,1.12,2.75,2.87,3.39,2.694,9.528,,,,,,
CCR,2015,2015-09-23 12:00:00,6,196.839,2.8,3.36,2.04,2.95,2.881,9.608,,,,,,*this sample had multiple runs and values were averaged
CCR,2015,2015-09-23 12:00:00,20,457.3082489,8.35,4.9,228,102,2.595,12.163,,,,,,
CCR,2015,2015-10-28 12:00:00,0,205.464,5.425,2.06,12.9,21.1,2.736,8.587,,,,,,*this sample had multiple runs and values were averaged
CCR,2015,2015-10-28 12:00:00,6,,,0.329,11.6,21,2.781,9.856,,,,,,
CCR,2015,2015-10-28 12:00:00,20,379,7.74,4.68,37.7,239,2.312,11.151,,,,,,
