Reservoir,Year,Date,Depth,PO4_ugL,NH4_ugL,NO3_ugL,TP_ugL,TN_ugL,OI TOC Conc (ppm),Used OI TIC Conc (ppm),OI TC Conc (ppm) by addition,Vario TIC Mean of 3 reps,Vario TC Mean of 3 reps,Vario TOC Mean of 3 reps,Vario TNb Mean of 3 reps
CCR,2016,2016-05-13 12:00:00,0.1,4.81,3.94,3.89,11.2,202,2.548,6.994361,9.542361,7.64765875,10.66743401,3.019775263,0.114732259
CCR,2016,2016-05-13 12:00:00,7,6.54,7.06,6.77,9.98,213,2.497,6.1411658,8.6381658,7.3060593,10.31735159,3.011292295,0.112558352
CCR,2016,2016-05-13 12:00:00,21,6.8,69,88,15.4,308,2.332,6.8648404,9.1968404,7.709916683,10.64671908,2.936802394,0.207913642
CCR,2016,2016-05-28 00:00:00,0.1,4.21,5.76,4.75,,,2.656,6.4029416,9.0589416,6.617126117,9.756667327,3.13954121,0.118490149
CCR,2016,2016-05-28 00:00:00,7,6.14,5.35,10,,,2.65,7.6061656,10.2561656,9.8619113,16.97098904,7.109077738,0.250159979
CCR,2016,2016-05-28 00:00:00,21,6.19,12.9,69.6,,,2.346,6.3425318,8.6885318,7.256886573,10.01215154,2.755264964,0.198068639
CCR,2016,2016-05-28 12:00:00,0.1,1.83,7.68,0.149,,,2.881,5.702,8.583,6.44360136,9.458372249,3.014770889,0.151848218
CCR,2016,2016-05-28 12:00:00,7,4.46,7.5,5.23,,,2.642,6.127,8.769,6.879734567,9.732845151,2.853110584,0.170756771
CCR,2016,2016-05-28 12:00:00,21,11,18.3,76.3,13.7,244,2.368,7.3093372,9.6773372,7.508397583,10.39917559,2.890778009,0.179361087
CCR,2016,2016-06-11 12:00:00,0.1,4.25,13.1,5.6,,,2.909,5.28,8.189,5.647027487,8.84624589,3.199218403,0.191601258
CCR,2016,2016-06-11 12:00:00,7,4.84,6.99,4.43,16.9,193,2.567,6.028,8.595,6.5684449,9.391739204,2.823294304,0.162591494
