Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
BVR,2014,2014-04-06 12:00:00,0.13,8.0052,2.8089,11.18222
BVR,2014,2014-04-06 12:00:00,0.134,8.0214,2.8248,11.15524
BVR,2014,2014-04-06 12:00:00,0.149,8.0304,2.8287,11.13304
BVR,2014,2014-04-06 12:00:00,0.163,8.0302,2.7494,11.12216
BVR,2014,2014-04-06 12:00:00,0.164,8.0215,2.7613,11.11219
BVR,2014,2014-04-06 12:00:00,0.158,8.0051,2.7811,11.11081
BVR,2014,2014-04-06 12:00:00,0.16,7.9798,2.7851,11.10804
BVR,2014,2014-04-06 12:00:00,0.173,7.944,2.7415,11.10941
BVR,2014,2014-04-06 12:00:00,0.192,7.9007,2.9081,11.11924
BVR,2014,2014-04-06 12:00:00,0.212,7.8556,2.9121,11.13253
BVR,2014,2014-04-06 12:00:00,0.234,7.8122,2.8922,11.14641
BVR,2014,2014-04-06 12:00:00,0.254,7.77,2.8922,11.16159
BVR,2014,2014-04-06 12:00:00,0.274,7.7274,3.1898,11.16469
BVR,2014,2014-04-06 12:00:00,0.293,7.6846,3.2136,11.17683
BVR,2014,2014-04-06 12:00:00,0.313,7.6429,3.1977,11.18305
BVR,2014,2014-04-06 12:00:00,0.339,7.6043,3.2056,11.18859
BVR,2014,2014-04-06 12:00:00,0.367,7.571,3.281,11.18671
BVR,2014,2014-04-06 12:00:00,0.397,7.5443,3.2771,11.20478
BVR,2014,2014-04-06 12:00:00,0.436,7.5245,3.2771,11.20884
BVR,2014,2014-04-06 12:00:00,0.468,7.5105,3.2771,11.21867
BVR,2014,2014-04-06 12:00:00,0.483,7.501,3.4596,11.21655
BVR,2014,2014-04-06 12:00:00,0.497,7.4945,3.4715,11.21598
BVR,2014,2014-04-06 12:00:00,0.517,7.4897,3.4754,11.22226
BVR,2014,2014-04-06 12:00:00,0.535,7.4859,3.4635,11.21495
BVR,2014,2014-04-06 12:00:00,0.555,7.4825,3.4794,11.22181
BVR,2014,2014-04-06 12:00:00,0.579,7.4794,3.8444,11.21806
BVR,2014,2014-04-06 12:00:00,0.61,7.4763,3.8444,11.2198
BVR,2014,2014-04-06 12:00:00,0.644,7.4734,3.8603,11.21971
BVR,2014,2014-04-06 12:00:00,0.671,7.4708,3.8365,11.22338
BVR,2014,2014-04-06 12:00:00,0.693,7.4683,4.1102,11.22288
BVR,2014,2014-04-06 12:00:00,0.714,7.4658,4.0785,11.2279
BVR,2014,2014-04-06 12:00:00,0.736,7.4631,4.0983,11.22108
BVR,2014,2014-04-06 12:00:00,0.759,7.4601,4.0943,11.21918
BVR,2014,2014-04-06 12:00:00,0.782,7.457,4.4831,11.22029
BVR,2014,2014-04-06 12:00:00,0.806,7.4538,4.4712,11.22618
BVR,2014,2014-04-06 12:00:00,0.832,7.4509,4.4633,11.23054
BVR,2014,2014-04-06 12:00:00,0.854,7.4486,4.4871,11.23481
BVR,2014,2014-04-06 12:00:00,0.876,7.447,4.6656,11.23128
BVR,2014,2014-04-06 12:00:00,0.902,7.4464,4.6577,11.23513
BVR,2014,2014-04-06 12:00:00,0.929,7.4476,4.6656,11.23649
BVR,2014,2014-04-06 12:00:00,0.956,7.4516,4.6815,11.23479
BVR,2014,2014-04-06 12:00:00,0.981,7.4582,4.6577,11.22775
BVR,2014,2014-04-06 12:00:00,1.004,7.4665,5.2488,11.22216
BVR,2014,2014-04-06 12:00:00,1.027,7.4756,5.2687,11.21098
BVR,2014,2014-04-06 12:00:00,1.055,7.4842,5.2726,11.19076
BVR,2014,2014-04-06 12:00:00,1.09,7.4917,5.2647,11.18673
BVR,2014,2014-04-06 12:00:00,1.121,7.4978,5.3242,11.17743
BVR,2014,2014-04-06 12:00:00,1.145,7.5019,5.3321,11.175
BVR,2014,2014-04-06 12:00:00,1.168,7.5037,5.3163,11.17195
BVR,2014,2014-04-06 12:00:00,1.192,7.5027,5.3123,11.17893
BVR,2014,2014-04-06 12:00:00,1.215,7.4981,5.3877,11.18543
BVR,2014,2014-04-06 12:00:00,1.241,7.4897,5.3877,11.19244
BVR,2014,2014-04-06 12:00:00,1.271,7.4775,5.3758,11.20106
BVR,2014,2014-04-06 12:00:00,1.306,7.4624,5.3837,11.20872
BVR,2014,2014-04-06 12:00:00,1.344,7.4472,5.6376,11.20856
BVR,2014,2014-04-06 12:00:00,1.372,7.4345,5.6257,11.20835
BVR,2014,2014-04-06 12:00:00,1.397,7.4253,5.6297,11.20464
BVR,2014,2014-04-06 12:00:00,1.423,7.4207,5.6376,11.20418
BVR,2014,2014-04-06 12:00:00,1.447,7.4206,5.6138,11.21183
BVR,2014,2014-04-06 12:00:00,1.472,7.4234,5.8122,11.21156
BVR,2014,2014-04-06 12:00:00,1.497,7.4269,5.8162,11.21546
BVR,2014,2014-04-06 12:00:00,1.526,7.4288,5.836,11.20363
BVR,2014,2014-04-06 12:00:00,1.56,7.4282,5.8201,11.19062
BVR,2014,2014-04-06 12:00:00,1.595,7.4277,6.4985,11.18304
BVR,2014,2014-04-06 12:00:00,1.624,7.4292,6.5104,11.18239
BVR,2014,2014-04-06 12:00:00,1.653,7.431,6.5025,11.17714
BVR,2014,2014-04-06 12:00:00,1.682,7.4306,6.4866,11.15139
BVR,2014,2014-04-06 12:00:00,1.711,7.4269,6.4985,11.13437
BVR,2014,2014-04-06 12:00:00,1.738,7.4185,6.4906,11.16555
BVR,2014,2014-04-06 12:00:00,1.771,7.4028,6.5065,11.16522
BVR,2014,2014-04-06 12:00:00,1.811,7.379,6.5065,11.17994
BVR,2014,2014-04-06 12:00:00,1.853,7.3505,6.4985,11.15613
BVR,2014,2014-04-06 12:00:00,1.887,7.3226,6.5025,11.18156
BVR,2014,2014-04-06 12:00:00,1.911,7.2991,6.5025,11.1964
BVR,2014,2014-04-06 12:00:00,1.933,7.2808,6.4985,11.18442
BVR,2014,2014-04-06 12:00:00,1.958,7.2672,6.4946,11.19305
BVR,2014,2014-04-06 12:00:00,1.982,7.2573,6.6136,11.1778
BVR,2014,2014-04-06 12:00:00,2.013,7.25,6.6096,11.17569
BVR,2014,2014-04-06 12:00:00,2.043,7.2444,6.6295,11.18121
BVR,2014,2014-04-06 12:00:00,2.071,7.24,6.6176,11.18902
BVR,2014,2014-04-06 12:00:00,2.101,7.2363,6.5501,11.19432
BVR,2014,2014-04-06 12:00:00,2.134,7.2327,6.57,11.18505
BVR,2014,2014-04-06 12:00:00,2.16,7.2288,6.57,11.18021
BVR,2014,2014-04-06 12:00:00,2.181,7.2239,6.5541,11.17778
BVR,2014,2014-04-06 12:00:00,2.203,7.2173,7.2999,11.1747
BVR,2014,2014-04-06 12:00:00,2.226,7.2089,7.3198,11.17209
BVR,2014,2014-04-06 12:00:00,2.253,7.1989,7.3039,11.17653
BVR,2014,2014-04-06 12:00:00,2.286,7.1883,7.3039,11.16797
BVR,2014,2014-04-06 12:00:00,2.323,7.1779,7.7562,11.16467
BVR,2014,2014-04-06 12:00:00,2.354,7.1684,7.7364,11.16054
BVR,2014,2014-04-06 12:00:00,2.374,7.1601,7.7364,11.14973
BVR,2014,2014-04-06 12:00:00,2.397,7.153,7.7364,11.1463
BVR,2014,2014-04-06 12:00:00,2.429,7.1467,7.7324,11.12655
BVR,2014,2014-04-06 12:00:00,2.461,7.1405,7.5459,11.12563
BVR,2014,2014-04-06 12:00:00,2.493,7.134,7.5578,11.10527
BVR,2014,2014-04-06 12:00:00,2.53,7.1271,7.5658,11.09115
BVR,2014,2014-04-06 12:00:00,2.559,7.1198,7.5618,11.07675
BVR,2014,2014-04-06 12:00:00,2.587,7.1121,7.2285,11.07064
BVR,2014,2014-04-06 12:00:00,2.616,7.104,7.2325,11.0703
BVR,2014,2014-04-06 12:00:00,2.642,7.0951,7.2444,11.05904
BVR,2014,2014-04-06 12:00:00,2.667,7.0854,7.2523,11.05944
BVR,2014,2014-04-06 12:00:00,2.7,7.0747,7.5578,11.05255
BVR,2014,2014-04-06 12:00:00,2.742,7.0634,7.5499,11.05486
BVR,2014,2014-04-06 12:00:00,2.78,7.0524,7.542,11.0563
BVR,2014,2014-04-06 12:00:00,2.809,7.0425,7.5539,11.04188
BVR,2014,2014-04-06 12:00:00,2.833,7.034,7.4864,11.03009
BVR,2014,2014-04-06 12:00:00,2.853,7.0267,7.5023,11.02069
BVR,2014,2014-04-06 12:00:00,2.873,7.0203,7.4785,11.01571
BVR,2014,2014-04-06 12:00:00,2.894,7.0147,7.4864,11.00289
BVR,2014,2014-04-06 12:00:00,2.919,7.0094,7.4864,11.00062
BVR,2014,2014-04-06 12:00:00,2.949,7.0044,7.0024,11.00073
BVR,2014,2014-04-06 12:00:00,2.978,6.9997,6.9905,10.99794
BVR,2014,2014-04-06 12:00:00,3.005,6.9953,6.9905,10.99326
BVR,2014,2014-04-06 12:00:00,3.034,6.9909,6.9905,10.98993
BVR,2014,2014-04-06 12:00:00,3.068,6.9867,6.9984,10.99462
BVR,2014,2014-04-06 12:00:00,3.098,6.9824,6.9865,10.98442
BVR,2014,2014-04-06 12:00:00,3.127,6.9778,6.9945,10.97902
BVR,2014,2014-04-06 12:00:00,3.155,6.9724,6.9707,10.97001
BVR,2014,2014-04-06 12:00:00,3.191,6.9659,6.443,10.97719
BVR,2014,2014-04-06 12:00:00,3.227,6.9585,6.4509,10.97944
BVR,2014,2014-04-06 12:00:00,3.257,6.9512,6.439,10.98606
BVR,2014,2014-04-06 12:00:00,3.281,6.9446,6.4271,10.99567
BVR,2014,2014-04-06 12:00:00,3.303,6.9386,6.197,11.00258
BVR,2014,2014-04-06 12:00:00,3.325,6.9332,6.1891,11.00797
BVR,2014,2014-04-06 12:00:00,3.346,6.9282,6.1772,11.0013
BVR,2014,2014-04-06 12:00:00,3.371,6.9231,6.1891,11.00195
BVR,2014,2014-04-06 12:00:00,3.404,6.9181,6.1851,10.98904
BVR,2014,2014-04-06 12:00:00,3.441,6.9136,5.8082,10.98204
BVR,2014,2014-04-06 12:00:00,3.473,6.9098,5.8122,10.97867
BVR,2014,2014-04-06 12:00:00,3.502,6.9064,5.8201,10.97913
BVR,2014,2014-04-06 12:00:00,3.527,6.903,5.8201,10.97261
BVR,2014,2014-04-06 12:00:00,3.552,6.899,5.8836,10.97086
BVR,2014,2014-04-06 12:00:00,3.577,6.8942,5.8876,10.96981
BVR,2014,2014-04-06 12:00:00,3.604,6.8888,5.8796,10.9759
BVR,2014,2014-04-06 12:00:00,3.639,6.8831,5.8677,10.97288
BVR,2014,2014-04-06 12:00:00,3.682,6.8773,5.4274,10.98318
BVR,2014,2014-04-06 12:00:00,3.724,6.8715,5.467,10.97147
BVR,2014,2014-04-06 12:00:00,3.759,6.866,5.4512,10.96933
