Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
CCR,2014,2014-05-08 12:00:00,0.386,18.73,0.7578,9.31249
CCR,2014,2014-05-08 12:00:00,0.384,18.7293,0.7697,9.30954
CCR,2014,2014-05-08 12:00:00,0.401,18.7272,0.7737,9.32103
CCR,2014,2014-05-08 12:00:00,0.419,18.724,0.7776,9.32487
CCR,2014,2014-05-08 12:00:00,0.441,18.7199,0.7657,9.32905
CCR,2014,2014-05-08 12:00:00,0.474,18.7158,0.7618,9.32649
CCR,2014,2014-05-08 12:00:00,0.51,18.7122,0.8371,9.3155
CCR,2014,2014-05-08 12:00:00,0.537,18.7092,0.8252,9.3144
CCR,2014,2014-05-08 12:00:00,0.547,18.7071,0.8252,9.30737
CCR,2014,2014-05-08 12:00:00,0.532,18.7056,0.8451,9.30663
CCR,2014,2014-05-08 12:00:00,0.504,18.7042,0.7499,9.30282
CCR,2014,2014-05-08 12:00:00,0.484,18.702,0.7657,9.30523
CCR,2014,2014-05-08 12:00:00,0.499,18.6979,0.7776,9.31371
CCR,2014,2014-05-08 12:00:00,0.539,18.6916,0.7737,9.31369
CCR,2014,2014-05-08 12:00:00,0.597,18.6841,0.7419,9.31463
CCR,2014,2014-05-08 12:00:00,0.652,18.6768,0.7618,9.3169
CCR,2014,2014-05-08 12:00:00,0.676,18.6704,0.7737,9.32025
CCR,2014,2014-05-08 12:00:00,0.683,18.6648,0.7578,9.32347
CCR,2014,2014-05-08 12:00:00,0.695,18.6592,0.7499,9.32506
CCR,2014,2014-05-08 12:00:00,0.72,18.6527,0.8371,9.32642
CCR,2014,2014-05-08 12:00:00,0.77,18.6443,0.8332,9.32656
CCR,2014,2014-05-08 12:00:00,0.84,18.6333,0.8332,9.32625
CCR,2014,2014-05-08 12:00:00,0.908,18.6206,0.8213,9.3237
CCR,2014,2014-05-08 12:00:00,0.946,18.6088,0.8332,9.31855
CCR,2014,2014-05-08 12:00:00,0.955,18.6001,0.8213,9.32327
CCR,2014,2014-05-08 12:00:00,0.951,18.5941,0.8332,9.32412
CCR,2014,2014-05-08 12:00:00,0.96,18.5885,0.8371,9.32299
CCR,2014,2014-05-08 12:00:00,0.978,18.5813,0.8332,9.32887
CCR,2014,2014-05-08 12:00:00,1.008,18.5719,0.8133,9.34115
CCR,2014,2014-05-08 12:00:00,1.048,18.5613,0.8252,9.34381
CCR,2014,2014-05-08 12:00:00,1.091,18.5511,0.8252,9.3475
CCR,2014,2014-05-08 12:00:00,1.129,18.5427,0.8133,9.3428
CCR,2014,2014-05-08 12:00:00,1.146,18.5365,0.8252,9.3424
CCR,2014,2014-05-08 12:00:00,1.149,18.5326,0.849,9.34459
CCR,2014,2014-05-08 12:00:00,1.151,18.5296,0.8094,9.34386
CCR,2014,2014-05-08 12:00:00,1.167,18.5259,0.8252,9.35128
CCR,2014,2014-05-08 12:00:00,1.21,18.5201,0.9006,9.35469
CCR,2014,2014-05-08 12:00:00,1.27,18.5119,0.8847,9.36558
CCR,2014,2014-05-08 12:00:00,1.333,18.502,0.8768,9.37165
CCR,2014,2014-05-08 12:00:00,1.38,18.492,0.9046,9.37025
