Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
FCR,2016,2016-05-16 12:00:00,0.01,16.9388,0.0525,2.0309,25.308587,7.8787,81.42973
FCR,2016,2016-05-16 12:00:00,0.041,16.9898,0.1662,3.4379,26.515693,8.1681,84.51102
FCR,2016,2016-05-16 12:00:00,0.067,17.0216,0.2344,4.4705,27.126851,8.41863,87.16111
FCR,2016,2016-05-16 12:00:00,0.103,17.0407,0.228,4.9052,27.447327,8.58902,88.96078
FCR,2016,2016-05-16 12:00:00,0.154,17.0519,0.1467,4.8556,27.596651,8.65192,89.63326
FCR,2016,2016-05-16 12:00:00,0.244,17.0624,0.0368,2.2007,27.541063,8.43021,87.35549
FCR,2016,2016-05-16 12:00:00,0.278,17.0599,0.2509,2.2036,27.508828,8.45453,87.60285
FCR,2016,2016-05-16 12:00:00,0.314,17.0562,0.3791,2.2127,27.460116,8.49235,87.98799
FCR,2016,2016-05-16 12:00:00,0.35,17.0514,0.455,2.2359,27.416003,8.51971,88.26262
FCR,2016,2016-05-16 12:00:00,0.389,17.0458,0.4982,2.2531,27.386768,8.53915,88.45365
FCR,2016,2016-05-16 12:00:00,0.43,17.0399,0.5193,2.221,27.370627,8.54043,88.456
FCR,2016,2016-05-16 12:00:00,0.481,17.0342,0.5244,2.1172,27.357264,8.5156,88.18837
FCR,2016,2016-05-16 12:00:00,0.542,17.0289,0.5152,1.9163,27.343116,8.48049,87.81502
FCR,2016,2016-05-16 12:00:00,0.596,17.0239,0.496,1.6575,27.33042,8.4383,87.36907
FCR,2016,2016-05-16 12:00:00,0.637,17.0193,0.4794,1.465,27.30978,8.38527,86.81165
FCR,2016,2016-05-16 12:00:00,0.666,17.0151,0.4727,1.385,27.285711,8.32826,86.21387
FCR,2016,2016-05-16 12:00:00,0.685,17.0112,0.4743,1.389,27.277844,8.2741,85.64624
FCR,2016,2016-05-16 12:00:00,0.698,17.0075,0.4816,1.4738,27.27807,8.21902,85.06953
FCR,2016,2016-05-16 12:00:00,0.706,17.0039,0.4914,1.6137,27.264407,8.17196,84.57611
FCR,2016,2016-05-16 12:00:00,0.715,17.0003,0.5,1.7351,27.24323,8.12827,84.11753
FCR,2016,2016-05-16 12:00:00,0.725,16.9969,0.5057,1.8062,27.230933,8.0889,83.70417
FCR,2016,2016-05-16 12:00:00,0.735,16.9936,0.5089,1.8438,27.224239,8.0477,83.27217
FCR,2016,2016-05-16 12:00:00,0.742,16.9905,0.5111,1.8614,27.211343,8.01181,82.89538
FCR,2016,2016-05-16 12:00:00,0.736,16.9878,0.5133,1.8612,27.184797,7.9763,82.52338
FCR,2016,2016-05-16 12:00:00,0.725,16.9856,0.5149,1.8376,27.159565,7.94178,82.16244
FCR,2016,2016-05-16 12:00:00,0.717,16.9839,0.5158,1.7888,27.15096,7.90927,81.82315
FCR,2016,2016-05-16 12:00:00,0.718,16.9827,0.5169,1.7281,27.148674,7.87604,81.47732
FCR,2016,2016-05-16 12:00:00,0.719,16.9821,0.5178,1.6806,27.14408,7.84896,81.19616
FCR,2016,2016-05-16 12:00:00,0.719,16.9818,0.5182,1.6542,27.131946,7.81893,80.88507
FCR,2016,2016-05-16 12:00:00,0.716,16.9815,0.5191,1.6407,27.109036,7.79227,80.60877
FCR,2016,2016-05-16 12:00:00,0.715,16.9809,0.5202,1.6354,27.085271,7.77258,80.40398
FCR,2016,2016-05-16 12:00:00,0.723,16.9801,0.5208,1.6356,27.072349,7.75598,80.23096
