Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL,
SHR,2014,2014-06-26 12:00:00,0.145,27.0053,0.0199,7.88693,
SHR,2014,2014-06-26 12:00:00,0.207,26.9963,0.0238,7.87416,
SHR,2014,2014-06-26 12:00:00,0.249,26.9878,0.0357,7.88015,
SHR,2014,2014-06-26 12:00:00,0.302,26.9801,0.0199,7.87465,
SHR,2014,2014-06-26 12:00:00,0.338,26.9731,0.0873,7.87663,
SHR,2014,2014-06-26 12:00:00,0.361,26.9666,0.0833,7.88044,
SHR,2014,2014-06-26 12:00:00,0.377,26.9613,0.0873,7.8858,
SHR,2014,2014-06-26 12:00:00,0.389,26.9578,0.0833,7.87933,
SHR,2014,2014-06-26 12:00:00,0.401,26.9562,0.0754,7.87481,
SHR,2014,2014-06-26 12:00:00,0.407,26.9565,0,7.86884,
SHR,2014,2014-06-26 12:00:00,0.405,26.959,0,7.8636,
SHR,2014,2014-06-26 12:00:00,0.397,26.9637,0,7.8639,
SHR,2014,2014-06-26 12:00:00,0.387,26.9703,0,7.8556,
SHR,2014,2014-06-26 12:00:00,0.38,26.9782,0,7.85725,
SHR,2014,2014-06-26 12:00:00,0.38,26.9856,0,7.85683,
SHR,2014,2014-06-26 12:00:00,0.383,26.9906,0,7.86362,
SHR,2014,2014-06-26 12:00:00,0.383,26.9926,0,7.87126,
SHR,2014,2014-06-26 12:00:00,0.383,26.9924,0,7.87844,
SHR,2014,2014-06-26 12:00:00,0.384,26.9908,0,7.88157,
SHR,2014,2014-06-26 12:00:00,0.382,26.9881,0,7.88253,
SHR,2014,2014-06-26 12:00:00,0.381,26.9849,0,7.88069,
SHR,2014,2014-06-26 12:00:00,0.379,26.9817,0,7.88314,
SHR,2014,2014-06-26 12:00:00,0.379,26.9788,0,7.88015,
SHR,2014,2014-06-26 12:00:00,0.381,26.976,0,7.87545,
SHR,2014,2014-06-26 12:00:00,0.383,26.9732,0,7.87701,
SHR,2014,2014-06-26 12:00:00,0.383,26.9707,0,7.878,
SHR,2014,2014-06-26 12:00:00,0.378,26.9683,0,7.87289,
SHR,2014,2014-06-26 12:00:00,0.37,26.9658,0,7.86589,
SHR,2014,2014-06-26 12:00:00,0.365,26.9628,0,7.85164,
SHR,2014,2014-06-26 12:00:00,0.369,26.9594,0,7.84578,
SHR,2014,2014-06-26 12:00:00,0.379,26.9563,0.0278,7.84246,
SHR,2014,2014-06-26 12:00:00,0.381,26.9541,0,7.844,
SHR,2014,2014-06-26 12:00:00,0.38,26.9531,0.0397,7.85387,
SHR,2014,2014-06-26 12:00:00,0.375,26.9529,0.0238,7.86351,
SHR,2014,2014-06-26 12:00:00,0.372,26.9527,0,7.87339,
SHR,2014,2014-06-26 12:00:00,0.374,26.9525,0,7.88161,
SHR,2014,2014-06-26 12:00:00,0.379,26.9522,0,7.88763,
SHR,2014,2014-06-26 12:00:00,0.383,26.9522,0,7.88941,
SHR,2014,2014-06-26 12:00:00,0.383,26.9527,0,7.8887,
