Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
SHR,2015,2015-05-08 12:00:00,0.251,19.6837,0,3.3869,0.823,9.35936,102.38893
SHR,2015,2015-05-08 12:00:00,0.256,19.6744,0,3.3697,0.841,9.35861,102.36164
SHR,2015,2015-05-08 12:00:00,0.271,19.6654,0,3.095,0.888,9.35794,102.33594
SHR,2015,2015-05-08 12:00:00,0.291,19.6566,0,3.0435,0.956,9.3602,102.3427
SHR,2015,2015-05-08 12:00:00,0.32,19.6479,0,3.095,1.051,9.36298,102.35527
SHR,2015,2015-05-08 12:00:00,0.353,19.6398,0,3.1637,1.158,9.36673,102.37975
SHR,2015,2015-05-08 12:00:00,0.386,19.6324,0,3.3182,1.266,9.3795,102.50419
SHR,2015,2015-05-08 12:00:00,0.411,19.6257,0,3.3697,1.348,9.38599,102.56135
SHR,2015,2015-05-08 12:00:00,0.429,19.6193,0,3.4384,1.408,9.39774,102.67658
SHR,2015,2015-05-08 12:00:00,0.445,19.6128,0,3.3525,1.459,9.41971,102.90323
SHR,2015,2015-05-08 12:00:00,0.461,19.6054,0.008,3.0435,1.511,9.45773,103.30329
SHR,2015,2015-05-08 12:00:00,0.484,19.5956,0.008,3.1294,1.589,9.49677,103.70938
SHR,2015,2015-05-08 12:00:00,0.509,19.5815,0.0318,3.1294,1.668,9.53457,104.09286
SHR,2015,2015-05-08 12:00:00,0.534,19.5607,0.0238,3.0092,1.754,9.57263,104.46491
SHR,2015,2015-05-08 12:00:00,0.56,19.5329,0,3.0435,1.837,9.6093,104.80681
SHR,2015,2015-05-08 12:00:00,0.586,19.5013,0.0278,3.1637,1.924,9.64003,105.07554
SHR,2015,2015-05-08 12:00:00,0.614,19.4688,0.0159,3.0607,2.014,9.6791,105.4327
SHR,2015,2015-05-08 12:00:00,0.652,19.4364,0.0238,3.0779,2.14,9.71486,105.75353
SHR,2015,2015-05-08 12:00:00,0.698,19.4033,0.008,3.1122,2.288,9.74098,105.9675
SHR,2015,2015-05-08 12:00:00,0.732,19.3674,0,3.1637,2.401,9.75178,106.00854
SHR,2015,2015-05-08 12:00:00,0.755,19.326,0,3.1465,2.477,9.75526,105.95833
SHR,2015,2015-05-08 12:00:00,0.771,19.2787,0,3.1637,2.531,9.7566,105.87217
SHR,2015,2015-05-08 12:00:00,0.792,19.2291,0,3.198,2.597,9.76856,105.89636
SHR,2015,2015-05-08 12:00:00,0.817,19.1804,0.004,3.3697,2.681,9.78629,105.98461
SHR,2015,2015-05-08 12:00:00,0.844,19.131,0.0119,3.404,2.771,9.80498,106.08139
SHR,2015,2015-05-08 12:00:00,0.872,19.0769,0.0159,3.4212,2.86,9.82329,106.16366
SHR,2015,2015-05-08 12:00:00,0.899,19.0174,0.0238,3.4212,2.949,9.84411,106.26103
SHR,2015,2015-05-08 12:00:00,0.92,18.9543,0.0159,3.1122,3.02,9.8684,106.38765
SHR,2015,2015-05-08 12:00:00,0.947,18.8892,0.0278,3.1465,3.106,9.89804,106.5668
SHR,2015,2015-05-08 12:00:00,0.988,18.8231,0.0278,3.1637,3.242,9.91529,106.60992
SHR,2015,2015-05-08 12:00:00,1.037,18.7573,0.0159,3.095,3.403,9.93569,106.68685
SHR,2015,2015-05-08 12:00:00,1.077,18.6929,0.0754,3.404,3.534,9.95811,106.7881
SHR,2015,2015-05-08 12:00:00,1.112,18.631,0.0992,3.4212,3.648,9.98369,106.92796
SHR,2015,2015-05-08 12:00:00,1.143,18.5721,0.0635,3.301,3.751,10.00986,107.08
SHR,2015,2015-05-08 12:00:00,1.179,18.515,0.0794,3.3354,3.868,10.03449,107.21883
SHR,2015,2015-05-08 12:00:00,1.212,18.4596,0.0754,3.3697,3.977,10.0542,107.3083
SHR,2015,2015-05-08 12:00:00,1.235,18.4067,0.0754,3.1294,4.053,10.07601,107.42521
SHR,2015,2015-05-08 12:00:00,1.255,18.3561,0.0754,3.0779,4.118,10.09724,107.54052
SHR,2015,2015-05-08 12:00:00,1.276,18.3066,0.0754,3.1294,4.187,10.12053,107.67971
SHR,2015,2015-05-08 12:00:00,1.298,18.2577,0.0913,3.1809,4.26,10.14236,107.80419
SHR,2015,2015-05-08 12:00:00,1.324,18.2107,0.0794,3.3182,4.343,10.16312,107.92106
SHR,2015,2015-05-08 12:00:00,1.36,18.166,0.0675,3.2667,4.462,10.18434,108.04762
SHR,2015,2015-05-08 12:00:00,1.4,18.1227,0.0833,3.3869,4.594,10.20777,108.20018
SHR,2015,2015-05-08 12:00:00,1.436,18.0802,0.0794,3.3182,4.711,10.22911,108.33195
