Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
BVR,2015,2015-05-14 12:00:00,0.1,296,18.64,35.6,8.42,2.31,,,,,,,,"*was rerun 17DE15 and values were averaged; original SRP value was very high (no known reason to throw out, though); rerun value for NO3-NO2 was negative and so not used"
BVR,2015,2015-05-14 12:00:00,3,260,26.4,4.53,7.95,0,,,,,,,,*was rerun 17DE15; both NO3-NO2 values were negative and so eliminated; other values were averaged
BVR,2015,2015-05-14 12:00:00,6,324,25.2,3.58,8.69,1.05,,,,,,,,*was rerun 17DE15 and values averaged except for NO3-NO2 because original was negative
BVR,2015,2015-05-14 12:00:00,9,675,78.3,4.33,20.9,3.91,2.261,2.833,,,,,,*this TNTP sample was rerun and values were averaged
BVR,2015,2015-05-14 12:00:00,12,1330,64.8,4.21,270,5.05,2.025,3.951,,,,,,
BVR,2015,2015-05-21 12:00:00,0.1,346,26.6,,,,2.163,2.348,,,,,,
BVR,2015,2015-05-21 12:00:00,3,260,19.88,,,,2.2,2.375,,,,,,
BVR,2015,2015-05-21 12:00:00,6,262,27.2,7.89,12.1,3.27,2.001,2.383,,,,,,
BVR,2015,2015-05-21 12:00:00,9,765,86.8,3.61,42.3,4.4,,,,,,,,*this TNTP sample was rerun and values were averaged
BVR,2015,2015-05-21 12:00:00,12,928,76.6,3.99,192,5.05,2.471,3.762,,,,,,
BVR,2015,2015-05-28 12:00:00,0.1,394,20.8,5.66,11.9,3.01,2.184,2.454,,,,,,
BVR,2015,2015-05-28 12:00:00,3,162,10.2,4.85,11.9,2.54,2.402,2.214,,,,,,
BVR,2015,2015-05-28 12:00:00,6,308,22,3.72,15.3,5.09,2.182,2.593,,,,,,
BVR,2015,2015-05-28 12:00:00,9,938,93,4.01,14.5,6.96,2.639,3.284,,,,,,
BVR,2015,2015-05-28 12:00:00,12,1914,70.6,6.18,318,5.94,3.292,3.934,,,,,,
BVR,2015,2015-06-04 12:00:00,0.1,183,7.82,5.36,14.8,4,2.333,2.397,,,,,,
BVR,2015,2015-06-04 12:00:00,3,346,21,3.36,13,3.28,2.348,2.42,,,,,,
BVR,2015,2015-06-04 12:00:00,6,294,17.58,3.04,12.8,2.31,2.045,2.471,,,,,,
BVR,2015,2015-06-04 12:00:00,9,419,34.7,3.44,34.9,5.26,2.102,3.653,,,,,,
BVR,2015,2015-06-04 12:00:00,12,1192,69,4.78,337,3.58,2.458,4.415,,,,,,
BVR,2015,2015-06-11 12:00:00,0.1,766,15.94,8.9,13.8,4.57,3.089,2.288,,,,,,
BVR,2015,2015-06-11 12:00:00,3,140,5.27,4.12,5.11,1.79,2.34,2.446,,,,,,
BVR,2015,2015-06-11 12:00:00,6,274,24.2,5.28,3.42,1.46,1.968,2.534,,,,,,
BVR,2015,2015-06-11 12:00:00,9,784,77.5,3.89,20.1,2.96,2.222,3.312,,,,,,*this TNTP sample was rerun and values were averaged
BVR,2015,2015-06-11 12:00:00,12,1272,62.8,6.54,316,3.2,2.699,4.135,,,,,,
BVR,2015,2015-06-18 12:00:00,0.1,296,14.98,4.29,7.34,3.98,2.794,2.593,,,,,,
BVR,2015,2015-06-18 12:00:00,3,276,9.74,3.66,4.33,8.92,3.208,2.658,,,,,,
BVR,2015,2015-06-18 12:00:00,6,308,16.52,2.51,5.11,2.36,2.17,2.867,,,,,,
BVR,2015,2015-06-18 12:00:00,9,968,62.8,5.98,116,3.76,2.524,4.306,,,,,,
BVR,2015,2015-06-18 12:00:00,12,300,22.8,3.47,8.35,3.6,2.559,3.058,,,,,,
BVR,2015,2015-06-18 15:00:00,0.1,316,10.78,3.42,8.35,6.17,2.726,2.491,,,,,,
BVR,2015,2015-06-18 15:00:00,3,324,19.2,3.37,4.48,3.34,2.574,2.558,,,,,,
BVR,2015,2015-06-18 15:00:00,6,224,13.54,4.93,4.84,1.99,2.122,2.786,,,,,,
BVR,2015,2015-06-18 15:00:00,9,1058,52.8,2.95,87.8,2.97,2.487,3.954,,,,,,
BVR,2015,2015-06-18 15:00:00,12,1416,34,8.43,429,4.73,2.469,4.259,,,,,,
BVR,2015,2015-06-18 18:00:00,0.1,286,11.58,5.33,6.3,4.28,2.467,2.403,,,,,,
BVR,2015,2015-06-18 18:00:00,3,320,16.54,3.75,7.95,4.07,2.415,2.526,,,,,,
BVR,2015,2015-06-18 18:00:00,6,324,24.8,2.96,4.56,2.16,1.983,2.699,,,,,,
BVR,2015,2015-06-18 18:00:00,9,838,52.8,4.47,18.2,3.51,2.345,3.436,,,,,,
BVR,2015,2015-06-18 18:00:00,12,1564,37.6,6.12,405,2.55,3.249,4.314,,,,,,*this bottle did not have a time stamp; assumed 1800 hrs because that point was missing
BVR,2015,2015-06-18 21:00:00,0.1,336,14.86,8.3,9.42,4.35,3.083,2.375,,,,,,
