Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
CCR,2014,2014-04-20 13:00:00,0,141,7.3,1.16,6.55,5.77,2.718,5.861,,,1.627778,,,
CCR,2014,2014-04-20 13:00:00,5,153,6.91,0.985,5.67,4.64,2.738,5.704,,,1.627778,,,
CCR,2014,2014-04-20 13:00:00,14,175,13.1,1.07,11.7,7.13,2.649,6.159,,,1.773584,,,
CCR,2014,2014-05-02 11:00:00,0,139,6.28,2.86,2.56,4.4,2.705,5.36,,,1.822186,,,
CCR,2014,2014-05-02 11:00:00,5,36.6,1.13,0.939,4.09,5.15,2.662,5.303,,,1.724982,,,
CCR,2014,2014-05-02 11:00:00,14,168,12.2,1.3,18.9,14.5,2.648,5.99,,,2.308206,,,
CCR,2014,2014-05-08 09:30:00,0,132,5.47,0.29,2.9,4.77,2.69,5.735,,,1.773584,,,
CCR,2014,2014-05-08 09:30:00,6,134,6.92,1.27,4.41,5.54,2.659,4.889,,,2.016594,,,
CCR,2014,2014-05-08 09:30:00,14,157,9.69,1.4,13,0.098,2.631,6.289,,,2.599818,,,
CCR,2014,2014-05-15 09:15:00,0,146,6.03,0.693,4.205,5.705,2.731,5.572,,,1.627778,,,
CCR,2014,2014-05-15 09:15:00,6,134.5,7.66,0.0202,2.75,4.95,2.616,5.603,,,1.627778,,,
CCR,2014,2014-05-15 09:15:00,14,157,6.87,0.418,10.8,16.3,2.533,6.469,,,1.91939,,,
CCR,2014,2014-05-27 11:00:00,0,152,6.83,0.816,5.84,5.56,3.004,5.453,,,1.773584,,,
CCR,2014,2014-05-27 11:00:00,6,163,8.6,0.418,4.89,5.48,2.795,5.542,,,1.579176,,,
CCR,2014,2014-05-27 11:00:00,14,165,9.12,1.053,4.875,17.65,2.628,6.422,,,2.1624,,,
CCR,2014,2014-06-04 09:15:00,0,118,3.32,1.09,0.0422,6.78,2.832,5.833,,,1.413054,,,
CCR,2014,2014-06-04 09:15:00,6,277,6.87,1.25,7.99,7.23,3.063,5.789,,,1.362968,,,
CCR,2014,2014-06-04 09:15:00,20,297,16.2,2.27,39.4,38.3,2.783,7.974,,,3.817182,,,
CCR,2014,2014-06-12 09:30:00,0,132,3.83,0.797,3.75,7.53,2.579,5.761,,,1.46314,,,
CCR,2014,2014-06-12 09:30:00,6,223,9.38,1.48,5.23,6.83,3.076,5.857,,,1.112538,,,
CCR,2014,2014-06-12 09:30:00,20,144,5.72,1.3,3.72,8.295,2.802,5.834,,,1.060056,,,
CCR,2014,2014-06-26 09:45:00,0,127,3.39,1.02,4.39,2.09,2.649,5.643,,,1.312882,,,
CCR,2014,2014-06-26 09:45:00,6,167,9.14,0.93,2.83,5.24,2.665,5.818,,,1.413054,,,
CCR,2014,2014-06-26 09:45:00,20,247.5,31.45,1.73,45.1,16.4,2.702,7.236,,,2.752934,,,
CCR,2014,2014-07-03 09:00:00,0,118,3.69,2.5,2.9,5.6,2.538,5.731,,,1.513226,,,
CCR,2014,2014-07-03 09:00:00,6,178,11.7,1.7,3.2,1.8,2.779,5.953,,,1.813742,,,
CCR,2014,2014-07-03 09:00:00,20,179,16.7,1.5,22.9,13.3,2.854,7.003,,,2.71529,,,
CCR,2014,2014-07-10 10:00:00,0,128,2.52,3.3,4.7,6.1,2.891,4.667,,,1.312882,,,
CCR,2014,2014-07-10 10:00:00,6,192.5,12.05,2.4,6.9,2.2,2.683,5.845,,,1.162624,,,
CCR,2014,2014-07-10 10:00:00,20,310,32,4.6,88.1,17.1,2.568,6.027,,,2.96572,,,
CCR,2014,2014-07-24 10:30:00,0,139,4.78,8,2.8,4.1,2.579,5.816,,,1.312882,,,
CCR,2014,2014-07-24 10:30:00,6,181,9.29,8,2.8,4.1,2.678,5.833,,,1.563312,,,
CCR,2014,2014-07-24 10:30:00,20,405,46.1,4.4,130,19.2,2.622,7.492,,,4.267956,,,
CCR,2014,2014-08-07 13:30:00,0,144,6.58,2.1,6.1,1.8,2.501,5.805,,,1.060056,,,
CCR,2014,2014-08-07 13:30:00,6,175,11.8,2.6,4.8,5,2.588,5.977,,,1.016368,,,
CCR,2014,2014-08-07 13:30:00,20,706,63.1,2.3,263,10.7,2.598,9.04,,,3.200768,,,
CCR,2014,2014-08-21 09:30:00,0,127,0,2.3,3.3,4.1,2.465,5.605,,,1.016368,,,
