Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,DO_mgL
BVR,2015,2015-05-15 12:00:00,0.209,21.0447,0.8847,4.2623,8.48311
BVR,2015,2015-05-15 12:00:00,0.21,21.0446,0.8847,4.2623,8.48997
BVR,2015,2015-05-15 12:00:00,0.22,21.0446,0.8927,4.2967,8.49118
BVR,2015,2015-05-15 12:00:00,0.237,21.0439,0.8768,4.5542,8.4923
BVR,2015,2015-05-15 12:00:00,0.254,21.0418,0.8887,4.6228,8.49267
BVR,2015,2015-05-15 12:00:00,0.266,21.0386,0.8847,4.6057,8.49778
BVR,2015,2015-05-15 12:00:00,0.276,21.0356,0.8649,4.4683,8.49668
BVR,2015,2015-05-15 12:00:00,0.288,21.0333,0.8768,4.537,8.50025
BVR,2015,2015-05-15 12:00:00,0.302,21.0316,0.7697,4.5713,8.50189
BVR,2015,2015-05-15 12:00:00,0.317,21.0299,0.7618,4.5542,8.50527
BVR,2015,2015-05-15 12:00:00,0.327,21.0284,0.7499,4.6057,8.50922
BVR,2015,2015-05-15 12:00:00,0.336,21.0275,0.7499,4.5885,8.5178
BVR,2015,2015-05-15 12:00:00,0.342,21.0271,0.8887,4.228,8.52771
BVR,2015,2015-05-15 12:00:00,0.348,21.0273,0.8728,4.228,8.52854
BVR,2015,2015-05-15 12:00:00,0.358,21.0277,0.853,4.331,8.5339
BVR,2015,2015-05-15 12:00:00,0.369,21.0279,0.8649,4.2967,8.53182
BVR,2015,2015-05-15 12:00:00,0.378,21.0277,0.7062,4.3138,8.53445
BVR,2015,2015-05-15 12:00:00,0.391,21.0274,0.6864,4.2795,8.53403
BVR,2015,2015-05-15 12:00:00,0.402,21.0274,0.6983,4.3653,8.52942
BVR,2015,2015-05-15 12:00:00,0.423,21.0278,0.7102,4.2967,8.52711
BVR,2015,2015-05-15 12:00:00,0.432,21.0285,0.8133,4.5542,8.53008
BVR,2015,2015-05-15 12:00:00,0.445,21.0286,0.7975,4.6057,8.52684
BVR,2015,2015-05-15 12:00:00,0.461,21.0279,0.8371,4.5713,8.52555
BVR,2015,2015-05-15 12:00:00,0.484,21.0268,0.8252,4.5198,8.52173
BVR,2015,2015-05-15 12:00:00,0.504,21.0258,0.8133,4.5198,8.51687
BVR,2015,2015-05-15 12:00:00,0.519,21.0251,0.8014,4.3482,8.50745
BVR,2015,2015-05-15 12:00:00,0.533,21.0243,0.8213,4.2452,8.50054
BVR,2015,2015-05-15 12:00:00,0.552,21.0236,0.8133,4.228,8.49587
BVR,2015,2015-05-15 12:00:00,0.574,21.0232,0.8014,4.331,8.48489
BVR,2015,2015-05-15 12:00:00,0.594,21.0235,0.9006,4.228,8.47067
BVR,2015,2015-05-15 12:00:00,0.615,21.0239,0.8649,4.2967,8.4559
BVR,2015,2015-05-15 12:00:00,0.633,21.0231,0.8689,4.3482,8.43627
BVR,2015,2015-05-15 12:00:00,0.648,21.02,0.8967,4.228,8.42991
BVR,2015,2015-05-15 12:00:00,0.668,21.0136,0.8252,4.2967,8.41693
BVR,2015,2015-05-15 12:00:00,0.694,21.0032,0.8094,4.3138,8.40844
BVR,2015,2015-05-15 12:00:00,0.721,20.9887,0.8371,4.3138,8.39576
BVR,2015,2015-05-15 12:00:00,0.746,20.9722,0.8213,4.2623,8.39324
BVR,2015,2015-05-15 12:00:00,0.765,20.9556,0.9363,4.3482,8.39271
BVR,2015,2015-05-15 12:00:00,0.783,20.9402,0.9482,4.2967,8.40022
BVR,2015,2015-05-15 12:00:00,0.803,20.9263,0.9522,4.3138,8.40788
BVR,2015,2015-05-15 12:00:00,0.822,20.9135,0.9482,4.3138,8.41097
BVR,2015,2015-05-15 12:00:00,0.841,20.9019,0.9403,4.2452,8.41073
BVR,2015,2015-05-15 12:00:00,0.869,20.8912,0.9443,4.2795,8.40981
BVR,2015,2015-05-15 12:00:00,0.898,20.8813,0.9522,4.228,8.41188
BVR,2015,2015-05-15 12:00:00,0.926,20.872,0.9284,4.2452,8.41074
BVR,2015,2015-05-15 12:00:00,0.945,20.8629,0.9482,4.2795,8.41562
BVR,2015,2015-05-15 12:00:00,0.966,20.8529,0.9601,4.2452,8.41995
BVR,2015,2015-05-15 12:00:00,0.994,20.8417,0.9482,4.2795,8.42432
BVR,2015,2015-05-15 12:00:00,1.023,20.8293,0.9522,4.2795,8.42619
BVR,2015,2015-05-15 12:00:00,1.049,20.8153,0.9522,4.331,8.42442
BVR,2015,2015-05-15 12:00:00,1.07,20.7998,1.1268,4.4855,8.42138
BVR,2015,2015-05-15 12:00:00,1.085,20.7834,1.1069,4.6228,8.42135
BVR,2015,2015-05-15 12:00:00,1.103,20.7673,1.1466,4.6228,8.41972
BVR,2015,2015-05-15 12:00:00,1.126,20.7523,1.1466,4.4855,8.4382
BVR,2015,2015-05-15 12:00:00,1.151,20.7389,1.1863,4.5713,8.45969
BVR,2015,2015-05-15 12:00:00,1.173,20.7277,1.2061,4.5713,8.48617
BVR,2015,2015-05-15 12:00:00,1.193,20.7182,1.1942,4.5885,8.52578
BVR,2015,2015-05-15 12:00:00,1.212,20.7088,1.1902,4.5198,8.58242
