Reservoir,Site,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
CCR,CCR,2016-05-13 09:42:00,0.073,20.1572,1.0149,1.2479,79.171776,9.44826,104.27662
CCR,CCR,2016-05-13 09:42:00,0.102,20.1568,1.0158,1.2043,79.165163,9.45591,104.36025
CCR,CCR,2016-05-13 09:42:00,0.142,20.1563,1.0173,1.1841,79.157329,9.46401,104.44865
CCR,CCR,2016-05-13 09:42:00,0.188,20.156,1.0222,1.1934,79.174309,9.46813,104.49349
CCR,CCR,2016-05-13 09:42:00,0.217,20.1559,1.0325,1.2209,79.194515,9.46903,104.50319
CCR,CCR,2016-05-13 09:42:00,0.224,20.1559,1.0455,1.2579,79.197219,9.46725,104.48351
CCR,CCR,2016-05-13 09:42:00,0.234,20.1562,1.055,1.2901,79.203231,9.45342,104.33156
CCR,CCR,2016-05-13 09:42:00,0.249,20.1566,1.0596,1.3046,79.234243,9.45181,104.31462
CCR,CCR,2016-05-13 09:42:00,0.274,20.1572,1.0607,1.297,79.250311,9.44255,104.21368
CCR,CCR,2016-05-13 09:42:00,0.304,20.1578,1.0584,1.2678,79.21956,9.43406,104.12115
CCR,CCR,2016-05-13 09:42:00,0.356,20.1584,1.0569,1.2263,79.182003,9.42536,104.02635
CCR,CCR,2016-05-13 09:42:00,0.467,20.1589,1.0627,1.1934,79.17182,9.42284,103.99961
CCR,CCR,2016-05-13 09:42:00,0.563,20.1592,1.0815,1.1855,79.154154,9.41968,103.96535
CCR,CCR,2016-05-13 09:42:00,0.634,20.1593,1.1213,1.2133,79.122285,9.42151,103.98572
CCR,CCR,2016-05-13 09:42:00,0.688,20.1593,1.1753,1.2599,79.115928,9.42424,104.01589
CCR,CCR,2016-05-13 09:42:00,0.729,20.1592,1.2216,1.2898,79.125352,9.4317,104.09794
CCR,CCR,2016-05-13 09:42:00,0.772,20.159,1.2562,1.3018,79.126955,9.43409,104.12397
CCR,CCR,2016-05-13 09:42:00,0.812,20.1587,1.2893,1.3048,79.115138,9.43887,104.17614
CCR,CCR,2016-05-13 09:42:00,0.845,20.1582,1.3198,1.2997,79.098803,9.44368,104.22816
CCR,CCR,2016-05-13 09:42:00,0.871,20.1576,1.3369,1.2941,79.093682,9.45013,104.29807
CCR,CCR,2016-05-13 09:42:00,0.896,20.157,1.3386,1.282,79.096401,9.45633,104.36529
CCR,CCR,2016-05-13 09:42:00,0.933,20.1565,1.3276,1.2489,79.097641,9.45483,104.34765
CCR,CCR,2016-05-13 09:42:00,0.968,20.156,1.3086,1.2064,79.103759,9.45613,104.36101
CCR,CCR,2016-05-13 09:42:00,0.987,20.1555,1.2934,1.1798,79.132457,9.46045,104.40766
CCR,CCR,2016-05-13 09:42:00,0.998,20.155,1.2871,1.1689,79.163264,9.46112,104.41406
CCR,CCR,2016-05-13 09:42:00,1.004,20.1542,1.2869,1.1708,79.160198,9.46145,104.41601
CCR,CCR,2016-05-13 09:42:00,1.014,20.1533,1.2918,1.1963,79.140521,9.45618,104.35597
CCR,CCR,2016-05-13 09:42:00,1.035,20.1522,1.2997,1.234,79.137157,9.45312,104.31997
CCR,CCR,2016-05-13 09:42:00,1.056,20.1511,1.3038,1.2537,79.137154,9.44053,104.17871
CCR,CCR,2016-05-13 09:42:00,1.077,20.1504,1.3011,1.247,79.116405,9.43584,104.12556
CCR,CCR,2016-05-13 09:42:00,1.097,20.1504,1.292,1.2156,79.101519,9.42328,103.98692
CCR,CCR,2016-05-13 09:42:00,1.116,20.1511,1.2772,1.1683,79.118659,9.41369,103.88255
CCR,CCR,2016-05-13 09:42:00,1.122,20.1521,1.2603,1.1324,79.142264,9.4145,103.89357
CCR,CCR,2016-05-13 09:42:00,1.107,20.153,1.2421,1.1191,79.140457,9.41233,103.87142
CCR,CCR,2016-05-13 09:42:00,1.071,20.1536,1.2196,1.1156,79.110749,9.41156,103.86413
CCR,CCR,2016-05-13 09:42:00,1.028,20.1537,1.1943,1.1153,79.09544,9.40939,103.84044
CCR,CCR,2016-05-13 09:42:00,1.009,20.1535,1.1761,1.1271,79.118573,9.41563,103.90893
CCR,CCR,2016-05-13 09:42:00,1.018,20.1532,1.1703,1.1533,79.132074,9.42456,104.00685
CCR,CCR,2016-05-13 09:42:00,1.047,20.1528,1.1737,1.1926,79.101377,9.43736,104.14722
CCR,CCR,2016-05-13 09:42:00,1.085,20.1527,1.1805,1.2407,79.074543,9.44429,104.22352
CCR,CCR,2016-05-13 09:42:00,1.107,20.1527,1.1857,1.2728,79.092632,9.45073,104.29454
CCR,CCR,2016-05-13 09:42:00,1.094,20.1529,1.188,1.2744,79.112252,9.45625,104.35591
CCR,CCR,2016-05-13 09:42:00,1.065,20.1531,1.1856,1.2529,79.100468,9.45752,104.37035
CCR,CCR,2016-05-13 09:42:00,1.054,20.1533,1.1764,1.2128,79.088288,9.46052,104.40385
CCR,CCR,2016-05-13 09:42:00,1.067,20.1533,1.1643,1.1617,79.11666,9.46451,104.44786
CCR,CCR,2016-05-13 09:42:00,1.092,20.1532,1.154,1.1192,79.169043,9.46252,104.42576
CCR,CCR,2016-05-13 09:42:00,1.107,20.153,1.1456,1.0934,79.183067,9.46244,104.42449
CCR,CCR,2016-05-13 09:42:00,1.104,20.1528,1.1396,1.0775,79.154436,9.45927,104.38909
CCR,CCR,2016-05-13 09:42:00,1.097,20.1526,1.1355,1.066,79.1398,9.45479,104.33919
CCR,CCR,2016-05-13 09:42:00,1.096,20.1526,1.1308,1.0605,79.157354,9.44782,104.26226
CCR,CCR,2016-05-13 09:42:00,1.103,20.1529,1.1245,1.0606,79.15754,9.44488,104.23042
CCR,CCR,2016-05-13 09:42:00,1.109,20.1532,1.1156,1.0584,79.110272,9.44292,104.2094
CCR,CCR,2016-05-13 09:42:00,1.108,20.1536,1.1046,1.0509,79.059196,9.44458,104.22861
CCR,CCR,2016-05-13 09:42:00,1.1,20.154,1.0955,1.0454,79.058994,9.44894,104.27749
CCR,CCR,2016-05-13 09:42:00,1.095,20.1544,1.0899,1.0473,79.091532,9.45007,104.29078
CCR,CCR,2016-05-13 09:42:00,1.102,20.1548,1.0858,1.0501,79.091157,9.4532,104.32623
CCR,CCR,2016-05-13 09:42:00,1.114,20.1553,1.0825,1.05,79.063795,9.45719,104.37126
CCR,CCR,2016-05-13 09:42:00,1.125,20.1557,1.082,1.0493,79.070454,9.46076,104.41142
CCR,CCR,2016-05-13 09:42:00,1.13,20.156,1.0844,1.049,79.118935,9.46098,104.4145
CCR,CCR,2016-05-13 09:42:00,1.129,20.1562,1.0893,1.0502,79.153865,9.45482,104.34701
CCR,CCR,2016-05-13 09:42:00,1.119,20.1562,1.0984,1.053,79.144379,9.45286,104.32538
CCR,CCR,2016-05-13 09:42:00,1.101,20.1559,1.1113,1.0527,79.146206,9.45399,104.33721
CCR,CCR,2016-05-13 09:42:00,1.076,20.1555,1.1228,1.0445,79.193985,9.45611,104.35972
CCR,CCR,2016-05-13 09:42:00,1.058,20.1548,1.1292,1.0399,79.234163,9.45783,104.37732
CCR,CCR,2016-05-13 09:42:00,1.049,20.1541,1.1326,1.0435,79.223215,9.45477,104.3421
CCR,CCR,2016-05-13 09:42:00,1.051,20.1535,1.136,1.0447,79.190362,9.45621,104.35678
CCR,CCR,2016-05-13 09:42:00,1.062,20.153,1.1411,1.0463,79.181086,9.45833,104.37908
CCR,CCR,2016-05-13 09:42:00,1.072,20.1526,1.1497,1.0554,79.190904,9.46312,104.43114
