Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT,
FCR,2016,2016-05-16 12:00:00,0.015,16.3033,0.0175,3.5111,16.503939,7.66099,78.12768,
FCR,2016,2016-05-16 12:00:00,0.125,16.4647,0.1531,6.3563,20.752951,7.63532,78.1324,
FCR,2016,2016-05-16 12:00:00,0.216,16.5691,0.3224,9.7737,23.37623,7.60145,77.95744,
FCR,2016,2016-05-16 12:00:00,0.277,16.6321,0.4552,12.0115,24.945094,7.60087,78.05509,
FCR,2016,2016-05-16 12:00:00,0.308,16.6659,0.5295,12.3388,25.863892,7.58487,77.9463,
FCR,2016,2016-05-16 12:00:00,0.308,16.679,0.5644,10.844,26.387664,7.58558,77.97518,
FCR,2016,2016-05-16 12:00:00,0.287,16.6774,0.5754,8.225,26.680134,7.58277,77.94376,
FCR,2016,2016-05-16 12:00:00,0.268,16.6675,0.5791,5.9726,26.833321,7.59911,78.09551,
FCR,2016,2016-05-16 12:00:00,0.271,16.6553,0.5849,4.5791,26.898098,7.61206,78.20859,
FCR,2016,2016-05-16 12:00:00,0.266,16.6434,0.5967,3.666,26.91378,7.64734,78.55139,
FCR,2016,2016-05-16 12:00:00,0.239,16.6301,0.6115,3.0357,26.906591,7.6913,78.98094,
FCR,2016,2016-05-16 12:00:00,0.204,16.6121,0.6214,2.6264,26.898661,7.8176,80.24755,
FCR,2016,2016-05-16 12:00:00,0.186,16.5883,0.6267,2.3795,26.895888,7.95737,81.64138,
FCR,2016,2016-05-16 12:00:00,0.185,16.5654,0.6312,2.2266,26.889519,8.10637,83.13007,
FCR,2016,2016-05-16 12:00:00,0.194,16.5558,0.6342,2.1306,26.883865,8.28753,84.97073,
FCR,2016,2016-05-16 12:00:00,0.211,16.567,0.6355,2.0716,26.879422,8.49565,87.12505,
FCR,2016,2016-05-16 12:00:00,0.227,16.5966,0.6369,2.036,26.873001,8.69083,89.1821,
FCR,2016,2016-05-16 12:00:00,0.244,16.6359,0.6386,2.0132,26.878921,8.84296,90.81821,
FCR,2016,2016-05-16 12:00:00,0.276,16.6769,0.6396,2.0017,26.90477,8.92929,91.78374,
FCR,2016,2016-05-16 12:00:00,0.327,16.7148,0.6407,1.9974,26.941409,8.96398,92.21365,
FCR,2016,2016-05-16 12:00:00,0.392,16.7477,0.6437,1.9911,26.982577,8.97891,92.43102,
FCR,2016,2016-05-16 12:00:00,0.468,16.775,0.649,1.9857,27.033242,8.96401,92.33036,
FCR,2016,2016-05-16 12:00:00,0.541,16.7967,0.6581,1.9843,27.088881,8.93466,92.06994,
FCR,2016,2016-05-16 12:00:00,0.603,16.8132,0.6719,1.9796,27.138283,8.87974,91.53564,
FCR,2016,2016-05-16 12:00:00,0.654,16.8253,0.6876,1.9693,27.180595,8.81568,90.89834,
FCR,2016,2016-05-16 12:00:00,0.687,16.8342,0.7046,1.961,27.20506,8.74431,90.17929,
FCR,2016,2016-05-16 12:00:00,0.709,16.8406,0.7284,1.9604,27.208184,8.67094,89.43457,
FCR,2016,2016-05-16 12:00:00,0.738,16.8454,0.7566,1.9616,27.20683,8.61089,88.82411,
FCR,2016,2016-05-16 12:00:00,0.759,16.8489,0.7784,1.9558,27.210658,8.55876,88.29278,
FCR,2016,2016-05-16 12:00:00,0.776,16.8516,0.7929,1.945,27.218684,8.52444,87.94371,
FCR,2016,2016-05-16 12:00:00,0.791,16.8534,0.8054,1.9261,27.231045,8.51766,87.8771,
FCR,2016,2016-05-16 12:00:00,0.808,16.8545,0.8185,1.8885,27.24703,8.53011,88.00756,
FCR,2016,2016-05-16 12:00:00,0.827,16.8548,0.8305,1.8428,27.250864,8.55905,88.30678,
FCR,2016,2016-05-16 12:00:00,0.839,16.8542,0.8358,1.8111,27.233548,8.59403,88.66655,
FCR,2016,2016-05-16 12:00:00,0.842,16.8528,0.8304,1.8055,27.222528,8.6281,89.01544,
FCR,2016,2016-05-16 12:00:00,0.833,16.8509,0.8137,1.8336,27.240914,8.63445,89.07742,
FCR,2016,2016-05-16 12:00:00,0.824,16.8489,0.7916,1.8802,27.26756,8.6238,88.96379,
FCR,2016,2016-05-16 12:00:00,0.827,16.8468,0.7734,1.9117,27.283521,8.59932,88.70736,
FCR,2016,2016-05-16 12:00:00,0.83,16.8445,0.7616,1.9242,27.293053,8.55309,88.22628,
FCR,2016,2016-05-16 12:00:00,0.832,16.8421,0.755,1.9345,27.286675,8.50246,87.69963,
FCR,2016,2016-05-16 12:00:00,0.835,16.8398,0.7518,1.9454,27.262686,8.43751,87.02541,
FCR,2016,2016-05-16 12:00:00,0.838,16.8378,0.7489,1.9519,27.236732,8.36712,86.29583,
FCR,2016,2016-05-16 12:00:00,0.839,16.8361,0.7458,1.958,27.215919,8.29378,85.53638,
FCR,2016,2016-05-16 12:00:00,0.84,16.8348,0.7437,1.9664,27.200707,8.21847,84.75739,
FCR,2016,2016-05-16 12:00:00,0.842,16.8337,0.7426,1.9737,27.193052,8.14545,84.00234,
FCR,2016,2016-05-16 12:00:00,0.845,16.8326,0.7422,1.9818,27.188909,8.07378,83.26136,
FCR,2016,2016-05-16 12:00:00,0.847,16.8313,0.743,1.9917,27.177154,8.002,82.51887,
FCR,2016,2016-05-16 12:00:00,0.848,16.8298,0.7435,1.9958,27.156655,7.94516,81.93015,
FCR,2016,2016-05-16 12:00:00,0.851,16.8279,0.7425,1.9918,27.139981,7.89742,81.43456,
FCR,2016,2016-05-16 12:00:00,0.852,16.8258,0.7406,1.9865,27.138715,7.85265,80.9694,
FCR,2016,2016-05-16 12:00:00,0.852,16.8236,0.7376,1.9809,27.144506,7.81236,80.55019,
FCR,2016,2016-05-16 12:00:00,0.851,16.8214,0.7324,1.9723,27.136856,7.77675,80.17933,
FCR,2016,2016-05-16 12:00:00,0.85,16.8195,0.7227,1.9664,27.109716,7.74741,79.87366,
FCR,2016,2016-05-16 12:00:00,0.851,16.8177,0.7108,1.9662,27.073883,7.71869,79.57461,
FCR,2016,2016-05-16 12:00:00,0.852,16.8158,0.7044,1.966,27.039841,7.68967,79.27222,
FCR,2016,2016-05-16 12:00:00,0.852,16.8136,0.7049,1.9657,27.006527,7.66318,78.99556,
FCR,2016,2016-05-16 12:00:00,0.847,16.811,0.7116,1.9676,26.97708,7.63417,78.69219,
FCR,2016,2016-05-16 12:00:00,0.844,16.8082,0.723,1.9697,26.961682,7.60972,78.43554,
FCR,2016,2016-05-16 12:00:00,0.846,16.8054,0.7315,1.9693,26.960234,7.58364,78.16216,
FCR,2016,2016-05-16 12:00:00,0.846,16.8027,0.7353,1.9651,26.962332,7.56192,77.93387,
FCR,2016,2016-05-16 12:00:00,0.846,16.8002,0.7373,1.9594,26.96052,7.53957,77.69949,
FCR,2016,2016-05-16 12:00:00,0.845,16.7979,0.7375,1.9554,26.958322,7.52033,77.49745,
FCR,2016,2016-05-16 12:00:00,0.844,16.7956,0.7365,1.9552,26.947136,7.50458,77.33139,
FCR,2016,2016-05-16 12:00:00,0.844,16.7934,0.7365,1.9566,26.921975,7.48901,77.16744,
FCR,2016,2016-05-16 12:00:00,0.842,16.7912,0.7387,1.9532,26.894165,7.47528,77.02237,
FCR,2016,2016-05-16 12:00:00,0.84,16.789,0.7425,1.9451,26.870316,7.45752,76.83584,
FCR,2016,2016-05-16 12:00:00,0.84,16.7868,0.7466,1.9359,26.860098,7.43302,76.57994,
FCR,2016,2016-05-16 12:00:00,0.842,16.7845,0.751,1.9197,26.866799,7.42003,76.4424,
FCR,2016,2016-05-16 12:00:00,0.844,16.7813,0.756,1.8922,26.876175,7.40609,76.29371,
FCR,2016,2016-05-16 12:00:00,0.845,16.7758,0.7633,1.853,26.88271,7.38677,76.08592,
FCR,2016,2016-05-16 12:00:00,0.845,16.767,0.7713,1.8099,26.904179,7.3617,75.81364,
FCR,2016,2016-05-16 12:00:00,0.845,16.7558,0.7734,1.7822,26.934282,7.34434,75.6172,
FCR,2016,2016-05-16 12:00:00,0.85,16.7454,0.7665,1.781,26.940971,7.33305,75.4845,
FCR,2016,2016-05-16 12:00:00,0.854,16.7379,0.7492,1.8138,26.934044,7.33604,75.50334,
FCR,2016,2016-05-16 12:00:00,0.849,16.7326,0.725,1.8667,26.947724,7.35384,75.6782,
FCR,2016,2016-05-16 12:00:00,0.834,16.7284,0.7046,1.9079,26.979647,7.39432,76.08806,
FCR,2016,2016-05-16 12:00:00,0.829,16.7241,0.6922,1.9357,26.994241,7.45362,76.69136,
FCR,2016,2016-05-16 12:00:00,0.829,16.7195,0.6853,1.9589,26.971352,7.54238,77.59709,
FCR,2016,2016-05-16 12:00:00,0.83,16.7152,0.6816,1.9732,26.930926,7.6448,78.64377,
FCR,2016,2016-05-16 12:00:00,0.829,16.7122,0.6797,1.9779,26.892238,7.74839,79.7044,
FCR,2016,2016-05-16 12:00:00,0.83,16.7121,0.6798,1.9776,26.856996,7.86951,80.95009,
FCR,2016,2016-05-16 12:00:00,0.83,16.7169,0.6818,1.9747,26.837844,8.00884,82.3916,
FCR,2016,2016-05-16 12:00:00,0.829,16.7272,0.6836,1.9717,26.841696,8.14519,83.81246,
FCR,2016,2016-05-16 12:00:00,0.827,16.7407,0.6841,1.9724,26.853551,8.27897,85.21306,
FCR,2016,2016-05-16 12:00:00,0.825,16.7547,0.6849,1.9747,26.868552,8.40514,86.53711,
FCR,2016,2016-05-16 12:00:00,0.834,16.7666,0.6862,1.9723,26.906732,8.50683,87.60591,
FCR,2016,2016-05-16 12:00:00,0.88,16.7734,0.6889,1.9658,26.960237,8.56959,88.26481,
FCR,2016,2016-05-16 12:00:00,0.955,16.7729,0.6941,1.9604,27.003257,8.5859,88.4319,
FCR,2016,2016-05-16 12:00:00,1.023,16.7683,0.7018,1.9556,27.049271,8.56318,88.18945,
FCR,2016,2016-05-16 12:00:00,1.085,16.7655,0.714,1.9536,27.090509,8.51379,87.67563,
FCR,2016,2016-05-16 12:00:00,1.166,16.7661,0.7356,1.9563,27.099898,8.44777,86.99683,
FCR,2016,2016-05-16 12:00:00,1.224,16.768,0.7645,1.9575,27.085951,8.37242,86.2243,
FCR,2016,2016-05-16 12:00:00,1.251,16.7693,0.7918,1.9574,27.08102,8.29123,85.39052,
FCR,2016,2016-05-16 12:00:00,1.292,16.7694,0.8176,1.9595,27.091804,8.21117,84.56611,
FCR,2016,2016-05-16 12:00:00,1.343,16.7687,0.8485,1.961,27.085109,8.13772,83.80844,
FCR,2016,2016-05-16 12:00:00,1.388,16.7666,0.8819,1.9633,27.073176,8.06885,83.09557,
FCR,2016,2016-05-16 12:00:00,1.404,16.762,0.9081,1.9683,27.088894,8.00068,82.38554,
FCR,2016,2016-05-16 12:00:00,1.405,16.7548,0.9266,1.9703,27.114412,7.94503,81.8002,
FCR,2016,2016-05-16 12:00:00,1.406,16.7464,0.942,1.9654,27.132488,7.89822,81.30389,
FCR,2016,2016-05-16 12:00:00,1.406,16.7385,0.9572,1.9637,27.151951,7.85557,80.85149,
FCR,2016,2016-05-16 12:00:00,1.401,16.7317,0.9741,1.9738,27.165967,7.81773,80.45057,
FCR,2016,2016-05-16 12:00:00,1.395,16.725,0.9899,1.9825,27.158235,7.77644,80.01446,
FCR,2016,2016-05-16 12:00:00,1.398,16.7181,1.0035,1.983,27.146731,7.73662,79.59324,
FCR,2016,2016-05-16 12:00:00,1.407,16.7108,1.0195,1.9867,27.148427,7.70738,79.28028,
FCR,2016,2016-05-16 12:00:00,1.414,16.7032,1.0384,1.9935,27.133717,7.67398,78.92405,
FCR,2016,2016-05-16 12:00:00,1.411,16.6952,1.0543,1.9928,27.088658,7.64712,78.63462,
FCR,2016,2016-05-16 12:00:00,1.399,16.6867,1.0657,1.9888,27.041312,7.62016,78.34344,
FCR,2016,2016-05-16 12:00:00,1.389,16.6777,1.0777,1.9851,27.017125,7.58947,78.01314,
FCR,2016,2016-05-16 12:00:00,1.388,16.6682,1.0912,1.976,27.001633,7.56399,77.73577,
FCR,2016,2016-05-16 12:00:00,1.393,16.6588,1.0999,1.9696,26.962649,7.5314,77.38551,
FCR,2016,2016-05-16 12:00:00,1.4,16.6498,1.101,1.9697,26.917833,7.49771,77.02478,
FCR,2016,2016-05-16 12:00:00,1.401,16.6414,1.0945,1.9662,26.893306,7.46417,76.66677,
FCR,2016,2016-05-16 12:00:00,1.398,16.6339,1.0828,1.9569,26.882527,7.42823,76.28557,
FCR,2016,2016-05-16 12:00:00,1.394,16.6272,1.0726,1.9509,26.878613,7.38834,75.86519,
FCR,2016,2016-05-16 12:00:00,1.391,16.6214,1.0678,1.9487,26.878517,7.34561,75.41729,
FCR,2016,2016-05-16 12:00:00,1.392,16.6166,1.0674,1.9418,26.870191,7.30345,74.9769,
FCR,2016,2016-05-16 12:00:00,1.394,16.6127,1.068,1.9329,26.853417,7.26347,74.56033,
FCR,2016,2016-05-16 12:00:00,1.396,16.6096,1.0681,1.9323,26.841756,7.23004,74.21235,
FCR,2016,2016-05-16 12:00:00,1.397,16.6071,1.0682,1.9375,26.8321,7.19575,73.85647,
FCR,2016,2016-05-16 12:00:00,1.397,16.6053,1.0686,1.9372,26.837902,7.16279,73.51535,
FCR,2016,2016-05-16 12:00:00,1.397,16.6038,1.0688,1.9303,26.866722,7.13491,73.22691,
FCR,2016,2016-05-16 12:00:00,1.397,16.6025,1.0689,1.9195,26.886169,7.11021,72.97146,
FCR,2016,2016-05-16 12:00:00,1.397,16.6014,1.0704,1.903,26.893412,7.0848,72.70897,
FCR,2016,2016-05-16 12:00:00,1.4,16.6003,1.075,1.8823,26.92445,7.05663,72.41822,
FCR,2016,2016-05-16 12:00:00,1.404,16.5992,1.0845,1.8518,26.981545,7.03254,72.16937,
FCR,2016,2016-05-16 12:00:00,1.406,16.5978,1.0968,1.8147,27.01981,7.01165,71.95289,
FCR,2016,2016-05-16 12:00:00,1.407,16.5963,1.1061,1.7943,27.025402,6.97969,71.62261,
FCR,2016,2016-05-16 12:00:00,1.407,16.5948,1.1128,1.8014,27.015843,6.95751,71.39278,
FCR,2016,2016-05-16 12:00:00,1.409,16.5935,1.1189,1.8343,27.004615,6.92876,71.09583,
FCR,2016,2016-05-16 12:00:00,1.413,16.5926,1.1237,1.8811,27.002749,6.90246,70.82457,
FCR,2016,2016-05-16 12:00:00,1.418,16.5919,1.1269,1.9224,27.001734,6.86512,70.44041,
FCR,2016,2016-05-16 12:00:00,1.423,16.5913,1.1312,1.9542,27.009314,6.84809,70.26486,
FCR,2016,2016-05-16 12:00:00,1.424,16.5904,1.1387,1.977,27.029514,6.82429,70.01931,
FCR,2016,2016-05-16 12:00:00,1.421,16.5892,1.1489,1.9878,27.027644,6.79841,69.75198,
FCR,2016,2016-05-16 12:00:00,1.42,16.5877,1.1608,1.9884,26.993186,6.78317,69.59339,
FCR,2016,2016-05-16 12:00:00,1.422,16.586,1.1709,1.981,26.951017,6.7534,69.28556,
FCR,2016,2016-05-16 12:00:00,1.423,16.5844,1.1758,1.9685,26.91594,6.73478,69.09214,
FCR,2016,2016-05-16 12:00:00,1.42,16.5828,1.1764,1.9565,26.884615,6.71507,68.88766,
FCR,2016,2016-05-16 12:00:00,1.413,16.5811,1.1735,1.9498,26.848688,6.69678,68.69754,
FCR,2016,2016-05-16 12:00:00,1.408,16.5796,1.1656,1.9468,26.808597,6.67801,68.50283,
FCR,2016,2016-05-16 12:00:00,1.408,16.5783,1.1523,1.9443,26.779701,6.66293,68.34628,
FCR,2016,2016-05-16 12:00:00,1.412,16.5772,1.1328,1.9428,26.776335,6.65855,68.29973,
FCR,2016,2016-05-16 12:00:00,1.413,16.5764,1.1102,1.9441,26.793596,6.65156,68.22687,
