Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,,COND_uScm,DO_mgL,PSAT
GWR,2016,2016-09-04 13:45:00,0.332,25.8786,20.6189,1093.4697,1.184,59.553777,6.03181,74.20215
GWR,2016,2016-09-04 13:45:00,0.34,25.8776,20.6249,1093.4724,1.181,59.742019,6.02768,74.14996
GWR,2016,2016-09-04 13:45:00,0.351,25.8646,20.6158,1093.4734,1.196,59.90228,6.01877,74.02296
GWR,2016,2016-09-04 13:45:00,0.356,25.8431,20.5985,1093.4775,1.223,59.954872,6.01804,73.98493
GWR,2016,2016-09-04 13:45:00,0.371,25.818,20.5842,1093.4869,1.263,59.887731,6.03311,74.13629
GWR,2016,2016-09-04 13:45:00,0.399,25.7931,20.5757,1093.4928,1.311,59.79334,6.05318,74.34917
GWR,2016,2016-09-04 13:45:00,0.417,25.771,20.5713,1093.4942,1.363,59.730824,6.07274,74.55939
GWR,2016,2016-09-04 13:45:00,0.421,25.7525,20.5719,1093.4963,1.416,59.68351,6.06885,74.48652
GWR,2016,2016-09-04 13:45:00,0.433,25.7373,20.5767,1093.5042,1.476,59.626739,6.04456,74.16784
GWR,2016,2016-09-04 13:45:00,0.46,25.7246,20.5854,1093.5165,1.549,59.561426,6.00392,73.65208
GWR,2016,2016-09-04 13:45:00,0.497,25.7139,20.6016,1093.5296,1.63,59.508284,5.96134,73.11546
GWR,2016,2016-09-04 13:45:00,0.528,25.7045,20.6257,1093.5287,1.712,59.479229,5.91692,72.55822
GWR,2016,2016-09-04 13:45:00,0.556,25.6963,20.6492,1093.5113,1.789,59.460493,5.87618,72.04791
GWR,2016,2016-09-04 13:45:00,0.579,25.6891,20.6658,1093.5049,1.857,59.43303,5.85319,71.75652
GWR,2016,2016-09-04 13:45:00,0.594,25.6824,20.6784,1093.5088,1.916,59.395536,5.86715,71.91891
GWR,2016,2016-09-04 13:45:00,0.61,25.676,20.6904,1093.5035,1.966,59.358081,5.90285,72.34804
GWR,2016,2016-09-04 13:45:00,0.621,25.6699,20.7017,1093.4898,2.008,59.326733,5.94164,72.81542
