Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
FCR,2015,2015-02-06 12:00:00,0,130,7.8,5.33,11.4,2.73,,,,,,,,
FCR,2015,2015-02-06 12:00:00,1.6,146,15.4,7.04,11.9,3.11,,,,,,,,
FCR,2015,2015-02-06 12:00:00,3.8,131,11.7,6.82,11.8,3.54,,,,,,,,
FCR,2015,2015-02-06 12:00:00,5,132,13.2,5.7,12.2,2.48,,,,,,,,
FCR,2015,2015-02-06 12:00:00,6.2,141,16.3,17,20.3,55.7,,,,,,,,*values for original run were extremely high; was rerun on 17DE15 and values were averaged
FCR,2015,2015-02-06 12:00:00,8,140,15,7.08,11.3,2.28,,,,,,,,
FCR,2015,2015-02-06 12:00:00,9,133,14.1,5.5,11.8,1.71,,,,,,,,
FCR,2015,2015-02-06 12:00:00,999,113,10,5.46,13.5,16.1,1.691,2.657,,,,,,
FCR,2015,2015-03-16 12:00:00,0,274,16.9,7.13,13.7,3.46,,,,,,,,
FCR,2015,2015-03-16 12:00:00,3.8,132,14.5,7.06,21.6,4.38,,,,,,,,
FCR,2015,2015-03-16 12:00:00,5,129,12.5,5.23,13,2.66,,,,,,,,
FCR,2015,2015-03-16 12:00:00,6.2,127,15.8,3.45,12.3,3.48,,,,,,,,
FCR,2015,2015-03-16 12:00:00,8,161,13.7,5.46,45.7,8.64,,,,,,,,"*again, NH4 value seems high but have no known reason to eliminate"
FCR,2015,2015-03-16 12:00:00,9,198,14.9,3.22,85.1,9.93,,,,,,,,
FCR,2015,2015-03-16 12:00:00,999,133,9.14,5.99,16.5,25.2,1.757,2.341,,,,,,
FCR,2015,2015-03-31 12:00:00,0.1,170,18.4,,,,,,,,,250.6090112,1.847504511,
FCR,2015,2015-03-31 12:00:00,1.6,138,16,7.35,15.4,3.24,2.088,2.604,,,,270.4640996,1.900289605,
FCR,2015,2015-03-31 12:00:00,3.8,138,14,7.24,13.1,5.34,2.052,2.792,,,,430.2777127,1.978913704,
FCR,2015,2015-03-31 12:00:00,5,141,14.9,,,,1.925,2.751,,,,478.7467169,1.857860281,
FCR,2015,2015-03-31 12:00:00,6.2,130,14.4,,,,1.939,2.766,,,,497.2180187,1.660261936,
FCR,2015,2015-03-31 12:00:00,8,126,13.5,4.39,13.5,8.88,4.12,2.466,,,,1262.562929,0.653459334,
FCR,2015,2015-03-31 12:00:00,9,118,14.2,4.38,13.1,5.47,1.856,3.03,,,,1239.864164,0.905277933,
