Lake,Site,Date,Depth,DOC
FCR,Dam,21-Apr-14,0.1,1.94
FCR,Dam,21-Apr-14,9.0,2.10
FCR,Inflow,21-Apr-14,100.0,1.46
FCR,Dam,28-Apr-14,0.1,2.31
FCR,Dam,28-Apr-14,9.0,1.94
FCR,Inflow,28-Apr-14,100.0,3.44
FCR,Dam,5-May-14,0.1,1.87
FCR,Dam,5-May-14,5.0,1.78
FCR,Dam,5-May-14,9.0,1.76
FCR,Inflow,5-May-14,100.0,1.99
FCR,Dam,12-May-14,0.1,1.87
FCR,Dam,12-May-14,9.0,1.84
FCR,Inflow,12-May-14,100.0,1.99
FCR,Dam,19-May-14,0.1,1.98
FCR,Dam,19-May-14,5.0,1.81
FCR,Dam,19-May-14,9.0,1.81
FCR,Inflow,19-May-14,100.0,1.90
FCR,Dam,26-May-14,0.1,1.93
FCR,Dam,26-May-14,5.0,2.12
FCR,Dam,26-May-14,9.0,2.04
FCR,Inflow,26-May-14,100.0,1.88
FCR,Dam,2-Jun-14,0.1,1.94
FCR,Dam,2-Jun-14,9.0,2.01
FCR,Inflow,2-Jun-14,100.0,2.09
FCR,Dam,9-Jun-14,0.1,1.89
FCR,Dam,9-Jun-14,5.0,2.30
FCR,Dam,9-Jun-14,9.0,2.15
FCR,Inflow,9-Jun-14,100.0,1.86
FCR,Dam,16-Jun-14,0.1,2.22
FCR,Dam,16-Jun-14,9.0,1.85
FCR,Inflow,16-Jun-14,100.0,1.89
FCR,Dam,23-Jun-14,0.1,2.05
FCR,Dam,23-Jun-14,9.0,2.13
FCR,Inflow,23-Jun-14,100.0,1.81
FCR,Dam,29-Jun-14,0.1,2.26
FCR,Dam,29-Jun-14,5.0,1.83
FCR,Dam,29-Jun-14,9.0,2.87
FCR,Inflow,29-Jun-14,100.0,2.14
FCR,Dam,30-Jun-14,0.1,2.05
FCR,Dam,30-Jun-14,5.0,1.92
FCR,Dam,30-Jun-14,9.0,1.87
FCR,Inflow,30-Jun-14,100.0,1.89
FCR,Dam,7-Jul-14,0.1,1.83
FCR,Dam,7-Jul-14,5.0,1.91
FCR,Dam,7-Jul-14,9.0,1.98
FCR,Inflow,7-Jul-14,100.0,1.98
FCR,Dam,14-Jul-14,0.1,2.43
FCR,Dam,14-Jul-14,5.0,2.04
FCR,Dam,14-Jul-14,9.0,1.98
FCR,Inflow,14-Jul-14,100.0,2.14
FCR,Dam,21-Jul-14,0.1,2.28
FCR,Dam,21-Jul-14,5.0,4.13
FCR,Dam,21-Jul-14,9.0,1.92
FCR,Inflow,21-Jul-14,100.0,2.26
FCR,Dam,28-Jul-14,0.1,2.40
FCR,Dam,28-Jul-14,5.0,1.71
FCR,Dam,28-Jul-14,9.0,1.97
FCR,Inflow,28-Jul-14,100.0,2.07
FCR,Dam,4-Aug-14,0.1,2.15
FCR,Dam,4-Aug-14,5.0,1.79
FCR,Dam,4-Aug-14,9.0,2.22
FCR,Inflow,4-Aug-14,100.0,2.06
FCR,Dam,11-Aug-14,0.1,2.16
FCR,Dam,11-Aug-14,5.0,1.57
FCR,Dam,11-Aug-14,9.0,2.82
FCR,Inflow,11-Aug-14,100.0,2.31
FCR,Dam,18-Aug-14,0.1,2.42
FCR,Dam,18-Aug-14,5.0,2.02
FCR,Dam,18-Aug-14,9.0,2.86
FCR,Inflow,18-Aug-14,100.0,2.07
FCR,Dam,25-Aug-14,0.1,2.38
FCR,Dam,25-Aug-14,5.0,1.58
FCR,Dam,25-Aug-14,9.0,1.87
FCR,Inflow,25-Aug-14,100.0,2.09
FCR,Dam,3-Sep-14,0.1,2.13
FCR,Dam,3-Sep-14,5.0,2.00
FCR,Dam,3-Sep-14,9.0,1.90
FCR,Inflow,3-Sep-14,100.0,1.79
FCR,Dam,8-Sep-14,0.1,2.60
FCR,Dam,8-Sep-14,5.0,1.93
FCR,Dam,8-Sep-14,9.0,1.93
FCR,Inflow,8-Sep-14,100.0,2.18
FCR,Dam,15-Sep-14,0.1,2.63
FCR,Dam,15-Sep-14,5.0,1.55
FCR,Dam,15-Sep-14,9.0,2.13
FCR,Inflow,15-Sep-14,100.0,2.03
FCR,Dam,22-Sep-14,0.1,2.21
FCR,Dam,22-Sep-14,5.0,1.77
FCR,Dam,22-Sep-14,9.0,1.66
FCR,Inflow,22-Sep-14,100.0,1.87
FCR,Dam,29-Sep-14,0.1,2.39
FCR,Dam,29-Sep-14,5.0,2.44
FCR,Dam,29-Sep-14,9.0,2.12
FCR,Inflow,29-Sep-14,100.0,1.66
FCR,Dam,6-Oct-14,0.1,2.62
FCR,Dam,6-Oct-14,5.0,2.26
FCR,Dam,6-Oct-14,9.0,1.50
FCR,Inflow,6-Oct-14,100.0,1.76
FCR,Dam,15-Oct-14,0.1,2.66
FCR,Dam,15-Oct-14,5.0,2.47
FCR,Dam,15-Oct-14,9.0,2.06
FCR,Inflow,15-Oct-14,100.0,3.28
FCR,Dam,23-Oct-14,0.1,2.12
FCR,Dam,23-Oct-14,5.0,2.33
FCR,Dam,23-Oct-14,9.0,2.16
FCR,Inflow,23-Oct-14,100.0,1.67
FCR,Dam,10-Nov-14,0.1,2.40
FCR,Dam,10-Nov-14,5.0,2.31
FCR,Dam,10-Nov-14,9.0,3.42
FCR,Inflow,10-Nov-14,100.0,3.26
