Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
GWR,2015,2015-05-09 12:00:00,0,152,7.8,1.21,5.48,7.32,3.658,3.191,,,,,,
GWR,2015,2015-05-09 12:00:00,5,226,10.4,2.45,8.07,48.1,3.436,3.119,,,,,,
GWR,2015,2015-05-09 12:00:00,9,218,7.08,,,,,,,,,,,
GWR,2015,2015-05-09 12:00:00,13,317,8.94,3.91,146,56.6,2.73,3.725,,,,,,
GWR,2015,2015-05-20 12:00:00,0,174,7.19,2.62,5.46,4.81,3.58,3.399,,,,,,
GWR,2015,2015-05-20 12:00:00,5,245,12.1,0.996,5.28,6.7,3.609,2.805,,,,,,
GWR,2015,2015-05-20 12:00:00,9,208,7.17,1.29,30.2,76,3.185,3.484,,,,,,
GWR,2015,2015-05-20 12:00:00,13,292,8.37,1.19,88.4,71.1,3.008,3.448,,,,,,
GWR,2015,2015-05-30 12:00:00,0,212,8,3.6,4.25,5.85,3.729,3.432,,,,,,
GWR,2015,2015-05-30 12:00:00,5,219,10,3.825,7.6,4.785,3.386,3.396,,,,,,*this sample had multiple runs and values were averaged
GWR,2015,2015-05-30 12:00:00,9,196,5.34,2.05,5.93,61.1,,,,,,,,
GWR,2015,2015-05-30 12:00:00,13,274,8.34,1.12,107,66.1,2.915,3.757,,,,,,
GWR,2015,2015-06-10 12:00:00,0,200,5.11,1.7,4.63,4.6,3.66,3.398,,,,,,
GWR,2015,2015-06-10 12:00:00,5,211,8.64,1.84,10.5,3.75,3.246,3.592,,,,,,*was rerun on 17DE15 and values were averaged except for SRP because original was negative
GWR,2015,2015-06-10 12:00:00,9,190,6.29,1.83,6.38,61.1,3.23,3.462,,,,,,
GWR,2015,2015-06-10 12:00:00,13,263,8.62,3.01,94.3,52,2.985,3.926,,,,,,
GWR,2015,2015-06-22 12:00:00,0,169,4.88,,,,3.687,3.729,,,,,,
GWR,2015,2015-06-22 12:00:00,5,214,11.5,,,,3.6,3.644,,,,,,
GWR,2015,2015-06-22 12:00:00,9,186,5.9,,,,3.188,3.608,,,,,,
GWR,2015,2015-06-22 12:00:00,13,175,9.58,,,,3.025,4.394,,,,,,
GWR,2015,2015-07-06 12:00:00,0,192,9.53,,,,3.633,4.279,,,,,,
GWR,2015,2015-07-06 12:00:00,5,210,10.7,,,,3.545,4.209,,,,,,
GWR,2015,2015-07-06 12:00:00,9,150,6.94,,,,3.074,3.685,,,,,,
GWR,2015,2015-07-06 12:00:00,13,204,12.6,,,,3.103,5,,,,,,
GWR,2015,2015-07-20 12:00:00,0,174,4.3,4,4.22,3.52,3.783,4.049,,,,,,
GWR,2015,2015-07-20 12:00:00,5,195,9.07,1.21,1.54,2.09,3.603,4.955,,,,,,*was rerun on 17DE15 and values were averaged except for SRP because original was negative
GWR,2015,2015-07-20 12:00:00,9,104,4.91,1.7,2.87,2.28,2.905,3.507,,,,,,*was rerun on 17DE15 and values were averaged except for NH4 because rerun was negative
GWR,2015,2015-07-20 12:00:00,13,183,7.67,5.44,88.8,3.43,3.117,5.073,,,,,,
GWR,2015,2015-08-03 12:00:00,0,202.6092113,6.98,5.83,2.09,3.03,3.774,4.612,,,,,,
GWR,2015,2015-08-03 12:00:00,5,206,10.2,3.12,1.91,1.3,3.458,4.888,,,,,,*was rerun on 17DE15 and values were averaged
GWR,2015,2015-08-03 12:00:00,9,136.1728269,7.04,4.78,5.28,2.71,2.979,4.234,,,,,,
GWR,2015,2015-08-03 12:00:00,13,99.1,6.64,3.8,6.73,2.56,3.144,4.923,,,,,,
GWR,2015,2015-08-15 12:00:00,0,184.305744,3.67,3.42,1.83,2.65,3.617,4.996,,,,,,*was rerun on 17DE15; all positive values averaged; NO3-NO2 kept because only had one positive value
GWR,2015,2015-08-15 12:00:00,5,170.280275,7.67,1.34,1.93,2.16,3.527,5.408,,,,,,
GWR,2015,2015-08-15 12:00:00,9,161.1934321,10.5,2.74,2.83,1.63,2.914,4.336,,,,,,
GWR,2015,2015-08-15 12:00:00,13,107.2716917,3.75,5.51,10,2.61,3.197,4.99,,,,,,
GWR,2015,2015-08-30 12:00:00,0,192.4785312,4.48,4.12,3.77,1.9,3.667,4.899,,,,,,*was rerun on 17DE15 and values were averaged
GWR,2015,2015-08-30 12:00:00,5,,,2.02,0.963,1.7,3.652,5.332,,,,,,*was rerun on 17DE15 and values were averaged
GWR,2015,2015-08-30 12:00:00,9,233.4178285,19.1,1.86,1.67,0.916,2.91,4.414,,,,,,*was rerun on 17DE15 and values were averaged except for NH4 because rerun was negative
GWR,2015,2015-08-30 12:00:00,13,,,4.14,20.7,2.32,3.241,5.517,,,,,,
GWR,2015,2015-09-17 12:00:00,0,219.5509636,8.47,4.54,0.884,1.41,3.676,5.172,,,,,,
GWR,2015,2015-09-17 12:00:00,5,,,,,,,,,,,,,
GWR,2015,2015-09-17 12:00:00,9,279,16,3.22,5.4,2.54,3.037,4.8,,,,,,*depth readings at 8 and 9 meters were all assigned a value of 9
GWR,2015,2015-09-17 12:00:00,13,268.5109845,10.7,4.56,91.6,0.316,2.999,5.296,,,,,,*depth readings from 12-14 meters were all assigned a value of 13; was rerun on 17DE15 and values were averaged except for NO3-NO2 because original was negative
,,,,,,,,,,,,,,,,*depths 5 & 6 were assigned a depth of 5; depths 8 & 9 were assigned a depth of 9; depths 12-14 were assigned a value of 13
