Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,1900-01-01 00:00:59,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,21309003,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,FCR_inf_060916,,,,,,,,
# Records,3372,,,,,,,,
Sensor File,7/14/2016 12:19,FCR_inf_15min_071416.a4d,,,,,,,
,,,,,,,,,
Barometric File,7/14/2016 13:08,FCRBV_071416.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,1900-01-01 00:05:03,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,21204020,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCRBV_060916,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,11.42,18.75,,,,,,
,Maximum,17.96,24.69,,,,,,
,Mean,12.41,22.29,,,,,,
,Variance,0.293,1.103,,,,,,
,Std Deviation,0.541,1.05,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,6/9/2016,7.97,18.75,397.12,2016-06-09 10:00:00,,,,
2,6/9/2016,7.91,18.81,397.06,2016-06-09 10:00:00,,,,
3,6/9/2016,7.91,18.94,397.06,2016-06-09 10:00:00,,,,
4,6/9/2016,7.88,19,397.01,2016-06-09 10:15:00,,,,
5,6/9/2016,8,19.06,397.12,2016-06-09 10:30:00,,,,
6,6/9/2016,7.98,19.13,397.12,2016-06-09 10:45:00,,,,
7,6/9/2016,8.08,19.25,397.17,2016-06-09 11:00:00,,,,
8,6/9/2016,7.94,19.31,397.06,2016-06-09 11:15:00,,,,
9,6/9/2016,7.94,19.44,397.09,2016-06-09 11:30:00,,,,
10,6/9/2016,8,19.5,397.12,2016-06-09 11:45:00,,,,
11,6/9/2016,7.85,19.63,396.89,2016-06-09 12:00:00,,,,
12,6/9/2016,7.9,19.75,396.92,2016-06-09 12:15:00,,,,
13,6/9/2016,7.9,19.88,396.84,2016-06-09 12:30:00,,,,
14,6/9/2016,8.03,19.94,396.95,2016-06-09 12:45:00,,,,
15,6/9/2016,8,20.06,396.84,2016-06-09 13:00:00,,,,
16,6/9/2016,7.86,20.19,396.67,2016-06-09 13:15:00,,,,
17,6/9/2016,7.82,20.25,396.56,2016-06-09 13:30:00,,,,
18,6/9/2016,7.94,20.38,396.61,2016-06-09 13:45:00,,,,
19,6/9/2016,7.84,20.44,396.47,2016-06-09 14:00:00,,,,
20,6/9/2016,7.8,20.56,396.42,2016-06-09 14:15:00,,,,
21,6/9/2016,7.78,20.63,396.36,2016-06-09 14:30:00,,,,
22,6/9/2016,7.99,20.69,396.42,2016-06-09 14:45:00,,,,
23,6/9/2016,7.81,20.69,396.25,2016-06-09 15:00:00,,,,
24,6/9/2016,7.9,20.75,396.33,2016-06-09 15:15:00,,,,
25,6/9/2016,7.86,20.69,396.25,2016-06-09 15:30:00,,,,
26,6/9/2016,7.96,20.69,396.28,2016-06-09 15:45:00,,,,
27,6/9/2016,7.85,20.69,396.11,2016-06-09 16:00:00,,,,
28,6/9/2016,7.92,20.69,396.19,2016-06-09 16:15:00,,,,
29,6/9/2016,7.92,20.63,396.14,2016-06-09 16:30:00,,,,
30,6/9/2016,7.86,20.63,396.08,2016-06-09 16:45:00,,,,
31,6/9/2016,7.85,20.56,396.03,2016-06-09 17:00:00,,,,
32,6/9/2016,7.83,20.56,396,2016-06-09 17:15:00,,,,
33,6/9/2016,7.92,20.56,396.05,2016-06-09 17:30:00,,,,
34,6/9/2016,7.79,20.56,395.89,2016-06-09 17:45:00,,,,
35,6/9/2016,7.74,20.56,395.83,2016-06-09 18:00:00,,,,
36,6/9/2016,7.71,20.56,395.8,2016-06-09 18:15:00,,,,
37,6/9/2016,7.89,20.5,395.97,2016-06-09 18:30:00,,,,
38,6/9/2016,7.92,20.5,396.05,2016-06-09 18:45:00,,,,
39,6/9/2016,7.83,20.44,396.05,2016-06-09 19:00:00,,,,
40,6/9/2016,7.88,20.44,396.17,2016-06-09 19:15:00,,,,
41,6/9/2016,7.84,20.44,396.17,2016-06-09 19:30:00,,,,
42,6/9/2016,7.8,20.38,396.17,2016-06-09 19:45:00,,,,
43,6/9/2016,7.73,20.31,396.14,2016-06-09 20:00:00,,,,
44,6/9/2016,7.74,20.25,396.19,2016-06-09 20:15:00,,,,
45,6/9/2016,7.67,20.25,396.17,2016-06-09 20:30:00,,,,
46,6/9/2016,7.7,20.19,396.28,2016-06-09 20:45:00,,,,
47,6/9/2016,7.66,20.06,396.36,2016-06-09 21:00:00,,,,
48,6/9/2016,7.72,20,396.5,2016-06-09 21:15:00,,,,
49,6/9/2016,7.72,19.88,396.59,2016-06-09 21:30:00,,,,
50,6/9/2016,7.76,19.81,396.72,2016-06-09 21:45:00,,,,
51,6/9/2016,7.75,19.75,396.75,2016-06-09 22:00:00,,,,
52,6/9/2016,7.71,19.69,396.73,2016-06-09 22:15:00,,,,
53,6/9/2016,7.73,19.69,396.81,2016-06-09 22:30:00,,,,
54,6/9/2016,7.77,19.63,396.95,2016-06-09 22:45:00,,,,
55,6/9/2016,7.76,19.56,396.98,2016-06-09 23:00:00,,,,
56,6/9/2016,7.77,19.5,397.03,2016-06-09 23:15:00,,,,
57,6/9/2016,7.73,19.5,397,2016-06-09 23:30:00,,,,
58,6/9/2016,7.82,19.44,397.09,2016-06-09 23:45:00,,,,
59,6/10/2016,7.79,19.38,397.09,2016-06-10 00:00:00,,,,
60,6/10/2016,7.77,19.38,397.12,2016-06-10 00:15:00,,,,
61,6/10/2016,7.8,19.38,397.14,2016-06-10 00:30:00,,,,
62,6/10/2016,7.86,19.38,397.17,2016-06-10 00:45:00,,,,
63,6/10/2016,7.72,19.38,397.03,2016-06-10 01:00:00,,,,
64,6/10/2016,7.78,19.44,397.06,2016-06-10 01:15:00,,,,
65,6/10/2016,7.82,19.44,397.12,2016-06-10 01:30:00,,,,
66,6/10/2016,7.8,19.38,397.06,2016-06-10 01:45:00,,,,
67,6/10/2016,7.85,19.38,397.12,2016-06-10 02:00:00,,,,
68,6/10/2016,7.81,19.38,397.09,2016-06-10 02:15:00,,,,
69,6/10/2016,7.84,19.38,397.14,2016-06-10 02:30:00,,,,
70,6/10/2016,7.72,19.38,397.03,2016-06-10 02:45:00,,,,
71,6/10/2016,7.7,19.38,397.01,2016-06-10 03:00:00,,,,
72,6/10/2016,7.75,19.38,397.17,2016-06-10 03:15:00,,,,
73,6/10/2016,7.68,19.44,397.14,2016-06-10 03:30:00,,,,
74,6/10/2016,7.78,19.38,397.23,2016-06-10 03:45:00,,,,
75,6/10/2016,7.71,19.38,397.17,2016-06-10 04:00:00,,,,
76,6/10/2016,7.77,19.38,397.26,2016-06-10 04:15:00,,,,
77,6/10/2016,7.87,19.31,397.42,2016-06-10 04:30:00,,,,
78,6/10/2016,7.67,19.31,397.28,2016-06-10 04:45:00,,,,
79,6/10/2016,7.77,19.25,397.51,2016-06-10 05:00:00,,,,
80,6/10/2016,7.84,19.19,397.76,2016-06-10 05:15:00,,,,
81,6/10/2016,7.86,19.19,397.87,2016-06-10 05:30:00,,,,
82,6/10/2016,7.78,19.13,397.84,2016-06-10 05:45:00,,,,
83,6/10/2016,7.71,19.13,397.82,2016-06-10 06:00:00,,,,
84,6/10/2016,7.71,19.06,397.87,2016-06-10 06:15:00,,,,
85,6/10/2016,7.64,19.06,397.79,2016-06-10 06:30:00,,,,
86,6/10/2016,7.8,19.06,398.07,2016-06-10 06:45:00,,,,
87,6/10/2016,7.87,19.06,398.12,2016-06-10 07:00:00,,,,
88,6/10/2016,7.82,19.06,398.09,2016-06-10 07:15:00,,,,
89,6/10/2016,7.72,19.13,398.07,2016-06-10 07:30:00,,,,
90,6/10/2016,7.66,19.13,398.01,2016-06-10 07:45:00,,,,
91,6/10/2016,7.85,19.19,398.18,2016-06-10 08:00:00,,,,
92,6/10/2016,7.87,19.19,398.21,2016-06-10 08:15:00,,,,
93,6/10/2016,7.84,19.19,398.23,2016-06-10 08:30:00,,,,
94,6/10/2016,7.87,19.31,398.29,2016-06-10 08:45:00,,,,
95,6/10/2016,7.79,19.38,398.26,2016-06-10 09:00:00,,,,
96,6/10/2016,7.83,19.44,398.26,2016-06-10 09:15:00,,,,
97,6/10/2016,7.83,19.5,398.32,2016-06-10 09:30:00,,,,
98,6/10/2016,7.87,19.56,398.32,2016-06-10 09:45:00,,,,
99,6/10/2016,7.81,19.69,398.2,2016-06-10 10:00:00,,,,
100,6/10/2016,7.79,19.75,398.26,2016-06-10 10:15:00,,,,
101,6/10/2016,7.92,19.88,398.34,2016-06-10 10:30:00,,,,
102,6/10/2016,7.91,19.94,398.29,2016-06-10 10:45:00,,,,
103,6/10/2016,7.79,20,398.2,2016-06-10 11:00:00,,,,
104,6/10/2016,7.91,20.06,398.34,2016-06-10 11:15:00,,,,
105,6/10/2016,7.82,20.19,398.26,2016-06-10 11:30:00,,,,
106,6/10/2016,7.9,20.25,398.32,2016-06-10 11:45:00,,,,
107,6/10/2016,7.77,20.38,398.12,2016-06-10 12:00:00,,,,
108,6/10/2016,7.82,20.44,398.2,2016-06-10 12:15:00,,,,
109,6/10/2016,7.87,20.63,398.17,2016-06-10 12:30:00,,,,
110,6/10/2016,7.88,20.69,398.15,2016-06-10 12:45:00,,,,
111,6/10/2016,7.92,20.81,398.12,2016-06-10 13:00:00,,,,
112,6/10/2016,7.83,20.94,397.98,2016-06-10 13:15:00,,,,
113,6/10/2016,7.74,21.06,397.87,2016-06-10 13:30:00,,,,
114,6/10/2016,7.86,21.13,397.87,2016-06-10 13:45:00,,,,
115,6/10/2016,7.79,21.25,397.73,2016-06-10 14:00:00,,,,
116,6/10/2016,7.85,21.38,397.7,2016-06-10 14:15:00,,,,
117,6/10/2016,7.75,21.44,397.53,2016-06-10 14:30:00,,,,
118,6/10/2016,7.85,21.56,397.56,2016-06-10 14:45:00,,,,
119,6/10/2016,7.84,21.63,397.5,2016-06-10 15:00:00,,,,
120,6/10/2016,7.71,21.69,397.34,2016-06-10 15:15:00,,,,
121,6/10/2016,7.87,21.69,397.42,2016-06-10 15:30:00,,,,
122,6/10/2016,7.8,21.69,397.28,2016-06-10 15:45:00,,,,
123,6/10/2016,7.83,21.75,397.22,2016-06-10 16:00:00,,,,
124,6/10/2016,7.74,21.81,397.11,2016-06-10 16:15:00,,,,
125,6/10/2016,7.84,21.81,397.2,2016-06-10 16:30:00,,,,
126,6/10/2016,7.87,21.88,397.25,2016-06-10 16:45:00,,,,
127,6/10/2016,7.7,21.81,397.08,2016-06-10 17:00:00,,,,
128,6/10/2016,7.8,21.81,397.11,2016-06-10 17:15:00,,,,
129,6/10/2016,7.79,21.81,397.06,2016-06-10 17:30:00,,,,
130,6/10/2016,7.88,21.88,397.11,2016-06-10 17:45:00,,,,
131,6/10/2016,7.87,21.88,397.08,2016-06-10 18:00:00,,,,
132,6/10/2016,7.74,21.88,396.97,2016-06-10 18:15:00,,,,
133,6/10/2016,7.83,21.81,397.11,2016-06-10 18:30:00,,,,
134,6/10/2016,7.81,21.81,397.14,2016-06-10 18:45:00,,,,
135,6/10/2016,7.86,21.81,397.2,2016-06-10 19:00:00,,,,
136,6/10/2016,7.75,21.75,397.11,2016-06-10 19:15:00,,,,
137,6/10/2016,7.77,21.75,397.17,2016-06-10 19:30:00,,,,
138,6/10/2016,7.8,21.75,397.17,2016-06-10 19:45:00,,,,
139,6/10/2016,7.66,21.69,397.06,2016-06-10 20:00:00,,,,
140,6/10/2016,7.78,21.63,397.17,2016-06-10 20:15:00,,,,
141,6/10/2016,7.65,21.56,397.14,2016-06-10 20:30:00,,,,
142,6/10/2016,7.74,21.5,397.28,2016-06-10 20:45:00,,,,
143,6/10/2016,7.65,21.44,397.28,2016-06-10 21:00:00,,,,
144,6/10/2016,7.71,21.38,397.39,2016-06-10 21:15:00,,,,
145,6/10/2016,7.59,21.31,397.36,2016-06-10 21:30:00,,,,
146,6/10/2016,7.59,21.25,397.39,2016-06-10 21:45:00,,,,
147,6/10/2016,7.73,21.19,397.53,2016-06-10 22:00:00,,,,
148,6/10/2016,7.77,21.13,397.56,2016-06-10 22:15:00,,,,
149,6/10/2016,7.77,21.06,397.64,2016-06-10 22:30:00,,,,
150,6/10/2016,7.62,21.06,397.5,2016-06-10 22:45:00,,,,
151,6/10/2016,7.69,21,397.5,2016-06-10 23:00:00,,,,
152,6/10/2016,7.7,20.94,397.53,2016-06-10 23:15:00,,,,
153,6/10/2016,7.63,20.94,397.53,2016-06-10 23:30:00,,,,
154,6/10/2016,7.61,20.88,397.56,2016-06-10 23:45:00,,,,
155,6/11/2016,7.71,20.88,397.7,2016-06-11 00:00:00,,,,
156,6/11/2016,7.65,20.81,397.67,2016-06-11 00:15:00,,,,
157,6/11/2016,7.76,20.81,397.7,2016-06-11 00:30:00,,,,
158,6/11/2016,7.67,20.75,397.56,2016-06-11 00:45:00,,,,
159,6/11/2016,7.81,20.75,397.7,2016-06-11 01:00:00,,,,
160,6/11/2016,7.68,20.75,397.56,2016-06-11 01:15:00,,,,
161,6/11/2016,7.77,20.75,397.64,2016-06-11 01:30:00,,,,
162,6/11/2016,7.75,20.69,397.64,2016-06-11 01:45:00,,,,
163,6/11/2016,7.72,20.75,397.64,2016-06-11 02:00:00,,,,
164,6/11/2016,7.71,20.75,397.62,2016-06-11 02:15:00,,,,
165,6/11/2016,7.76,20.69,397.7,2016-06-11 02:30:00,,,,
166,6/11/2016,7.79,20.69,397.7,2016-06-11 02:45:00,,,,
167,6/11/2016,7.81,20.69,397.73,2016-06-11 03:00:00,,,,
168,6/11/2016,7.83,20.69,397.76,2016-06-11 03:15:00,,,,
169,6/11/2016,7.81,20.69,397.76,2016-06-11 03:30:00,,,,
170,6/11/2016,7.78,20.69,397.76,2016-06-11 03:45:00,,,,
171,6/11/2016,7.7,20.69,397.59,2016-06-11 04:00:00,,,,
172,6/11/2016,7.87,20.69,397.7,2016-06-11 04:15:00,,,,
173,6/11/2016,7.71,20.69,397.53,2016-06-11 04:30:00,,,,
174,6/11/2016,7.72,20.63,397.48,2016-06-11 04:45:00,,,,
175,6/11/2016,7.66,20.56,397.37,2016-06-11 05:00:00,,,,
176,6/11/2016,7.72,20.56,397.56,2016-06-11 05:15:00,,,,
177,6/11/2016,7.66,20.56,397.53,2016-06-11 05:30:00,,,,
178,6/11/2016,7.8,20.5,397.67,2016-06-11 05:45:00,,,,
179,6/11/2016,7.83,20.5,397.76,2016-06-11 06:00:00,,,,
180,6/11/2016,7.76,20.5,397.73,2016-06-11 06:15:00,,,,
181,6/11/2016,7.83,20.5,397.81,2016-06-11 06:30:00,,,,
182,6/11/2016,7.8,20.44,397.76,2016-06-11 06:45:00,,,,
183,6/11/2016,7.78,20.5,397.78,2016-06-11 07:00:00,,,,
184,6/11/2016,7.82,20.44,397.84,2016-06-11 07:15:00,,,,
185,6/11/2016,7.84,20.5,397.84,2016-06-11 07:30:00,,,,
186,6/11/2016,7.87,20.5,397.84,2016-06-11 07:45:00,,,,
187,6/11/2016,7.71,20.5,397.7,2016-06-11 08:00:00,,,,
188,6/11/2016,7.84,20.56,397.84,2016-06-11 08:15:00,,,,
189,6/11/2016,7.76,20.56,397.84,2016-06-11 08:30:00,,,,
190,6/11/2016,7.79,20.63,397.9,2016-06-11 08:45:00,,,,
191,6/11/2016,7.69,20.69,397.81,2016-06-11 09:00:00,,,,
192,6/11/2016,7.9,20.81,398.01,2016-06-11 09:15:00,,,,
193,6/11/2016,7.85,20.88,397.81,2016-06-11 09:30:00,,,,
194,6/11/2016,7.8,20.94,397.64,2016-06-11 09:45:00,,,,
195,6/11/2016,7.92,21.06,397.76,2016-06-11 10:00:00,,,,
196,6/11/2016,7.92,21.13,397.81,2016-06-11 10:15:00,,,,
197,6/11/2016,7.87,21.25,397.81,2016-06-11 10:30:00,,,,
198,6/11/2016,7.89,21.38,397.75,2016-06-11 10:45:00,,,,
199,6/11/2016,7.9,21.5,397.75,2016-06-11 11:00:00,,,,
200,6/11/2016,7.94,21.56,397.75,2016-06-11 11:15:00,,,,
201,6/11/2016,7.97,21.69,397.78,2016-06-11 11:30:00,,,,
202,6/11/2016,7.93,21.81,397.67,2016-06-11 11:45:00,,,,
203,6/11/2016,7.95,21.94,397.7,2016-06-11 12:00:00,,,,
