Reservoir,Year,Date,Depth,PAR,Notes,
CCR,2016,2016-05-13 13:00:00,NA,NA,did not write light profile in field book,
CCR,2016,2016-05-27 13:00:00,-0.1,2640,NA,
CCR,2016,2016-05-27 13:00:00,0.1,1520,NA,
CCR,2016,2016-05-27 13:00:00,1,1050,NA,
CCR,2016,2016-05-27 13:00:00,2,682.8,NA,
CCR,2016,2016-05-27 13:00:00,3,403.8,NA,
CCR,2016,2016-05-27 13:00:00,4,236.7,NA,
CCR,2016,2016-05-27 13:00:00,5,148.2,NA,
CCR,2016,2016-05-27 13:00:00,6,75.5,NA,
CCR,2016,2016-05-27 13:00:00,7,41.23,NA,
CCR,2016,2016-05-27 13:00:00,8,22.82,NA,
CCR,2016,2016-05-27 13:00:00,9,11.54,NA,
CCR,2016,2016-05-27 13:00:00,10,5.49,NA,
CCR,2016,2016-05-27 13:00:00,11,2.519,NA,
CCR,2016,2016-05-27 13:00:00,12,1.153,NA,
CCR,2016,2016-05-27 13:00:00,13,0.513,NA,
CCR,2016,2016-05-27 13:00:00,14,0.216,NA,
CCR,2016,2016-05-27 13:00:00,15,0.1003,NA,
CCR,2016,2016-05-27 13:00:00,16,0.0493,NA,
CCR,2016,2016-05-27 13:00:00,17,0.0221,NA,
CCR,2016,2016-05-27 13:00:00,18,0.008,NA,
CCR,2016,2016-05-27 20:30:00,-0.1,5.716,NA,
CCR,2016,2016-05-27 20:30:00,0.1,4.345,NA,
CCR,2016,2016-05-27 20:30:00,1,2.507,NA,
CCR,2016,2016-05-27 20:30:00,2,1.524,NA,
CCR,2016,2016-05-27 20:30:00,3,0.8147,NA,
CCR,2016,2016-05-27 20:30:00,4,0.4898,NA,
CCR,2016,2016-05-27 20:30:00,5,0.2245,NA,
CCR,2016,2016-05-27 20:30:00,6,0.1122,NA,
CCR,2016,2016-05-27 20:30:00,7,0.3742,NA,
CCR,2016,2016-05-27 20:30:00,8,0.03231,NA,
CCR,2016,2016-05-27 20:30:00,9,0.01361,NA,
CCR,2016,2016-05-27 20:30:00,10,0.006803,NA,
CCR,2016,2016-05-27 20:30:00,11,0,NA,
CCR,2016,2016-05-27 20:30:00,12,0,NA,
CCR,2016,2016-05-27 20:30:00,13,0,NA,
CCR,2016,2016-05-27 20:30:00,14,0,NA,
CCR,2016,2016-05-27 20:30:00,15,0,NA,
CCR,2016,2016-05-27 20:30:00,16,0,NA,
CCR,2016,2016-05-27 20:30:00,17,0,NA,
CCR,2016,2016-05-27 20:30:00,18,0,NA,
CCR,2016,2016-05-28 00:30:00,-0.1,0,NA,
CCR,2016,2016-05-28 00:30:00,0.1,0,NA,
CCR,2016,2016-05-28 00:30:00,1,0,NA,
CCR,2016,2016-05-28 00:30:00,2,0,NA,
CCR,2016,2016-05-28 00:30:00,3,0,NA,
CCR,2016,2016-05-28 00:30:00,4,0,NA,
