Reservoir,Year,Date,Secchi_m,Notes
BVR,2016,2016-04-05 12:00:00,2.21,
BVR,2016,2016-04-20 12:00:00,2.49,
BVR,2016,2016-04-23 12:00:00,1.74,
BVR,2016,2016-05-04 12:00:00,3.08,
BVR,2016,2016-05-12 12:00:00,4.04,
BVR,2016,2016-05-19 12:00:00,3.25,
BVR,2016,2016-05-26 12:00:00,3.45,
BVR,2016,2016-05-29 12:00:00,2.76,
BVR,2016,2016-05-31 12:00:00,3.02,
BVR,2016,2016-06-02 12:00:00,4.2,
BVR,2016,2016-06-08 12:00:00,3.9,
BVR,2016,2016-06-16 12:00:00,3.3,
BVR,2016,2016-06-23 12:00:00,3.9,
BVR,2016,2016-06-26 12:00:00,2.785,
BVR,2016,2016-06-28 12:00:00,3.5,
BVR,2016,2016-06-30 12:00:00,3.06,
BVR,2016,2016-07-07 12:00:00,3.08,
BVR,2016,2016-07-14 12:00:00,3.1,
BVR,2016,2016-07-21 12:00:00,2.7,
BVR,2016,2016-07-24 12:00:00,2.3,
BVR,2016,2016-07-28 12:00:00,2.47,
BVR,2016,2016-08-04 12:00:00,1.79,
BVR,2016,2016-08-11 12:00:00,1.9,
BVR,2016,2016-08-18 12:00:00,2.65,
BVR,2016,2016-08-23 12:00:00,2.87,
BVR,2016,2016-09-06 12:00:00,2.13,
BVR,2016,2016-09-27 12:00:00,2.215,
BVR,2016,2016-10-11 12:00:00,2.3,
BVR,2016,2016-10-25 12:00:00,2.24,
