Reservoir,Year,Date,Depth,Secchi,Notes
CCR,2014,2014-04-20 13:00:00,NA,2.5,
CCR,2014,2014-05-02 11:00:00,NA,2.5,
CCR,2014,2014-05-08 09:30:00,NA,3.3,
CCR,2014,2014-05-15 09:15:00,NA,2.4,
CCR,2014,2014-05-27 11:00:00,NA,3.8,
CCR,2014,2014-06-04 09:15:00,NA,4.3,
CCR,2014,2014-06-12 09:30:00,NA,4.3,
CCR,2014,2014-06-26 09:45:00,NA,4.5,
CCR,2014,2014-07-03 09:00:00,NA,4.3,
CCR,2014,2014-07-10 10:00:00,NA,NA,
CCR,2014,2014-07-24 10:30:00,NA,5,
CCR,2014,2014-08-07 13:30:00,NA,4.5,
CCR,2014,2014-08-21 09:30:00,NA,3.1,
CCR,2014,2014-09-05 09:30:00,NA,5.2,
CCR,2014,2014-09-19 14:00:00,NA,3.5,
CCR,2014,2014-10-03 15:30:00,NA,3.6,
CCR,2014,2014-10-24 14:00:00,NA,3,
