Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,1900-01-01 00:00:59,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,21309003,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,FCR_inf_15min,,,,,,,,
# Records,5857,,,,,,,,
Sensor File,10/4/2014 11:16,FCR_inf_15min_100414.a4d,,,,,,,
,,,,,,,,,
Barometric File,10/4/2014 11:40,FCRBV_100414.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,1900-01-01 00:05:03,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,21204020,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCRBV,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,7,15.75,,,,,,
,Maximum,13.21,25,,,,,,
,Mean,8.74,21,,,,,,
,Variance,1.434,4.743,,,,,,
,Std Deviation,1.198,2.178,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,8/4/2014 11:00,9.99,22.13,396.19,2014-08-04 11:00:00,,,,
2,8/4/2014 11:15,10.06,22.25,396.22,2014-08-04 11:15:00,,,,
3,8/4/2014 11:30,9.96,22.31,396.13,2014-08-04 11:30:00,,,,
4,8/4/2014 11:45,9.99,22.38,396.13,2014-08-04 11:45:00,,,,
5,8/4/2014 12:00,9.99,22.44,396.08,2014-08-04 12:00:00,,,,
6,8/4/2014 12:15,9.98,22.56,396.02,2014-08-04 12:15:00,,,,
7,8/4/2014 12:30,9.88,22.69,395.88,2014-08-04 12:30:00,,,,
8,8/4/2014 12:45,10.01,22.69,396.02,2014-08-04 12:45:00,,,,
9,8/4/2014 13:00,9.97,22.75,395.94,2014-08-04 13:00:00,,,,
10,8/4/2014 13:15,10.02,22.88,395.94,2014-08-04 13:15:00,,,,
11,8/4/2014 13:30,9.98,22.94,395.85,2014-08-04 13:30:00,,,,
12,8/4/2014 13:45,9.96,22.94,395.83,2014-08-04 13:45:00,,,,
13,8/4/2014 14:00,10.04,23.06,395.83,2014-08-04 14:00:00,,,,
14,8/4/2014 14:15,9.98,23.13,395.69,2014-08-04 14:15:00,,,,
15,8/4/2014 14:30,10.01,23.25,395.66,2014-08-04 14:30:00,,,,
16,8/4/2014 14:45,10.01,23.38,395.63,2014-08-04 14:45:00,,,,
17,8/4/2014 15:00,10.08,23.44,395.66,2014-08-04 15:00:00,,,,
18,8/4/2014 15:15,10.08,23.44,395.58,2014-08-04 15:15:00,,,,
19,8/4/2014 15:30,10.05,23.56,395.49,2014-08-04 15:30:00,,,,
20,8/4/2014 15:45,10.04,23.63,395.44,2014-08-04 15:45:00,,,,
21,8/4/2014 16:00,9.98,23.63,395.35,2014-08-04 16:00:00,,,,
22,8/4/2014 16:15,9.98,23.69,395.38,2014-08-04 16:15:00,,,,
23,8/4/2014 16:30,10.06,23.69,395.44,2014-08-04 16:30:00,,,,
24,8/4/2014 16:45,9.99,23.75,395.35,2014-08-04 16:45:00,,,,
25,8/4/2014 17:00,9.96,23.75,395.32,2014-08-04 17:00:00,,,,
26,8/4/2014 17:15,9.93,23.75,395.3,2014-08-04 17:15:00,,,,
27,8/4/2014 17:30,9.98,23.75,395.35,2014-08-04 17:30:00,,,,
28,8/4/2014 17:45,10.02,23.75,395.38,2014-08-04 17:45:00,,,,
29,8/4/2014 18:00,9.97,23.75,395.3,2014-08-04 18:00:00,,,,
30,8/4/2014 18:15,9.99,23.75,395.32,2014-08-04 18:15:00,,,,
31,8/4/2014 18:30,9.94,23.75,395.24,2014-08-04 18:30:00,,,,
32,8/4/2014 18:45,9.91,23.75,395.21,2014-08-04 18:45:00,,,,
33,8/4/2014 19:00,9.93,23.81,395.24,2014-08-04 19:00:00,,,,
34,8/4/2014 19:15,9.93,23.81,395.24,2014-08-04 19:15:00,,,,
35,8/4/2014 19:30,9.89,23.81,395.21,2014-08-04 19:30:00,,,,
36,8/4/2014 19:45,9.99,23.75,395.27,2014-08-04 19:45:00,,,,
37,8/4/2014 20:00,9.93,23.69,395.21,2014-08-04 20:00:00,,,,
38,8/4/2014 20:15,9.9,23.69,395.24,2014-08-04 20:15:00,,,,
39,8/4/2014 20:30,9.89,23.63,395.32,2014-08-04 20:30:00,,,,
40,8/4/2014 20:45,9.95,23.56,395.46,2014-08-04 20:45:00,,,,
41,8/4/2014 21:00,9.93,23.56,395.46,2014-08-04 21:00:00,,,,
42,8/4/2014 21:15,9.81,23.5,395.41,2014-08-04 21:15:00,,,,
43,8/4/2014 21:30,9.92,23.44,395.63,2014-08-04 21:30:00,,,,
44,8/4/2014 21:45,9.92,23.44,395.74,2014-08-04 21:45:00,,,,
45,8/4/2014 22:00,9.95,23.38,395.8,2014-08-04 22:00:00,,,,
46,8/4/2014 22:15,9.92,23.38,395.8,2014-08-04 22:15:00,,,,
47,8/4/2014 22:30,9.85,23.31,395.8,2014-08-04 22:30:00,,,,
48,8/4/2014 22:45,9.96,23.31,395.91,2014-08-04 22:45:00,,,,
49,8/4/2014 23:00,9.91,23.25,395.85,2014-08-04 23:00:00,,,,
50,8/4/2014 23:15,9.92,23.25,395.8,2014-08-04 23:15:00,,,,
51,8/4/2014 23:30,9.92,23.19,395.74,2014-08-04 23:30:00,,,,
52,8/4/2014 23:45,9.92,23.19,395.74,2014-08-04 23:45:00,,,,
53,8/5/2014 0:00,9.95,23.19,395.77,2014-08-05 00:00:00,,,,
54,8/5/2014 0:15,9.91,23.13,395.72,2014-08-05 00:15:00,,,,
55,8/5/2014 0:30,9.85,23.06,395.6,2014-08-05 00:30:00,,,,
56,8/5/2014 0:45,9.95,23.13,395.66,2014-08-05 00:45:00,,,,
57,8/5/2014 1:00,9.91,23.06,395.63,2014-08-05 01:00:00,,,,
58,8/5/2014 1:15,9.95,23.06,395.66,2014-08-05 01:15:00,,,,
59,8/5/2014 1:30,9.95,23,395.63,2014-08-05 01:30:00,,,,
60,8/5/2014 1:45,9.83,22.94,395.44,2014-08-05 01:45:00,,,,
61,8/5/2014 2:00,9.9,22.94,395.46,2014-08-05 02:00:00,,,,
62,8/5/2014 2:15,9.93,22.94,395.49,2014-08-05 02:15:00,,,,
63,8/5/2014 2:30,9.93,22.88,395.49,2014-08-05 02:30:00,,,,
64,8/5/2014 2:45,9.97,22.88,395.49,2014-08-05 02:45:00,,,,
65,8/5/2014 3:00,9.9,22.81,395.38,2014-08-05 03:00:00,,,,
66,8/5/2014 3:15,9.89,22.75,395.32,2014-08-05 03:15:00,,,,
67,8/5/2014 3:30,9.93,22.75,395.35,2014-08-05 03:30:00,,,,
68,8/5/2014 3:45,9.94,22.69,395.35,2014-08-05 03:45:00,,,,
69,8/5/2014 4:00,9.97,22.69,395.35,2014-08-05 04:00:00,,,,
70,8/5/2014 4:15,9.87,22.63,395.24,2014-08-05 04:15:00,,,,
71,8/5/2014 4:30,9.83,22.63,395.21,2014-08-05 04:30:00,,,,
72,8/5/2014 4:45,9.96,22.63,395.32,2014-08-05 04:45:00,,,,
73,8/5/2014 5:00,9.96,22.63,395.32,2014-08-05 05:00:00,,,,
74,8/5/2014 5:15,9.96,22.56,395.3,2014-08-05 05:15:00,,,,
75,8/5/2014 5:30,9.99,22.56,395.32,2014-08-05 05:30:00,,,,
76,8/5/2014 5:45,9.99,22.56,395.32,2014-08-05 05:45:00,,,,
77,8/5/2014 6:00,9.9,22.56,395.3,2014-08-05 06:00:00,,,,
78,8/5/2014 6:15,10,22.5,395.46,2014-08-05 06:15:00,,,,
79,8/5/2014 6:30,9.88,22.5,395.41,2014-08-05 06:30:00,,,,
80,8/5/2014 6:45,9.9,22.5,395.44,2014-08-05 06:45:00,,,,
81,8/5/2014 7:00,9.89,22.44,395.46,2014-08-05 07:00:00,,,,
82,8/5/2014 7:15,9.9,22.44,395.46,2014-08-05 07:15:00,,,,
83,8/5/2014 7:30,9.9,22.44,395.52,2014-08-05 07:30:00,,,,
84,8/5/2014 7:45,9.91,22.44,395.58,2014-08-05 07:45:00,,,,
85,8/5/2014 8:00,9.88,22.5,395.6,2014-08-05 08:00:00,,,,
86,8/5/2014 8:15,9.97,22.5,395.72,2014-08-05 08:15:00,,,,
87,8/5/2014 8:30,9.91,22.56,395.66,2014-08-05 08:30:00,,,,
88,8/5/2014 8:45,9.95,22.56,395.69,2014-08-05 08:45:00,,,,
89,8/5/2014 9:00,9.95,22.63,395.66,2014-08-05 09:00:00,,,,
90,8/5/2014 9:15,9.96,22.69,395.63,2014-08-05 09:15:00,,,,
91,8/5/2014 9:30,9.85,22.75,395.52,2014-08-05 09:30:00,,,,
92,8/5/2014 9:45,9.98,22.75,395.63,2014-08-05 09:45:00,,,,
93,8/5/2014 10:00,9.98,22.81,395.63,2014-08-05 10:00:00,,,,
94,8/5/2014 10:15,10.09,22.88,395.72,2014-08-05 10:15:00,,,,
95,8/5/2014 10:30,10.05,22.94,395.66,2014-08-05 10:30:00,,,,
96,8/5/2014 10:45,9.99,23,395.6,2014-08-05 10:45:00,,,,
97,8/5/2014 11:00,9.93,23.06,395.55,2014-08-05 11:00:00,,,,
98,8/5/2014 11:15,9.99,23.13,395.55,2014-08-05 11:15:00,,,,
99,8/5/2014 11:30,10.03,23.19,395.49,2014-08-05 11:30:00,,,,
100,8/5/2014 11:45,10.02,23.25,395.44,2014-08-05 11:45:00,,,,
101,8/5/2014 12:00,10.04,23.31,395.41,2014-08-05 12:00:00,,,,
102,8/5/2014 12:15,10.08,23.44,395.35,2014-08-05 12:15:00,,,,
103,8/5/2014 12:30,10.06,23.5,395.32,2014-08-05 12:30:00,,,,
104,8/5/2014 12:45,9.99,23.63,395.24,2014-08-05 12:45:00,,,,
105,8/5/2014 13:00,9.95,23.63,395.16,2014-08-05 13:00:00,,,,
106,8/5/2014 13:15,10.1,23.75,395.18,2014-08-05 13:15:00,,,,
107,8/5/2014 13:30,10.06,23.81,395.07,2014-08-05 13:30:00,,,,
108,8/5/2014 13:45,10.02,23.94,394.93,2014-08-05 13:45:00,,,,
109,8/5/2014 14:00,9.99,24,394.85,2014-08-05 14:00:00,,,,
110,8/5/2014 14:15,10.06,24.06,394.82,2014-08-05 14:15:00,,,,
111,8/5/2014 14:30,10.06,24.13,394.77,2014-08-05 14:30:00,,,,
112,8/5/2014 14:45,10.08,24.13,394.79,2014-08-05 14:45:00,,,,
113,8/5/2014 15:00,10.07,24.13,394.74,2014-08-05 15:00:00,,,,
114,8/5/2014 15:15,10.03,24.19,394.63,2014-08-05 15:15:00,,,,
115,8/5/2014 15:30,9.93,24.25,394.43,2014-08-05 15:30:00,,,,
116,8/5/2014 15:45,9.98,24.25,394.4,2014-08-05 15:45:00,,,,
117,8/5/2014 16:00,10.02,24.31,394.4,2014-08-05 16:00:00,,,,
118,8/5/2014 16:15,9.98,24.38,394.32,2014-08-05 16:15:00,,,,
119,8/5/2014 16:30,10.03,24.38,394.32,2014-08-05 16:30:00,,,,
120,8/5/2014 16:45,10,24.38,394.21,2014-08-05 16:45:00,,,,
121,8/5/2014 17:00,9.99,24.38,394.26,2014-08-05 17:00:00,,,,
122,8/5/2014 17:15,9.96,24.38,394.24,2014-08-05 17:15:00,,,,
123,8/5/2014 17:30,10,24.38,394.35,2014-08-05 17:30:00,,,,
124,8/5/2014 17:45,9.99,24.38,394.35,2014-08-05 17:45:00,,,,
125,8/5/2014 18:00,9.99,24.44,394.35,2014-08-05 18:00:00,,,,
126,8/5/2014 18:15,9.96,24.44,394.38,2014-08-05 18:15:00,,,,
127,8/5/2014 18:30,9.94,24.5,394.35,2014-08-05 18:30:00,,,,
128,8/5/2014 18:45,9.9,24.5,394.29,2014-08-05 18:45:00,,,,
129,8/5/2014 19:00,9.91,24.5,394.29,2014-08-05 19:00:00,,,,
130,8/5/2014 19:15,9.91,24.5,394.26,2014-08-05 19:15:00,,,,
131,8/5/2014 19:30,9.81,24.44,394.24,2014-08-05 19:30:00,,,,
132,8/5/2014 19:45,9.93,24.44,394.35,2014-08-05 19:45:00,,,,
133,8/5/2014 20:00,9.88,24.38,394.26,2014-08-05 20:00:00,,,,
134,8/5/2014 20:15,9.93,24.38,394.32,2014-08-05 20:15:00,,,,
135,8/5/2014 20:30,9.95,24.31,394.35,2014-08-05 20:30:00,,,,
136,8/5/2014 20:45,9.99,24.25,394.49,2014-08-05 20:45:00,,,,
137,8/5/2014 21:00,9.95,24.19,394.43,2014-08-05 21:00:00,,,,
138,8/5/2014 21:15,9.81,24.13,394.4,2014-08-05 21:15:00,,,,
139,8/5/2014 21:30,9.89,24.13,394.49,2014-08-05 21:30:00,,,,
140,8/5/2014 21:45,9.92,24.13,394.57,2014-08-05 21:45:00,,,,
141,8/5/2014 22:00,9.97,24.13,394.63,2014-08-05 22:00:00,,,,
142,8/5/2014 22:15,9.89,24.06,394.54,2014-08-05 22:15:00,,,,
143,8/5/2014 22:30,9.86,24,394.54,2014-08-05 22:30:00,,,,
144,8/5/2014 22:45,9.84,24,394.51,2014-08-05 22:45:00,,,,
145,8/5/2014 23:00,9.88,23.94,394.6,2014-08-05 23:00:00,,,,
146,8/5/2014 23:15,9.95,23.88,394.65,2014-08-05 23:15:00,,,,
147,8/5/2014 23:30,9.89,23.81,394.57,2014-08-05 23:30:00,,,,
148,8/5/2014 23:45,9.78,23.81,394.51,2014-08-05 23:45:00,,,,
149,8/6/2014 0:00,9.92,23.81,394.63,2014-08-06 00:00:00,,,,
150,8/6/2014 0:15,9.89,23.75,394.57,2014-08-06 00:15:00,,,,
151,8/6/2014 0:30,9.91,23.75,394.6,2014-08-06 00:30:00,,,,
152,8/6/2014 0:45,9.87,23.69,394.6,2014-08-06 00:45:00,,,,
153,8/6/2014 1:00,9.9,23.69,394.6,2014-08-06 01:00:00,,,,
154,8/6/2014 1:15,9.83,23.63,394.46,2014-08-06 01:15:00,,,,
155,8/6/2014 1:30,9.93,23.63,394.54,2014-08-06 01:30:00,,,,
156,8/6/2014 1:45,9.86,23.56,394.49,2014-08-06 01:45:00,,,,
157,8/6/2014 2:00,9.9,23.5,394.54,2014-08-06 02:00:00,,,,
158,8/6/2014 2:15,9.93,23.5,394.54,2014-08-06 02:15:00,,,,
159,8/6/2014 2:30,9.98,23.44,394.54,2014-08-06 02:30:00,,,,
160,8/6/2014 2:45,9.93,23.38,394.46,2014-08-06 02:45:00,,,,
161,8/6/2014 3:00,9.86,23.38,394.38,2014-08-06 03:00:00,,,,
162,8/6/2014 3:15,9.92,23.31,394.4,2014-08-06 03:15:00,,,,
163,8/6/2014 3:30,9.89,23.25,394.35,2014-08-06 03:30:00,,,,
164,8/6/2014 3:45,9.9,23.25,394.35,2014-08-06 03:45:00,,,,
165,8/6/2014 4:00,9.94,23.25,394.43,2014-08-06 04:00:00,,,,
166,8/6/2014 4:15,9.97,23.19,394.43,2014-08-06 04:15:00,,,,
167,8/6/2014 4:30,9.99,23.13,394.46,2014-08-06 04:30:00,,,,
168,8/6/2014 4:45,9.97,23.13,394.43,2014-08-06 04:45:00,,,,
169,8/6/2014 5:00,9.9,23.06,394.38,2014-08-06 05:00:00,,,,
170,8/6/2014 5:15,9.9,23.06,394.4,2014-08-06 05:15:00,,,,
171,8/6/2014 5:30,9.94,23,394.49,2014-08-06 05:30:00,,,,
172,8/6/2014 5:45,10,22.94,394.57,2014-08-06 05:45:00,,,,
173,8/6/2014 6:00,9.96,22.88,394.43,2014-08-06 06:00:00,,,,
174,8/6/2014 6:15,9.86,22.81,394.35,2014-08-06 06:15:00,,,,
175,8/6/2014 6:30,9.87,22.75,394.35,2014-08-06 06:30:00,,,,
176,8/6/2014 6:45,9.96,22.75,394.46,2014-08-06 06:45:00,,,,
177,8/6/2014 7:00,9.94,22.69,394.46,2014-08-06 07:00:00,,,,
178,8/6/2014 7:15,9.94,22.69,394.52,2014-08-06 07:15:00,,,,
179,8/6/2014 7:30,9.88,22.69,394.46,2014-08-06 07:30:00,,,,
180,8/6/2014 7:45,9.94,22.69,394.54,2014-08-06 07:45:00,,,,
181,8/6/2014 8:00,9.94,22.69,394.54,2014-08-06 08:00:00,,,,
182,8/6/2014 8:15,9.88,22.75,394.49,2014-08-06 08:15:00,,,,
183,8/6/2014 8:30,10.07,22.75,394.6,2014-08-06 08:30:00,,,,
184,8/6/2014 8:45,9.96,22.75,394.52,2014-08-06 08:45:00,,,,
