Reservoir,Year,Date,Depth,pH,PAR
FCR,2014,2014-03-20 12:00:00,0.8,7.9,NA
FCR,2014,2014-03-20 12:00:00,1.6,7.9,NA
FCR,2014,2014-03-20 12:00:00,3.8,7.8,NA
FCR,2014,2014-03-20 12:00:00,6.2,7.8,NA
FCR,2014,2014-04-10 12:00:00,0.8,7.7,NA
FCR,2014,2014-04-10 12:00:00,1.6,7.6,NA
FCR,2014,2014-04-10 12:00:00,3.8,7.6,NA
FCR,2014,2014-04-10 12:00:00,6.2,7.5,NA
FCR,2014,2014-04-24 12:00:00,0.8,6.8,NA
FCR,2014,2014-04-24 12:00:00,1.6,6.8,NA
FCR,2014,2014-04-24 12:00:00,3.8,6.7,NA
FCR,2014,2014-04-24 12:00:00,6.2,6.8,NA
FCR,2014,2014-05-08 12:00:00,0.8,7.2,NA
FCR,2014,2014-05-08 12:00:00,1.6,7.2,NA
FCR,2014,2014-05-08 12:00:00,3.8,7.3,NA
FCR,2014,2014-05-08 12:00:00,6.2,7.2,NA
FCR,2014,2014-05-30 12:00:00,0.8,7.4,NA
FCR,2014,2014-05-30 12:00:00,1.6,7.4,NA
FCR,2014,2014-05-30 12:00:00,3.8,7.4,NA
FCR,2014,2014-05-30 12:00:00,6.2,7.4,NA
FCR,2014,2014-06-19 12:00:00,0.8,6.8,NA
FCR,2014,2014-06-19 12:00:00,1.6,6.8,NA
FCR,2014,2014-06-19 12:00:00,3.8,6.8,NA
FCR,2014,2014-06-19 12:00:00,6.2,6.8,NA
FCR,2014,2014-07-03 12:00:00,0.8,6.9,NA
FCR,2014,2014-07-03 12:00:00,1.6,6.8,NA
FCR,2014,2014-07-03 12:00:00,3.8,6.8,NA
FCR,2014,2014-07-03 12:00:00,6.2,6.8,NA
FCR,2014,2014-07-17 12:00:00,0.8,6.4,NA
FCR,2014,2014-07-17 12:00:00,1.6,6.4,NA
FCR,2014,2014-07-17 12:00:00,3.8,6.3,NA
FCR,2014,2014-07-17 12:00:00,6.2,6.2,NA
FCR,2014,2014-07-24 12:00:00,0.8,6.7,NA
FCR,2014,2014-07-24 12:00:00,1.6,6.5,NA
FCR,2014,2014-07-24 12:00:00,3.8,6.5,NA
FCR,2014,2014-07-24 12:00:00,6.2,6.5,NA
FCR,2014,2014-07-30 12:00:00,0.8,6.8,NA
FCR,2014,2014-07-30 12:00:00,1.6,6.7,NA
FCR,2014,2014-07-30 12:00:00,3.8,6.5,NA
FCR,2014,2014-07-30 12:00:00,6.2,6.6,NA
FCR,2014,2014-08-07 12:00:00,0.8,8,NA
FCR,2014,2014-08-07 12:00:00,1.6,7.6,NA
FCR,2014,2014-08-07 12:00:00,3.8,6.7,NA
FCR,2014,2014-08-07 12:00:00,6.2,6.7,NA
FCR,2014,2014-08-14 12:00:00,0.8,7.1,NA
FCR,2014,2014-08-14 12:00:00,1.6,6.6,NA
FCR,2014,2014-08-14 12:00:00,3.8,6.6,NA
FCR,2014,2014-08-14 12:00:00,6.2,6.6,NA
FCR,2014,2014-08-21 12:00:00,0.8,6.8,NA
FCR,2014,2014-08-21 12:00:00,1.6,6.7,NA
FCR,2014,2014-08-21 12:00:00,3.8,6.5,NA
FCR,2014,2014-08-21 12:00:00,6.2,6.9,NA
FCR,2014,2014-08-28 12:00:00,0.8,7.3,NA
FCR,2014,2014-08-28 12:00:00,1.6,6.9,NA
FCR,2014,2014-08-28 12:00:00,3.8,6.4,NA
FCR,2014,2014-08-28 12:00:00,6.2,6.5,NA
FCR,2014,2014-09-04 12:00:00,0.8,7.3,NA
FCR,2014,2014-09-04 12:00:00,1.6,6.6,NA
FCR,2014,2014-09-04 12:00:00,3.8,6.4,NA
FCR,2014,2014-09-04 12:00:00,6.2,6.5,NA
FCR,2014,2014-09-11 12:00:00,0.8,7,NA
FCR,2014,2014-09-11 12:00:00,1.6,6.4,NA
FCR,2014,2014-09-11 12:00:00,3.8,6.3,NA
FCR,2014,2014-09-11 12:00:00,6.2,6.5,NA
FCR,2014,2014-10-04 12:00:00,-0.1,NA,1079
FCR,2014,2014-10-04 12:00:00,0.5,NA,253.2
FCR,2014,2014-10-04 12:00:00,1,NA,148.3
FCR,2014,2014-10-04 12:00:00,1.5,NA,97.33
FCR,2014,2014-10-04 12:00:00,2,NA,77
FCR,2014,2014-10-04 12:00:00,2.5,NA,56.5
FCR,2014,2014-10-04 12:00:00,3,NA,8.32
FCR,2014,2014-10-04 12:00:00,3.5,NA,5.066
FCR,2014,2014-10-04 12:00:00,4,NA,2.485
FCR,2014,2014-10-04 12:00:00,4.5,NA,1.342
FCR,2014,2014-10-04 12:00:00,5,NA,0.614
FCR,2014,2014-10-04 12:00:00,5.5,NA,0.2942
FCR,2014,2014-10-04 12:00:00,6,NA,0.1473
FCR,2014,2014-10-04 12:00:00,6.5,NA,0.083
FCR,2014,2014-10-04 12:00:00,7,NA,0.0374
FCR,2014,2014-11-26 12:00:00,0.8,8.2,NA
FCR,2014,2014-11-26 12:00:00,1.6,8.1,NA
FCR,2014,2014-11-26 12:00:00,3.8,8.1,NA
FCR,2014,2014-11-26 12:00:00,6.2,7.9,NA
