Reservoir,Site,Year,Date,Depth,PAR,YSI_TEMP_C,YSI_DO_mgL,YSI_PSAT,pH,YSI_COND_uScm,ORP,Notes
BVR,50,2017,2017-10-17 12:00:00,0.1,,18.8,8.31,95.5,,,,
BVR,50,2017,2017-10-17 12:00:00,1,,18.3,8.34,94.8,,,,
BVR,50,2017,2017-10-17 12:00:00,2,,18.1,8.33,94.1,,,,
BVR,50,2017,2017-10-17 12:00:00,3,,17.9,8.31,93.5,,,,
BVR,50,2017,2017-10-17 12:00:00,4,,18.8,8.16,91.9,,,,
BVR,50,2017,2017-10-17 12:00:00,5,,17.7,7.22,81,,,,
BVR,50,2017,2017-10-17 12:00:00,6,,16.2,1.11,12,,,,
BVR,50,2017,2017-10-17 12:00:00,7,,13.5,0.4,4.1,,,,
BVR,50,2017,2017-10-17 12:00:00,8,,10.6,0.33,3.2,,,,
BVR,50,2017,2017-10-17 12:00:00,9,,9.1,0.3,2.8,,,,
BVR,50,2017,2017-10-17 12:00:00,10,,8.2,0.28,2.5,,,,
BVR,50,2017,2017-10-17 12:00:00,11,,7.8,0.27,2.4,,,,
BVR,50,2017,2017-10-17 12:00:00,12,,7.6,0.27,2.4,,,,
BVR,50,2017,2017-10-17 12:00:00,13,,7.4,0.26,2.3,,,,
BVR,50,2017,2017-10-17 12:00:00,13.5,,7.3,0.25,2.3,,,,
BVR,50,2014,2018-05-15 12:00:00,0,,,,,7.98,,,
BVR,50,2014,2018-05-15 12:00:00,2,,,,,7.91,,,
BVR,50,2014,2018-05-15 12:00:00,4,,,,,7.76,,,
BVR,50,2014,2018-05-15 12:00:00,8,,,,,6.78,,,
BVR,50,2014,2018-05-15 12:00:00,12,,,,,6.26,,,
BVR,50,2019,2019-06-05 12:00:00,0.1,,22.2,7.44,90.9,6.96,29.1,,
BVR,50,2019,2019-06-05 12:00:00,1,,22.3,7.74,95.1,7.08,27.8,,
