Reservoir,Year,Date,Depth,YSI_TEMP,YSI_DOSAT,YSI_DO,YSI_COND,YSI_pH
GWR,2014,2014-04-18 12:00:00,0,12.1,110.9,11.18,NA,7.81
GWR,2014,2014-04-18 12:00:00,1,11.9,111.1,11.29,NA,7.73
GWR,2014,2014-04-18 12:00:00,2,11.8,107.5,10.99,NA,7.66
GWR,2014,2014-04-18 12:00:00,3,11.7,108.2,11.01,NA,7.66
GWR,2014,2014-04-18 12:00:00,4,11.6,107.2,10.99,NA,7.68
GWR,2014,2014-04-18 12:00:00,5,11.5,109.5,11.21,NA,7.66
GWR,2014,2014-04-18 12:00:00,6,10.2,95.8,10.12,NA,7.56
GWR,2014,2014-04-18 12:00:00,7,9.9,96.8,10.24,NA,7.4
GWR,2014,2014-04-18 12:00:00,8,9.7,95.3,10.18,NA,7.21
GWR,2014,2014-04-18 12:00:00,9,9.5,94.6,10.15,NA,7.17
GWR,2014,2014-04-18 12:00:00,10,9,92.1,10.01,NA,7.16
GWR,2014,2014-04-18 12:00:00,11,8.3,88.5,9.76,NA,7.13
GWR,2014,2014-04-18 12:00:00,12,8.3,91.5,10.14,NA,7.17
GWR,2014,2014-04-26 16:00:00,0,16.4,120.8,10.93,702.9,8.23
GWR,2014,2014-04-26 16:00:00,1,16.2,120.6,10.91,702.8,7.93
GWR,2014,2014-04-26 16:00:00,2,15.3,120.4,11.15,702.8,7.78
GWR,2014,2014-04-26 16:00:00,3,15.2,119.5,10.91,702.8,7.68
GWR,2014,2014-04-26 16:00:00,4,15.1,119.4,11.12,702.8,7.7
GWR,2014,2014-04-26 16:00:00,5,15,119.4,11.16,702.8,7.74
GWR,2014,2014-04-26 16:00:00,6,14.7,115.5,11.23,702.8,7.79
GWR,2014,2014-04-26 16:00:00,7,12,107.8,10.74,702.7,7.44
GWR,2014,2014-04-26 16:00:00,8,10.8,96.1,9.88,702.8,7.28
GWR,2014,2014-04-26 16:00:00,9,10.7,97,10.09,702.7,7.28
GWR,2014,2014-04-26 16:00:00,11,9.5,92.5,9.68,702.8,7.04
GWR,2014,2014-05-09 13:00:00,0,19.8,115.3,9.83,707.2,7.84
GWR,2014,2014-05-09 13:00:00,1,19.8,116.2,9.86,707.1,7.72
GWR,2014,2014-05-09 13:00:00,2,19.3,116.6,10.01,707.1,7.68
GWR,2014,2014-05-09 13:00:00,3,18,122.2,10.76,707.1,7.63
GWR,2014,2014-05-09 13:00:00,4,17.4,119.9,10.61,707.2,7.66
GWR,2014,2014-05-09 13:00:00,5,16.7,115.4,10.38,707,7.36
GWR,2014,2014-05-09 13:00:00,6,14.5,105.5,10.04,707.1,7.24
GWR,2014,2014-05-09 13:00:00,7,13.1,89.6,8.69,707.1,6.88
GWR,2014,2014-05-09 13:00:00,8,12.3,85.1,8.44,707.1,6.58
GWR,2014,2014-05-09 13:00:00,9,11.5,84.4,8.59,707,7.18
GWR,2014,2014-05-09 13:00:00,11,10.6,79.5,8.07,707,6.76
GWR,2014,2014-05-16 16:00:00,0,20.6,93.2,7.76,703.6,7.79
GWR,2014,2014-05-16 16:00:00,1,20.4,91,7.6,703.5,7.82
GWR,2014,2014-05-16 16:00:00,2,20.5,90.5,7.6,703.9,7.83
GWR,2014,2014-05-16 16:00:00,3,20.4,92.5,7.73,703.6,7.76
GWR,2014,2014-05-16 16:00:00,4,20.4,93.3,7.78,703.6,7.76
GWR,2014,2014-05-16 16:00:00,5,20.4,91.7,7.66,703.6,7.75
GWR,2014,2014-05-16 16:00:00,6,15.5,91.7,8.56,703.7,7.43
GWR,2014,2014-05-16 16:00:00,7,14.7,88.3,8.13,703.7,7.33
