Reservoir,Year,Date,Depth,Secchi,Notes
CCR,2015,2015-05-08 12:00:00,NA,3.2,NA
CCR,2015,2015-05-22 12:00:00,NA,3.5,NA
CCR,2015,2015-05-29 12:00:00,NA,4.8,NA
CCR,2015,2015-06-12 12:00:00,NA,4.6,NA
CCR,2015,2015-06-26 12:00:00,NA,4.5,NA
CCR,2015,2015-07-10 12:00:00,NA,4.2,NA
CCR,2015,2015-07-24 12:00:00,NA,5.25,NA
CCR,2015,2015-08-07 12:00:00,NA,4.6,NA
CCR,2015,2015-08-26 12:00:00,NA,4.6,NA
CCR,2015,2015-09-09 12:00:00,NA,4.9,NA
CCR,2015,2015-09-23 12:00:00,NA,3.2,NA
CCR,2015,2015-10-28 12:00:00,NA,3,NA
