Reservoir,Year,Date,Depth,Secchi_m,Notes
CCR,2016,2016-05-13 09:42:00,NA,3.5,NA
CCR,2016,2016-05-27 12:00:00,NA,3.3,NA
CCR,2016,2016-05-27 12:15:00,NA,3.3,NA
CCR,2016,2016-05-27 20:25:00,NA,2.9,NA
CCR,2016,2016-05-28 00:45:00,NA,2,NA
CCR,2016,2016-05-28 01:45:00,NA,2,NA
CCR,2016,2016-05-28 06:00:00,NA,3.05,NA
CCR,2016,2016-05-28 11:15:00,NA,3.6,NA
CCR,2016,2016-05-28 12:00:00,NA,3.6,NA
CCR,2016,2016-06-11 12:00:00,NA,3.8,NA
CCR,2016,2016-06-29 10:05:00,NA,4.5,NA
CCR,2016,2016-07-15 10:05:00,NA,5.6,NA
CCR,2016,2016-07-29 10:21:00,NA,4.5,NA
CCR,2016,2016-08-12 12:45:00,NA,5.4,NA
CCR,2016,2016-08-12 20:15:00,NA,3.5,NA
CCR,2016,2016-08-13 00:55:00,NA,2.6,NA
CCR,2016,2016-08-13 01:45:00,NA,2.5,NA
CCR,2016,2016-08-13 06:30:00,NA,4.35,NA
CCR,2016,2016-08-13 10:30:00,NA,5.2,NA
CCR,2016,2016-08-29 09:15:00,NA,4.9,NA
CCR,2016,2016-09-12 08:46:00,NA,4.3,NA
CCR,2016,2016-09-26 09:44:00,NA,3.8,NA
CCR,2016,2016-10-10 09:24:00,NA,3.1,NA
