Date,Depth_m,Descent Rate (m/s),Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity
2018-05-11T10:52:51Z,-0.201,-0.004,21.3511,0.7238,2.1441,29.102,26.983981,7.4301,83.934,7.431,325.4299,2102.3,1.6363704900791773
2018-05-11T10:52:51Z,-0.198,-0,21.3519,0.7311,2.2297,29.106,26.988503,7.4568,84.238,7.43,325.3861,2100.7,1.6365783441957653
2018-05-11T10:52:51Z,-0.188,0.002,21.353,0.731,2.255,29.084,26.968983,7.4742,84.437,7.433,325.3062,2098.2,1.6352296651481621
2018-05-11T10:52:51Z,-0.182,0.005,21.3539,0.7216,2.266,29.051,26.938443,7.486,84.571,7.435,325.4098,2100.5,1.633235074701447
2018-05-11T10:52:51Z,-0.183,0.006,21.3552,0.7283,2.271,29.049,26.93673,7.4888,84.605,7.434,325.52,2112.2,1.6330679691385062
2018-05-11T10:52:51Z,-0.189,0.005,21.3567,0.7572,2.1943,29.061,26.948275,7.4765,84.467,7.433,325.6064,2118,1.6337254298396344
2018-05-11T10:52:51Z,-0.192,0.005,21.3578,0.7771,2.1316,29.064,26.951036,7.4493,84.159,7.432,325.6799,2114,1.6338628571485214
2018-05-11T10:52:51Z,-0.189,0.007,21.3591,0.7853,2.1236,29.084,26.970117,7.407,83.683,7.431,325.6352,2101.4,1.6350028093001865
2018-05-11T10:52:51Z,-0.183,0.011,21.3598,0.8288,2.1282,29.103,26.988492,7.35,83.04,7.43,325.5812,2092.9,1.6361056434411847
2018-05-11T10:52:51Z,-0.177,0.015,21.3597,0.8984,2.126,29.097,26.98273,7.281,82.26,7.43,325.5442,2100.4,1.6357527112686718
2018-05-11T10:52:51Z,-0.172,0.017,21.3602,0.9285,2.0972,29.076,26.963943,7.2022,81.37,7.432,325.3601,2106.4,1.6344862468473158
2018-05-11T10:52:51Z,-0.169,0.018,21.3609,0.9174,2.0847,29.063,26.951832,7.118,80.42,7.435,325.2477,2109.9,1.6336877709885813
2018-05-11T10:52:51Z,-0.168,0.02,21.3611,0.8927,2.0975,29.075,26.963273,7.035,79.484,7.44,325.304,2119.3,1.6343932954302798
2018-05-11T10:52:51Z,-0.165,0.025,21.3614,0.8683,2.0985,29.088,26.975289,6.9566,78.598,7.443,325.3515,2122,1.6351545135058403
2018-05-11T10:52:51Z,-0.157,0.03,21.3621,0.8603,2.0979,29.082,26.970136,6.8829,77.765,7.439,325.4784,2116,1.6347718552965018
2018-05-11T10:52:51Z,-0.147,0.034,21.3633,0.8617,2.0898,29.076,26.964458,6.8174,77.026,7.431,325.6334,2104.8,1.6343705345609703
2018-05-11T10:52:51Z,-0.135,0.037,21.3638,0.8762,2.0619,29.083,26.970136,6.7656,76.44,7.427,325.5909,2093,1.6347676507296887
2018-05-11T10:52:51Z,-0.122,0.037,21.3633,0.906,2.0656,29.089,26.975289,6.7309,76.045,7.427,325.3952,2088.1,1.6351424909790988
2018-05-11T10:52:51Z,-0.111,0.038,21.3636,0.9286,2.1035,29.079,26.963263,6.7172,75.884,7.427,325.3317,2086.4,1.6345369618582957
2018-05-11T10:52:51Z,-0.106,0.04,21.3641,0.9284,2.1231,29.071,26.951719,6.7319,76.04,7.423,325.3402,2083.4,1.6340430078776655
2018-05-11T10:52:51Z,-0.101,0.04,21.3638,0.9133,2.1201,29.087,26.962697,6.7841,76.62,7.42,325.1541,2079.5,1.6350047196133939
2018-05-11T10:52:51Z,-0.091,0.04,21.3621,0.9021,2.1284,29.097,26.968995,6.8775,77.666,7.42,324.9741,2068.3,1.635661948260842
2018-05-11T10:52:51Z,-0.075,0.04,21.3573,0.9026,2.1617,29.097,26.964368,7.0107,79.161,7.422,324.8841,1979.5,1.6358402135605958
2018-05-11T10:52:51Z,-0.06,0.041,21.3504,0.9116,2.1564,29.107,26.970244,7.1742,80.997,7.423,324.5823,1813.5,1.6366910367441525
2018-05-11T10:52:51Z,-0.051,0.042,21.3435,0.9177,2.0952,29.117,26.976542,7.3542,83.02,7.426,324.2506,1665.5,1.6375423680689902
2018-05-11T10:52:51Z,-0.044,0.042,21.3376,0.9669,2.0939,29.121,26.977015,7.5447,85.16,7.43,323.9707,1514.5,1.6379999402211096
2018-05-11T10:52:51Z,-0.036,0.043,21.3318,1.0659,2.1405,29.124,26.975965,7.7405,87.359,7.434,323.5213,1370.1,1.638394382406657
2018-05-11T10:52:51Z,-0.026,0.045,21.3254,1.1136,2.1393,29.115,26.963834,7.9315,89.504,7.436,323.1184,1289.1,1.6380976885385854
2018-05-11T10:52:51Z,-0.012,0.048,21.3201,1.1021,2.1409,29.112,26.957329,8.1107,91.514,7.436,322.7994,1162,1.638116628835769
2018-05-11T10:52:51Z,0.003,0.05,21.3144,1.0281,2.1599,29.12,26.960802,8.2695,93.293,7.438,322.5039,852.64,1.6388047440462075
2018-05-11T10:52:51Z,0.017,0.05,21.3071,0.8896,2.1555,29.104,26.942331,8.3958,94.706,7.441,322.3841,516.25,1.6381249732687884
