Date,Depth_m,Descent Rate (m/s),Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity
2018-05-11T11:01:23Z,-0.092,0.06,21.3273,0.9605,2.2747,29.052,26.92016,7.9417,89.663,7.469,314.1648,2216.9,1.6342819030646607
2018-05-11T11:01:23Z,-0.071,0.059,21.327,0.9472,2.2467,29.028,26.897688,7.9758,90.047,7.465,313.5637,2189.5,1.6328656230973904
2018-05-11T11:01:23Z,-0.053,0.058,21.3269,0.9058,2.1595,29.046,26.914484,8.0154,90.492,7.464,312.9133,2051.4,1.6339392100687238
2018-05-11T11:01:23Z,-0.042,0.059,21.3271,0.8555,2.1053,29.066,26.932755,8.057,90.961,7.461,312.4099,1797.9,1.6351207884141739
2018-05-11T11:01:23Z,-0.034,0.061,21.3267,0.8348,2.1417,29.061,26.92812,8.0949,91.39,7.457,312.2093,1666.2,1.6348382616856438
2018-05-11T11:01:23Z,-0.024,0.065,21.3255,0.8389,2.1722,29.054,26.921927,8.1213,91.689,7.453,311.8636,1633.5,1.6344665555674274
2018-05-11T11:01:23Z,-0.005,0.07,21.3243,0.8225,2.1691,29.054,26.92137,8.133,91.822,7.452,311.3283,1561.9,1.6345108324531024
2018-05-11T11:01:23Z,0.02,0.074,21.3239,0.7839,2.1947,29.054,26.921381,8.1349,91.842,7.456,311.071,1410.5,1.6345252204553966
2018-05-11T11:01:23Z,0.044,0.076,21.3242,0.7681,2.2384,29.055,26.922062,8.1351,91.843,7.462,311.0765,1304,1.6345730838778396
2018-05-11T11:01:23Z,0.066,0.075,21.3249,0.7784,2.2705,29.064,26.929608,8.1422,91.923,7.469,311.3083,1455.2,1.635081801604585
2018-05-11T11:01:23Z,0.083,0.072,21.3255,0.8244,2.2474,29.085,26.94912,8.1579,92.099,7.474,311.7225,1591.1,1.6363079204346573
2018-05-11T11:01:23Z,0.097,0.07,21.3253,0.9019,2.1716,29.104,26.967495,8.175,92.294,7.476,312.0405,1530.4,1.6374449860885185
2018-05-11T11:01:23Z,0.112,0.07,21.325,0.9529,2.1472,29.097,26.961294,8.195,92.519,7.475,312.142,1389.4,1.6370396328852823
2018-05-11T11:01:23Z,0.13,0.071,21.3239,0.9723,2.1666,29.072,26.937638,8.2198,92.799,7.475,312.6064,1322.9,1.6355936598365073
2018-05-11T11:01:23Z,0.15,0.073,21.3231,0.9709,2.1615,29.069,26.935462,8.242,93.05,7.477,313.2674,1297,1.635444640926177
2018-05-11T11:01:23Z,0.17,0.075,21.3238,0.9545,2.1467,29.069,26.934982,8.2578,93.23,7.481,313.4227,1089.3,1.6354182001786866
2018-05-11T11:01:23Z,0.19,0.077,21.3243,0.9488,2.1409,29.065,26.931825,8.2696,93.365,7.482,313.4514,924.29,1.6351614023853414
2018-05-11T11:01:23Z,0.209,0.077,21.3242,0.9573,2.1523,29.095,26.960791,8.2787,93.47,7.481,313.8721,1010.3,1.636948766336587
2018-05-11T11:01:23Z,0.228,0.077,21.3239,0.965,2.1316,29.102,26.967726,8.284,93.531,7.479,314.5516,1168,1.6373758822787585
2018-05-11T11:01:23Z,0.247,0.077,21.3244,0.9683,2.074,29.084,26.952184,8.2864,93.559,7.477,314.6983,1207.7,1.6362864964131056
2018-05-11T11:01:23Z,0.267,0.077,21.3259,0.9697,2.0664,29.097,26.963361,8.2863,93.557,7.475,314.3551,1108,1.6370033187648183
2018-05-11T11:01:23Z,0.288,0.076,21.3272,0.9641,2.1001,29.112,26.975869,8.2838,93.526,7.475,314.3597,1057,1.6378465037320855
2018-05-11T11:01:23Z,0.308,0.074,21.3278,0.9546,2.1151,29.114,26.976428,8.2836,93.52,7.473,314.668,1102,1.6379427037979426
2018-05-11T11:01:23Z,0.327,0.072,21.3288,0.9477,2.1259,29.107,26.970121,8.2892,93.582,7.47,314.8997,1048.7,1.6374888266603471
2018-05-11T11:01:23Z,0.344,0.071,21.3291,0.9446,2.1704,29.1,26.963108,8.3014,93.72,7.466,315.0967,919.35,1.637061094468772
2018-05-11T11:01:23Z,0.361,0.071,21.327,0.9451,2.2252,29.091,26.955132,8.3193,93.921,7.461,315.242,869.59,1.6366038655020456
2018-05-11T11:01:23Z,0.377,0.071,21.324,0.9443,2.27,29.072,26.937178,8.3393,94.146,7.457,315.2796,883.71,1.635585477379371
2018-05-11T11:01:23Z,0.396,0.072,21.3234,0.9438,2.2543,29.072,26.936505,8.3572,94.348,7.453,315.6376,906.77,1.635607485035129
2018-05-11T11:01:23Z,0.416,0.073,21.3242,0.9485,2.1571,29.082,26.946999,8.3717,94.513,7.452,316.1291,897.92,1.6361719582493033
2018-05-11T11:01:23Z,0.435,0.076,21.3236,0.955,2.1016,29.071,26.937072,8.3815,94.623,7.453,316.4045,802.16,1.6355398243066652
2018-05-11T11:01:23Z,0.454,0.078,21.3227,0.9584,2.1024,29.079,26.943463,8.3838,94.648,7.454,316.6439,688.74,1.6360487577700102
2018-05-11T11:01:23Z,0.474,0.08,21.3236,0.9624,2.1054,29.1,26.960779,8.3817,94.618,7.458,316.6154,647.11,1.6372637497329425
2018-05-11T11:01:23Z,0.494,0.08,21.3242,0.9662,2.1084,29.097,26.955952,8.3798,94.588,7.462,316.4895,644.31,1.6370626179679806
2018-05-11T11:01:23Z,0.517,0.08,21.3241,0.9582,2.1078,29.092,26.94859,8.3785,94.565,7.467,316.4985,650.04,1.6367685632173439
2018-05-11T11:01:23Z,0.538,0.08,21.3232,0.9485,2.1281,29.08,26.935256,8.3794,94.569,7.471,316.3792,665.81,1.636088070272293
2018-05-11T11:01:23Z,0.558,0.08,21.3202,0.9496,2.1402,29.067,26.921716,8.383,94.605,7.473,316.2519,656.06,1.6354263292561841
2018-05-11T11:01:23Z,0.577,0.08,21.3151,0.9351,2.1019,29.057,26.911865,8.3857,94.633,7.475,316.3367,591.57,1.635021093177092
2018-05-11T11:01:23Z,0.596,0.082,21.31,0.9017,2.0613,29.024,26.879644,8.386,94.632,7.477,316.6298,534.43,1.6332477901834526
2018-05-11T11:01:23Z,0.616,0.087,21.3065,0.8871,2.0768,28.995,26.849611,8.3867,94.631,7.477,317.1285,523.8,1.6316526879275668
2018-05-11T11:01:23Z,0.636,0.092,21.3043,0.8955,2.1062,29.018,26.866203,8.3881,94.632,7.478,317.8068,503.99,1.63310212844629
2018-05-11T11:01:23Z,0.661,0.097,21.3035,0.9573,2.1421,29.049,26.889765,8.3904,94.641,7.479,318.2923,465.18,1.6349755666657924
2018-05-11T11:01:23Z,0.69,0.101,21.3024,1.0736,2.2058,29.043,26.88051,8.3959,94.691,7.477,318.438,439.32,1.6346590399343524
2018-05-11T11:01:23Z,0.72,0.102,21.2971,1.1434,2.2354,29.047,26.881285,8.4028,94.761,7.472,318.3641,467.67,1.6350937051776018
2018-05-11T11:01:23Z,0.747,0.101,21.2877,1.1491,2.2258,29.068,26.899136,8.4117,94.854,7.467,318.001,497.17,1.6366930120899332
2018-05-11T11:01:23Z,0.771,0.098,21.2776,1.1242,2.2116,29.078,26.905855,8.4241,94.987,7.463,317.8335,444.87,1.6376644664290665
2018-05-11T11:01:23Z,0.794,0.094,21.2708,1.072,2.1856,29.072,26.899024,8.435,95.106,7.459,317.9736,395.8,1.637560499267379
2018-05-11T11:01:23Z,0.817,0.093,21.2678,1.0328,2.1559,29.052,26.880038,8.4418,95.179,7.458,318.1456,384.37,1.6364811673722903
2018-05-11T11:01:23Z,0.839,0.093,21.2636,1.0268,2.1572,29.04,26.866773,8.4458,95.221,7.459,318.4516,376.98,1.6359228458257076
2018-05-11T11:01:23Z,0.862,0.094,21.2594,1.0275,2.1405,29.04,26.865629,8.4458,95.216,7.462,318.6615,375.28,1.6360789875318666
2018-05-11T11:01:23Z,0.886,0.094,21.2579,1.0227,2.0761,29.042,26.866207,8.4424,95.173,7.465,318.8773,378.94,1.6362535827790774
2018-05-11T11:01:23Z,0.911,0.093,21.257,1.0246,2.0506,29.052,26.873752,8.4402,95.141,7.467,319.0813,376.94,1.6368822251441257
2018-05-11T11:01:23Z,0.938,0.09,21.2543,1.0308,2.0763,29.076,26.893367,8.4403,95.135,7.467,318.8911,353.24,1.6384118323244827
2018-05-11T11:01:23Z,0.963,0.084,21.2515,1.0517,2.1113,29.1,26.912877,8.4426,95.153,7.467,318.6422,338.73,1.6399454841749892
2018-05-11T11:01:23Z,0.984,0.078,21.2499,1.0851,2.1384,29.109,26.919153,8.446,95.184,7.466,318.6532,339.18,1.640541047842453
2018-05-11T11:01:23Z,1.001,0.074,21.2463,1.094,2.1297,29.096,26.905753,8.4495,95.221,7.462,318.9377,338.03,1.6399008240506914
2018-05-11T11:01:23Z,1.015,0.074,21.2411,1.086,2.1281,29.067,26.877847,8.4557,95.285,7.457,319.4152,342.13,1.6383671413435998
2018-05-11T11:01:23Z,1.029,0.077,21.2365,1.0899,2.1495,29.027,26.83572,8.4648,95.373,7.452,319.7809,345.91,1.636155475896113
2018-05-11T11:01:23Z,1.047,0.083,21.2331,1.0939,2.175,28.975,26.777359,8.4752,95.458,7.448,320.0894,340.28,1.6331838432321606
2018-05-11T11:01:23Z,1.071,0.088,21.2321,1.0797,2.2228,28.956,26.743652,8.4845,95.511,7.445,320.4779,334.86,1.6320887045570458
2018-05-11T11:01:23Z,1.098,0.093,21.2307,1.0742,2.2382,28.982,26.74562,8.4897,95.497,7.444,320.9512,361.22,1.6336892848030837
2018-05-11T11:01:23Z,1.126,0.096,21.2238,1.0929,2.2397,29.001,26.737633,8.4917,95.437,7.444,321.252,387.16,1.6350779348952111
2018-05-11T11:01:23Z,1.152,0.097,21.2079,1.1306,2.2406,28.998,26.710536,8.4929,95.371,7.443,321.36130000000003,357.8,1.6354914563182066
2018-05-11T11:01:23Z,1.175,0.096,21.1797,1.1812,2.1881,28.982,26.671928,8.4924,95.288,7.44,321.5852,328.95,1.635588854631853
2018-05-11T11:01:23Z,1.197,0.096,21.1385,1.2087,2.1538,28.919,26.588273,8.49,95.178,7.435,321.6357,336.65,1.6333656660739626
2018-05-11T11:01:23Z,1.219,0.096,21.0917,1.2142,2.1617,28.823,26.460965,8.487,95.02,7.431,321.541,340.36,1.6293753058458074
2018-05-11T11:01:23Z,1.244,0.097,21.049,1.2661,2.1917,28.758,26.338985,8.4867,94.815,7.427,321.472,325.71,1.627078327140006
2018-05-11T11:01:23Z,1.27,0.097,21.009,1.3674,2.2427,28.757,26.256216,8.4905,94.592,7.426,321.4044,318.41,1.6285066678225568
2018-05-11T11:01:23Z,1.297,0.097,20.9704,1.4197,2.2592,28.811,26.222024,8.4918,94.339,7.427,321.4116,325.79,1.6331799589712166
2018-05-11T11:01:23Z,1.323,0.096,20.9148,1.4115,2.2693,28.843,26.17943,8.4857,94.037,7.429,321.4736,315.69,1.6371794890695828
2018-05-11T11:01:23Z,1.348,0.095,20.8047,1.3875,2.2735,28.786,26.05858,8.4813,93.767,7.431,321.638,299.63,1.6378883555959989
2018-05-11T11:01:23Z,1.371,0.093,20.6451,1.359,2.2488,28.704,25.903618,8.4931,93.635,7.434,321.7649,296.73,1.6389551251913173
2018-05-11T11:01:23Z,1.392,0.091,20.4924,1.3429,2.2457,28.664,25.766009,8.525,93.657,7.438,321.8888,286.03,1.6423058318559538
2018-05-11T11:01:23Z,1.414,0.09,20.3733,1.3404,2.2354,28.61,25.600972,8.5726,93.797,7.442,322.1033,272.77,1.6435466255665696
2018-05-11T11:01:23Z,1.438,0.089,20.2662,1.3745,2.2162,28.559,25.4318,8.6338,94.062,7.444,322.2941,268.13,1.6445164292980456
2018-05-11T11:01:23Z,1.463,0.087,20.1306,1.4425,2.2262,28.55,25.307671,8.7108,94.514,7.447,322.4743,260.37,1.6491396586659193
2018-05-11T11:01:23Z,1.486,0.085,19.9488,1.482,2.2354,28.523,25.179335,8.8065,95.2,7.45,322.5621,251.44,1.6544602228128065
2018-05-11T11:01:23Z,1.507,0.083,19.74,1.4845,2.2363,28.46,25.022778,8.9185,96.065,7.452,322.6671,250.15,1.658644361833166
2018-05-11T11:01:23Z,1.525,0.08,19.5154,1.4918,2.237,28.418,24.874884,9.0462,97.056,7.454,322.8826,249.36,1.6647725852404245
2018-05-11T11:01:23Z,1.544,0.078,19.3073,1.5881,2.243,28.457,24.787793,9.1886,98.16,7.456,323.0168,248.59,1.6753435054961652
2018-05-11T11:01:23Z,1.564,0.078,19.1317,1.7663,2.2476,28.52,24.731474,9.338,99.36,7.459,323,247.58,1.6862150721378382
2018-05-11T11:01:23Z,1.585,0.078,18.9639,1.8733,2.2325,28.512,24.638206,9.487,100.634,7.464,322.9378,243.24,1.692399956171926
2018-05-11T11:01:23Z,1.605,0.079,18.7716,1.8889,2.212,28.49,24.548833,9.6334,101.929,7.468,322.9525,240.16,1.6987289250199453
2018-05-11T11:01:23Z,1.625,0.081,18.5422,1.9176,2.1833,28.485,24.476132,9.775,103.173,7.472,323.0918,237.47,1.707686179281771
2018-05-11T11:01:23Z,1.645,0.083,18.3332,1.973,2.1301,28.472,24.393981,9.9011,104.238,7.477,323.331,233.73,1.7153798545061951
2018-05-11T11:01:23Z,1.665,0.084,18.1912,1.9981,2.0871,28.465,24.317311,10.003,105.042,7.483,323.5224,232.01,1.7207600147513806
2018-05-11T11:01:23Z,1.687,0.085,18.0802,1.991,2.0606,28.464,24.24739,10.0831,105.62,7.491,323.6847,232.66,1.725273031863687
2018-05-11T11:01:23Z,1.711,0.085,17.9605,1.9702,2.0839,28.466,24.183355,10.146,106.025,7.499,323.8302,229.61,1.730360073786278
2018-05-11T11:01:23Z,1.735,0.083,17.8337,1.9482,2.1861,28.456,24.114378,10.1935,106.288,7.508,323.8193,223.97,1.7349944089648726
2018-05-11T11:01:23Z,1.756,0.079,17.7084,1.9365,2.2291,28.439,24.048185,10.23,106.466,7.517,323.7255,220.28,1.7391362572421587
2018-05-11T11:01:23Z,1.776,0.075,17.5875,1.9201,2.2061,28.457,24.017832,10.2616,106.619,7.526,323.7283,217.71,1.7453825990057756
2018-05-11T11:01:23Z,1.793,0.071,17.4698,1.9071,2.2733,28.484,24.001268,10.2909,106.768,7.533,323.8531,215.51,1.7521105981315481
2018-05-11T11:01:23Z,1.808,0.07,17.3621,1.9071,2.401,28.494,23.974835,10.3235,106.969,7.539,323.9441,213.12,1.7573375456145464
