Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-06-04T10:38:52Z,0.63,22.7406,1.2504,2.3062,34.637,33.042867,9.1208,105.724,6.967,304.22,79.038,1.9067800691483572,0.061,0
2018-06-04T10:38:52Z,0.64,22.7386,1.2476,2.3185,34.683,33.069678,9.1451,105.955,6.965,304.4462,76.667,1.90954789397529,0.059,0
2018-06-04T10:38:52Z,0.653,22.7372,1.2735,2.3458,34.741,33.10802,9.1635,106.119,6.964,304.5921,74.733,1.9129904509331113,0.065,0
2018-06-04T10:38:52Z,0.669,22.7204,1.3338,2.4218,34.778,33.125346,9.1773,106.227,6.962,304.6072,72.87,1.915866504611176,0.075,0
2018-06-04T10:38:52Z,0.69,22.6925,1.3697,2.4748,34.823,33.152119,9.1857,106.279,6.961,304.5436,70.976,1.9196873731139141,0.083,0
2018-06-04T10:38:52Z,0.718,22.6682,1.3766,2.4674,34.863,33.177651,9.1909,106.302,6.961,304.425,69.812,1.9230659348801042,0.088,0
2018-06-04T10:38:52Z,0.746,22.6457,1.4173,2.3938,34.878,33.179974,9.1986,106.356,6.962,304.3776,69.222,1.9249089335292655,0.09,0
2018-06-04T10:38:52Z,0.769,22.6174,1.5035,2.2565,34.891,33.180187,9.2099,106.452,6.965,304.4006,68.862,1.9268865792510994,0.089,0
2018-06-04T10:38:52Z,0.789,22.5944,1.5647,2.15,34.903,33.180207,9.2247,106.588,6.968,304.5316,68.363,1.9285794507811782,0.088,0
2018-06-04T10:38:52Z,0.809,22.5778,1.5778,2.1121,34.918,33.180201,9.2439,106.767,6.968,304.6702,67.408,1.9301734493246372,0.086,0
2018-06-04T10:38:52Z,0.83,22.5616,1.5893,2.0428,34.942,33.180101,9.2638,106.932,6.967,304.6993,66.387,1.9322785572027676,0.085,0
2018-06-04T10:38:52Z,0.851,22.543,1.611,1.9225,34.971,33.178951,9.2754,106.981,6.966,304.798,65.147,1.9347821529526614,0.087,0
2018-06-04T10:38:52Z,0.875,22.5272,1.6204,1.8782,34.991,33.166254,9.2729,106.86,6.966,305.0032,63.605,1.9366386645908926,0.092,0
2018-06-04T10:38:52Z,0.899,22.5115,1.6379,1.9045,35.014,33.153568,9.2546,106.547,6.965,305.2883,62.423,1.9386680258595754,0.099,0
2018-06-04T10:38:52Z,0.922,22.4771,1.7771,1.966,35.064,33.152546,9.2222,106.034,6.962,305.5768,61.303,1.9430970538829317,0.108,0
2018-06-04T10:38:52Z,0.948,22.432,2.0079,2.073,35.138,33.153827,9.1799,105.352,6.957,305.7383,60.01,1.9494107805350798,0.114,0
