Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-07-26T11:11:58Z,0.131,25.0597,3.4539,8.2112,28.808,28.876564,8.8459,107.285,8.762,166.8249,1008.9,1.491448794166147,-0.109,0
2018-07-26T11:11:58Z,0.084,25.068,3.4464,8.1905,28.803,28.875439,8.8241,107.036,8.765,166.7199,971.78,1.490910248847287,-0.124,0
2018-07-26T11:11:58Z,0.025,25.0847,3.3943,8.2208,28.789,28.862949,8.8122,106.896,8.765,166.6062,868.95,1.4896114902395474,-0.121,0
2018-07-26T11:11:58Z,0.017,25.1331,3.4022,8.5255,28.805,28.862952,8.8406,107.185,8.764,167.9549,871.26,1.4889374341032322,0.112,0
2018-07-26T11:11:58Z,0.05,25.1246,3.4019,8.3216,28.821,28.876702,8.8338,107.094,8.762,168.0311,742.48,1.4900822402165426,0.108,0
2018-07-26T11:11:58Z,0.071,25.119,3.3931,8.2007,28.833,28.890546,8.8376,107.148,8.763,167.9732,691.28,1.490916411994983,0.092,0
2018-07-26T11:11:58Z,0.089,25.107,3.3876,8.1926,28.842,28.90334,8.8504,107.317,8.765,168.0294,721.52,1.491791911606047,0.067,0
2018-07-26T11:11:58Z,0.106,25.0908,3.3914,8.1931,28.839,28.9044,8.8676,107.538,8.766,168.1942,958.46,1.4921468224925831,0.04,0
2018-07-26T11:11:58Z,0.116,25.0861,3.3658,8.1758,28.834,28.90336,8.884,107.752,8.765,168.3308,1209.1,1.4920241117924464,0.02,0
2018-07-26T11:11:58Z,0.118,25.0933,3.3079,8.1667,28.818,28.890773,8.8962,107.911,8.764,168.4758,1231,1.4909191670163295,0.005,0
2018-07-26T11:11:58Z,0.109,25.1005,3.2709,8.1444,28.806,28.879219,8.9019,107.983,8.765,168.571,1084.7,1.4900333095027927,-0.009,0
2018-07-26T11:11:58Z,0.097,25.1054,3.2579,8.1506,28.817,28.890659,8.9015,107.979,8.767,168.6219,1000.9,1.4904776298577038,-0.019,0
2018-07-26T11:11:58Z,0.093,25.1149,3.2517,8.1805,28.827,28.902101,8.8976,107.936,8.77,168.7472,1059.2,1.490719673174968,-0.02,0
2018-07-26T11:11:58Z,0.091,25.123,3.2512,8.1695,28.815,28.890556,8.8912,107.86,8.771,168.7957,1221.9,1.4898052015131964,-0.013,0
2018-07-26T11:11:58Z,0.081,25.1213,3.2519,8.1702,28.805,28.878073,8.8818,107.739,8.771,168.7779,1402.6,1.4893138515823843,-0.003,0
2018-07-26T11:11:58Z,0.077,25.1202,3.2499,8.1895,28.807,28.878178,8.8706,107.597,8.767,168.8764,1379.2,1.4894583747590093,0.004,0
2018-07-26T11:11:58Z,0.087,25.1252,3.2643,8.1888,28.821,28.891814,8.8601,107.469,8.762,168.9535,1191.1,1.4900625506242098,0.007,0
2018-07-26T11:11:58Z,0.098,25.1276,3.297,8.1929,28.843,28.915944,8.8524,107.379,8.761,168.8499,1036.4,1.4911866608447182,0.006,0
2018-07-26T11:11:58Z,0.102,25.1213,3.3064,8.208,28.842,28.915944,8.8498,107.354,8.765,168.8284,1020,1.491333754293128,0.003,0
2018-07-26T11:11:58Z,0.101,25.1167,3.3038,8.2188,28.817,28.891813,8.8533,107.399,8.769,168.9519,1170.2,1.4901158301680568,-0.002,0
2018-07-26T11:11:58Z,0.096,25.1175,3.3115,8.2326,28.803,28.878177,8.8616,107.499,8.773,168.8806,1319.9,1.4893258848604765,-0.008,0
2018-07-26T11:11:58Z,0.087,25.1195,3.3165,8.253,28.803,28.878073,8.8721,107.625,8.777,168.7399,1328.1,1.4892621000856054,-0.009,0
2018-07-26T11:11:58Z,0.082,25.1226,3.3187,8.2514,28.817,28.890555,8.8812,107.731,8.779,168.8003,1268.9,1.4899274333385688,-0,0
2018-07-26T11:11:58Z,0.08,25.1244,3.3195,8.2437,28.831,28.90208,8.886,107.783,8.779,169.0086,1244.7,1.4906342570510371,0.015,0
2018-07-26T11:11:58Z,0.083,25.1246,3.3444,8.4343,28.821,28.89043,8.8842,107.753,8.777,169.2792,1220.6,1.4900818642615323,0.035,0
2018-07-26T11:11:58Z,0.094,25.1237,3.3998,8.786,28.811,28.876689,8.8761,107.644,8.773,169.5762,1171.9,1.4895645450193518,0.056,0
2018-07-26T11:11:58Z,0.115,25.1212,3.438,8.9565,28.802,28.86294,8.8672,107.518,8.772,169.9326,1104.9,1.4891527266864906,0.074,0
2018-07-26T11:11:58Z,0.142,25.1179,3.4467,8.97,28.797,28.851187,8.8615,107.425,8.772,170.3195,1013.8,1.4889848200652078,0.088,0
2018-07-26T11:11:58Z,0.17,25.1144,3.4498,8.9794,28.815,28.86157,8.8571,107.345,8.772,170.641,953.45,1.490079239230833,0.095,0
2018-07-26T11:11:58Z,0.197,25.1095,3.4848,8.9474,28.822,28.861455,8.8523,107.264,8.772,170.894,932.21,1.4906179046186516,0.095,0
2018-07-26T11:11:58Z,0.222,25.1008,3.5487,8.8884,28.817,28.849797,8.8483,107.195,8.773,171.1417,873.06,1.4906229325534517,0.091,0
2018-07-26T11:11:58Z,0.245,25.0875,3.5794,8.8467,28.819,28.847603,8.8461,107.152,8.775,171.3986,818.8,1.4911577191506524,0.086,0
2018-07-26T11:11:58Z,0.264,25.0737,3.5801,8.8084,28.811,28.834922,8.8488,107.17,8.776,171.6771,812.47,1.4911623248328536,0.082,0
2018-07-26T11:11:58Z,0.281,25.0615,3.6214,8.792,28.803,28.823463,8.8551,107.235,8.776,172.0146,791.11,1.4911156623780326,0.081,0
2018-07-26T11:11:58Z,0.299,25.0506,3.7018,8.8006,28.818,28.836048,8.8589,107.271,8.775,172.4672,766.41,1.4922849795040944,0.083,0
2018-07-26T11:11:58Z,0.319,25.0428,3.7529,8.7911,28.844,28.860084,8.8603,107.28,8.771,172.848,743.13,1.4939569845368132,0.086,0
2018-07-26T11:11:58Z,0.343,25.036,3.779,8.768,28.847,28.860075,8.8619,107.292,8.768,172.9185,718.75,1.4943390984913882,0.089,0
2018-07-26T11:11:58Z,0.37,25.0293,3.881,8.6749,28.825,28.835935,8.864,107.311,8.769,172.8898,692.16,1.4933502839437354,0.09,0
2018-07-26T11:11:58Z,0.396,25.0246,4.0577,8.5198,28.813,28.822205,8.8685,107.36,8.772,173.0172,646.23,1.4928442177360652,0.09,0
2018-07-26T11:11:58Z,0.42,25.0208,4.1596,8.4182,28.813,28.82106,8.8737,107.418,8.775,173.2537,615.59,1.4929658166354238,0.089,0
2018-07-26T11:11:58Z,0.439,25.0169,4.1945,8.3927,28.815,28.822091,8.8765,107.447,8.776,173.4268,608.12,1.4932002263201136,0.087,0
2018-07-26T11:11:58Z,0.457,25.0138,4.4887,8.4252,28.83,28.834676,8.8784,107.463,8.778,173.5622,597.97,1.4941204834925441,0.084,0
2018-07-26T11:11:58Z,0.479,25.0119,5.0232,8.4439,28.843,28.846221,8.8776,107.449,8.781,173.7715,565.99,1.4948926781607728,0.083,0
2018-07-26T11:11:58Z,0.504,25.0098,5.3083,8.4055,28.833,28.834676,8.8744,107.404,8.783,173.9783,532.05,1.494412443782653,0.083,0
2018-07-26T11:11:58Z,0.524,25.006,5.3452,8.3878,28.822,28.822081,8.8736,107.389,8.782,174.1701,521.97,1.4939321667103937,0.085,0
2018-07-26T11:11:58Z,0.544,25.0029,5.4592,8.4741,28.822,28.820938,8.877,107.425,8.778,174.37,514.44,1.4940314860084878,0.088,0
2018-07-26T11:11:58Z,0.565,25.0005,5.6577,8.5954,28.824,28.820843,8.8816,107.476,8.774,174.5022,492.72,1.494217809811893,0.089,0
2018-07-26T11:11:58Z,0.588,24.9977,5.7689,8.633,28.826,28.820928,8.8867,107.532,8.773,174.6497,471.85,1.4944169794305815,0.089,0
2018-07-26T11:11:58Z,0.614,24.9955,5.7842,8.6241,28.827,28.821967,8.8948,107.628,8.775,174.8623,454.25,1.4945420408660985,0.087,0
2018-07-26T11:11:58Z,0.641,24.9929,5.7887,8.6097,28.838,28.833407,8.9023,107.718,8.778,174.9227,431.8,1.4952274599199504,0.084,0
2018-07-26T11:11:58Z,0.664,24.9891,5.8321,8.5808,28.837,28.832243,8.9041,107.742,8.782,174.8636,413.25,1.4952945976998335,0.08,0
2018-07-26T11:11:58Z,0.68,24.9858,5.923,8.5807,28.812,28.807903,8.901,107.705,8.785,175.0079,408.58,1.494031509913793,0.076,0
2018-07-26T11:11:58Z,0.694,24.9844,5.9784,8.6086,28.798,28.793104,8.8952,107.635,8.786,175.3774,403.51,1.4933096734915974,0.073,0
