Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-06-13T09:58:40Z,0.042,24.6252,0.5019,0.6797,84.682,84.127806,8.0094,96.358,7.181,267.1298,95.254,4.744561176664812,0.144,0
2018-06-13T09:58:40Z,0.064,24.6479,0.4695,0.6637,84.67,84.116348,8.0335,96.648,7.183,265.9071,94.213,4.741489075488943,0.099,0
2018-06-13T09:58:40Z,0.07,24.6592,0.4405,0.6636,84.689,84.134584,8.0532,96.883,7.188,265.375,93.707,4.74146186661138,0.059,0
2018-06-13T09:58:40Z,0.07,24.6655,0.4276,0.6786,84.713,84.157269,8.0662,97.04,7.193,265.5142,93.321,4.742252275636027,0.031,0
2018-06-13T09:58:40Z,0.073,24.6682,0.424,0.6916,84.755,84.1996,8.0723,97.114,7.198,265.3536,93.056,4.74449609404576,0.015,0
2018-06-13T09:58:40Z,0.077,24.6675,0.4415,0.6993,84.817,84.264362,8.0709,97.102,7.201,264.379,92.903,4.7482935033811104,0.01,0
2018-06-13T09:58:40Z,0.079,24.6659,0.475,0.6798,84.849,84.303569,8.0476,96.829,7.202,263.3675,92.71,4.750381963100237,0.01,0
2018-06-13T09:58:40Z,0.08,24.6657,0.4886,0.6392,84.89,84.355281,7.9761,95.979,7.205,262.8457,92.466,4.752866361918846,0.011,0
2018-06-13T09:58:40Z,0.082,24.6661,0.4861,0.6358,85.033,84.507574,7.8461,94.425,7.209,262.5438,92.192,4.7614184749518715,0.013,0
2018-06-13T09:58:40Z,0.085,24.6679,0.4819,0.67,85.198,84.680404,7.6722,92.342,7.214,262.4712,91.909,4.7711484656166006,0.014,0
2018-06-13T09:58:40Z,0.09,24.6724,0.483,0.6862,85.301,84.789407,7.4699,89.913,7.22,262.5705,91.403,4.7768708392467865,0.016,0
2018-06-13T09:58:40Z,0.096,24.6788,0.4901,0.6789,85.377,84.870391,7.255,87.332,7.225,262.1952,90.639,4.780771519129213,0.018,0
2018-06-13T09:58:40Z,0.101,24.6856,0.4953,0.7036,85.397,84.895463,7.0559,84.94,7.229,261.0312,90.046,4.7812641767578965,0.024,0
2018-06-13T09:58:40Z,0.105,24.691,0.4999,0.7715,85.335,84.837858,6.8924,82.975,7.23,259.5102,89.253,4.7769755024267955,0.036,0
2018-06-13T09:58:40Z,0.109,24.6949,0.4989,0.8281,85.177,84.683299,6.7733,81.544,7.229,258.0871,87.875,4.767077017911931,0.055,0
2018-06-13T09:58:40Z,0.117,24.6979,0.4938,0.8389,84.982,84.491252,6.7042,80.713,7.229,257.3323,84.391,4.7550529046852,0.076,0
2018-06-13T09:58:40Z,0.137,24.7004,0.493,0.8404,84.915,84.426106,6.6752,80.364,7.235,257.5252,79.252,4.750769640535391,0.094,0
2018-06-13T09:58:40Z,0.174,24.7029,0.4895,0.8461,84.959,84.468702,6.6657,80.249,7.247,258.0107,74.062,4.7531508288884625,0.105,0
2018-06-13T09:58:40Z,0.22,24.7045,0.4974,0.8161,84.989,84.496878,6.6571,80.144,7.26,258.212,69.814,4.75478379679683,0.106,0
2018-06-13T09:58:40Z,0.256,24.7054,0.5328,0.7528,85.008,84.512081,6.6382,79.913,7.27,258.2373,68.629,4.755829593865699,0.097,0
2018-06-13T09:58:40Z,0.278,24.7063,0.5591,0.6913,85.028,84.525157,6.6107,79.578,7.28,258.4036,66.404,4.756936287585952,0.082,0
2018-06-13T09:58:40Z,0.289,24.7058,0.5586,0.6525,85.037,84.527621,6.5774,79.172,7.288,258.7605,63.043,4.757528140554692,0.062,0
2018-06-13T09:58:40Z,0.295,24.7047,0.5722,0.6497,85.055,84.541856,6.5334,78.638,7.295,259.0235,62.187,4.7587230483594585,0.045,0
2018-06-13T09:58:40Z,0.301,24.7027,0.6043,0.6573,85.084,84.569915,6.4794,77.988,7.303,259.3472,61.819,4.760671848264458,0.035,0
2018-06-13T09:58:40Z,0.31,24.6985,0.625,0.6524,85.126,84.612184,6.4264,77.351,7.309,259.7487,60.88,4.76362991285075,0.031,0
2018-06-13T09:58:40Z,0.319,24.6939,0.6299,0.6523,85.183,84.670874,6.3871,76.878,7.314,259.9202,59.52,4.767531383234982,0.031,0
2018-06-13T09:58:40Z,0.327,24.6917,0.626,0.6561,85.218,84.706447,6.3732,76.711,7.318,260.2164,58.68,4.7698624209079,0.03,0
2018-06-13T09:58:40Z,0.335,24.6916,0.6334,0.6674,85.235,84.723912,6.3873,76.882,7.321,260.7488,57.825,4.770893775855563,0.028,0
2018-06-13T09:58:40Z,0.342,24.6923,0.6454,0.6665,85.266,84.754697,6.4233,77.316,7.323,261.1086,56.874,4.772683073033622,0.024,0
2018-06-13T09:58:40Z,0.348,24.6933,0.6423,0.6454,85.274,84.76028,6.4738,77.922,7.326,261.2978,56.329,4.773059341215761,0.02,0
2018-06-13T09:58:40Z,0.352,24.6943,0.6333,0.6574,85.245,84.727737,6.532,78.619,7.33,261.5734,55.019,4.771212820840163,0.017,0
2018-06-13T09:58:40Z,0.355,24.6948,0.6285,0.6886,85.2,84.679596,6.5913,79.329,7.334,261.6883,54.391,4.768457355410709,0.013,0
2018-06-13T09:58:40Z,0.358,24.6947,0.6305,0.6873,85.148,84.623935,6.6438,79.958,7.338,261.3957,54.68,4.76534393952563,0.012,0
2018-06-13T09:58:40Z,0.361,24.6935,0.6383,0.6719,85.091,84.564147,6.685,80.452,7.342,261.0476,54.455,4.762044522838208,0.013,0
2018-06-13T09:58:40Z,0.363,24.6907,0.6402,0.6556,85.058,84.529787,6.7164,80.828,7.346,261.0068,54.528,4.760352824255159,0.015,0
2018-06-13T09:58:40Z,0.364,24.6884,0.6262,0.6424,85.056,84.526862,6.7397,81.107,7.348,261.2464,53.659,4.76047140277857,0.017,0
2018-06-13T09:58:40Z,0.369,24.6869,0.6167,0.6344,85.057,84.52878,6.7559,81.304,7.352,261.5349,52.169,4.760687011310971,0.019,0
2018-06-13T09:58:40Z,0.378,24.6848,0.6258,0.6206,85.079,84.552979,6.7662,81.43,7.356,261.8288,51.744,4.762226276564589,0.019,0
2018-06-13T09:58:40Z,0.385,24.6832,0.6448,0.6279,85.089,84.564754,6.769,81.466,7.358,261.9604,51.014,4.762992831087213,0.018,0
2018-06-13T09:58:40Z,0.39,24.683,0.6715,0.6611,85.066,84.543801,6.7623,81.387,7.36,261.9219,50.052,4.7616316025291345,0.016,0
2018-06-13T09:58:40Z,0.392,24.6836,0.6917,0.6867,85.074,84.554346,6.7423,81.147,7.364,262.1367,49.922,4.762049881818827,0.011,0
2018-06-13T09:58:40Z,0.394,24.6848,0.6958,0.6941,85.083,84.564899,6.7052,80.702,7.369,262.4937,50.033,4.7624658654041125,0.006,0
2018-06-13T09:58:40Z,0.395,24.6862,0.6936,0.6885,85.061,84.544051,6.6527,80.072,7.372,262.6239,49.356,4.760998683728008,0.002,0
2018-06-13T09:58:40Z,0.395,24.6874,0.7013,0.6796,85.073,84.556974,6.5902,79.32,7.375,262.5069,50.081,4.761595030700206,-0.001,0
2018-06-13T09:58:40Z,0.394,24.6888,0.7248,0.6784,85.11,84.593809,6.5276,78.565,7.38,262.2843,51.742,4.763672444705014,-0.005,0
2018-06-13T09:58:40Z,0.393,24.6899,0.7393,0.6742,85.125,84.607369,6.4763,77.948,7.384,262.1691,51.888,4.764459335384563,-0.006,0
2018-06-13T09:58:40Z,0.391,24.6905,0.7292,0.6591,85.114,84.593573,6.4413,77.524,7.389,262.2325,52.24,4.763736186232012,-0.006,0
2018-06-13T09:58:40Z,0.387,24.6909,0.7224,0.6495,85.077,84.554344,6.4232,77.304,7.393,262.3625,52.496,4.761472276049966,-0.005,0
2018-06-13T09:58:40Z,0.384,24.6907,0.7306,0.649,85.041,84.515097,6.4177,77.235,7.397,262.535,52.133,4.759330830297564,-0.002,0
2018-06-13T09:58:40Z,0.385,24.6902,0.7357,0.6526,85.03,84.50109,6.4166,77.219,7.401,262.6845,51.928,4.758721775096774,0,0
2018-06-13T09:58:40Z,0.387,24.6887,0.7378,0.6628,85.044,84.512332,6.4176,77.229,7.403,262.7072,52.05,4.75971823834348,0.003,0
2018-06-13T09:58:40Z,0.389,24.6862,0.7383,0.6804,85.057,84.523669,6.4226,77.287,7.406,262.637,53.012,4.760758720559751,0.006,0
2018-06-13T09:58:40Z,0.39,24.6843,0.7421,0.6827,85.047,84.510816,6.4308,77.384,7.408,262.5241,53.114,4.760355123439167,0.01,0
2018-06-13T09:58:40Z,0.392,24.6829,0.747,0.6607,85.022,84.484271,6.4388,77.479,7.407,262.5466,52.123,4.7589984691931235,0.02,0
2018-06-13T09:58:40Z,0.393,24.6815,0.7419,0.6579,84.999,84.457412,6.4456,77.557,7.403,262.9958,52.107,4.757761925033585,0.038,0
2018-06-13T09:58:40Z,0.398,24.6801,0.7538,0.7094,84.987,84.440755,6.4506,77.613,7.402,263.911,51.581,4.7571861048590485,0.064,0
2018-06-13T09:58:40Z,0.411,24.6791,0.781,0.7961,84.963,84.41021,6.4508,77.611,7.404,264.8366,50.495,4.7558475190932,0.098,0
2018-06-13T09:58:40Z,0.439,24.6777,0.786,0.8512,84.903,84.342794,6.4451,77.536,7.408,265.4113,49.685,4.752386617669412,0.137,0
2018-06-13T09:58:40Z,0.482,24.6754,0.7855,0.8557,84.834,84.26236,6.4439,77.511,7.415,265.6969,48.655,4.748477500251434,0.174,0
2018-06-13T09:58:40Z,0.537,24.673,0.7939,0.8517,84.784,84.201772,6.4727,77.848,7.423,265.9659,49.417,4.74571986614412,0.201,0
2018-06-13T09:58:40Z,0.602,24.6699,0.8046,0.864,84.771,84.18328,6.546,78.724,7.431,266.7718,52.312,4.745256471901909,0.215,0
2018-06-13T09:58:40Z,0.673,24.6654,0.8136,0.8821,84.755,84.166111,6.6462,79.929,7.437,268.5581,55.188,4.7447572428996345,0.215,0
2018-06-13T09:58:40Z,0.734,24.657,0.8117,0.8874,84.709,84.121527,6.7452,81.119,7.441,269.4958,56.814,4.742859544149834,0.203,0
2018-06-13T09:58:40Z,0.779,24.6493,0.7997,0.8367,84.675,84.089929,6.8185,82.003,7.446,268.3867,58.095,4.741611165614274,0.181,0
2018-06-13T09:58:40Z,0.818,24.6462,0.7886,0.7264,84.685,84.102441,6.8503,82.387,7.452,267.7957,59.778,4.7425313139664365,0.155,0
2018-06-13T09:58:40Z,0.858,24.6461,0.7872,0.6527,84.729,84.145464,6.8398,82.26,7.455,268.2007,61.172,4.7451840562226995,0.135,0
2018-06-13T09:58:40Z,0.886,24.6472,0.7919,0.6482,84.749,84.164392,6.7939,81.709,7.457,268.2071,61.768,4.746270841535652,0.129,0
2018-06-13T09:58:40Z,0.902,24.649,0.8,0.6711,84.724,84.140267,6.7251,80.882,7.46,268.1308,61.86,4.744581588350985,0.131,0
2018-06-13T09:58:40Z,0.925,24.6505,0.8018,0.6856,84.691,84.108467,6.6454,79.924,7.465,268.3974,62.324,4.742442178535244,0.132,0
2018-06-13T09:58:40Z,0.969,24.6494,0.7952,0.671,84.68,84.098275,6.5649,78.956,7.469,269.1076,63.564,4.741892540356895,0.133,0
2018-06-13T09:58:40Z,1.019,24.6485,0.794,0.6475,84.664,84.080702,6.4898,78.051,7.47,269.6626,65.579,4.741021305332686,0.134,0
2018-06-13T09:58:40Z,1.06,24.6495,0.796,0.6447,84.612,84.023338999999993,6.4236,77.25,7.471,269.6001,66.899,4.737790790695125,0.133,0
2018-06-13T09:58:40Z,1.088,24.6503,0.7835,0.6687,84.572,83.977764,6.3724,76.629,7.473,269.5572,66.937,4.7353033108606635,0.121,0
2018-06-13T09:58:40Z,1.111,24.6505,0.753,0.6929,84.573,83.975363,6.3304,76.122,7.478,269.66,68.21,4.735341871416417,0.1,0
2018-06-13T09:58:40Z,1.138,24.65,0.7306,0.6937,84.597,83.994305,6.2878,75.605,7.485,269.467,70.842,4.7368342212229875,0.075,0
2018-06-13T09:58:40Z,1.162,24.6468,0.7332,0.678,84.626,84.015763,6.2479,75.12,7.494,269.2011,73.488,4.738906587434481,0.052,0
2018-06-13T09:58:40Z,1.173,24.6419,0.7565,0.6559,84.663,84.043774,6.215,74.716,7.501,269.1122,75.958,4.741636806692143,0.031,0
2018-06-13T09:58:40Z,1.173,24.6403,0.7829,0.6397,84.708,84.078289,6.1864,74.365,7.507,268.6511,77.802,4.744507506038365,0.008,0
2018-06-13T09:58:40Z,1.168,24.6385,0.785,0.6357,84.753,84.114691,6.1601,74.042,7.514,267.7557,79.574,4.747399495422206,-0.017,0
2018-06-13T09:58:40Z,1.161,24.6334,0.7736,0.6371,84.812,84.165516,6.1353,73.738,7.519,267.148,80.897,4.751475726217487,-0.042,0
2018-06-13T09:58:40Z,1.151,24.6289,0.7649,0.6565,84.836,84.183415,6.1171,73.513,7.524,266.8955,81.402,4.753386069309477,-0.064,0
2018-06-13T09:58:40Z,1.135,24.6227,0.7531,0.6874,84.797,84.140082,6.1165,73.503,7.525,267.1127,81.049,4.751684424755299,-0.076,0
2018-06-13T09:58:40Z,1.108,24.6169,0.7493,0.705,84.746,84.087287,6.1329,73.699,7.525,267.5372,78.699,4.749219864702116,-0.071,0
2018-06-13T09:58:40Z,1.072,24.6131,0.7471,0.7165,84.714,84.054466,6.1574,73.992,7.523,267.4683,74.99,4.747690973012871,-0.045,0
2018-06-13T09:58:40Z,1.04,24.6089,0.7445,0.7047,84.721,84.061614,6.187,74.348,7.521,267.2258,70.69,4.7485493586354455,0.001,0
2018-06-13T09:58:40Z,1.034,24.6063,0.7636,0.6851,84.769,84.110028,6.2208,74.755,7.523,267.1005,67.139,4.751707178310571,0.061,0
2018-06-13T09:58:40Z,1.064,24.6051,0.786,0.6924,84.789,84.130438,6.2547,75.162,7.528,266.9004,66.191,4.7530333733234444,0.123,0
2018-06-13T09:58:40Z,1.123,24.6042,0.794,0.7017,84.775,84.11736,6.2847,75.525,7.533,266.699,67.298,4.752281356466773,0.176,0
2018-06-13T09:58:40Z,1.198,24.6043,0.8142,0.7059,84.8,84.142933,6.3079,75.804,7.534,266.73,69.65,4.7537712116202355,0.213,0
2018-06-13T09:58:40Z,1.27,24.605,0.8468,0.6822,84.847,84.184942,6.3239,75.992,7.534,266.8448,72.444,4.756522838337173,0.231,0
2018-06-13T09:58:40Z,1.327,24.606,0.857,0.6597,84.855,84.179556,6.3391,76.164,7.535,266.7966,74.277,4.756897710855702,0.232,0
2018-06-13T09:58:40Z,1.377,24.6067,0.8558,0.6774,84.836,84.141461,6.3589,76.385,7.538,266.7497,75.368,4.7556797147806025,0.222,0
2018-06-13T09:58:40Z,1.429,24.6074,0.8779,0.6833,84.821,84.106343,6.3807,76.63,7.542,266.8796,76.774,4.754702241257521,0.204,0
2018-06-13T09:58:40Z,1.485,24.6064,0.9124,0.6701,84.801,84.073294,6.399,76.839,7.546,267.1621,78.805,4.753599858898675,0.186,0
2018-06-13T09:58:40Z,1.54,24.598,0.9235,0.6705,84.795,84.060217,6.4119,76.988,7.548,267.4987,81.475,4.754107966977022,0.173,0
2018-06-13T09:58:40Z,1.581,24.5837,0.9205,0.6871,84.813,84.075559,6.4216,77.103,7.548,267.7657,83.778,4.75667434831582,0.168,0
2018-06-13T09:58:40Z,1.61,24.5714,0.9502,0.7496,84.812,84.067766,6.4333,77.238,7.548,267.8948,83.45,4.7578911802689055,0.171,0
2018-06-13T09:58:40Z,1.636,24.563,1.0065,0.8465,84.791,84.029659,6.452,77.448,7.551,267.7696,80.494,4.757498868605979,0.18,0
2018-06-13T09:58:40Z,1.677,24.5594,1.0409,0.882,84.781,83.996819,6.4743,77.695,7.556,267.3706,78.535,4.757268989555074,0.186,0
2018-06-13T09:58:40Z,1.737,24.5601,1.0534,0.8735,84.793,83.989039,6.4886,77.849,7.562,267.0279,78.461,4.757915914799318,0.185,0
2018-06-13T09:58:40Z,1.811,24.5577,1.0747,0.8349,84.808,83.999231,6.4902,77.864,7.567,266.896,78.84,4.759064912229611,0.173,0
2018-06-13T09:58:40Z,1.875,24.5472,1.106,0.7511,84.793,83.992689,6.484,77.797,7.571,266.8087,80.329,4.759249831021919,0.148,0
2018-06-13T09:58:40Z,1.908,24.5309,1.1283,0.6848,84.763,83.973632,6.4709,77.65,7.575,266.8322,81.724,4.7591362862470605,0.116,0
2018-06-13T09:58:40Z,1.913,24.5163,1.133,0.6431,84.743,83.959853,6.4464,77.361,7.578,267.0079,81.629,4.759450033019554,0.086,0
2018-06-13T09:58:40Z,1.91,24.5139,1.126,0.644,84.733,83.953447,6.4102,76.929,7.58,267.1262,81.566,4.759097345368879,0.064,0
2018-06-13T09:58:40Z,1.914,24.5217,1.099,0.6645,84.739,83.959852,6.3672,76.414,7.583,267.1452,82.358,4.758647436229985,0.055,0
2018-06-13T09:58:40Z,1.93,24.5295,1.0631,0.6473,84.751,83.973621,6.3187,75.834,7.586,267.2375,83.481,4.758558386266456,0.059,0
2018-06-13T09:58:40Z,1.957,24.5331,1.0511,0.6496,84.766,83.992569,6.2652,75.194,7.589,267.4668,84.271,4.759086318410142,0.066,0
2018-06-13T09:58:40Z,1.982,24.5341,1.0542,0.6926,84.764,83.997938,6.2074,74.507,7.591,267.6805,84.563,4.758860424513984,0.071,0
2018-06-13T09:58:40Z,2.002,24.5342,1.0467,0.7087,84.731,83.974877,6.1473,73.793,7.593,267.6711,84.525,4.756860802570573,0.069,0
2018-06-13T09:58:40Z,2.017,24.5344,1.0246,0.6919,84.716,83.968451,6.0896,73.108,7.595,267.5252,84.183,4.755935517834818,0.06,0
2018-06-13T09:58:40Z,2.03,24.5366,1.0069,0.6724,84.726,83.983926,6.0435,72.559,7.597,267.4643,83.845,4.756308665861033,0.05,0
2018-06-13T09:58:40Z,2.04,24.5418,0.9978,0.656,84.71,83.970981,6.0202,72.282,7.6,267.4518,83.597,4.754803760169735,0.043,0
2018-06-13T09:58:40Z,2.048,24.5478,1.0338,0.6775,84.675,83.939277,6.0225,72.311,7.602,267.4597,83.408,4.752071848590131,0.042,0
2018-06-13T09:58:40Z,2.056,24.5531,1.121,0.7189,84.654,83.918959,6.0449,72.581,7.603,267.6465,83.632,4.750256446879605,0.047,0
2018-06-13T09:58:40Z,2.065,24.5567,1.17,0.729,84.651,83.916339,6.0789,72.99,7.602,267.989,84.229,4.749701706021621,0.057,0
2018-06-13T09:58:40Z,2.078,24.5588,1.1763,0.7386,84.644,83.9076,6.1149,73.421,7.599,268.0734,84.902,4.749061678356878,0.068,0
2018-06-13T09:58:40Z,2.098,24.56,1.179,0.7436,84.614,83.876968,6.1429,73.756,7.597,267.8069,85.842,4.747129822809768,0.077,0
2018-06-13T09:58:40Z,2.124,24.5604,1.1839,0.6973,84.602,83.864328,6.1558,73.91,7.599,267.5192,87.131,4.746364482371854,0.082,0
2018-06-13T09:58:40Z,2.153,24.5603,1.1987,0.6365,84.621,83.882118,6.1498,73.837,7.603,267.2617,88.205,4.747517440229514,0.082,0
2018-06-13T09:58:40Z,2.179,24.5596,1.2111,0.6194,84.641,83.901048,6.1227,73.51,7.605,267.1027,88.718,4.748792940441393,0.077,0
2018-06-13T09:58:40Z,2.197,24.5585,1.223,0.6431,84.643,83.902186,6.0777,72.969,7.607,267.2326,89.324,4.749026732239574,0.069,0
2018-06-13T09:58:40Z,2.207,24.5577,1.2417,0.6782,84.637,83.895874,6.0217,72.297,7.608,267.5412,90.136,4.748748097010666,0.063,0
2018-06-13T09:58:40Z,2.217,24.5572,1.2534,0.6784,84.631,83.888407,5.9613,71.57,7.607,267.8229,90.338,4.74843818321789,0.064,0
2018-06-13T09:58:40Z,2.228,24.5568,1.2549,0.6452,84.626,83.875568,5.9042,70.88,7.606,267.885,90.281,4.748178156796784,0.073,0
2018-06-13T09:58:40Z,2.243,24.5566,1.2414,0.6128,84.631,83.867973,5.8596,70.334,7.606,267.6904,90.471,4.748499417716663,0.084,0
2018-06-13T09:58:40Z,2.268,24.5565,1.2094,0.6213,84.638,83.860231,5.8348,70.024,7.609,267.7061,90.527,4.748930115924291,0.093,0
2018-06-13T09:58:40Z,2.304,24.5563,1.189,0.6869,84.636,83.845609,5.8346,70.012,7.612,267.9894,90.967,4.748828493125027,0.096,0
2018-06-13T09:58:40Z,2.34,24.5527,1.1889,0.7355,84.617,83.818504,5.858,70.287,7.616,268.104,91.791,4.748055872516639,0.094,0
