Date,Depth_m,Descent Rate (m/s),Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity
2018-04-30T15:29:15Z,0.02,0.049,15.3257,0.2256,1.2594,34.661,27.873392,7.8398,78.098,7.092,303.4741,1701.5,2.2740171287284117
2018-04-30T15:29:15Z,0.027,0.046,15.3202,0.2164,1.2864,34.656,27.834028,7.9761,79.368,7.094,303.3584,1696.9,2.2739827728400592
2018-04-30T15:29:15Z,0.034,0.046,15.3009,0.2079,1.2837,34.693,27.832533,8.1173,80.696,7.094,303.3409,1680.3,2.277661066408727
2018-04-30T15:29:15Z,0.045,0.047,15.2615,0.1962,1.2572,34.754,27.855281,8.2656,82.102,7.094,303.0043,1592.7,2.284167892854011
2018-04-30T15:29:15Z,0.059,0.05,15.2047,0.1942,1.2713,34.785,27.855044,8.4353,83.723,7.094,302.3853,1458.6,2.2895946428835177
2018-04-30T15:29:15Z,0.075,0.054,15.1499,0.2023,1.3011,34.782,27.829636,8.6303,85.596,7.094,301.9658,1405.5,2.292542436207843
2018-04-30T15:29:15Z,0.091,0.057,15.1076,0.2028,1.2823,34.774,27.802044,8.8355,87.576,7.094,301.8033,1461.3,2.294424301734736
2018-04-30T15:29:15Z,0.105,0.058,15.0708,0.1997,1.2571,34.762,27.775397,9.0378,89.534,7.094,301.7121,1485.1,2.2957110326685863
2018-04-30T15:29:15Z,0.119,0.058,15.035,0.2008,1.2415,34.759,27.761431,9.2239,91.345,7.093,301.6371,1217.1,2.2975725846209083
2018-04-30T15:29:15Z,0.134,0.058,15.0004,0.207,1.2459,34.765,27.760161,9.372,92.793,7.09,301.5838,1042,2.2999988218337855
2018-04-30T15:29:15Z,0.149,0.059,14.9708,0.2014,1.2795,34.77,27.760036,9.4662,93.712,7.088,301.5839,1217.5,2.302068044536999
2018-04-30T15:29:15Z,0.164,0.061,14.9449,0.1886,1.2805,34.775,27.759913,9.5113,94.146,7.087,301.639,1103.4,2.30392463995319
2018-04-30T15:29:15Z,0.179,0.062,14.9281,0.1994,1.2586,34.782,27.758663,9.5164,94.177,7.087,301.6483,806.7,2.3053940210065385
2018-04-30T15:29:15Z,0.195,0.062,14.9212,0.2125,1.2589,34.779,27.744923,9.4906,93.89,7.087,301.6096,846.5,2.3055843454796645
2018-04-30T15:29:15Z,0.212,0.062,14.9152,0.2088,1.2529,34.766,27.720775,9.4522,93.472,7.088,301.601,1032.7,2.3050188365522506
2018-04-30T15:29:15Z,0.229,0.062,14.9101,0.2098,1.2479,34.781,27.720662,9.4142,93.061,7.088,301.6304,1045.7,2.3063705654726
2018-04-30T15:29:15Z,0.245,0.061,14.9024,0.2068,1.2608,34.818,27.743545,9.3795,92.697,7.088,301.793,890.42,2.309422355106485
2018-04-30T15:29:15Z,0.26,0.059,14.8853,0.1998,1.2854,34.822,27.74345,9.3506,92.403,7.088,302.0183,761.34,2.3107017205094964
2018-04-30T15:29:15Z,0.275,0.056,14.864,0.2077,1.3014,34.794,27.719509,9.3281,92.175,7.088,302.1176,800.86,2.3099735143418845
2018-04-30T15:29:15Z,0.289,0.053,14.844,0.2104,1.2704,34.785,27.708069,9.3096,91.98,7.088,302.2193,884.56,2.3105073227286574
2018-04-30T15:29:15Z,0.303,0.051,14.8341,0.204,1.2165,34.825,27.732114,9.2933,91.798,7.088,302.4734,880.53,2.3139051604624354
2018-04-30T15:29:15Z,0.315,0.051,14.8329,0.2046,1.1987,34.862,27.756235,9.2808,91.657,7.088,302.7814,1019.6,2.3165834697546654
2018-04-30T15:29:15Z,0.326,0.052,14.8314,0.2081,1.2382,34.852,27.745718,9.2689,91.533,7.088,303.103,1358.1,2.31596597611099
2018-04-30T15:29:15Z,0.338,0.054,14.8265,0.2097,1.2674,34.836,27.731945,9.2534,91.377,7.087,303.438,1439.3,2.315124587099215
2018-04-30T15:29:15Z,0.352,0.057,14.8127,0.2058,1.2468,34.821,27.716704,9.2384,91.221,7.086,303.8196,1129.8,2.314874694471596
2018-04-30T15:29:15Z,0.368,0.06,14.8013,0.1978,1.2332,34.791,27.688432,9.2265,91.089,7.086,304.2761,880.3,2.313425661115729
2018-04-30T15:29:15Z,0.385,0.062,14.801,0.195,1.2247,34.743,27.644094,9.2175,90.983,7.086,304.7407,877.7,2.3100565907693604
2018-04-30T15:29:15Z,0.402,0.064,14.801,0.2,1.2057,34.731,27.625105,9.2125,90.907,7.085,305.221,869.75,2.309209568238543
2018-04-30T15:29:15Z,0.418,0.064,14.797,0.204,1.2169,34.781,27.649314,9.2142,90.88,7.084,305.6098,775.1,2.312970330377522
2018-04-30T15:29:15Z,0.433,0.063,14.7882,0.207,1.2073,34.777,27.61929,9.2253,90.912,7.084,305.827,746.99,2.313202890039413
2018-04-30T15:29:15Z,0.449,0.062,14.7814,0.2082,1.1809,34.717,27.516056,9.2469,90.969,7.085,306.0414,696.61,2.309366141638043
2018-04-30T15:29:15Z,0.466,0.059,14.7699,0.2082,1.2331,34.695,27.417032,9.2771,91.032,7.086,306.3087,625.54,2.3084851506254553
2018-04-30T15:29:15Z,0.482,0.056,14.746,0.2068,1.2584,34.74,27.374373,9.305,91.083,7.088,306.4784,710.6,2.3130609560938153
2018-04-30T15:29:15Z,0.496,0.053,14.7211,0.2008,1.2124,34.814,27.381155,9.3212,91.095,7.09,306.6306,848.22,2.319751235532239
2018-04-30T15:29:15Z,0.51,0.05,14.6462,0.2003,1.1957,34.841,27.371982,9.3243,91.037,7.092,306.8572,844.01,2.326073370042928
2018-04-30T15:29:15Z,0.521,0.048,14.5031,0.2103,1.2096,34.812,27.326936,9.3159,90.89,7.095,307.0681,784.29,2.3324827077389907
2018-04-30T15:29:15Z,0.531,0.047,14.3779,0.2197,1.2274,34.785,27.280956,9.2997,90.661,7.095,307.2873,749.04,2.3380038734565236
2018-04-30T15:29:15Z,0.542,0.047,14.3113,0.2127,1.2284,34.8,27.260503,9.2811,90.391,7.095,307.4432,681.07,2.343049158031684
2018-04-30T15:29:15Z,0.553,0.048,14.2746,0.2,1.2223,34.855,27.270092000000002,9.262,90.109,7.096,307.5752,648.48,2.3491774679152
2018-04-30T15:29:15Z,0.566,0.051,14.2462,0.2037,1.2447,34.893,27.269867,9.2405,89.815,7.096,307.8517,673.83,2.353601038973495
2018-04-30T15:29:15Z,0.58,0.055,14.2147,0.2124,1.2557,34.907,27.257744,9.2185,89.536,7.095,308.1192,690,2.3564983684778174
2018-04-30T15:29:15Z,0.595,0.057,14.1648,0.2125,1.2331,34.914,27.250482,9.1975,89.295,7.093,308.3147,706.89,2.360008246213741
2018-04-30T15:29:15Z,0.61,0.061,14.1129,0.2146,1.2148,34.919,27.245551,9.1796,89.097,7.092,308.5806,709.71,2.3635031277182224
2018-04-30T15:29:15Z,0.625,0.066,14.0702,0.2197,1.1875,34.953,27.261601,9.1716,88.991,7.09,308.8391,644.91,2.3685331714160274
2018-04-30T15:29:15Z,0.64,0.071,14.0325,0.219,1.1768,34.96,27.254046,9.1763,88.999,7.087,309.0311,598.06,2.371325877275692
2018-04-30T15:29:15Z,0.658,0.075,14.0188,0.2146,1.2072,34.935,27.217676,9.1928,89.113,7.085,309.1803,644.96,2.370358404126199
2018-04-30T15:29:15Z,0.68,0.078,14.0109,0.2123,1.2503,34.937,27.202817,9.2186,89.316,7.084,309.3527,655.56,2.37098191603416
2018-04-30T15:29:15Z,0.705,0.079,13.9947,0.2108,1.2707,34.951,27.201363,9.2457,89.543,7.084,309.5681,516.61,2.372974934773938
2018-04-30T15:29:15Z,0.727,0.078,13.9775,0.2137,1.3327,34.96,27.200086,9.2671,89.727,7.085,309.7199,409.51,2.374670204726324
2018-04-30T15:29:15Z,0.746,0.077,13.951,0.2198,1.4802,34.951,27.187362,9.2811,89.847,7.086,309.8111,446.28,2.375635992138643
2018-04-30T15:29:15Z,0.764,0.074,13.9247,0.22,1.5287,34.941,27.174504,9.2868,89.889,7.086,309.8962,530.4,2.3765183337439715
2018-04-30T15:29:15Z,0.781,0.073,13.9069,0.2167,1.4614,34.943,27.171618,9.2843,89.853,7.086,310.0604,611.35,2.377748841116225
2018-04-30T15:29:15Z,0.798,0.075,13.8964,0.2262,1.3676,34.924,27.152464,9.2765,89.764,7.085,310.2472,618.26,2.377017493175287
2018-04-30T15:29:15Z,0.816,0.08,13.8898,0.252,1.2492,34.906,27.133395,9.2642,89.632,7.083,310.3481,538.23,2.376119854945669
2018-04-30T15:29:15Z,0.836,0.085,13.8829,0.2712,1.1895,34.908,27.131545,9.2522,89.505,7.082,310.5062,517.54,2.376685021358873
2018-04-30T15:29:15Z,0.859,0.089,13.8774,0.2738,1.1954,34.911,27.130085,9.2469,89.445,7.082,310.7822,525.96,2.3772369893452594
2018-04-30T15:29:15Z,0.886,0.09,13.8705,0.266,1.2286,34.896,27.115745,9.2448,89.416,7.081,311.0184,466.14,2.3765737117127688
2018-04-30T15:29:15Z,0.912,0.089,13.8624,0.268,1.2862,34.86,27.085151,9.2418,89.379,7.08,311.1252,404.76,2.374465599439181
2018-04-30T15:29:15Z,0.935,0.088,13.8571,0.2803,1.3127,34.853,27.07766,9.2405,89.36,7.079,311.2125,360.01,2.374282406943193
2018-04-30T15:29:15Z,0.955,0.085,13.8538,0.2762,1.2736,34.869,27.088669,9.2396,89.347,7.077,311.3855,360.21,2.3756398932812086
2018-04-30T15:29:15Z,0.975,0.081,13.8492,0.2648,1.2402,34.873,27.091259,9.2371,89.323,7.075,311.5827,373.51,2.3762094669946623
2018-04-30T15:29:15Z,0.995,0.08,13.8445,0.2708,1.2449,34.894,27.108982,9.2368,89.323,7.073,311.7035,339.75,2.3780145995480937
2018-04-30T15:29:15Z,1.015,0.081,13.8414,0.2853,1.2396,34.897,27.112454,9.2394,89.352,7.073,311.7282,314.97,2.378420512815306
2018-04-30T15:29:15Z,1.035,0.085,13.8397,0.2829,1.2069,34.844,27.069739,9.2429,89.382,7.073,311.7944,315.92,2.374690790199506
2018-04-30T15:29:15Z,1.055,0.091,13.8392,0.2696,1.1845,34.806,27.036995,9.2463,89.406,7.072,311.988,323.37,2.371972714791991
2018-04-30T15:29:15Z,1.078,0.099,13.8416,0.2628,1.2126,34.808,27.034033,9.2493,89.422,7.069,312.1764,339.35,2.3719702915409258
2018-04-30T15:29:15Z,1.104,0.105,13.8449,0.2651,1.2411,34.816,27.033919,9.2495,89.406,7.065,312.2654,376.67,2.372346529551385
2018-04-30T15:29:15Z,1.133,0.109,13.8423,0.2696,1.2248000000000001,34.826,27.035611,9.246,89.355,7.062,312.2893,431.55,2.3732273115743165
2018-04-30T15:29:15Z,1.165,0.109,13.837,0.2618,1.1984,34.857,27.054491,9.2424,89.305,7.061,312.2941,430.45,2.375791783746484
2018-04-30T15:29:15Z,1.198,0.107,13.831,0.2533,1.1969,34.883,27.071695,9.2396,89.268,7.06,312.4089,369.01,2.378037946892526
2018-04-30T15:29:15Z,1.226,0.102,13.8214,0.259,1.206,34.863,27.053129,9.2363,89.228,7.059,312.6449,374.31,2.3771771778820847
2018-04-30T15:29:15Z,1.246,0.097,13.8112,0.2669,1.2176,34.826,27.020498,9.2344,89.2,7.058,312.8247,410.31,2.375122791915553
2018-04-30T15:29:15Z,1.266,0.091,13.8033,0.2742,1.2155,34.798,26.994637,9.2337,89.182,7.057,312.9473,382.75,2.373578335878298
2018-04-30T15:29:15Z,1.29,0.086,13.7993,0.2923,1.1798,34.801,26.994418,9.2344,89.18,7.057,313.0951,357.92,2.374039023386963
2018-04-30T15:29:15Z,1.314,0.082,13.7966,0.3201,1.1827,34.835,27.017857,9.2377,89.205,7.057,313.1496,353.43,2.3766645469175582
2018-04-30T15:29:15Z,1.336,0.079,13.7899,0.3356,1.2207,34.847,27.024039,9.2398,89.218,7.058,313.0037,342.47,2.377942611943825
2018-04-30T15:29:15Z,1.355,0.076,13.7838,0.3414,1.2112,34.827,27.005661,9.2412,89.222,7.06,312.8801,320.05,2.3768669760407986
2018-04-30T15:29:15Z,1.372,0.072,13.7806,0.3434,1.1897,34.805,26.986139,9.2446,89.247,7.061,312.9455,296.99,2.3754688857003563
2018-04-30T15:29:15Z,1.388,0.07,13.7767,0.3333,1.205,34.797,26.978489,9.2466,89.262,7.062,313.0205,294.62,2.3751274537080067
2018-04-30T15:29:15Z,1.406,0.07,13.7726,0.3292,1.2432,34.795,26.976662,9.2441,89.238,7.063,313.0123,295.14,2.3752327240943814
2018-04-30T15:29:15Z,1.424,0.071,13.7684,0.3313,1.2554,34.778,26.964049,9.2383,89.183,7.063,313.0181,296.22,2.3742574664707226
2018-04-30T15:29:15Z,1.442,0.071,13.7637,0.3213,1.2307,34.765,26.952976,9.2293,89.094,7.063,313.0916,316.89,2.373602372746342
2018-04-30T15:29:15Z,1.461,0.07,13.7607,0.3184,1.25,34.788,26.969777,9.2188,88.989,7.064,313.212,345.2,2.3754515925828867
2018-04-30T15:29:15Z,1.48,0.069,13.7623,0.3332,1.3058,34.798,26.976694,9.2106,88.909,7.065,313.3556,355.77,2.3760776152359644
2018-04-30T15:29:15Z,1.498,0.069,13.7638,0.3447,1.2947,34.793,26.973107,9.2071,88.876,7.065,313.537,360.47,2.3756229647570906
2018-04-30T15:29:15Z,1.514,0.069,13.7616,0.3461,1.238,34.814,26.989904,9.208,88.886,7.066,313.6849,387.8,2.3772786761465245
2018-04-30T15:29:15Z,1.53,0.068,13.7601,0.3406,1.2301,34.814,26.989297,9.213,88.934,7.066,313.6813,424.97,2.3773700361796557
2018-04-30T15:29:15Z,1.547,0.068,13.7595,0.3343,1.26,34.784,26.965775,9.2203,89.002,7.066,313.5785,441.9,2.3752323652100675
2018-04-30T15:29:15Z,1.566,0.068,13.7593,0.334,1.2645,34.777,26.959481,9.2233,89.027,7.065,313.5605,403.57,2.374736768517982
2018-04-30T15:29:15Z,1.583,0.069,13.7604,0.3368,1.2538,34.8,26.976694,9.2184,88.978,7.065,313.7218,346.87,2.3763354245682162
2018-04-30T15:29:15Z,1.599,0.069,13.7604,0.3508,1.2823,34.809,26.983403,9.2114,88.911,7.066,313.8945,324.16,2.376987098740115
2018-04-30T15:29:15Z,1.616,0.069,13.7583,0.3827,1.3352,34.8,26.977094,9.2074,88.873,7.067,313.9275,318.05,2.3764629723438886
2018-04-30T15:29:15Z,1.636,0.068,13.7565,0.41,1.4052,34.783,26.963911,9.2084,88.883,7.067,313.9488,319.52,2.3753405027073193
2018-04-30T15:29:15Z,1.654,0.068,13.7558,0.4146,1.4575,34.767,26.951002,9.2204,88.998,7.068,313.98,318.27,2.3742233469128142
2018-04-30T15:29:15Z,1.67,0.068,13.7562,0.4199,1.388,34.764,26.948002,9.2427,89.211,7.069,313.9603,311.64,2.3739810153954717
2018-04-30T15:29:15Z,1.687,0.068,13.7568,0.4462,1.2967,34.74,26.927642,9.2724,89.493,7.07,313.9691,310.15,2.3722047562394675
2018-04-30T15:29:15Z,1.704,0.069,13.7568,0.4657,1.2996,34.702,26.895317,9.3107,89.854,7.07,313.9999,341.37,2.369451016104553
2018-04-30T15:29:15Z,1.721,0.072,13.7565,0.472,1.3006,34.68,26.874651,9.3495,90.219,7.07,314.0753,363.32,2.367874887480683
2018-04-30T15:29:15Z,1.738,0.074,13.7558,0.4761,1.279,34.675,26.86825,9.3806,90.512,7.071,314.1922,327.19,2.3675548045429124
2018-04-30T15:29:15Z,1.758,0.075,13.7535,0.4696,1.2821,34.695,26.881411,9.406,90.75,7.071,314.2951,322.15,2.369143480012966
2018-04-30T15:29:15Z,1.781,0.075,13.7486,0.4671,1.277,34.731,26.906789,9.4314,90.985,7.072,314.3729,332.94,2.3720504830769475
2018-04-30T15:29:15Z,1.801,0.075,13.7437,0.4739,1.2483,34.755,26.921106,9.4611,91.26,7.073,314.4443,297.66,2.374088704756728
2018-04-30T15:29:15Z,1.819,0.074,13.7403,0.4692,1.2704,34.77,26.927508,9.5003,91.626,7.073,314.5563,304.59,2.3753834491888077
2018-04-30T15:29:15Z,1.837,0.073,13.7371,0.4558,1.3609,34.767,26.920696,9.5557,92.146,7.074,314.6085,339.23,2.375361199914462
2018-04-30T15:29:15Z,1.855,0.072,13.7324,0.4499,1.4271,34.749,26.902236,9.6253,92.803,7.075,314.646,331.19,2.374343132498171
2018-04-30T15:29:15Z,1.872,0.072,13.7263,0.4537,1.4297,34.746,26.894786,9.7,93.508,7.077,314.8373,321.3,2.3744981848049367
2018-04-30T15:29:15Z,1.891,0.071,13.7192,0.4645,1.3621,34.75,26.894113,9.7709,94.179,7.078,314.9428,325.5,2.3752221120605244
2018-04-30T15:29:15Z,1.911,0.069,13.7129,0.4702,1.2501,34.753,26.894094,9.8274,94.716,7.078,314.8033,325.97,2.3758246919701467
2018-04-30T15:29:15Z,1.93,0.066,13.7063,0.4679,1.2059,34.756,26.894557,9.8615,95.04,7.079,314.7847,323.52,2.37644585353282
2018-04-30T15:29:15Z,1.946,0.064,13.6979,0.4643,1.2243,34.765,26.899699,9.8716,95.133,7.081,314.9764,315.54,2.3776129767816867
2018-04-30T15:29:15Z,1.961,0.062,13.6915,0.4537,1.2278,34.76,26.892771,9.8597,95.01,7.081,315.1422,292.07,2.3776418463382196
2018-04-30T15:29:15Z,1.975,0.061,13.6887,0.4505,1.2483,34.742,26.87429,9.8296,94.705,7.08,315.2402,274.08,2.376506571837373
2018-04-30T15:29:15Z,1.989,0.061,13.6872,0.4615,1.2581,34.741,26.866727,9.7854,94.259,7.079,315.3006,280.01,2.3765254571231353
2018-04-30T15:29:15Z,2.004,0.062,13.6849,0.4685,1.224,34.748,26.864815,9.7333,93.734,7.079,315.3565,292.33,2.3771739921552983
2018-04-30T15:29:15Z,2.02,0.064,13.6824,0.4704,1.2333,34.743,26.85117,9.6803,93.197,7.079,315.399,302.67,2.3769637060544726
2018-04-30T15:29:15Z,2.038,0.065,13.6744,0.484,1.2788,34.73,26.828724,9.6332,92.707,7.079,315.3849,318.49,2.3765095639573945
2018-04-30T15:29:15Z,2.055,0.064,13.6632,0.5132,1.2555,34.77,26.847397,9.593,92.284,7.079,315.3582,312.98,2.3801008301883617
2018-04-30T15:29:15Z,2.073,0.063,13.6546,0.5298,1.196,34.828,26.88643,9.5581,91.93,7.079,315.4202,281.84,2.384842351249668
2018-04-30T15:29:15Z,2.089,0.064,13.642,0.5278,1.2001,34.788,26.856195,9.5282,91.646,7.077,315.5331,270.47,2.3827098363787713
2018-04-30T15:29:15Z,2.104,0.064,13.6219,0.5266,1.2439,34.713,26.799314,9.5041,91.416,7.072,315.604,275.48,2.3784921385512043
2018-04-30T15:29:15Z,2.116,0.063,13.6013,0.5244,1.2674,34.681,26.770151,9.4863,91.231,7.067,315.6752,269.95,2.3774291739645728
2018-04-30T15:29:15Z,2.133,0.063,13.5898,0.5287,1.2707,34.675,26.757564,9.4726,91.076,7.065,315.7911,254.31,2.3776981622821305
2018-04-30T15:29:15Z,2.154,0.064,13.5969,0.5413,1.2532,34.706,26.774104,9.4612,90.945,7.064,315.9728,269.96,2.3795165756878185
2018-04-30T15:29:15Z,2.171,0.066,13.6038,0.5397,1.2391,34.724,26.779646,9.4536,90.849,7.062,316.0654,297.68,2.3804015483264536
2018-04-30T15:29:15Z,2.183,0.067,13.5915,0.5276,1.2527,34.713,26.761057,9.4531,90.816,7.062,315.9649,285.4,2.3803569763526617
2018-04-30T15:29:15Z,2.198,0.066,13.5792,0.5234,1.2659,34.699,26.73983,9.459,90.841,7.063,315.8766,262.84,2.3800936569134277
2018-04-30T15:29:15Z,2.218,0.065,13.5698,0.5259,1.2764,34.677,26.713467,9.4692,90.911,7.064,315.9436,252.04,2.379069323971717
2018-04-30T15:29:15Z,2.239,0.066,13.5582,0.5304,1.318,34.665,26.69628,9.4852,91.042,7.066,316.0005,255.24,2.3789077530109504
2018-04-30T15:29:15Z,2.254,0.069,13.5443,0.5313,1.3723,34.629,26.659008,9.5059,91.213,7.066,315.9629,270.38,2.3771394668297603
2018-04-30T15:29:15Z,2.267,0.071,13.5268,0.5283,1.4139,34.559,26.580277,9.5318,91.389,7.066,316.0914,270.86,2.37311397362016
