Date,Depth_m,PAR,Chla_ugL
2018-06-04T11:14:09Z,0.441,737.66,0.9587
2018-06-04T11:14:09Z,0.443,678.86,0.9516
2018-06-04T11:14:09Z,0.447,701.6,0.956
2018-06-04T11:14:09Z,0.455,622.74,0.9657
2018-06-04T11:14:09Z,0.468,590.43,0.968
2018-06-04T11:14:09Z,0.486,558.13,0.9658
2018-06-04T11:14:09Z,0.507,645.02,0.9668
2018-06-04T11:14:09Z,0.527,964.14,0.9703
2018-06-04T11:14:09Z,0.542,1009.5,0.9713
2018-06-04T11:14:09Z,0.555,742.1,0.9604
2018-06-04T11:14:09Z,0.57,568.5,0.9769
2018-06-04T11:14:09Z,0.589,549.23,1.0429
2018-06-04T11:14:09Z,0.615,537.17,1.0967
2018-06-04T11:14:09Z,0.649,492.91,1.112
2018-06-04T11:14:09Z,0.682,502.16,1.1364
2018-06-04T11:14:09Z,0.708,479.4,1.1885
2018-06-04T11:14:09Z,0.73,441.57,1.2187
2018-06-04T11:14:09Z,0.752,449.3,1.2162
2018-06-04T11:14:09Z,0.778,399.43,1.2047
2018-06-04T11:14:09Z,0.81,335.87,1.1984
2018-06-04T11:14:09Z,0.847,315.9,1.2053
2018-06-04T11:14:09Z,0.887,320.86,1.2147
2018-06-04T11:14:09Z,0.926,332.25,1.2195
2018-06-04T11:14:09Z,0.967,314.36,1.2356
2018-06-04T11:14:09Z,1.01,293.36,1.2726
2018-06-04T11:14:09Z,1.05,295.75,1.2991
2018-06-04T11:14:09Z,1.083,295.55,1.3073
2018-06-04T11:14:09Z,1.112,300.14,1.3636
2018-06-04T11:14:09Z,1.14,307.42,1.474
2018-06-04T11:14:09Z,1.167,293.89,1.5395
2018-06-04T11:14:09Z,1.191,281.91,1.557
2018-06-04T11:14:09Z,1.214,278.01,1.6408
2018-06-04T11:14:09Z,1.239,278.36,1.7799
2018-06-04T11:14:09Z,1.269,276.66,1.8516
2018-06-04T11:14:09Z,1.303,274.97,1.8643
2018-06-04T11:14:09Z,1.341,301.09,1.8877
2018-06-04T11:14:09Z,1.381,322.16,1.9223
2018-06-04T11:14:09Z,1.42,294.93,1.9435
2018-06-04T11:14:09Z,1.455,271.46,1.9413
2018-06-04T11:14:09Z,1.491,273.24,1.9049
2018-06-04T11:14:09Z,1.531,271.77,1.8442
2018-06-04T11:14:09Z,1.574,294.41,1.8129
2018-06-04T11:14:09Z,1.613,302.22,1.8117
2018-06-04T11:14:09Z,1.643,269.34,1.7658
2018-06-04T11:14:09Z,1.668,246.35,1.6712
2018-06-04T11:14:09Z,1.693,235.42,1.6147
2018-06-04T11:14:09Z,1.723,246.99,1.6071
2018-06-04T11:14:09Z,1.756,260.25,1.6154
2018-06-04T11:14:09Z,1.79,237.59,1.651
2018-06-04T11:14:09Z,1.82,215.63,1.707
2018-06-04T11:14:09Z,1.848,211.54,1.7403
2018-06-04T11:14:09Z,1.876,207.52,1.7411
2018-06-04T11:14:09Z,1.908,209.85,1.7541
2018-06-04T11:14:09Z,1.946,212.27,1.7864
2018-06-04T11:14:09Z,1.987,207.6,1.8005
2018-06-04T11:14:09Z,2.027,205.43,1.7962
2018-06-04T11:14:09Z,2.062,202.45,1.7803
2018-06-04T11:14:09Z,2.091,199.05,1.7557
2018-06-04T11:14:09Z,2.116,190.53,1.7468
2018-06-04T11:14:09Z,2.141,179.88,1.7471
2018-06-04T11:14:09Z,2.169,176.62,1.7404
2018-06-04T11:14:09Z,2.198,175.21,1.7393
2018-06-04T11:14:09Z,2.232,167.31,1.743
2018-06-04T11:14:09Z,2.269,159.47,1.7485
2018-06-04T11:14:09Z,2.3,155.57,1.814
2018-06-04T11:14:09Z,2.326,151.31,1.9387
2018-06-04T11:14:09Z,2.351,153.39,2.0065
2018-06-04T11:14:09Z,2.376,155.71,1.9988
2018-06-04T11:14:09Z,2.404,148.09,1.9843
2018-06-04T11:14:09Z,2.44,136.72,1.9863
2018-06-04T11:14:09Z,2.478,131.03,1.9962
2018-06-04T11:14:09Z,2.507,129.99,2.0028
2018-06-04T11:14:09Z,2.527,128.78,2.0015
2018-06-04T11:14:09Z,2.546,126.31,1.9995
2018-06-04T11:14:09Z,2.565,124.73,1.9971
2018-06-04T11:14:09Z,2.586,122.45,1.9897
2018-06-04T11:14:09Z,2.609,118.39,1.993
2018-06-04T11:14:09Z,2.63,117.75,2.0742
2018-06-04T11:14:09Z,2.65,117.99,2.2272
2018-06-04T11:14:09Z,2.675,114.34,2.3163
2018-06-04T11:14:09Z,2.71,110.04,2.3247
2018-06-04T11:14:09Z,2.745,107.74,2.3659
2018-06-04T11:14:09Z,2.77,106.5,2.4554
2018-06-04T11:14:09Z,2.785,105.31,2.5064
2018-06-04T11:14:09Z,2.802,103.25,2.5146
2018-06-04T11:14:09Z,2.825,101.07,2.5357
2018-06-04T11:14:09Z,2.853,98.621,2.5695
2018-06-04T11:14:09Z,2.883,96.256,2.5832
2018-06-04T11:14:09Z,2.915,94.46,2.5818
2018-06-04T11:14:09Z,2.947,91.641,2.5886
2018-06-04T11:14:09Z,2.98,89.548,2.6556
2018-06-04T11:14:09Z,3.012,88.208,2.7775
2018-06-04T11:14:09Z,3.041,86.356,2.8397
2018-06-04T11:14:09Z,3.067,85.02,2.8377
2018-06-04T11:14:09Z,3.091,83.703,2.8269
2018-06-04T11:14:09Z,3.116,81.725,2.8099
2018-06-04T11:14:09Z,3.149,79.331,2.7893
2018-06-04T11:14:09Z,3.185,77.422,2.779
2018-06-04T11:14:09Z,3.215,76.196,2.8048
2018-06-04T11:14:09Z,3.238,75.093,2.8442
2018-06-04T11:14:09Z,3.262,73.554,2.8507
2018-06-04T11:14:09Z,3.29,72.251,2.8289
2018-06-04T11:14:09Z,3.32,71.235,2.6903
2018-06-04T11:14:09Z,3.35,69.553,2.4524
2018-06-04T11:14:09Z,3.382,68.321,2.3333
2018-06-04T11:14:09Z,3.413,67.296,2.3253
2018-06-04T11:14:09Z,3.44,66.217,2.3098
2018-06-04T11:14:09Z,3.461,65.683,2.1921
2018-06-04T11:14:09Z,3.48,64.745,1.986
2018-06-04T11:14:09Z,3.497,64.126,1.877
2018-06-04T11:14:09Z,3.515,64.061,1.8667
2018-06-04T11:14:09Z,3.534,63.527,1.8335
2018-06-04T11:14:09Z,3.554,62.693,1.7795
2018-06-04T11:14:09Z,3.576,61.694,1.7558
2018-06-04T11:14:09Z,3.601,60.769,1.7484
2018-06-04T11:14:09Z,3.627,59.605,1.7368
2018-06-04T11:14:09Z,3.655,58.273,1.7344
2018-06-04T11:14:09Z,3.685,57.337,1.7465
2018-06-04T11:14:09Z,3.714,56.42,1.7644
2018-06-04T11:14:09Z,3.741,55.467,1.7663
2018-06-04T11:14:09Z,3.764,54.867,1.7508
2018-06-04T11:14:09Z,3.782,54.379,1.7339
2018-06-04T11:14:09Z,3.8,53.798,1.7269
2018-06-04T11:14:09Z,3.822,52.901,1.7226
2018-06-04T11:14:09Z,3.851,51.731,1.7098
2018-06-04T11:14:09Z,3.882,50.854,1.6998
2018-06-04T11:14:09Z,3.91,50.092,1.6939
2018-06-04T11:14:09Z,3.934,49.24,1.6837
2018-06-04T11:14:09Z,3.958,48.358,1.687
2018-06-04T11:14:09Z,3.982,47.568,1.716
2018-06-04T11:14:09Z,4.008,46.803,1.7405
2018-06-04T11:14:09Z,4.035,45.736,1.7431
2018-06-04T11:14:09Z,4.066,44.462,1.7294
2018-06-04T11:14:09Z,4.101,43.422,1.7036
2018-06-04T11:14:09Z,4.129,42.798,1.6791
2018-06-04T11:14:09Z,4.144,42.559,1.6727
2018-06-04T11:14:09Z,4.151,42.637,1.6811
2018-06-04T11:14:09Z,4.155,42.554,1.6792
2018-06-04T11:14:09Z,4.159,42.172,1.6774
2018-06-04T11:14:09Z,4.166,41.824,1.6872
2018-06-04T11:14:09Z,4.175,41.625,1.6874
2018-06-04T11:14:09Z,4.183,41.43,1.6806
2018-06-04T11:14:09Z,4.19,41.09,1.6786
2018-06-04T11:14:09Z,4.204,40.397,1.6816
2018-06-04T11:14:09Z,4.23,39.385,1.6706
2018-06-04T11:14:09Z,4.26,38.323,1.6367
2018-06-04T11:14:09Z,4.294,37.148,1.6119
2018-06-04T11:14:09Z,4.331,36.135,1.6004
2018-06-04T11:14:09Z,4.365,35.415,1.5252
2018-06-04T11:14:09Z,4.392,34.698,1.3925
2018-06-04T11:14:09Z,4.414,34.161,1.3192
2018-06-04T11:14:09Z,4.432,33.725,1.3003
2018-06-04T11:14:09Z,4.446,33.277,1.2835
2018-06-04T11:14:09Z,4.459,32.797,1.1894
2018-06-04T11:14:09Z,4.474,32.002,1.0178
2018-06-04T11:14:09Z,4.494,31.004,0.9174
2018-06-04T11:14:09Z,4.519,29.931,0.8943
2018-06-04T11:14:09Z,4.544,28.954,0.9134
2018-06-04T11:14:09Z,4.566,28.184,0.956
2018-06-04T11:14:09Z,4.586,27.504,0.9677
2018-06-04T11:14:09Z,4.604,26.922,0.9626
2018-06-04T11:14:09Z,4.62,26.46,0.9767
2018-06-04T11:14:09Z,4.633,26.105,1.0102
2018-06-04T11:14:09Z,4.645,25.69,1.0275
2018-06-04T11:14:09Z,4.662,25.06,1.021
2018-06-04T11:14:09Z,4.687,24.285,1.0329
2018-06-04T11:14:09Z,4.717,23.47,1.0703
2018-06-04T11:14:09Z,4.75,22.645,1.0963
2018-06-04T11:14:09Z,4.782,21.907,1.0986
2018-06-04T11:14:09Z,4.809,21.332,1.0801
2018-06-04T11:14:09Z,4.834,20.844,1.0563
2018-06-04T11:14:09Z,4.856,20.332,1.0402
2018-06-04T11:14:09Z,4.878,19.786,1.024
2018-06-04T11:14:09Z,4.9,19.27,1.0074
2018-06-04T11:14:09Z,4.923,18.706,0.9591
2018-06-04T11:14:09Z,4.951,18.043,0.8894
2018-06-04T11:14:09Z,4.983,17.44,0.8539
2018-06-04T11:14:09Z,5.012,16.986,0.8341
2018-06-04T11:14:09Z,5.036,16.548,0.8251
2018-06-04T11:14:09Z,5.057,16.115,0.8361
2018-06-04T11:14:09Z,5.078,15.755,0.8474
2018-06-04T11:14:09Z,5.1,15.385,0.8516
2018-06-04T11:14:09Z,5.122,15.05,0.8683
2018-06-04T11:14:09Z,5.144,14.751,0.9118
2018-06-04T11:14:09Z,5.166,14.413,0.9451
2018-06-04T11:14:09Z,5.19,14.069,0.9586
2018-06-04T11:14:09Z,5.215,13.74,1.0293
2018-06-04T11:14:09Z,5.24,13.437,1.1562
2018-06-04T11:14:09Z,5.264,13.149,1.2251
2018-06-04T11:14:09Z,5.287,12.857,1.2366
2018-06-04T11:14:09Z,5.311,12.59,1.241
2018-06-04T11:14:09Z,5.332,12.365,1.2235
2018-06-04T11:14:09Z,5.353,12.126,1.191
2018-06-04T11:14:09Z,5.376,11.838,1.1695
2018-06-04T11:14:09Z,5.401,11.526,1.1647
2018-06-04T11:14:09Z,5.427,11.242,1.1607
2018-06-04T11:14:09Z,5.455,10.988,1.149
2018-06-04T11:14:09Z,5.484,10.711,1.1521
2018-06-04T11:14:09Z,5.513,10.425,1.1708
2018-06-04T11:14:09Z,5.542,10.152,1.1723
2018-06-04T11:14:09Z,5.571,9.8986,1.1608
2018-06-04T11:14:09Z,5.599,9.6946,1.1602
2018-06-04T11:14:09Z,5.626,9.4851,1.1648
2018-06-04T11:14:09Z,5.653,9.2702,1.18
2018-06-04T11:14:09Z,5.677,9.1205,1.2069
2018-06-04T11:14:09Z,5.697,8.9875,1.2229
2018-06-04T11:14:09Z,5.713,8.849,1.2364
2018-06-04T11:14:09Z,5.727,8.7436,1.2868
2018-06-04T11:14:09Z,5.738,8.6419,1.3632
2018-06-04T11:14:09Z,5.752,8.4816,1.4064
2018-06-04T11:14:09Z,5.773,8.2986,1.4239
2018-06-04T11:14:09Z,5.796,8.17,1.4279
2018-06-04T11:14:09Z,5.816,8.0596,1.3902
2018-06-04T11:14:09Z,5.836,7.9283,1.3348
2018-06-04T11:14:09Z,5.858,7.7714,1.3098
2018-06-04T11:14:09Z,5.885,7.5829,1.2997
2018-06-04T11:14:09Z,5.917,7.3916,1.2402
2018-06-04T11:14:09Z,5.951,7.2214,1.1424
2018-06-04T11:14:09Z,5.982,7.0755,1.0918
2018-06-04T11:14:09Z,6.008,6.9409,1.0872
2018-06-04T11:14:09Z,6.033,6.785,1.0321
2018-06-04T11:14:09Z,6.063,6.6095,0.912
2018-06-04T11:14:09Z,6.093,6.4481,0.839
2018-06-04T11:14:09Z,6.122,6.2863,0.8387
2018-06-04T11:14:09Z,6.147,6.1264,0.8433
2018-06-04T11:14:09Z,6.169,6.0024,0.84
2018-06-04T11:14:09Z,6.191,5.8849,0.8361
2018-06-04T11:14:09Z,6.216,5.7513,0.8323
2018-06-04T11:14:09Z,6.246,5.5979,0.8033
2018-06-04T11:14:09Z,6.281,5.4212,0.7434
2018-06-04T11:14:09Z,6.316,5.2618,0.7049
2018-06-04T11:14:09Z,6.349,5.1392,0.6959
2018-06-04T11:14:09Z,6.378,5.0341,0.7181
2018-06-04T11:14:09Z,6.404,4.9382,0.7705
2018-06-04T11:14:09Z,6.425,4.8459,0.7964
2018-06-04T11:14:09Z,6.444,4.7631,0.7839
2018-06-04T11:14:09Z,6.462,4.7035,0.7744
2018-06-04T11:14:09Z,6.481,4.6505,0.7652
2018-06-04T11:14:09Z,6.5,4.5748,0.7366
2018-06-04T11:14:09Z,6.52,4.4802,0.714
2018-06-04T11:14:09Z,6.542,4.3996,0.7032
2018-06-04T11:14:09Z,6.567,4.3256,0.6974
2018-06-04T11:14:09Z,6.593,4.2347,0.7083
2018-06-04T11:14:09Z,6.619,4.1392,0.7157
2018-06-04T11:14:09Z,6.648,4.0525,0.7037
2018-06-04T11:14:09Z,6.677,3.9709,0.7014
2018-06-04T11:14:09Z,6.702,3.8913,0.7158
2018-06-04T11:14:09Z,6.727,3.7943,0.7218
2018-06-04T11:14:09Z,6.757,3.651,0.7182
2018-06-04T11:14:09Z,6.797,3.5056,0.718
2018-06-04T11:14:09Z,6.842,3.4125,0.7191
2018-06-04T11:14:09Z,6.878,3.3597,0.7141
2018-06-04T11:14:09Z,6.905,3.3173,0.7029
2018-06-04T11:14:09Z,6.927,3.2576,0.6948
2018-06-04T11:14:09Z,6.951,3.1818,0.6982
2018-06-04T11:14:09Z,6.981,3.0887,0.7072
2018-06-04T11:14:09Z,7.017,2.9923,0.7117
2018-06-04T11:14:09Z,7.05,2.939,0.7156
2018-06-04T11:14:09Z,7.073,2.9055,0.7179
2018-06-04T11:14:09Z,7.09,2.8601,0.7211
2018-06-04T11:14:09Z,7.102,2.8168,0.7264
2018-06-04T11:14:09Z,7.112,2.7864,0.718
2018-06-04T11:14:09Z,7.122,2.7671,0.712
2018-06-04T11:14:09Z,7.137,2.7366,0.7175
2018-06-04T11:14:09Z,7.16,2.6868,0.7202
2018-06-04T11:14:09Z,7.189,2.6202,0.7265
2018-06-04T11:14:09Z,7.218,2.5502,0.7386
2018-06-04T11:14:09Z,7.248,2.4963,0.7561
2018-06-04T11:14:09Z,7.277,2.4493,0.7729
2018-06-04T11:14:09Z,7.301,2.4056,0.7768
2018-06-04T11:14:09Z,7.316,2.3819,0.7748
