Date,Depth_m,Descent Rate (m/s),Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity
2018-04-30T17:04:05Z,-0.015,-0.03,15.5791,0.308,1.0811,34.821,28.26542,9.4399,94.802,7.225,325.328,1193.7,2.270702133633155
2018-04-30T17:04:05Z,-0.02,-0.023,15.5807,0.2817,1.0996,34.835,28.276853,9.4315,94.718,7.226,325.4234,1186.7,2.271579849505508
2018-04-30T17:04:05Z,-0.02,-0.014,15.5826,0.2712,1.0987,34.849,28.288208,9.4285,94.689,7.228,325.3918,1165.5,2.2724404588535485
2018-04-30T17:04:05Z,-0.019,-0.004,15.5828,0.2632,1.1005,34.834,28.275717,9.4269,94.673,7.228,325.2894,1159.9,2.2713914589472934
2018-04-30T17:04:05Z,-0.019,0.001,15.5827,0.2591,1.0604,34.805,28.252825,9.4245,94.648,7.228,325.2177,1170.8,2.269391197537484
2018-04-30T17:04:05Z,-0.018,0.005,15.5833,0.2663,1.0114,34.82,28.265428,9.4226,94.629,7.227,325.1279,1173.6,2.2703946832666624
2018-04-30T17:04:05Z,-0.017,0.008,15.5835,0.2767,1.0268,34.864,28.301095,9.4203,94.608,7.226,325.0639,1173.3,2.273426838681222
2018-04-30T17:04:05Z,-0.016,0.013,15.5833,0.2751,1.0627,34.866,28.30306,9.4162,94.568,7.225,325.0461,1179.3,2.273576489508084
2018-04-30T17:04:05Z,-0.014,0.023,15.583,0.2653,1.1401,34.85,28.289194,9.4115,94.519,7.225,324.9126,1194.3,2.2724867414821044
2018-04-30T17:04:05Z,-0.009,0.035,15.5831,0.259,1.2607,34.818,28.260454,9.4081,94.476,7.224,324.569,1196.3,2.2702674236549067
2018-04-30T17:04:05Z,-0.001,0.05,15.5838,0.2544,1.3314,34.765,28.209561,9.4076,94.447,7.223,324.2467,1189.5,2.2665618934047216
2018-04-30T17:04:05Z,0.013,0.063,15.5845,0.256,1.3537,34.748,28.181846,9.4125,94.456,7.222,324.1989,1102,2.2653462618526614
2018-04-30T17:04:05Z,0.035,0.073,15.585,0.2596,1.3463,34.768,28.179329,9.4216,94.495,7.222,324.2484,917.18,2.2667003395458782
2018-04-30T17:04:05Z,0.06,0.08,15.5826,0.2513,1.3036,34.791,28.179103,9.4324,94.546,7.221,324.2435,844.11,2.2684262184671735
2018-04-30T17:04:05Z,0.085,0.083,15.5702,0.2479,1.2646,34.81,28.179083,9.4421,94.601,7.219,324.226,1065.9,2.270443066281401
2018-04-30T17:04:05Z,0.107,0.083,15.5508,0.2649,1.2719,34.822,28.17907,9.45,94.65,7.218,324.1225,1183.5,2.27237430349367
2018-04-30T17:04:05Z,0.125,0.079,15.5225,0.2916,1.2709,34.832,28.17894,9.4562,94.69,7.218,323.9391,901.13,2.2746751196876844
2018-04-30T17:04:05Z,0.143,0.077,15.4896,0.3133,1.2216,34.837,28.17751,9.4579,94.69,7.218,323.9013,719.09,2.2768942906925136
2018-04-30T17:04:05Z,0.162,0.079,15.4701,0.3253,1.2251,34.825,28.161768,9.4563,94.656,7.215,324.0098,816.18,2.2771727867180345
2018-04-30T17:04:05Z,0.181,0.084,15.4571,0.3358,1.2826,34.779,28.115592,9.4558,94.624,7.209,324.0461,953.34,2.274721709439249
2018-04-30T17:04:05Z,0.2,0.09,15.4455,0.3384,1.3066,34.732,28.063692,9.4559,94.585,7.203,324.0817,1018.2,2.2721202590331706
2018-04-30T17:04:05Z,0.223,0.095,15.4381,0.3291,1.3015,34.726,28.042226,9.4559,94.535,7.198,324.2683,937.82,2.2721243186818865
2018-04-30T17:04:05Z,0.252,0.097,15.4305,0.3248,1.3118,34.749,28.046521,9.4568,94.505,7.194,324.3243,730.49,2.274152616012732
2018-04-30T17:04:05Z,0.283,0.097,15.4198,0.3324,1.3398,34.768,28.052112,9.4583,94.493,7.192,324.2415,633.49,2.2760807304324384
2018-04-30T17:04:05Z,0.31,0.094,15.398,0.3375,1.3346,34.768,28.046323,9.4617,94.511,7.191,324.4721,661.95,2.2773235394526514
2018-04-30T17:04:05Z,0.332,0.088,15.3693,0.331,1.31,34.764,28.040019,9.4687,94.571,7.191,324.9607,657.46,2.278683699717123
2018-04-30T17:04:05Z,0.351,0.083,15.3494,0.3186,1.3169,34.765,28.039384,9.4761,94.639,7.19,325.4177,694.23,2.279890212243321
2018-04-30T17:04:05Z,0.369,0.078,15.3375,0.3166,1.3267,34.768,28.038645,9.4824,94.694,7.188,325.7827,807.53,2.280779077653117
2018-04-30T17:04:05Z,0.388,0.077,15.3297,0.3255,1.307,34.763,28.031084,9.4896,94.754,7.183,325.9321,847.21,2.2808768445357925
2018-04-30T17:04:05Z,0.407,0.08,15.3261,0.3246,1.2924,34.746,28.011458,9.4966,94.808,7.176,325.9331,741.98,2.2798990243022663
2018-04-30T17:04:05Z,0.427,0.086,15.3232,0.3154,1.3024,34.728,27.991832,9.4996,94.82,7.166,326.0534,606.72,2.278811336258512
2018-04-30T17:04:05Z,0.449,0.091,15.3204,0.3153,1.3058,34.728,27.984276,9.5005,94.808,7.161,326.1813,553.14,2.2789707547547144
2018-04-30T17:04:05Z,0.473,0.094,15.3153,0.3233,1.3033,34.741,27.98359,9.5018,94.79,7.163,326.2747,582.3,2.2801669118928016
2018-04-30T17:04:05Z,0.5,0.095,15.3055,0.3294,1.3029,34.757,27.983529,9.5025,94.758,7.168,326.4947,572.19,2.281841299661518
2018-04-30T17:04:05Z,0.53,0.093,15.2972,0.325,1.3012,34.772,27.983525,9.5025,94.723,7.173,326.7769,549.85,2.2833606484170517
2018-04-30T17:04:05Z,0.555,0.088,15.29,0.3157,1.3124,34.783,27.983525,9.501,94.682,7.179,327.0193,597.72,2.2845390701377952
2018-04-30T17:04:05Z,0.575,0.082,15.2734,0.3176,1.3166,34.79,27.983515,9.4992,94.649,7.185,327.1018,619.02,2.285978883911377
2018-04-30T17:04:05Z,0.592,0.076,15.2512,0.3206,1.2908,34.792,27.983402,9.4995,94.645,7.19,327.0868,585.13,2.2873928791951568
2018-04-30T17:04:05Z,0.61,0.072,15.2331,0.3157,1.244,34.79,27.982152,9.4994,94.643,7.192,327.2683,593.62,2.2882932870156605
2018-04-30T17:04:05Z,0.627,0.074,15.2211,0.313,1.2086,34.775,27.968401,9.4987,94.633,7.19,327.5752,612.86,2.2879359945505136
2018-04-30T17:04:05Z,0.642,0.082,15.2129,0.3243,1.2295,34.749,27.944136,9.5004,94.64,7.187,327.7002,582.91,2.28659217527824
2018-04-30T17:04:05Z,0.66,0.092,15.2107,0.3523,1.2832,34.755,27.942763,9.5038,94.657,7.186,327.9192,547,2.287137013442404
2018-04-30T17:04:05Z,0.683,0.102,15.2123,0.3848,1.3082,34.775,27.95179,9.5054,94.651,7.184,328.3292,513.36,2.288440614767633
2018-04-30T17:04:05Z,0.714,0.109,15.2105,0.3958,1.2873000000000001,34.756,27.926277,9.5064,94.63,7.179,328.4425,506.45,2.287216776245711
2018-04-30T17:04:05Z,0.75,0.114,15.206,0.3833,1.2444,34.725,27.888276,9.5072,94.599,7.175,328.343,545.79,2.2853099579425953
2018-04-30T17:04:05Z,0.784,0.114,15.1974,0.3818,1.2472,34.724,27.873297,9.505,94.537,7.172,328.3295,543.46,2.2857333088926923
2018-04-30T17:04:05Z,0.813,0.111,15.1868,0.4052,1.2905,34.737,27.872142,9.5019,94.473,7.17,328.3663,491.91,2.2872498358585958
2018-04-30T17:04:05Z,0.838,0.106,15.173400000000001,0.4353,1.3103,34.75,27.874298,9.5004,94.436,7.171,328.3574,454.81,2.288928464473048
2018-04-30T17:04:05Z,0.861,0.104,15.1511,0.4524,1.304,34.787,27.899363,9.4994,94.412,7.173,328.5654,429.72,2.2927993221159824
2018-04-30T17:04:05Z,0.885,0.107,15.1306,0.4558,1.2759,34.818,27.921194,9.4993,94.402,7.173,329.075,436.62,2.2961506030368737
2018-04-30T17:04:05Z,0.91,0.112,15.1144,0.4569,1.2445,34.776,27.884249,9.5022,94.418,7.174,329.3566,466.07,2.2941469655533977
2018-04-30T17:04:05Z,0.938,0.115,15.1016,0.4575,1.2606,34.72,27.83365,9.5053,94.433,7.177,329.3888,478.21,2.2909655865486336
2018-04-30T17:04:05Z,0.973,0.117,15.0971,0.4537,1.3175,34.71,27.817403,9.5062,94.418,7.18,329.3784,452.66,2.2905241353722023
2018-04-30T17:04:05Z,1.009,0.117,15.0933,0.4573,1.3522,34.72,27.814792,9.5061,94.386,7.181,329.2309,428.25,2.291442208847449
2018-04-30T17:04:05Z,1.04,0.119,15.0882,0.5007,1.3445,34.718,27.802065,9.5025,94.319,7.18,329.2406,437.26,2.2915956496122027
2018-04-30T17:04:05Z,1.065,0.123,15.0813,0.5643,1.3165,34.716,27.790509,9.4943,94.206,7.18,329.7527,422.58,2.2918532500847495
2018-04-30T17:04:05Z,1.089,0.127,15.0691,0.5834,1.2872,34.741,27.802054,9.4841,94.08,7.181,330.3473,404.85,2.294308569167172
2018-04-30T17:04:05Z,1.119,0.13,15.0527,0.5665,1.2654,34.764,27.81464,9.4727,93.95,7.185,330.4933,405.35,2.2968682142570414
