Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-05-24T14:15:59Z,0.395,27.6915,2.5394,2.9044,138.610411,131.526,7.8761,100.042,7.203,294.9339,140.97,0.0663,0.002,0
2018-05-24T14:15:59Z,0.395,27.6877,2.5152,2.8373,138.562815,131.428,7.8761,100.035,7.21,295.1989,135.1,0.0663,0.002,0
2018-05-24T14:15:59Z,0.398,27.6841,2.4707,2.7836,138.554031,131.49,7.8949,100.266,7.221,294.7068,145.26,0.0663,0.002,0
2018-05-24T14:15:59Z,0.399,27.6805,2.4545,2.7701,138.561732,131.447,7.9109,100.463,7.233,295.691,180.16,0.0663,0.002,0
2018-05-24T14:15:59Z,0.401,27.677,2.4424,2.8507,138.553239,131.509,7.9295,100.692,7.241,294.4796,183.64,0.0663,0.003,0
2018-05-24T14:15:59Z,0.403,27.6735,2.4586,2.8776,138.50499,131.411,7.9581,101.049,7.25,294.9339,221.63,0.0663,0.005,0
2018-05-24T14:15:59Z,0.404,27.6698,2.4626,2.891,138.502551,131.473,7.9783,101.3,7.252,294.7825,260.47,0.0663,0.006,0
2018-05-24T14:15:59Z,0.405,27.666,2.2766,2.9447,138.496664,131.429,7.997,101.53,7.254,295.2368,270.14,0.0663,0.006,0
2018-05-24T14:15:59Z,0.413,27.6622,2.2604,2.9044,138.452706,131.438,8.0219,101.839,7.256,295.426,158.6,0.0663,0.008,0
2018-05-24T14:15:59Z,0.416,27.6586,2.2523,2.8238,138.497648,131.448,8.0465,102.144,7.244,295.3125,197.23,0.0663,0.01,0
2018-05-24T14:15:59Z,0.418,27.655,2.2443,2.9178,138.559977,131.563,8.0696,102.43,7.233,296.486,640.47,0.0663,0.011,0
2018-05-24T14:15:59Z,0.443,27.6511,2.2887,2.9447,138.494379,131.466,8.0938,102.73,7.234,296.9403,645.97,0.0663,0.017,0
2018-05-24T14:15:59Z,0.5,27.6472,2.2726,2.9313,138.519673,131.528,8.1145,102.986,7.226,299.8932,386.99,0.0663,0.036,0
2018-05-24T14:15:59Z,0.535,27.6435,2.2726,2.8104,138.588126,131.591,8.1404,103.307,7.213,299.2496,353.54,0.0664,0.059,0
2018-05-24T14:15:59Z,0.556,27.6396,2.2685,2.9178,138.528436,131.548,8.1742,103.729,7.208,300.4611,364.7,0.0663,0.078,0
2018-05-24T14:15:59Z,0.593,27.6359,2.4626,3.0655,138.534348,131.557,8.206,104.125,7.207,300.8018,507.19,0.0663,0.098,0
2018-05-24T14:15:59Z,0.61,27.6322,2.4667,3.0253,138.521159,131.567,8.2418,104.572,7.198,300.6503,426.56,0.0663,0.11,0
2018-05-24T14:15:59Z,0.624,27.6282,2.4626,3.0924,138.544857,131.576,8.2654,104.864,7.201,302.0132,299.75,0.0663,0.115,0
2018-05-24T14:15:59Z,0.67,27.6245,2.4747,3.1461,138.624099,131.692,8.2946,105.227,7.198,301.5211,270.47,0.0664,0.119,0
2018-05-24T14:15:59Z,0.725,27.6207,2.5152,3.0118,138.601404,131.649,8.322,105.566,7.203,302.5811,319.13,0.0664,0.122,0
2018-05-24T14:15:59Z,0.763,27.6168,2.5111,3.079,138.573111,131.658,8.3557,105.987,7.204,302.0889,452.25,0.0664,0.123,0
2018-05-24T14:15:59Z,0.785,27.6129,2.5516,3.0924,138.599704,131.667,8.3815,106.305,7.208,302.3161,317.72,0.0664,0.127,0
2018-05-24T14:15:59Z,0.816,27.6091,2.5192,3.2267,138.627936,131.73,8.4013,106.549,7.208,301.6725,219.43,0.0664,0.132,0
2018-05-24T14:15:59Z,0.856,27.6049,2.6001,2.8641,138.657217,131.74,8.4269,106.866,7.208,303.4896,233.31,0.0664,0.136,0
2018-05-24T14:15:59Z,0.923,27.6009,2.596,2.9178,138.682507,131.803,8.4582,107.254,7.199,303.7168,230.56,0.0664,0.15,0
2018-05-24T14:15:59Z,0.991,27.5971,2.6001,2.8641,138.715709,131.814,8.5098,107.901,7.198,305.4961,279.41,0.0665,0.166,0
2018-05-24T14:15:59Z,1.026,27.5929,2.6122,2.891,138.735144,131.877,8.5648,108.589,7.197,304.6632,288.72,0.0665,0.171,0
2018-05-24T14:15:59Z,1.054,27.5892,2.9317,3.6832,138.717949,131.833,8.6263,109.361,7.193,304.8525,252.16,0.0665,0.171,0
2018-05-24T14:15:59Z,1.089,27.5852,2.9195,3.7907,138.826544,131.977,8.6793,110.025,7.187,306.2911,200.6,0.0665,0.174,0
2018-05-24T14:15:59Z,1.152,27.581,2.9115,3.6967,138.898096,132.04,8.7329,110.695,7.176,306.3289,166.6,0.0666,0.182,0
2018-05-24T14:15:59Z,1.212,27.5768,2.9357,3.7772,138.897194,132.05,8.8,111.537,7.169,308.8275,154.62,0.0666,0.188,0
2018-05-24T14:15:59Z,1.238,27.5725,3.0368,4.2741,138.946915,132.114,8.8503,112.166,7.164,306.5182,150.87,0.0666,0.182,0
2018-05-24T14:15:59Z,1.254,27.5683,3.0409,4.3412,139.015084,132.178,8.8856,112.604,7.165,306.4425,132.97,0.0666,0.166,0
2018-05-24T14:15:59Z,1.294,27.5642,3.0651,4.4352,139.110458,132.296,8.9176,113,7.162,306.3289,115.84,0.0667,0.156,0
