Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-06-25T10:39:56Z,0.02,26.2167,2.7821,1.9376,33.560819,32.773,8.4907,105.08,7.901,274.5667,119.11,0.0231,0.07,0
2018-06-25T10:39:56Z,0.041,26.219,2.8063,1.9242,33.575656,32.771,8.4661,104.774,7.913,273.7338,105.38,0.0231,0.072,0
2018-06-25T10:39:56Z,0.064,26.2208,2.7982,1.9645,33.570978,32.77,8.4505,104.58,7.919,273.431,97.393,0.0231,0.073,0
2018-06-25T10:39:56Z,0.092,26.2219,2.8023,1.9107,33.56664,32.768,8.4528,104.611,7.929,272.9388,93.79,0.0231,0.078,0
2018-06-25T10:39:56Z,0.119,26.2224,2.774,1.9242,33.521743,32.712,8.4601,104.701,7.94,272.8253,90.713,0.0231,0.086,0
2018-06-25T10:39:56Z,0.139,26.2222,2.7821,1.9645,33.508231,32.712,8.462,104.724,7.944,273.166,89.622,0.0231,0.09,0
2018-06-25T10:39:56Z,0.159,26.2219,2.8508,1.9376,33.524147,32.711,8.4704,104.827,7.948,272.7117,87.598,0.0231,0.091,0
2018-06-25T10:39:56Z,0.178,26.222,2.867,1.9376,33.531591,32.739,8.4724,104.852,7.95,272.2195,85.963,0.0231,0.09,0
2018-06-25T10:39:56Z,0.198,26.2214,2.8831,1.8973,33.528621,32.712,8.4791,104.936,7.952,271.9545,84.011,0.0231,0.089,0
2018-06-25T10:39:56Z,0.218,26.2197,2.8548,1.8705,33.557496,32.766,8.4872,105.037,7.952,271.6895,82.414,0.0231,0.086,0
2018-06-25T10:39:56Z,0.234,26.2186,2.8063,1.9913,33.525312,32.712,8.4914,105.088,7.95,271.7274,80.207,0.0231,0.082,0
2018-06-25T10:39:56Z,0.249,26.218,2.7982,1.9107,33.509367,32.713,8.4949,105.13,7.951,271.311,78.78,0.0231,0.076,0
2018-06-25T10:39:56Z,0.264,26.2179,2.7982,1.8705,33.57734,32.768,8.4998,105.19,7.952,271.1974,77.482,0.0231,0.072,0
