Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-06-28T09:39:10Z,0.001,23.9885,2.8023,2.139,32.576524,33.205,9.1946,109.118,7.617,240.4573,591,0.0227,0.028,0
2018-06-28T09:39:10Z,0.006,23.971800000000002,2.8063,2.2464,32.497405,33.164,9.1495,108.563,7.633,240.4573,604.86,0.0226,0.031,0
2018-06-28T09:39:10Z,0.017,23.9585,2.8225,2.139,32.40968,33.063,9.1145,108.129,7.666,239.8516,593.58,0.0226,0.034,0
2018-06-28T09:39:10Z,0.033,23.9511,2.9317,2.1659,32.389173,33.074,9.0813,107.723,7.684,240.2302,574.54,0.0226,0.037,0
2018-06-28T09:39:10Z,0.042,23.9466,2.9195,2.0853,32.404321,33.083,9.0413,107.241,7.689,239.9652,577.37,0.0226,0.038,0
2018-06-28T09:39:10Z,0.051,23.9434,2.9276,2.1927,32.450141,33.145,9.0134,106.905,7.7,240.1923,494,0.0226,0.038,0
2018-06-28T09:39:10Z,0.057,23.9466,2.964,2.1256,32.510073,33.205,8.9816,106.53,7.695,239.2459,461.26,0.0226,0.038,0
2018-06-28T09:39:10Z,0.068,23.9529,2.9883,2.139,32.626272,33.322,8.9621,106.302,7.71,239.6623,466.42,0.0227,0.038,0
2018-06-28T09:39:10Z,0.092,23.952,2.9964,2.139,32.77999,33.491,8.9474,106.134,7.721,239.3595,508.1,0.0228,0.042,0
2018-06-28T09:39:10Z,0.113,23.9464,2.9721,2.045,32.674615,33.372,8.9508,106.179,7.663,239.6245,497.01,0.0227,0.048,0
2018-06-28T09:39:10Z,0.12,23.9403,2.964,2.045,32.520181,33.201,8.9542,106.221,7.635,239.738,499,0.0226,0.05,0
2018-06-28T09:39:10Z,0.137,23.931,2.9721,2.0987,32.557033,33.262,8.9634,106.332,7.654,239.3595,506.38,0.0227,0.053,0
2018-06-28T09:39:10Z,0.161,23.9217,3.057,2.0987,32.450834,33.152,8.9635,106.327,7.676,239.6623,494.23,0.0226,0.059,0
2018-06-28T09:39:10Z,0.18,23.9159,3.0489,2.0987,32.326161,33.016,8.9578,106.26,7.7,239.473,522.89,0.0226,0.065,0
2018-06-28T09:39:10Z,0.195,23.9117,3.0651,2.0584,32.386006,33.108,8.9543,106.224,7.702,239.473,474.19,0.0226,0.069,0
2018-06-28T09:39:10Z,0.21,23.9095,3.0692,2.139,32.346709,33.055,8.9517,106.191,7.708,239.5109,526.98,0.0226,0.069,0
2018-06-28T09:39:10Z,0.233,23.9103,3.4533,1.9107,32.315762,33.029,8.9481,106.147,7.717,240.003,439.4,0.0226,0.069,0
2018-06-28T09:39:10Z,0.251,23.9121,3.4573,1.9376,32.305906,33.03,8.9366,106.003,7.727,240.3059,408.14,0.0226,0.07,0
2018-06-28T09:39:10Z,0.267,23.915,3.429,1.8436,32.329321,33.03,8.9361,105.979,7.736,240.9495,382.11,0.0226,0.072,0
2018-06-28T09:39:10Z,0.282,23.9173,3.4493,2.0047,32.43489,33.172,8.9413,106.026,7.747,241.1009,321.18,0.0226,0.07,0
2018-06-28T09:39:10Z,0.297,23.9187,3.2592,2.1122,32.471059,33.169,8.9518,106.135,7.757,241.7445,411.17,0.0226,0.068,0
2018-06-28T09:39:10Z,0.313,23.9186,3.2552,2.1659,32.610493,33.339,8.9544,106.156,7.77,241.8959,376.58,0.0227,0.066,0
2018-06-28T09:39:10Z,0.331,23.9162,3.2066,2.0316,32.557898,33.281,8.9473,106.066,7.774,242.5016,359.04,0.0227,0.066,0
2018-06-28T09:39:10Z,0.349,23.9165,3.2471,2.1927,32.595819,33.281,8.9424,106.003,7.779,243.2966,344.65,0.0227,0.066,0
2018-06-28T09:39:10Z,0.369,23.9188,3.2592,2.1256,32.948801,33.711,8.9396,105.968,7.775,244.4323,340.82,0.0228,0.065,0
2018-06-28T09:39:10Z,0.385,23.9182,3.2511,2.1256,32.948921,33.654,8.9378,105.943,7.768,244.6973,364.66,0.0228,0.066,0
2018-06-28T09:39:10Z,0.4,23.9171,3.2471,2.1659,32.862552,33.595,8.9239,105.774,7.766,245.4166,333.48,0.0228,0.067,0
2018-06-28T09:39:10Z,0.418,23.9131,3.239,2.045,32.937671,33.653,8.9044,105.537,7.771,244.8488,338.14,0.0228,0.068,0
2018-06-28T09:39:10Z,0.439,23.905,3.5746000000000002,2.045,32.914745,33.654,8.8938,105.409,7.778,245.6816,356.71,0.0228,0.069,0
2018-06-28T09:39:10Z,0.456,23.8972,3.5544,2.1927,32.624201,33.342,8.8764,105.202,7.779,245.7195,326.85,0.0227,0.069,0
2018-06-28T09:39:10Z,0.475,23.8898,3.5908,2.1793,32.320684,33.034,8.8657,105.077,7.783,246.1738,331.12,0.0226,0.07,0
2018-06-28T09:39:10Z,0.496,23.8844,3.5584,2.0584,32.254603,32.981,8.8503,104.892,7.783,246.6659,323.43,0.0225,0.071,0
2018-06-28T09:39:10Z,0.514,23.8812,3.5746000000000002,2.045,32.261643,32.987,8.846,104.84,7.78,246.7795,316.26,0.0225,0.072,0
2018-06-28T09:39:10Z,0.529,23.879,3.4897,2.1122,32.282272,33.019,8.8507,104.895,7.776,247.0823,337.65,0.0225,0.073,0
2018-06-28T09:39:10Z,0.54,23.8778,3.5018,2.1659,32.258586,32.992,8.8741,105.171,7.768,247.3095,303.4,0.0225,0.071,0
2018-06-28T09:39:10Z,0.553,23.8761,3.522,2.139,32.261468,32.994,8.8947,105.416,7.77,247.0445,281.8,0.0225,0.067,0
2018-06-28T09:39:10Z,0.573,23.8738,3.4897,2.0316,32.249034,32.995,8.9181,105.693,7.771,247.8016,278.77,0.0225,0.065,0
2018-06-28T09:39:10Z,0.592,23.8716,3.7081,1.9376,32.214755,32.939,8.9378,105.926,7.769,248.1045,283.9,0.0225,0.064,0
2018-06-28T09:39:10Z,0.612,23.8703,3.7,1.9107,32.244822,32.997,8.9504,106.075,7.776,248.4073,296.84,0.0225,0.064,0
2018-06-28T09:39:10Z,0.635,23.87,3.704,1.8705,32.24127,32.97,8.9522,106.096,7.774,249.0509,294.29,0.0225,0.066,0
2018-06-28T09:39:10Z,0.651,23.87,3.6878,1.8839,32.24883,33,8.9542,106.118,7.774,248.5588,289.25,0.0225,0.068,0
2018-06-28T09:39:10Z,0.667,23.8693,3.797,2.0719,32.205761,32.943,8.9537,106.11,7.782,249.0888,274.34,0.0225,0.071,0
2018-06-28T09:39:10Z,0.684,23.8689,3.8091,2.1256,32.205909,32.943,8.9418,105.963,7.781,249.2781,262.61,0.0225,0.073,0
2018-06-28T09:39:10Z,0.698,23.8686,3.8496,2.0719,32.248647,33,8.9387,105.922,7.786,249.5431,252.88,0.0225,0.072,0
2018-06-28T09:39:10Z,0.716,23.868,3.8374,2.0316,32.211881,32.943,8.9288,105.801,7.788,250.1866,263.84,0.0225,0.07,0
2018-06-28T09:39:10Z,0.735,23.8679,3.7768,2.139,32.222009,32.972,8.9121,105.6,7.789,249.9973,247.87,0.0225,0.068,0
2018-06-28T09:39:10Z,0.762,23.8677,3.7687,2.0316,32.265695,33.001,8.8968,105.417,7.788,250.2245,236.05,0.0225,0.069,0
2018-06-28T09:39:10Z,0.783,23.8674,3.7485,2.2464,32.246475,33.001,8.8753,105.16,7.783,250.1109,236.4,0.0225,0.072,0
2018-06-28T09:39:10Z,0.797,23.8673,3.7606,2.1122,32.216278,32.944,8.8587,104.962,7.785,250.2623,230.33,0.0225,0.074,0
2018-06-28T09:39:10Z,0.808,23.867,3.6919,2.0719,32.24397,33.002,8.8454,104.804,7.782,250.7545,244.01,0.0225,0.073,0
2018-06-28T09:39:10Z,0.819,23.8667,3.7081,2.1659,32.271319,33.002,8.839,104.726,7.786,250.1109,243.62,0.0225,0.071,0
2018-06-28T09:39:10Z,0.841,23.8653,3.6717,2.139,32.271203,33.03,8.838,104.713,7.781,251.3981,246.15,0.0225,0.069,0
2018-06-28T09:39:10Z,0.86,23.8627,3.6878,2.1927,32.214462,32.945,8.8362,104.691,7.771,251.3223,228.02,0.0225,0.067,0
2018-06-28T09:39:10Z,0.872,23.86,3.6757,2.0853,32.193667,32.946,8.8407,104.744,7.763,251.2466,206.3,0.0225,0.064,0
2018-06-28T09:39:10Z,0.891,23.8583,3.6676,2.1122,32.208124,32.948,8.8447,104.79,7.767,251.4738,207.54,0.0225,0.061,0
2018-06-28T09:39:10Z,0.922,23.8568,3.6838,2.1122,32.196473,32.949,8.8471,104.818,7.765,251.4359,208.52,0.0225,0.066,0
2018-06-28T09:39:10Z,0.95,23.8555,3.6959,2.1793,32.208168,32.951,8.8412,104.748,7.763,252.3445,206.39,0.0225,0.074,0
2018-06-28T09:39:10Z,0.96,23.8548,3.7,2.1659,32.223222,32.98,8.8435,104.775,7.747,252.1931,200.53,0.0225,0.078,0
2018-06-28T09:39:10Z,0.971,23.8544,3.7121,1.9645,32.207392,32.953,8.8406,104.739,7.744,252.4202,202.76,0.0225,0.078,0
2018-06-28T09:39:10Z,0.989,23.8537,3.7,1.8839,32.198216,32.953,8.8375,104.701,7.742,252.3066,210.31,0.0225,0.076,0
2018-06-28T09:39:10Z,1.004,23.8528,3.6838,1.8705,32.204989,32.953,8.8331,104.649,7.746,251.9659,204.3,0.0225,0.074,0
2018-06-28T09:39:10Z,1.02,23.8523,3.7283,1.9645,32.198964,32.954,8.8302,104.615,7.748,252.3066,192.48,0.0225,0.071,0
2018-06-28T09:39:10Z,1.032,23.8519,3.7566,2.233,32.205714,32.954,8.8361,104.685,7.754,252.6473,184.36,0.0225,0.065,0
2018-06-28T09:39:10Z,1.043,23.8514,3.7566,2.1659,32.226242,32.983,8.8388,104.716,7.755,252.8366,181.81,0.0225,0.058,0
2018-06-28T09:39:10Z,1.057,23.8511,3.7606,2.1122,32.203071,32.955,8.8465,104.807,7.76,253.0259,184.08,0.0225,0.054,0
2018-06-28T09:39:10Z,1.074,23.851,3.7444,2.045,32.145592,32.898,8.8617,104.984,7.765,253.2909,182.29,0.0225,0.056,0
2018-06-28T09:39:10Z,1.093,23.8508,4.1488,1.8973,32.149511,32.898,8.8755,105.145,7.767,253.3666,174.9,0.0225,0.057,0
2018-06-28T09:39:10Z,1.113,23.8503,4.1488,1.9242,32.198194,32.956,8.888,105.292,7.767,253.4424,168.4,0.0225,0.058,0
2018-06-28T09:39:10Z,1.134,23.8496,4.1245,1.8705,32.203617,32.956,8.8924,105.343,7.758,253.8209,165.48,0.0225,0.062,0
2018-06-28T09:39:10Z,1.146,23.8491,4.1448,1.8436,32.231722,32.985,8.8941,105.363,7.746,253.6316,163.17,0.0225,0.064,0
2018-06-28T09:39:10Z,1.158,23.8491,4.0154,2.1927,32.252178,33.014,8.883,105.23,7.742,253.7831,160.76,0.0225,0.066,0
2018-06-28T09:39:10Z,1.18,23.8494,4.0235,2.1793,32.207813,32.957,8.8702,105.078,7.744,254.0859,155.49,0.0225,0.068,0
2018-06-28T09:39:10Z,1.201,23.8492,4.0396,2.1122,32.197974,32.957,8.8605,104.963,7.735,254.5781,155.52,0.0225,0.069,0
2018-06-28T09:39:10Z,1.209,23.8491,4.0032,2.1122,32.205117,32.957,8.8443,104.769,7.725,254.1238,155.92,0.0225,0.067,0
2018-06-28T09:39:10Z,1.219,23.8487,4.0113,2.1122,32.198925,32.957,8.8341,104.643,7.728,254.4645,151.18,0.0225,0.063,0
2018-06-28T09:39:10Z,1.238,23.8473,4.0113,2.1927,32.176026,32.928,8.8131,104.387,7.739,254.3509,147.89,0.0225,0.06,0
2018-06-28T09:39:10Z,1.253,23.8461,4.0396,2.139,32.20396,32.957,8.8076,104.316,7.731,255.0324,146.93,0.0225,0.059,0
2018-06-28T09:39:10Z,1.262,23.8454,4.0437,2.1122,32.193815,32.958,8.8102,104.343,7.727,254.6916,144.29,0.0225,0.058,0
2018-06-28T09:39:10Z,1.276,23.8452,4.0073,1.9242,32.159,32.902,8.8132,104.374,7.731,254.9188,140.65,0.0225,0.056,0
2018-06-28T09:39:10Z,1.291,23.8448,4.0154,2.1524,32.187983,32.959,8.8041,104.261,7.733,255.1838,138.85,0.0225,0.053,0
2018-06-28T09:39:10Z,1.299,23.8442,4.0194,2.1793,32.157748,32.902,8.789,104.076,7.734,255.1081,138.37,0.0225,0.051,0
2018-06-28T09:39:10Z,1.308,23.8438,4.0113,2.0584,32.196627,32.96,8.775,103.908,7.737,255.3352,136.88,0.0225,0.05,0
2018-06-28T09:39:10Z,1.32,23.8434,4.0235,2.045,32.228557,32.989,8.7578,103.7,7.744,255.1081,136.09,0.0225,0.048,0
2018-06-28T09:39:10Z,1.334,23.8423,4.0396,2.1122,32.147665,32.903,8.7549,103.662,7.746,255.1838,135,0.0225,0.046,0
2018-06-28T09:39:10Z,1.352,23.8397,4.0113,2.139,32.149031,32.903,8.7631,103.757,7.75,255.1081,129.78,0.0225,0.047,0
2018-06-28T09:39:10Z,1.376,23.8363,4.0437,2.1659,32.197203,32.961,8.7678,103.811,7.745,255.9788,126.84,0.0225,0.052,0
2018-06-28T09:39:10Z,1.391,23.8337,4.0113,2.0584,32.206328,32.963,8.7746,103.889,7.735,255.9788,126.9,0.0225,0.055,0
