Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-08-10T12:22:13Z,0.056,27.1958,4.5774,2.1659,37.548843,35.952,6.4159,80.852,7.981,246.0602,240.29,0.0246,0.079,0
2018-08-10T12:22:13Z,0.078,27.2053,4.5855,2.1122,37.56594,35.982,6.6236,83.468,7.99,247.3095,225.84,0.0246,0.083,0
2018-08-10T12:22:13Z,0.106,27.214,4.6098,2.139,37.67944,36.09,6.8738,86.622,7.984,247.6123,209.58,0.0247,0.084,0
2018-08-10T12:22:13Z,0.134,27.2186,4.6017,2.139,37.73386,36.137,7.0772,89.185,7.977,247.2716,207.68,0.0247,0.084,0
2018-08-10T12:22:13Z,0.157,27.2199,4.5774,2.1524,37.735496,36.131,7.247,91.323,7.971,247.4609,206.4,0.0247,0.083,0
2018-08-10T12:22:13Z,0.168,27.221800000000002,4.634,2.1793,37.73672,36.127,7.376,92.946,7.961,246.2873,205.05,0.0247,0.082,0
2018-08-10T12:22:13Z,0.177,27.2237,4.6624,2.139,37.732335,36.127,7.4402,93.755,7.974,245.1516,197.15,0.0247,0.082,0
2018-08-10T12:22:13Z,0.192,27.2255,4.6624,2.1659,37.740953,36.125,7.46,94.01,7.983,244.8109,192.05,0.0247,0.079,0
2018-08-10T12:22:13Z,0.202,27.2279,4.6826,2.1659,37.725993,36.124,7.449,93.89,7.99,244.4323,197.88,0.0247,0.072,0
2018-08-10T12:22:13Z,0.211,27.2272,4.7917,2.139,37.691631,36.069,7.4235,93.589,7.998,244.8109,192.4,0.0247,0.063,0
2018-08-10T12:22:13Z,0.236,27.2239,4.7594,2.1659,37.665075,36.068,7.3876,93.141,8.007,245.1516,182.98,0.0247,0.057,0
2018-08-10T12:22:13Z,0.264,27.2227,4.7917,2.139,37.640398,36.015,7.3688,92.898,8.006,246.0223,182.96,0.0246,0.057,0
2018-08-10T12:22:13Z,0.285,27.2233,4.812,2.1524,37.66302,36.07,7.3469,92.613,8.009,241.6309,177.73,0.0247,0.061,0
2018-08-10T12:22:13Z,0.307,27.2234,4.812,2.045,37.636924,36.018,7.3186,92.255,8.013,243.2209,174.17,0.0246,0.069,0
2018-08-10T12:22:13Z,0.327,27.2223,4.7998,2.0719,37.672873,36.071,7.2816,91.812,8.016,242.7287,171.28,0.0247,0.076,0
2018-08-10T12:22:13Z,0.357,27.2209,4.8201,2.1659,37.677602,36.071,7.2406,91.334,8.021,244.8488,163.23,0.0247,0.083,0
2018-08-10T12:22:13Z,0.411,27.2206,4.8403,2.1524,37.631041,36.018,7.1978,90.843,8.022,246.0223,155.25,0.0246,0.098,0
2018-08-10T12:22:13Z,0.469,27.2241,4.9131,2.327,37.671499,36.073,7.1615,90.403,8.03,244.3945,148.81,0.0247,0.117,0
2018-08-10T12:22:13Z,0.51,27.235,4.8726,2.2733,37.627254,36.019,7.1269,89.958,8.039,244.773,146.37,0.0246,0.132,0
2018-08-10T12:22:13Z,0.53,27.247,4.8848,2.3002,37.626784,36.017,7.0764,89.3,8.038,245.2273,146.55,0.0246,0.14,0
2018-08-10T12:22:13Z,0.54,27.2499,4.8969,2.3404,37.672083,36.063,7.0158,88.501,8.045,244.6595,143.93,0.0247,0.142,0
2018-08-10T12:22:13Z,0.562,27.2467,5.095,3.6027,37.630196,36.001,6.9501,87.633,8.05,245.4923,140.44,0.0246,0.138,0
2018-08-10T12:22:13Z,0.604,27.2414,5.0788,3.4684,37.619586,35.999,6.8775,86.694,8.055,246.4009,137.01,0.0246,0.133,0
2018-08-10T12:22:13Z,0.647,27.2413,5.0708,3.5892,37.625966,36.001,6.8264,86.041,8.052,246.2116,133.24,0.0246,0.128,0
2018-08-10T12:22:13Z,0.68,27.2547,5.0829,3.549,37.622258,36.005,6.7876,85.552,8.049,245.833,130.54,0.0246,0.12,0
2018-08-10T12:22:13Z,0.709,27.2792,5.0788,2.515,37.624201,36.006,6.7408,84.964,8.047,246.098,129.22,0.0246,0.116,0
2018-08-10T12:22:13Z,0.731,27.3077,5.0869,2.4613,37.623546,35.995,6.6946,84.377,8.047,245.6438,128.79,0.0246,0.117,0
2018-08-10T12:22:13Z,0.741,27.32,5.0748,2.4747,37.623067,35.979,6.6413,83.701,8.038,245.7952,127.57,0.0246,0.117,0
2018-08-10T12:22:13Z,0.751,27.3149,5.0869,2.5284,37.624786,35.959,6.591,83.075,8.044,249.2023,126.38,0.0246,0.111,0
2018-08-10T12:22:13Z,0.772,27.3026,5.0748,2.5419,37.621394,35.951,6.52,82.21,8.05,248.8616,125.85,0.0246,0.099,0
2018-08-10T12:22:13Z,0.798,27.2801,5.0344,2.2464,37.627281,35.954,6.4552,81.402,8.056,248.4831,122.04,0.0246,0.087,0
2018-08-10T12:22:13Z,0.852,27.2555,5.0263,2.1927,37.617461,35.963,6.4152,80.887,8.053,249.2023,117.67,0.0246,0.086,0
2018-08-10T12:22:13Z,0.907,27.2403,5.0101,2.2599,37.544642,35.898,6.4355,81.124,8.056,247.2716,116.41,0.0246,0.098,0
2018-08-10T12:22:13Z,0.946,27.2344,4.9939,2.1659,37.539953,35.915,6.4959,81.876,8.056,246.7038,113.93,0.0246,0.114,0
2018-08-10T12:22:13Z,0.99,27.2346,5.0182,2.2196,37.623309,36.006,6.5534,82.63,8.061,250.0352,111.98,0.0246,0.134,0
2018-08-10T12:22:13Z,1.021,27.2354,5.0263,2.1927,37.618877,36.01,6.6,83.245,8.064,250.5652,110.93,0.0246,0.15,0
2018-08-10T12:22:13Z,1.056,27.233,5.0263,2.3002,37.545471,35.929,6.6424,83.794,8.065,250.1866,108.2,0.0246,0.16,0
2018-08-10T12:22:13Z,1.103,27.2293,5.0505,2.2464,37.5367,35.929,6.6706,84.148,8.061,249.6566,106.86,0.0246,0.165,0
2018-08-10T12:22:13Z,1.132,27.2363,5.281,2.139,37.540814,35.93,6.7198,84.749,8.062,249.6945,106.17,0.0246,0.161,0
2018-08-10T12:22:13Z,1.156,27.2551,5.2527,2.139,37.570015,35.96,6.7433,85.028,8.059,249.3538,105.53,0.0246,0.149,0
2018-08-10T12:22:13Z,1.17,27.2616,5.281,2.1524,37.619002,36.009,6.7413,84.998,8.056,249.6566,105.29,0.0246,0.134,0
2018-08-10T12:22:13Z,1.192,27.2544,5.2689,2.1793,37.539166,35.915,6.7759,85.138,8.055,249.3159,103.62,0.0246,0.122,0
2018-08-10T12:22:13Z,1.231,27.2409,5.5762,1.8705,37.55072,35.911,6.9645,86.654,8.04,250.7545,102.14,0.0246,0.115,0
2018-08-10T12:22:13Z,1.271,27.2358,5.6166,1.8436,37.604622,35.996,7.3242,90.431,8.028,251.5116,101.76,0.0246,0.114,0
2018-08-10T12:22:13Z,1.299,27.2541,5.6247,1.9645,37.561071,35.925,7.7333,95.057,8.015,251.5873,100.96,0.0246,0.112,0
2018-08-10T12:22:13Z,1.322,27.273,5.5681,1.9107,37.604922,36.009,8.03,98.446,8.007,248.4452,100.36,0.0246,0.109,0
2018-08-10T12:22:13Z,1.344,27.2823,5.9037,2.233,37.550051,35.916,8.2708,101.24,7.995,250.4895,100.42,0.0246,0.11,0
2018-08-10T12:22:13Z,1.361,27.2803,5.9037,2.139,37.540371,35.903,8.4825,103.77,7.989,250.4138,99.915,0.0246,0.109,0
2018-08-10T12:22:13Z,1.384,27.2695,5.9037,2.1659,37.616962,35.977,8.6812,106.199,7.983,250.0352,98.429,0.0246,0.107,0
2018-08-10T12:22:13Z,1.417,27.256,5.9078,2.1927,37.543711,35.897,8.8124,107.798,7.967,252.6473,98.324,0.0246,0.104,0
2018-08-10T12:22:13Z,1.439,27.2561,5.8714,2.1927,37.57221,35.933,8.8749,108.474,7.955,249.5431,98.511,0.0246,0.097,0
2018-08-10T12:22:13Z,1.455,27.0447,5.9037,2.1256,37.611162,35.994,8.8545,108.102,7.952,249.8081,97.295,0.0246,0.091,0
2018-08-10T12:22:13Z,1.469,26.5253,5.9037,2.0719,37.139321,35.542,8.8059,107.418,7.95,250.0731,96.815,0.0245,0.087,0
2018-08-10T12:22:13Z,1.485,26.0869,5.8916,2.139,36.557803,35.083,8.7598,106.799,7.949,250.3002,97.012,0.0242,0.083,0
2018-08-10T12:22:13Z,1.498,25.8479,5.9037,2.139,36.407099,35.347,8.6938,105.922,7.948,251.2466,96.002,0.0242,0.078,0
2018-08-10T12:22:13Z,1.523,25.6986,5.9644,2.1256,36.259356,35.477,8.6115,104.835,7.942,251.4738,94.576,0.0241,0.076,0
2018-08-10T12:22:13Z,1.548,25.6168,5.9806,2.1659,36.119039,35.511,8.5039,103.431,7.925,251.3223,94.399,0.0241,0.073,0
2018-08-10T12:22:13Z,1.558,25.5814,5.9401,2.1122,36.107316,35.612,8.3825,101.873,7.918,250.9438,94.008,0.0241,0.069,0
2018-08-10T12:22:13Z,1.564,25.5823,5.9604,2.1927,36.125729,35.672,8.2411,100.112,7.908,251.4359,93.522,0.0241,0.066,0
2018-08-10T12:22:13Z,1.567,25.5767,5.9199,2.1659,36.185143,35.778,8.1184,98.565,7.905,250.7923,93.336,0.0241,0.061,0
2018-08-10T12:22:13Z,1.577,25.5338,5.9159,2.1524,36.122372,35.695,7.9997,97.046,7.901,251.6631,92.474,0.0241,0.055,0
2018-08-10T12:22:13Z,1.591,25.4716,5.8957,2.045,36.114876,35.697,7.8885,95.634,7.895,252.1931,91.96,0.0241,0.05,0
2018-08-10T12:22:13Z,1.6,25.4264,5.8714,2.1793,36.164819,35.784,7.807,94.639,7.887,254.2752,91.671,0.0241,0.045,0
2018-08-10T12:22:13Z,1.612,25.3957,5.5075,2.2733,36.119555,35.773,7.7309,93.71,7.885,253.9724,90.72,0.0241,0.039,0
2018-08-10T12:22:13Z,1.629,25.3592,5.5236,2.2062,36.111917,35.805,7.6836,93.084,7.877,253.9345,89.971,0.0241,0.038,0
2018-08-10T12:22:13Z,1.642,25.3154,5.5439,2.2464,36.115031,35.826,7.6517,92.655,7.869,252.4959,89.407,0.0241,0.042,0
2018-08-10T12:22:13Z,1.661,25.2657,5.4913,2.2464,36.115698,35.853,7.6349,92.42,7.863,253.0638,88.282,0.0241,0.048,0
2018-08-10T12:22:13Z,1.684,25.2231,5.5236,2.139,36.111105,35.884,7.6211,92.15,7.854,256.3195,87.259,0.0241,0.055,0
2018-08-10T12:22:13Z,1.701,25.1986,5.556,2.0182,36.061452,35.864,7.5954,91.729,7.84,256.3952,86.902,0.0241,0.06,0
2018-08-10T12:22:13Z,1.711,25.1682,5.5479,2.1659,35.999565,35.839,7.5504,91.169,7.83,256.4709,86.649,0.0241,0.063,0
2018-08-10T12:22:13Z,1.726,25.124,5.5358,2.1122,36.010192,35.856,7.4849,90.41,7.825,255.9409,85.993,0.0241,0.065,0
2018-08-10T12:22:13Z,1.743,25.0895,5.5156,2.0853,36.04824,35.933,7.4189,89.596,7.816,256.4331,85.176,0.0241,0.065,0
2018-08-10T12:22:13Z,1.754,25.0842,5.839,1.9107,36.011548,35.909,7.3373,88.562,7.802,256.5466,85.075,0.0241,0.063,0
2018-08-10T12:22:13Z,1.76,25.0798,5.8188,1.9242,36.055876,35.991,7.2698,87.717,7.789,256.8495,84.855,0.0241,0.058,0
2018-08-10T12:22:13Z,1.769,25.0502,5.8633,1.9107,36.052406,35.994,7.2112,86.848,7.784,257.8338,84.334,0.0241,0.052,0
2018-08-10T12:22:13Z,1.777,25.0261,5.8714,1.8973,36.01587,35.94,7.1555,85.92,7.78,257.2281,84.084,0.0241,0.046,0
2018-08-10T12:22:13Z,1.787,25.0053,6.2677,1.8302,36.042033000000004,36.018,7.0802,84.815,7.776,257.1145,83.476,0.0241,0.042,0
2018-08-10T12:22:13Z,1.814,24.9457,6.2758,2.0047,36.019859,35.98,6.968,83.281,7.775,257.7581,82.28,0.0241,0.044,0
