Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/14/2015 12:17:51 PM	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.95	92.21	0.15	19.11	0	954	0	0	0	0	0	0	954	258.87	1.26	-1.32	3.93	-0.34	11.06	-2.35	1.02	18.03	14.86
5/14/2015 12:17:54 PM	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.18	77.64	0.32	20.00	0	176	0	0	0	0	0	0	176	217.93	5.34	-5.56	0.38	-1.77	5.12	-1.13	1.03	18.08	14.87
5/14/2015 12:17:57 PM	2.37	0.00	0.30	0.56	0.00	0.00	0.00	0.00	3.23	100.00	0.70	21.15	1258	0	135	17	0	0	0	0	1409	326.75	4.72	1.35	3.55	10.19	7.98	16.75	1.07	18.13	14.87
5/14/2015 12:17:59 PM	1.87	0.00	1.57	0.19	0.00	0.00	0.00	0.00	3.62	100.00	1.00	21.18	989	0	705	6	0	0	0	0	1700	294.09	7.21	3.78	3.61	14.28	6.97	19.39	1.10	18.14	14.99
5/14/2015 12:18:02 PM	0.88	0.00	1.85	0.60	0.00	0.00	0.00	0.00	3.33	100.00	1.19	21.15	467	0	831	18	0	0	0	0	1316	290.11	9.11	0.41	2.85	13.69	10.20	18.42	1.12	18.18	14.87
5/14/2015 12:18:05 PM	1.32	0.00	2.61	0.00	0.00	0.00	0.00	0.00	3.93	100.00	1.38	21.11	698	0	1176	0	0	0	0	0	1874	292.40	9.81	2.67	4.80	16.94	7.27	21.72	1.14	18.23	14.90
5/14/2015 12:18:08 PM	1.80	0.00	1.95	0.09	0.00	0.00	0.00	0.00	3.84	100.00	1.49	21.10	953	0	880	3	0	0	0	0	1836	291.31	7.92	3.97	3.56	14.34	7.02	21.89	1.15	18.27	14.97
5/14/2015 12:18:11 PM	0.36	0.00	3.14	0.29	0.00	0.00	0.00	0.00	3.80	100.00	1.66	21.07	192	0	1414	9	0	0	0	0	1615	287.94	11.84	1.66	5.38	16.17	8.85	22.55	1.16	18.30	14.96
5/14/2015 12:18:13 PM	2.58	0.00	1.55	0.49	0.00	0.00	0.00	0.00	4.61	100.00	1.80	21.01	1365	0	697	15	0	0	0	0	2076	288.28	8.58	3.55	5.03	16.24	9.26	25.14	1.18	18.34	14.96
