Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/30/2015 5:43:02 PM	1.60	0.91	2.19	0.32	0.00	0.00	0.00	0.21	5.01	100.00	0.19	26.39	846	908	985	10	0	0	0	0	2749	284.86	11.48	2.30	11.43	23.07	13.98	24.03	1.02	26.11	22.67
5/30/2015 5:43:05 PM	2.19	0.28	3.26	0.54	0.00	0.00	0.00	0.11	6.27	100.00	0.56	24.96	1162	281	1467	16	0	0	0	0	2927	310.89	15.18	3.64	10.47	27.76	13.16	33.28	1.05	26.14	22.67
5/30/2015 5:43:08 PM	1.74	0.13	3.54	1.06	0.00	0.00	0.00	0.10	6.47	100.00	0.59	24.93	924	126	1591	32	0	0	0	0	2673	309.37	17.35	3.41	10.31	28.61	14.99	35.34	1.06	26.17	22.68
5/30/2015 5:43:10 PM	2.49	0.05	3.20	1.13	0.00	0.00	0.00	0.04	6.87	100.00	0.79	24.91	1322	47	1439	34	0	0	0	0	2842	311.20	16.74	3.89	10.45	28.67	14.82	36.45	1.08	26.20	22.71
5/30/2015 5:43:13 PM	2.42	0.05	4.14	0.67	0.00	0.00	0.00	0.01	7.28	100.00	1.29	24.70	1280	53	1862	20	0	0	0	0	3216	313.62	18.13	3.62	10.64	30.17	14.22	39.15	1.13	26.23	22.72
5/30/2015 5:43:16 PM	2.11	0.00	4.40	0.63	0.00	0.00	0.00	0.09	7.14	100.00	1.85	24.31	1117	0	1979	19	0	0	0	0	3114	313.27	18.79	3.72	9.76	31.90	14.08	40.09	1.18	26.25	22.73
5/30/2015 5:43:19 PM	2.56	0.17	3.75	1.06	0.00	0.00	0.00	0.19	7.54	100.00	2.34	23.70	1355	175	1686	32	0	0	0	0	3248	311.53	18.99	4.16	12.01	34.57	16.29	41.22	1.23	26.28	22.71
5/30/2015 5:43:22 PM	2.19	0.02	3.42	1.17	0.00	0.00	0.00	0.34	6.80	100.00	2.98	22.55	1159	22	1538	35	0	0	0	0	2755	311.40	18.32	4.04	10.53	35.22	15.15	39.52	1.29	26.31	22.72
5/30/2015 5:43:24 PM	2.09	0.00	3.56	1.66	0.00	0.00	0.00	0.45	7.30	100.00	3.89	20.55	1105	0	1602	50	0	0	0	0	2757	310.62	20.67	4.85	11.54	39.67	17.35	43.51	1.38	26.32	22.75
5/30/2015 5:43:27 PM	2.13	0.08	4.67	2.50	0.00	0.00	0.00	0.67	9.37	100.00	4.56	17.53	1129	81	2100	75	0	0	0	0	3385	310.41	27.90	7.49	16.14	52.70	22.81	56.86	1.45	26.34	22.74
5/30/2015 5:43:30 PM	2.64	0.58	5.58	2.38	0.00	0.00	0.00	0.84	11.18	100.00	5.14	15.77	1399	576	2511	72	0	0	0	0	4557	309.46	31.96	8.75	21.05	62.74	26.88	66.00	1.50	26.35	22.79
