Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/30/2015 6:33:06 PM	0.00	1.10	0.63	0.00	0.00	0.00	0.00	0.00	1.73	53.54	0.01	22.88	0	1100	285	0	0	0	0	0	1385	150.24	3.95	-1.92	8.29	4.39	9.35	4.05	1.00	20.68	17.44
5/30/2015 6:33:09 PM	2.33	0.14	2.97	1.16	0.00	0.00	0.00	0.10	6.60	100.00	0.89	24.97	1236	139	1337	35	0	0	0	0	2747	310.83	16.23	3.77	10.58	28.44	15.03	35.00	1.09	20.72	17.47
5/30/2015 6:33:12 PM	2.12	0.19	3.42	1.10	0.00	0.00	0.00	0.19	6.83	100.00	1.69	24.80	1126	185	1538	33	0	0	0	0	2883	312.87	17.77	3.53	11.07	31.82	15.83	37.52	1.17	20.76	17.47
5/30/2015 6:33:14 PM	2.26	0.00	3.88	0.82	0.00	0.00	0.00	0.22	6.96	100.00	2.31	24.27	1198	0	1745	25	0	0	0	0	2968	312.76	18.29	3.65	10.06	33.60	14.30	39.72	1.23	20.81	17.47
5/30/2015 6:33:17 PM	1.80	0.00	4.12	1.01	0.00	0.00	0.00	0.36	6.93	100.00	2.98	23.08	955	0	1852	30	0	0	0	0	2837	311.50	19.78	4.30	10.37	36.84	14.99	41.50	1.29	20.86	17.49
5/30/2015 6:33:20 PM	1.74	0.06	3.67	0.81	0.00	0.00	0.00	0.50	6.28	100.00	3.50	21.85	922	59	1650	24	0	0	0	0	2656	310.57	18.11	3.91	9.94	37.12	13.66	38.78	1.34	20.91	17.49
5/30/2015 6:33:23 PM	1.87	0.51	4.21	1.30	0.00	0.00	0.00	0.58	7.89	100.00	3.98	20.01	992	506	1894	39	0	0	0	0	3432	309.80	22.29	6.14	15.11	44.18	18.75	46.10	1.39	20.94	17.51
5/30/2015 6:33:26 PM	1.68	0.26	4.81	2.64	0.00	0.00	0.00	0.82	9.38	100.00	4.47	17.73	889	257	2164	79	0	0	0	0	3390	308.60	29.13	8.08	17.41	55.70	24.11	57.88	1.44	20.97	17.53
5/30/2015 6:33:28 PM	2.44	0.48	5.12	2.59	0.00	0.00	0.00	0.97	10.62	100.00	5.05	16.08	1291	480	2302	78	0	0	0	0	4151	308.09	31.28	8.72	20.11	63.35	26.43	64.51	1.50	21.01	17.52
