Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/18/2015 2:20:35 PM	1.82	0.67	0.86	0.18	0.00	0.00	0.00	0.08	3.53	61.43	0.56	28.73	967	667	385	5	0	0	0	0	2024	172.40	6.08	1.96	8.12	14.24	9.79	14.92	1.05	22.61	19.18
6/18/2015 2:20:38 PM	1.77	0.59	1.33	0.00	0.00	0.00	0.00	0.03	3.69	74.54	0.59	28.71	940	586	598	0	0	0	0	0	2125	209.24	6.72	2.29	7.96	14.39	8.91	16.19	1.06	22.64	19.19
6/18/2015 2:20:40 PM	1.69	0.27	1.84	0.00	0.00	0.00	0.00	0.00	3.81	94.34	0.76	28.64	897	271	829	0	0	0	0	0	1997	264.86	8.02	0.73	6.46	14.97	8.35	18.70	1.07	22.71	19.16
6/18/2015 2:20:43 PM	1.22	0.01	1.70	0.81	0.00	0.00	0.00	0.04	3.74	100.00	1.08	28.52	646	13	765	24	0	0	0	0	1448	289.97	9.64	3.22	6.22	16.19	9.16	19.93	1.11	22.75	19.17
6/18/2015 2:20:46 PM	1.87	0.00	1.67	0.63	0.00	0.00	0.00	0.00	4.18	100.00	1.29	28.39	993	0	752	19	0	0	0	0	1764	297.44	9.20	2.81	6.71	15.65	8.84	22.37	1.13	22.77	19.18
6/18/2015 2:20:49 PM	1.85	0.13	2.22	0.25	0.00	0.00	0.00	0.01	4.45	100.00	1.48	28.14	983	131	997	7	0	0	0	0	2118	300.91	10.04	2.04	6.79	18.31	9.31	22.83	1.14	22.82	19.22
6/18/2015 2:20:52 PM	2.23	0.04	1.63	0.43	0.00	0.00	0.00	0.03	4.33	100.00	1.65	27.75	1184	36	734	13	0	0	0	0	1966	304.60	8.97	2.06	6.23	17.98	9.08	22.04	1.16	22.84	19.23
6/18/2015 2:20:54 PM	2.00	0.23	2.06	0.19	0.00	0.00	0.00	0.00	4.47	100.00	1.81	27.64	1058	228	927	6	0	0	0	0	2219	304.19	9.46	1.84	7.37	17.29	9.45	22.58	1.18	22.91	19.30
6/18/2015 2:20:57 PM	2.35	0.17	2.22	0.01	0.00	0.00	0.00	0.04	4.76	100.00	1.99	27.48	1247	175	999	0	0	0	0	0	2421	304.11	9.79	1.94	7.12	20.11	9.06	24.26	1.19	22.94	19.31
6/18/2015 2:21:00 PM	2.54	0.12	2.14	0.25	0.00	0.00	0.00	0.00	5.05	100.00	2.19	27.36	1346	121	963	8	0	0	0	0	2437	304.66	10.27	2.22	7.51	19.99	9.81	25.55	1.21	22.99	19.30
6/18/2015 2:21:03 PM	1.82	0.11	2.25	0.28	0.00	0.00	0.00	0.00	4.46	100.00	2.44	27.34	963	113	1013	8	0	0	0	0	2097	305.60	10.08	2.90	7.15	17.94	8.81	23.19	1.24	23.01	19.31
