Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/18/2015 9:07:55 PM	1.01	0.48	0.74	0.00	0.00	0.00	0.00	0.05	2.24	69.85	0.20	24.12	537	483	334	0	0	0	0	0	1354	196.06	4.24	0.91	5.63	9.28	6.82	9.30	1.02	20.75	17.31
6/18/2015 9:07:57 PM	1.82	0.05	1.85	0.10	0.00	0.00	0.00	0.00	3.81	100.00	0.37	27.76	963	47	831	3	0	0	0	0	1844	299.05	8.15	1.66	5.45	15.53	7.50	19.70	1.04	20.79	17.34
6/18/2015 9:08:00 PM	1.85	0.04	1.93	0.10	0.00	0.00	0.00	0.00	3.92	100.00	0.51	27.92	978	36	870	3	0	0	0	0	1887	299.29	8.46	1.69	5.57	15.97	7.63	20.42	1.05	20.82	17.33
6/18/2015 9:08:03 PM	1.82	0.07	2.04	0.07	0.00	0.00	0.00	0.00	3.99	100.00	0.65	28.01	962	66	917	2	0	0	0	0	1948	299.10	8.70	1.69	5.85	16.14	7.77	20.88	1.06	20.85	17.35
6/18/2015 9:08:06 PM	1.80	0.05	2.11	0.12	0.00	0.00	0.00	0.00	4.07	100.00	0.79	27.89	954	52	948	3	0	0	0	0	1957	298.85	9.02	1.78	6.02	16.32	7.91	21.57	1.08	20.91	17.36
6/18/2015 9:08:08 PM	1.84	0.02	2.03	0.18	0.00	0.00	0.00	0.00	4.07	100.00	0.95	27.85	977	16	911	5	0	0	0	0	1910	299.46	9.00	1.74	5.79	16.45	8.00	21.47	1.09	20.94	17.38
6/18/2015 9:08:11 PM	1.83	0.02	1.96	0.11	0.00	0.00	0.00	0.00	3.92	100.00	1.07	27.72	969	20	883	3	0	0	0	0	1876	299.69	8.56	1.60	5.49	16.01	7.64	20.58	1.10	20.99	17.38
6/18/2015 9:08:14 PM	1.87	0.00	2.16	0.24	0.00	0.00	0.00	0.00	4.28	100.00	1.22	27.59	991	0	973	7	0	0	0	0	1971	299.22	9.63	1.86	6.16	17.05	8.37	22.96	1.12	21.04	17.40
6/18/2015 9:08:17 PM	1.89	0.00	2.13	0.23	0.00	0.00	0.00	0.00	4.24	100.00	1.38	27.72	999	0	956	7	0	0	0	0	1963	299.32	9.47	1.77	5.89	17.04	8.36	22.61	1.14	21.07	17.43
6/18/2015 9:08:20 PM	1.87	0.01	2.28	0.30	0.00	0.00	0.00	0.00	4.45	100.00	1.52	27.80	992	7	1024	9	0	0	0	0	2032	299.37	10.19	2.05	6.51	17.78	8.77	23.93	1.15	21.11	17.42
6/18/2015 9:08:22 PM	2.00	0.04	2.27	0.26	0.00	0.00	0.00	0.00	4.56	100.00	1.67	27.59	1059	38	1022	8	0	0	0	0	2127	299.61	10.16	2.00	6.74	18.07	8.91	24.27	1.16	21.15	17.43
6/18/2015 9:08:25 PM	2.00	0.06	2.24	0.32	0.00	0.00	0.00	0.00	4.62	100.00	1.83	27.81	1061	61	1009	9	0	0	0	0	2141	299.54	10.31	2.12	6.94	18.36	9.28	24.31	1.18	21.21	17.47
6/18/2015 9:08:28 PM	2.00	0.00	2.30	0.40	0.00	0.00	0.00	0.00	4.70	100.00	2.00	27.75	1061	0	1035	12	0	0	0	0	2109	299.42	10.68	2.16	6.89	18.45	9.36	25.36	1.20	21.25	17.48
6/18/2015 9:08:31 PM	2.09	0.00	2.36	0.41	0.00	0.00	0.00	0.00	4.86	100.00	2.15	27.65	1108	0	1060	12	0	0	0	0	2181	299.03	10.98	2.13	7.15	19.01	9.62	26.19	1.21	21.28	17.49
6/18/2015 9:08:34 PM	1.99	0.00	2.55	0.42	0.00	0.00	0.00	0.00	4.96	100.00	2.30	27.38	1053	4	1149	13	0	0	0	0	2218	299.08	11.56	2.26	7.44	19.40	9.79	27.08	1.23	21.33	17.48
