Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/19/2015 5:05:42 AM	1.34	0.29	1.69	0.15	0.00	0.00	0.00	0.19	3.47	100.00	0.44	25.60	710	294	760	4	0	0	0	0	1769	284.64	8.33	1.83	6.39	18.05	8.52	18.63	1.04	18.68	15.79
6/19/2015 5:05:45 AM	1.61	0.26	1.86	0.23	0.00	0.00	0.00	0.13	3.96	100.00	0.72	26.93	855	256	837	7	0	0	0	0	1954	286.74	9.13	2.11	6.87	18.71	9.10	20.71	1.07	18.73	15.84
6/19/2015 5:05:48 AM	1.56	0.20	1.96	0.32	0.00	0.00	0.00	0.13	4.05	100.00	0.81	26.95	828	200	884	10	0	0	0	0	1921	289.57	9.69	2.15	6.80	19.24	9.34	21.57	1.08	18.75	15.86
6/19/2015 5:05:51 AM	1.60	0.26	1.99	0.21	0.00	0.00	0.00	0.13	4.06	100.00	1.05	27.04	850	259	897	6	0	0	0	0	2013	289.56	9.50	2.11	7.01	19.27	9.24	21.41	1.10	18.81	15.89
6/19/2015 5:05:54 AM	1.60	0.23	1.94	0.25	0.00	0.00	0.00	0.13	4.02	100.00	1.34	27.08	846	230	875	7	0	0	0	0	1959	289.48	9.43	2.06	6.83	18.99	9.20	21.21	1.13	18.85	15.89
6/19/2015 5:05:56 AM	1.69	0.25	2.00	0.29	0.00	0.00	0.00	0.13	4.22	100.00	1.60	27.00	897	246	899	9	0	0	0	0	2050	288.71	9.82	2.25	7.23	19.76	9.61	22.19	1.16	18.89	15.91
6/19/2015 5:05:59 AM	1.66	0.18	1.99	0.33	0.00	0.00	0.00	0.11	4.16	100.00	1.81	27.01	877	180	895	10	0	0	0	0	1962	288.56	9.81	2.21	6.85	19.33	9.40	22.04	1.18	18.94	15.92
6/19/2015 5:06:02 AM	1.78	0.25	2.21	0.22	0.00	0.00	0.00	0.08	4.46	100.00	1.98	26.86	943	249	994	7	0	0	0	0	2193	288.55	10.20	2.32	7.49	19.59	9.69	23.02	1.19	18.98	15.91
6/19/2015 5:06:05 AM	1.55	0.20	1.93	0.28	0.00	0.00	0.00	0.13	3.97	100.00	2.18	26.86	824	202	870	8	0	0	0	0	1905	289.00	9.44	2.12	6.68	18.88	9.10	21.12	1.21	19.02	15.90
6/19/2015 5:06:08 AM	1.72	0.23	2.02	0.31	0.00	0.00	0.00	0.12	4.28	100.00	2.38	27.03	912	226	907	9	0	0	0	0	2055	289.06	9.94	2.27	7.22	19.69	9.67	22.43	1.23	19.08	15.91
6/19/2015 5:06:10 AM	1.75	0.20	2.09	0.35	0.00	0.00	0.00	0.11	4.40	100.00	2.63	26.91	926	204	941	11	0	0	0	0	2082	289.03	10.29	2.35	7.30	20.02	9.86	23.11	1.26	19.12	15.94
6/19/2015 5:06:13 AM	1.78	0.25	1.91	0.26	0.00	0.00	0.00	0.17	4.20	100.00	2.93	26.62	942	248	861	8	0	0	0	0	2058	289.65	9.66	2.27	7.20	20.58	9.46	22.36	1.29	19.17	15.95
6/19/2015 5:06:16 AM	2.93	0.03	3.92	0.25	0.00	0.00	0.00	0.16	7.14	100.00	3.19	25.61	1554	31	1765	8	0	0	0	0	3358	288.43	16.90	3.01	9.87	33.07	12.69	39.59	1.31	19.20	15.99
