Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/19/2015 6:12:43 AM	1.32	0.36	1.70	0.00	0.00	0.00	0.00	0.23	3.38	100.00	0.42	25.90	698	359	766	0	0	0	0	0	1823	291.86	8.04	1.78	6.50	18.53	8.19	18.28	1.04	19.14	16.21
6/19/2015 6:12:46 AM	1.44	0.22	1.60	0.25	0.00	0.00	0.00	0.18	3.51	100.00	0.86	26.87	762	222	719	8	0	0	0	0	1710	293.74	8.34	1.95	6.18	18.04	8.50	18.92	1.08	19.18	16.21
6/19/2015 6:12:49 AM	1.42	0.28	1.65	0.10	0.00	0.00	0.00	0.18	3.45	100.00	1.13	26.90	753	280	742	3	0	0	0	0	1778	293.43	8.03	1.83	6.24	17.77	8.18	18.40	1.11	19.22	16.21
6/19/2015 6:12:52 AM	1.23	0.23	1.75	0.15	0.00	0.00	0.00	0.19	3.36	100.00	1.44	26.93	650	232	788	5	0	0	0	0	1674	293.36	8.36	2.00	6.03	17.78	8.03	18.46	1.14	19.26	16.23
6/19/2015 6:12:54 AM	1.47	0.22	1.73	0.05	0.00	0.00	0.00	0.17	3.48	100.00	1.76	26.95	781	219	780	2	0	0	0	0	1781	293.74	8.11	1.82	5.94	17.89	7.81	18.82	1.17	19.31	16.22
6/19/2015 6:12:57 AM	1.23	0.22	1.79	0.19	0.00	0.00	0.00	0.18	3.43	100.00	2.06	27.05	653	218	804	6	0	0	0	0	1681	293.60	8.58	1.93	6.04	17.93	8.24	18.82	1.20	19.35	16.27
6/19/2015 6:13:00 AM	1.52	0.18	1.60	0.23	0.00	0.00	0.00	0.17	3.54	100.00	2.35	26.94	804	185	722	7	0	0	0	0	1717	293.64	8.27	2.04	6.03	18.04	8.21	19.12	1.23	19.40	16.26
6/19/2015 6:13:03 AM	1.45	0.25	1.96	0.07	0.00	0.00	0.00	0.16	3.74	100.00	2.66	26.82	770	255	882	2	0	0	0	0	1910	293.74	8.91	1.94	6.50	18.68	8.43	20.11	1.26	19.43	16.26
6/19/2015 6:13:06 AM	1.51	0.22	1.97	0.27	0.00	0.00	0.00	0.16	3.97	100.00	2.93	26.73	800	215	886	8	0	0	0	0	1910	293.65	9.60	2.28	6.81	19.55	9.09	21.40	1.29	19.50	16.29
6/19/2015 6:13:08 AM	2.25	0.13	3.04	0.24	0.00	0.00	0.00	0.15	5.66	100.00	3.18	26.05	1195	126	1369	7	0	0	0	0	2696	293.51	13.51	2.38	8.38	26.58	11.15	31.03	1.31	19.54	16.32
