Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/7/2015 3:30:42 PM	0.66	0.00	0.44	0.29	0.00	0.00	0.00	0.00	1.40	100.00	0.50	26.64	349	0	200	9	0	0	0	0	558	315.57	3.14	1.89	1.51	5.86	4.70	7.04	1.05	23.26	19.66
8/7/2015 3:30:44 PM	0.00	0.10	1.21	0.00	0.00	0.00	0.00	0.00	1.32	100.00	0.54	26.62	0	103	546	0	0	0	0	0	649	318.33	4.34	0.74	3.06	5.17	4.20	7.84	1.05	23.28	19.66
8/7/2015 3:30:47 PM	0.00	0.04	0.66	0.30	0.00	0.00	0.00	0.00	1.00	100.00	0.69	26.65	0	41	296	9	0	0	0	0	346	316.96	3.68	0.77	2.07	4.63	4.72	5.15	1.07	23.31	19.67
8/7/2015 3:30:50 PM	1.00	0.00	0.02	0.40	0.00	0.00	0.00	0.00	1.42	100.00	0.85	26.65	531	0	10	12	0	0	0	0	553	317.80	2.37	0.71	1.86	4.53	5.18	7.22	1.08	23.34	19.68
8/7/2015 3:30:53 PM	0.08	0.00	0.33	0.57	0.00	0.00	0.00	0.00	0.98	100.00	1.01	26.65	44	0	148	17	0	0	0	0	209	315.21	3.26	1.86	1.40	4.10	5.18	5.26	1.10	23.37	19.67
8/7/2015 3:30:55 PM	0.03	0.05	1.07	0.04	0.00	0.00	0.00	0.00	1.19	100.00	1.21	26.68	15	54	482	1	0	0	0	0	553	317.02	4.05	0.58	2.19	5.54	4.31	6.65	1.12	23.40	19.68
8/7/2015 3:30:58 PM	0.28	0.00	0.58	0.01	0.00	0.00	0.00	0.03	0.87	100.00	1.41	26.67	150	0	259	0	0	0	0	0	409	316.07	2.40	2.67	1.61	5.03	2.39	4.96	1.14	23.43	19.71
8/7/2015 3:31:01 PM	0.00	0.20	0.96	0.00	0.00	0.00	0.00	0.00	1.17	100.00	1.62	26.68	0	201	434	0	0	0	0	0	635	315.86	4.22	0.31	3.39	2.31	4.66	7.33	1.16	23.46	19.69
8/7/2015 3:31:04 PM	0.58	0.06	0.48	0.26	0.00	0.00	0.00	0.00	1.39	100.00	1.79	26.68	310	60	217	8	0	0	0	0	595	318.20	3.24	0.76	2.80	5.02	4.87	7.17	1.18	23.49	19.72
8/7/2015 3:31:07 PM	0.14	0.00	1.06	0.00	0.00	0.00	0.00	0.00	1.21	100.00	1.94	26.71	76	0	478	0	0	0	0	0	554	316.68	4.00	0.51	2.34	5.99	3.05	6.90	1.19	23.51	19.72
8/7/2015 3:31:09 PM	0.03	0.13	0.69	0.45	0.00	0.00	0.00	0.00	1.30	100.00	2.06	26.68	16	131	312	13	0	0	0	0	472	315.99	4.23	1.80	3.25	5.65	5.54	6.30	1.20	23.55	19.75
8/7/2015 3:31:12 PM	0.93	0.00	0.32	0.11	0.00	0.00	0.00	0.00	1.37	100.00	2.22	26.66	494	0	146	3	0	0	0	0	644	316.15	2.39	0.78	1.56	5.16	4.23	6.96	1.22	23.57	19.71
8/7/2015 3:31:15 PM	0.70	0.05	0.33	0.28	0.00	0.00	0.00	0.00	1.36	100.00	2.37	26.61	370	52	150	8	0	0	0	0	580	316.57	2.80	1.67	2.97	4.89	4.26	6.78	1.23	23.61	19.78
8/7/2015 3:31:18 PM	0.06	0.00	0.72	0.29	0.00	0.00	0.00	0.00	1.07	100.00	2.55	26.67	31	0	322	9	0	0	0	0	362	317.46	3.66	1.28	2.07	4.96	4.33	5.80	1.25	23.64	19.79
8/7/2015 3:31:21 PM	0.52	0.05	0.79	0.00	0.00	0.00	0.00	0.00	1.35	100.00	2.72	26.71	276	45	353	0	0	0	0	0	674	317.07	3.30	1.24	3.08	5.68	3.05	7.08	1.27	23.67	19.79
