Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/24/2015 12:15:51 PM	26.79	0.00	0.00	2.59	0.00	0.00	0.00	0.00	29.38	100.00	0.27	26.44	14199	0	0	78	0	0	0	0	14277	300.07	28.73	7.68	37.06	95.20	42.19	140.01	1.03	27.18	22.79
8/24/2015 12:15:54 PM	26.90	0.00	0.00	3.51	0.00	0.00	0.00	0.00	30.41	100.00	0.31	26.34	14257	1	0	105	0	0	0	0	14363	299.65	30.52	9.56	39.68	100.08	47.25	143.94	1.03	27.20	22.83
8/24/2015 12:15:57 PM	26.18	0.07	0.84	2.83	0.00	0.00	0.00	0.00	29.92	100.00	0.47	26.28	13878	67	378	85	0	0	0	0	14408	301.14	31.99	8.18	40.78	97.23	43.24	143.70	1.05	27.17	22.86
8/24/2015 12:15:59 PM	26.88	0.14	0.00	3.00	0.00	0.00	0.00	0.00	30.01	100.00	0.70	26.24	14245	136	0	90	0	0	0	0	14471	300.11	29.36	8.41	39.98	97.40	45.21	142.03	1.07	27.18	22.90
8/24/2015 12:16:02 PM	26.33	0.37	0.51	2.78	0.00	0.00	0.00	0.00	29.99	100.00	0.86	26.26	13953	373	229	83	0	0	0	0	14639	296.58	31.35	6.18	41.39	96.93	45.60	141.74	1.08	27.18	22.88
8/24/2015 12:16:05 PM	28.47	0.19	0.12	2.34	0.00	0.00	0.00	0.00	31.11	100.00	1.07	26.24	15087	192	52	70	0	0	0	0	15401	296.82	29.87	7.68	41.73	100.94	43.28	146.74	1.11	27.20	22.92
8/24/2015 12:16:08 PM	28.31	0.00	0.38	2.95	0.00	0.00	0.00	0.00	31.64	100.00	1.20	26.23	15002	0	173	89	0	0	0	0	15264	300.11	32.58	8.23	40.86	104.33	45.88	150.14	1.12	27.19	22.91
8/24/2015 12:16:11 PM	28.31	0.04	0.00	3.43	0.00	0.00	0.00	0.00	31.78	100.00	1.40	26.22	15003	40	0	103	0	0	0	0	15146	299.25	32.49	9.17	41.82	105.21	47.90	149.50	1.14	27.23	22.93
8/24/2015 12:16:13 PM	29.06	0.00	0.00	2.73	0.00	0.00	0.00	0.00	31.80	100.00	1.63	26.09	15404	0	0	82	0	0	0	0	15486	299.42	31.31	7.48	38.16	103.78	46.14	151.09	1.16	27.23	22.95
8/24/2015 12:16:16 PM	28.78	0.00	0.99	3.10	0.00	0.00	0.00	0.00	32.87	100.00	1.79	26.01	15251	0	446	93	0	0	0	0	15790	300.60	35.30	8.56	42.34	107.97	48.08	157.73	1.18	27.23	22.94
8/24/2015 12:16:19 PM	30.59	0.00	0.00	3.29	0.00	0.00	0.00	0.00	33.88	100.00	2.02	25.86	16212	0	0	99	0	0	0	0	16311	298.27	33.27	10.66	45.25	109.88	48.23	161.22	1.20	27.23	22.98
8/24/2015 12:16:22 PM	31.58	0.00	0.00	3.42	0.00	0.00	0.00	0.00	35.00	100.00	2.21	25.67	16740	0	0	103	0	0	0	0	16842	298.26	34.41	11.00	46.12	113.73	50.13	166.51	1.22	27.26	23.07
8/24/2015 12:16:25 PM	31.05	0.00	0.00	3.54	0.00	0.00	0.00	0.00	34.59	100.00	2.35	25.59	16456	0	0	106	0	0	0	0	16562	297.36	35.71	9.78	44.31	113.55	50.45	163.82	1.23	27.27	23.01
8/24/2015 12:16:27 PM	29.60	0.00	0.52	3.59	0.00	0.00	0.00	0.00	33.72	100.00	2.61	25.45	15687	0	236	108	0	0	0	0	16031	298.21	36.14	9.75	44.26	111.44	50.01	160.22	1.26	27.27	22.95
8/24/2015 12:16:30 PM	30.07	0.05	0.00	3.80	0.00	0.00	0.00	0.00	33.92	100.00	2.87	25.42	15936	49	0	114	0	0	0	0	16099	299.09	35.18	10.49	45.24	112.09	50.86	159.73	1.28	27.26	22.98
8/24/2015 12:16:33 PM	29.14	0.08	0.30	3.47	0.00	0.00	0.00	0.00	32.99	100.00	3.06	25.41	15444	75	133	104	0	0	0	0	15757	299.32	34.82	9.93	44.18	109.48	48.68	155.35	1.30	27.26	22.98
