Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
9/23/2015 10:03:08 AM	1.85	0.22	1.60	0.94	0.00	0.00	0.00	0.08	4.61	100.00	1.67	22.43	981	221	718	28	0	0	0	0	1948	314.38	10.63	3.38	8.32	19.73	11.61	23.31	1.16	21.94	17.66
9/23/2015 10:03:11 AM	1.51	0.23	2.01	1.17	0.00	0.00	0.00	0.06	4.92	100.00	1.69	22.43	800	226	906	35	0	0	0	0	1967	314.81	12.42	3.57	8.98	20.56	12.98	25.16	1.17	21.95	17.68
9/23/2015 10:03:14 AM	1.46	0.03	1.98	1.18	0.00	0.00	0.00	0.07	4.64	100.00	1.79	22.44	773	26	889	36	0	0	0	0	1724	315.16	12.17	3.18	7.59	20.31	11.99	24.87	1.18	21.96	17.68
9/23/2015 10:03:16 AM	1.88	0.00	1.68	1.12	0.00	0.00	0.00	0.10	4.69	100.00	2.01	22.45	995	0	758	34	0	0	0	0	1787	313.99	11.32	3.93	7.45	20.84	11.21	25.02	1.20	21.96	17.69
9/23/2015 10:03:19 AM	1.93	0.15	1.96	1.17	0.00	0.00	0.00	0.03	5.21	100.00	2.26	22.47	1023	152	884	35	0	0	0	0	2094	314.10	12.41	3.84	8.99	21.19	12.78	26.52	1.22	21.98	17.71
9/23/2015 10:03:22 AM	1.87	0.46	2.95	0.23	0.00	0.00	0.00	0.00	5.51	100.00	2.48	22.47	992	458	1327	7	0	0	0	0	2784	314.49	12.69	2.76	9.97	21.66	12.04	27.45	1.24	21.99	17.73
9/23/2015 10:03:25 AM	1.44	0.10	2.15	1.13	0.00	0.00	0.00	0.08	4.82	100.00	2.68	22.47	765	98	966	34	0	0	0	0	1863	314.45	12.59	4.04	8.41	21.17	11.95	25.73	1.26	22.00	17.73
9/23/2015 10:03:27 AM	1.94	0.16	1.99	1.04	0.00	0.00	0.00	0.04	5.13	100.00	2.87	22.47	1030	156	895	31	0	0	0	0	2112	314.26	12.10	3.61	8.75	21.11	12.34	26.17	1.28	22.01	17.76
9/23/2015 10:03:30 AM	2.01	0.16	2.27	0.80	0.00	0.00	0.00	0.08	5.24	100.00	3.03	22.46	1067	160	1020	24	0	0	0	0	2271	314.26	12.41	3.31	8.67	22.61	11.94	27.34	1.30	22.03	17.77
9/23/2015 10:03:33 AM	2.19	0.02	2.05	1.20	0.00	0.00	0.00	0.02	5.47	100.00	3.24	22.46	1163	21	922	36	0	0	0	0	2142	313.81	12.84	3.86	8.66	22.20	12.63	28.26	1.32	22.03	17.74
9/23/2015 10:03:36 AM	1.44	0.41	2.68	0.77	0.00	0.00	0.00	0.06	5.30	100.00	3.42	22.47	765	408	1205	23	0	0	0	0	2401	313.78	13.42	3.29	9.99	22.15	13.29	26.95	1.34	22.05	17.77
9/23/2015 10:03:39 AM	1.78	0.27	2.56	0.67	0.00	0.00	0.00	0.06	5.28	100.00	3.65	22.47	945	274	1151	20	0	0	0	0	2390	314.26	12.86	2.83	9.06	22.49	12.44	27.30	1.36	22.06	17.76
9/23/2015 10:03:41 AM	1.64	0.13	2.34	1.06	0.00	0.00	0.00	0.07	5.18	100.00	3.84	22.47	869	133	1055	32	0	0	0	0	2089	313.32	13.19	3.66	8.81	22.32	12.58	27.35	1.38	22.07	17.78
9/23/2015 10:03:44 AM	1.65	0.16	2.19	1.03	0.00	0.00	0.00	0.09	5.04	100.00	4.03	22.46	876	163	985	31	0	0	0	0	2055	314.04	12.71	3.28	8.64	22.08	12.60	26.52	1.40	22.08	17.79
9/23/2015 10:03:47 AM	1.72	0.30	2.44	0.78	0.00	0.00	0.00	0.07	5.24	100.00	4.24	22.46	911	299	1098	24	0	0	0	0	2331	313.90	12.82	3.52	9.44	22.38	12.51	26.98	1.42	22.09	17.83
9/23/2015 10:03:50 AM	1.72	0.52	2.50	0.57	0.00	0.00	0.00	0.05	5.31	100.00	4.40	22.47	910	518	1127	17	0	0	0	0	2572	314.46	12.47	3.44	10.40	21.77	12.86	26.15	1.43	22.10	17.82
9/23/2015 10:03:53 AM	1.58	0.15	2.30	1.00	0.00	0.00	0.00	0.09	5.04	100.00	4.63	22.46	839	149	1037	30	0	0	0	0	2055	313.65	12.91	3.56	8.67	22.25	12.34	26.78	1.45	22.11	17.80
9/23/2015 10:03:55 AM	1.82	0.15	2.31	0.93	0.00	0.00	0.00	0.06	5.21	100.00	4.82	22.46	964	147	1038	28	0	0	0	0	2178	314.06	12.75	3.55	8.76	22.07	12.22	27.17	1.47	22.13	17.83
9/23/2015 10:03:58 AM	1.77	0.14	2.29	0.89	0.00	0.00	0.00	0.10	5.09	100.00	5.00	22.46	936	143	1032	27	0	0	0	0	2138	314.00	12.65	3.29	8.51	22.57	12.07	27.01	1.49	22.13	17.88
