Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/18/2015 9:43:05 PM	1.13	0.59	0.96	0.00	0.00	0.00	0.00	0.00	2.68	67.54	0.23	24.04	600	591	430	0	0	0	0	0	1621	189.57	4.96	1.14	6.62	9.66	7.94	10.72	1.02	20.16	17.05
6/18/2015 9:43:08 PM	1.77	0.13	2.19	0.14	0.00	0.00	0.00	0.00	4.22	100.00	0.52	27.76	936	132	984	4	0	0	0	0	2055	282.98	9.44	1.86	6.51	17.00	8.60	21.82	1.05	20.19	17.07
6/18/2015 9:43:11 PM	1.80	0.05	2.16	0.21	0.00	0.00	0.00	0.00	4.23	100.00	0.78	27.87	954	54	973	6	0	0	0	0	1987	288.32	9.53	1.91	6.30	16.95	8.44	22.34	1.08	20.25	17.09
6/18/2015 9:43:14 PM	1.92	0.07	2.15	0.21	0.00	0.00	0.00	0.00	4.36	100.00	1.12	27.90	1020	71	969	6	0	0	0	0	2066	291.31	9.62	1.91	6.52	17.38	8.68	22.87	1.11	20.28	17.10
6/18/2015 9:43:17 PM	1.87	0.03	2.05	0.27	0.00	0.00	0.00	0.00	4.22	100.00	1.42	27.98	989	29	923	8	0	0	0	0	1949	294.32	9.41	1.89	6.12	17.02	8.53	22.14	1.14	20.33	17.10
6/18/2015 9:43:19 PM	1.86	0.07	2.09	0.21	0.00	0.00	0.00	0.00	4.24	100.00	1.68	27.87	987	70	941	6	0	0	0	0	2005	295.76	9.40	1.97	6.29	17.15	8.54	22.03	1.16	20.38	17.12
6/18/2015 9:43:22 PM	1.87	0.06	2.15	0.24	0.00	0.00	0.00	0.00	4.32	100.00	1.98	27.82	994	55	966	7	0	0	0	0	2022	297.57	9.65	1.94	6.40	17.33	8.66	22.68	1.19	20.41	17.11
6/18/2015 9:43:25 PM	2.13	0.00	2.78	0.59	0.00	0.00	0.00	0.00	5.50	100.00	2.33	27.31	1127	0	1251	18	0	0	0	0	2396	297.47	12.93	2.50	8.19	21.01	11.08	30.34	1.23	20.47	17.12
6/18/2015 9:43:28 PM	2.05	0.03	2.72	0.46	0.00	0.00	0.00	0.00	5.26	100.00	2.67	26.81	1087	26	1223	14	0	0	0	0	2350	298.08	12.33	2.32	7.90	20.64	10.49	28.49	1.26	20.50	17.16
6/18/2015 9:43:31 PM	2.13	0.11	2.56	0.22	0.00	0.00	0.00	0.00	5.03	100.00	3.03	26.37	1130	111	1153	7	0	0	0	0	2401	297.78	11.23	2.12	7.49	20.25	9.88	26.18	1.30	20.54	17.16
6/18/2015 9:43:33 PM	2.83	0.00	3.11	0.30	0.00	0.00	0.00	0.00	6.25	100.00	3.42	25.81	1501	0	1401	9	0	0	0	0	2911	297.79	13.75	2.57	8.48	25.42	11.25	32.98	1.33	20.60	17.16
6/18/2015 9:43:36 PM	3.91	0.00	5.80	0.00	0.00	0.00	0.00	0.01	9.71	100.00	3.85	24.63	2074	0	2608	0	0	0	0	0	4682	296.23	22.38	3.56	11.71	40.37	14.82	53.11	1.38	20.65	17.18
6/18/2015 9:43:39 PM	3.80	0.00	5.13	0.00	0.00	0.00	0.00	0.07	8.94	100.00	4.23	22.74	2016	0	2310	0	0	0	0	0	4326	296.44	20.36	3.18	11.08	38.46	13.83	49.04	1.41	20.68	17.22
6/18/2015 9:43:42 PM	3.54	0.01	3.30	0.10	0.00	0.00	0.00	0.14	6.96	100.00	4.58	21.15	1876	11	1486	3	0	0	0	0	3376	298.51	14.73	2.64	9.20	31.33	11.62	37.55	1.45	20.73	17.23
6/18/2015 9:43:45 PM	3.61	0.11	2.24	0.13	0.00	0.00	0.00	0.22	6.10	100.00	4.97	18.98	1916	111	1010	4	0	0	0	0	3040	299.05	11.76	2.36	8.54	28.95	10.79	32.43	1.49	20.76	17.24
6/18/2015 9:43:47 PM	4.53	0.09	1.69	0.22	0.00	0.00	0.00	0.24	6.52	100.00	5.38	16.75	2399	86	760	6	0	0	0	0	3252	299.79	10.96	2.36	8.81	30.30	11.21	33.74	1.53	20.82	17.25
6/18/2015 9:43:50 PM	4.94	0.11	2.06	0.23	0.00	0.00	0.00	0.19	7.34	100.00	5.83	14.74	2616	111	928	7	0	0	0	0	3662	298.65	12.43	2.81	10.02	32.56	12.29	37.52	1.57	20.84	17.29
6/18/2015 9:43:53 PM	3.84	0.21	2.93	0.31	0.00	0.00	0.00	0.22	7.29	100.00	6.26	13.24	2033	207	1318	9	0	0	0	0	3568	298.59	14.90	3.09	10.78	33.58	13.37	38.55	1.61	20.87	17.27
6/18/2015 9:43:56 PM	3.01	0.67	4.03	0.52	0.00	0.00	0.00	0.20	8.23	100.00	6.65	12.34	1593	667	1815	16	0	0	0	0	4091	296.32	19.00	4.07	14.74	36.54	17.56	42.53	1.65	20.90	17.33
6/18/2015 9:43:58 PM	2.90	2.08	4.12	1.39	0.00	0.00	0.00	0.20	10.49	100.00	7.05	11.20	1540	2077	1853	42	0	0	0	0	5511	292.03	23.53	6.64	25.61	41.42	28.91	47.30	1.69	20.93	17.34
6/18/2015 9:44:01 PM	2.85	4.58	3.19	2.06	0.00	0.00	0.00	0.26	12.68	100.00	7.34	10.74	1511	4585	1434	62	0	0	0	0	7592	289.86	25.32	9.71	41.61	43.89	43.73	45.87	1.72	20.94	17.34
6/18/2015 9:44:04 PM	2.54	12.78	0.00	5.24	0.00	0.00	0.00	0.47	20.56	100.00	7.64	10.41	1345	12785	0	157	0	0	0	0	14287	286.19	33.35	19.73	94.71	55.18	97.95	45.08	1.75	20.96	17.36
6/18/2015 9:44:07 PM	0.00	44.22	0.00	10.03	0.00	0.00	0.00	0.78	54.25	96.45	7.92	10.56	0	44218	0	301	0	0	0	0	44519	270.77	72.49	59.34	291.76	113.22	295.43	66.32	1.78	20.97	17.37
6/18/2015 9:44:10 PM	0.00	68.90	0.00	25.11	0.00	0.00	0.00	0.94	94.01	89.16	8.27	9.75	0	68897	0	753	0	0	0	0	69651	250.32	139.19	104.91	473.02	202.44	504.69	149.03	1.81	20.99	17.39
6/18/2015 9:44:12 PM	0.00	66.28	0.00	25.02	0.00	0.00	0.00	1.47	91.30	88.98	8.61	9.07	0	66276	0	751	0	0	0	0	67027	249.79	137.45	102.81	458.29	209.96	488.85	154.45	1.84	21.00	17.36
6/18/2015 9:44:15 PM	0.00	56.53	0.00	21.41	0.00	0.00	0.00	1.86	77.94	90.02	8.97	8.74	0	56528	0	642	0	0	0	0	57171	252.73	119.89	89.02	391.99	193.14	417.18	138.03	1.88	21.00	17.38
6/18/2015 9:44:18 PM	0.00	43.58	0.00	14.67	0.00	0.00	0.00	1.81	58.25	92.17	9.34	8.40	0	43576	0	440	0	0	0	0	44016	258.77	87.69	65.79	295.21	151.96	317.91	98.96	1.92	21.01	17.43
