Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/19/2015 3:36:19 AM	1.39	0.18	1.74	0.23	0.00	0.00	0.00	0.14	3.54	100.00	0.49	26.96	737	183	782	7	0	0	0	0	1709	290.14	8.53	1.97	6.02	17.59	8.29	19.09	1.05	21.15	19.30
6/19/2015 3:36:22 AM	1.45	0.23	1.78	0.12	0.00	0.00	0.00	0.13	3.58	100.00	0.62	27.11	769	228	800	4	0	0	0	0	1802	290.40	8.37	1.93	6.19	17.48	8.18	19.01	1.06	21.17	19.34
6/19/2015 3:36:25 AM	1.44	0.19	1.71	0.17	0.00	0.00	0.00	0.13	3.50	100.00	0.72	26.95	761	189	768	5	0	0	0	0	1723	290.40	8.24	1.87	5.92	17.14	8.08	18.70	1.07	21.20	19.34
6/19/2015 3:36:28 AM	1.49	0.18	1.79	0.18	0.00	0.00	0.00	0.12	3.63	100.00	0.87	26.97	788	175	805	5	0	0	0	0	1774	290.37	8.51	1.89	6.00	17.40	8.20	19.32	1.09	21.24	19.31
6/19/2015 3:36:30 AM	1.38	0.16	1.85	0.21	0.00	0.00	0.00	0.13	3.60	100.00	1.07	26.93	730	160	831	6	0	0	0	0	1728	290.46	8.77	1.90	5.95	17.64	8.29	19.49	1.10	21.25	19.32
6/19/2015 3:36:33 AM	1.43	0.22	1.92	0.14	0.00	0.00	0.00	0.12	3.71	100.00	1.13	26.88	758	223	863	4	0	0	0	0	1848	290.13	8.81	2.04	6.37	17.74	8.39	19.70	1.11	21.29	19.36
6/19/2015 3:36:36 AM	1.51	0.22	1.84	0.15	0.00	0.00	0.00	0.12	3.72	100.00	1.30	27.01	798	216	830	5	0	0	0	0	1849	289.98	8.66	2.04	6.34	17.69	8.35	19.64	1.13	21.32	19.33
6/19/2015 3:36:39 AM	1.37	0.18	1.79	0.19	0.00	0.00	0.00	0.13	3.53	100.00	1.39	27.01	724	184	804	6	0	0	0	0	1718	289.99	8.53	1.82	5.94	17.35	8.25	18.99	1.14	21.34	19.36
6/19/2015 3:36:42 AM	1.64	0.14	1.84	0.27	0.00	0.00	0.00	0.10	3.89	100.00	1.64	27.11	867	139	828	8	0	0	0	0	1843	290.18	9.03	2.03	6.22	18.11	8.66	20.64	1.16	21.39	19.32
6/19/2015 3:36:44 AM	1.58	0.22	1.97	0.15	0.00	0.00	0.00	0.10	3.92	100.00	1.76	27.21	836	216	888	5	0	0	0	0	1944	290.64	9.09	2.06	6.57	18.17	8.65	20.59	1.17	21.41	19.35
6/19/2015 3:36:47 AM	1.57	0.15	1.87	0.23	0.00	0.00	0.00	0.10	3.81	100.00	1.83	27.02	835	145	841	7	0	0	0	0	1827	290.79	8.90	1.87	6.09	17.68	8.51	20.21	1.18	21.45	19.36
6/19/2015 3:36:50 AM	1.60	0.17	1.91	0.19	0.00	0.00	0.00	0.09	3.87	100.00	2.02	27.14	849	169	858	6	0	0	0	0	1882	290.65	8.96	1.99	6.29	17.84	8.53	20.40	1.20	21.47	19.40
6/19/2015 3:36:53 AM	1.57	0.30	1.83	0.16	0.00	0.00	0.00	0.12	3.86	100.00	2.06	27.19	830	300	823	5	0	0	0	0	1958	290.37	8.77	2.13	6.93	17.94	8.90	19.88	1.20	21.50	19.41
6/19/2015 3:36:56 AM	1.79	0.16	2.01	0.25	0.00	0.00	0.00	0.07	4.21	100.00	2.06	27.02	946	162	903	8	0	0	0	0	2018	290.40	9.52	2.22	6.73	18.56	9.02	21.88	1.20	21.54	19.39
6/19/2015 3:36:58 AM	1.66	0.18	1.88	0.20	0.00	0.00	0.00	0.10	3.92	100.00	2.10	26.82	881	184	846	6	0	0	0	0	1917	290.56	8.94	2.12	6.45	18.02	8.58	20.55	1.21	21.58	19.40
6/19/2015 3:37:01 AM	1.54	0.17	1.95	0.19	0.00	0.00	0.00	0.10	3.85	100.00	2.28	26.96	814	173	877	6	0	0	0	0	1870	290.61	9.04	2.02	6.30	17.82	8.51	20.36	1.22	21.61	19.42
6/19/2015 3:37:04 AM	1.51	0.17	1.94	0.22	0.00	0.00	0.00	0.10	3.83	100.00	2.64	27.27	800	165	872	7	0	0	0	0	1844	290.65	9.07	2.08	6.28	17.84	8.52	20.34	1.26	21.65	19.41
6/19/2015 3:37:07 AM	1.62	0.16	1.90	0.28	0.00	0.00	0.00	0.11	3.95	100.00	2.95	27.10	856	157	854	8	0	0	0	0	1875	290.82	9.27	2.09	6.42	18.47	8.86	20.99	1.29	21.68	19.42
6/19/2015 3:37:10 AM	2.37	0.10	2.53	0.24	0.00	0.00	0.00	0.11	5.24	100.00	3.22	26.28	1258	101	1139	7	0	0	0	0	2504	290.54	11.75	2.42	7.70	23.85	10.16	28.07	1.32	21.72	19.45
6/19/2015 3:37:12 AM	2.72	0.04	3.36	0.20	0.00	0.00	0.00	0.13	6.33	100.00	3.28	25.74	1444	45	1513	6	0	0	0	0	3007	289.63	14.59	2.89	8.87	28.86	11.26	34.62	1.32	21.77	19.42
6/19/2015 3:37:15 AM	3.33	0.00	4.56	0.07	0.00	0.00	0.00	0.12	7.96	100.00	3.44	25.47	1765	0	2052	2	0	0	0	0	3818	289.74	18.48	3.31	10.38	35.71	13.07	43.98	1.34	21.81	19.45
6/19/2015 3:37:18 AM	3.80	0.00	4.98	0.03	0.00	0.00	0.00	0.09	8.81	100.00	3.64	23.84	2013	0	2242	1	0	0	0	0	4256	289.23	19.99	3.47	11.22	38.30	14.14	48.15	1.36	21.85	19.45
6/19/2015 3:37:21 AM	3.79	0.00	4.58	0.09	0.00	0.00	0.00	0.10	8.46	100.00	3.89	22.69	2011	0	2060	3	0	0	0	0	4074	289.61	18.91	3.39	10.97	36.99	13.70	46.07	1.38	21.87	19.46
6/19/2015 3:37:23 AM	3.77	0.00	4.07	0.19	0.00	0.00	0.00	0.14	8.03	100.00	4.16	21.57	1999	0	1831	6	0	0	0	0	3836	289.86	17.69	3.28	10.61	35.95	13.30	43.75	1.41	21.92	19.49
6/19/2015 3:37:26 AM	3.65	0.05	3.22	0.22	0.00	0.00	0.00	0.17	7.15	100.00	4.32	21.02	1935	54	1451	7	0	0	0	0	3447	290.64	15.09	2.97	9.81	32.66	12.30	38.53	1.42	21.96	19.51
6/19/2015 3:37:29 AM	3.97	0.05	3.05	0.19	0.00	0.00	0.00	0.16	7.26	100.00	4.48	20.75	2104	54	1373	6	0	0	0	0	3536	290.60	14.64	2.86	9.83	32.66	12.29	38.66	1.44	21.99	19.51
6/19/2015 3:37:32 AM	3.94	0.08	2.54	0.28	0.00	0.00	0.00	0.22	6.84	100.00	4.76	19.85	2088	77	1145	8	0	0	0	0	3319	290.59	13.48	2.84	9.50	31.96	12.03	36.49	1.47	22.01	19.50
6/19/2015 3:37:35 AM	4.13	0.13	2.33	0.23	0.00	0.00	0.00	0.23	6.81	100.00	5.01	18.28	2187	128	1051	7	0	0	0	0	3372	291.62	12.81	2.92	9.66	31.79	11.85	35.90	1.49	22.05	19.52
6/19/2015 3:37:37 AM	4.52	0.13	2.32	0.21	0.00	0.00	0.00	0.23	7.18	100.00	5.37	16.13	2394	130	1045	6	0	0	0	0	3575	291.13	13.02	2.90	10.02	33.03	12.23	37.48	1.53	22.08	19.58
6/19/2015 3:37:40 AM	4.99	0.06	2.00	0.31	0.00	0.00	0.00	0.19	7.36	100.00	5.64	15.17	2646	63	900	9	0	0	0	0	3618	291.23	12.44	2.90	9.89	32.48	12.29	37.67	1.55	22.10	19.58
6/19/2015 3:37:43 AM	5.31	0.04	2.69	0.33	0.00	0.00	0.00	0.16	8.37	100.00	5.90	14.57	2812	43	1212	10	0	0	0	0	4077	290.42	14.93	3.19	11.09	36.09	13.71	43.13	1.58	22.13	19.56
6/19/2015 3:37:46 AM	3.67	0.13	3.20	0.37	0.00	0.00	0.00	0.13	7.37	100.00	6.19	13.42	1944	132	1438	11	0	0	0	0	3526	290.12	15.47	3.23	10.61	32.32	13.33	38.83	1.61	22.13	19.61
