Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/19/2015 7:54:57 AM	1.73	0.26	2.74	0.00	0.00	0.00	0.00	0.00	4.74	100.00	0.56	26.48	918	265	1233	0	0	0	0	0	2416	294.70	10.90	2.31	7.85	19.19	9.38	24.33	1.05	19.26	16.27
6/19/2015 7:54:59 AM	1.86	0.17	2.50	0.50	0.00	0.00	0.00	0.00	5.03	100.00	0.61	26.79	987	168	1127	15	0	0	0	0	2297	293.35	11.80	2.68	8.17	20.06	10.89	26.03	1.06	19.31	16.31
6/19/2015 7:55:02 AM	3.02	0.00	1.82	0.32	0.00	0.00	0.00	0.00	5.15	100.00	0.74	26.50	1599	0	818	9	0	0	0	0	2426	293.24	9.68	1.69	6.70	20.16	9.76	26.12	1.07	19.36	16.31
6/19/2015 7:55:05 AM	2.51	0.17	2.49	0.00	0.00	0.00	0.00	0.04	5.16	100.00	0.86	26.49	1329	165	1119	0	0	0	0	0	2613	292.63	10.80	1.24	7.62	21.64	9.62	26.44	1.08	19.40	16.35
6/19/2015 7:55:08 AM	2.69	0.35	2.48	0.00	0.00	0.00	0.00	0.00	5.52	100.00	0.96	26.45	1427	347	1118	0	0	0	0	0	2892	294.47	10.85	2.44	9.15	21.25	10.46	27.32	1.09	19.43	16.36
6/19/2015 7:55:11 AM	2.21	0.09	2.91	0.00	0.00	0.00	0.00	0.01	5.21	100.00	1.06	26.45	1172	87	1310	0	0	0	0	0	2569	293.21	11.74	2.15	7.74	21.80	8.93	27.44	1.10	19.49	16.35
6/19/2015 7:55:13 AM	1.84	0.05	2.77	0.36	0.00	0.00	0.00	0.00	5.02	100.00	1.20	26.43	977	49	1244	11	0	0	0	0	2281	294.64	12.12	2.05	7.24	20.69	10.32	26.68	1.12	19.53	16.37
6/19/2015 7:55:16 AM	2.10	0.05	2.29	0.47	0.00	0.00	0.00	0.02	4.92	100.00	1.34	26.46	1115	51	1033	14	0	0	0	0	2213	292.91	11.11	3.33	7.52	20.39	9.70	25.64	1.13	19.58	16.39
6/19/2015 7:55:19 AM	2.18	0.16	2.32	0.18	0.00	0.00	0.00	0.00	4.84	100.00	1.48	26.56	1154	161	1045	5	0	0	0	0	2366	293.90	10.40	1.89	7.32	19.38	9.74	24.60	1.15	19.62	16.38
