Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
9/9/2015 11:53:25 AM	0.72	0.34	0.11	0.33	0.00	0.00	0.00	0.00	1.50	100.00	0.48	26.71	381	341	50	10	0	0	0	0	782	318.12	2.53	2.75	4.69	5.00	5.36	5.50	1.05	24.03	20.10
9/9/2015 11:53:27 AM	0.00	0.00	0.34	0.87	0.00	0.00	0.00	0.00	1.22	100.00	0.78	26.59	0	0	155	26	0	0	0	0	181	317.78	7.13	1.27	3.29	3.82	5.61	5.74	1.08	24.06	20.13
9/9/2015 11:53:30 AM	0.25	0.25	0.69	0.00	0.00	0.00	0.00	0.01	1.19	100.00	1.22	26.40	133	251	309	0	0	0	0	0	693	318.05	3.09	0.68	3.23	5.21	4.59	5.10	1.12	24.09	20.13
9/9/2015 11:53:33 AM	0.10	0.09	0.85	0.00	0.00	0.00	0.00	0.00	1.05	100.00	1.76	26.23	52	93	384	0	0	0	0	0	530	317.89	3.24	1.61	2.95	4.81	2.89	5.44	1.17	24.13	20.14
9/9/2015 11:53:36 AM	0.21	0.19	0.55	0.00	0.00	0.00	0.00	0.08	0.95	100.00	2.28	26.18	110	193	247	0	0	0	0	0	550	315.90	2.88	-0.65	2.53	5.85	4.44	4.70	1.22	24.16	20.15
9/9/2015 11:53:39 AM	0.00	0.00	0.25	0.77	0.00	0.00	0.00	0.00	1.03	100.00	2.70	26.17	0	0	113	23	0	0	0	0	137	317.27	3.83	1.96	1.86	4.04	5.76	5.38	1.26	24.18	20.16
9/9/2015 11:53:41 AM	0.00	0.21	0.66	0.27	0.00	0.00	0.00	0.00	1.13	100.00	3.20	26.16	0	207	295	8	0	0	0	0	510	317.83	3.64	1.25	3.69	3.38	4.87	5.95	1.31	24.22	20.17
9/9/2015 11:53:44 AM	0.26	0.01	0.23	0.64	0.00	0.00	0.00	0.00	1.14	100.00	3.82	26.15	138	9	104	19	0	0	0	0	270	317.60	3.36	1.54	2.65	4.32	5.29	5.78	1.37	24.25	20.19
9/9/2015 11:53:47 AM	0.00	0.17	0.99	0.00	0.00	0.00	0.00	0.00	1.16	100.00	4.51	26.12	0	170	446	0	0	0	0	0	617	316.99	4.31	0.95	2.98	4.51	4.26	6.01	1.44	24.27	20.21
9/9/2015 11:53:50 AM	0.62	0.00	0.39	0.43	0.00	0.00	0.00	0.00	1.44	100.00	4.92	26.11	327	0	175	13	0	0	0	0	515	317.05	3.30	2.07	1.61	5.31	5.16	7.73	1.48	24.30	20.24
9/9/2015 11:53:53 AM	0.39	0.09	0.50	0.35	0.00	0.00	0.00	0.00	1.33	100.00	5.38	26.11	209	90	225	10	0	0	0	0	534	316.33	3.42	2.00	3.14	5.32	4.70	6.42	1.53	24.33	20.23
9/9/2015 11:53:55 AM	0.00	0.02	1.04	0.16	0.00	0.00	0.00	0.00	1.21	100.00	5.83	26.08	0	18	466	5	0	0	0	0	489	317.00	4.31	0.96	2.38	5.34	4.29	7.08	1.57	24.36	20.21
9/9/2015 11:53:58 AM	0.28	0.16	0.72	0.17	0.00	0.00	0.00	0.00	1.33	100.00	6.24	26.07	149	155	325	5	0	0	0	0	635	316.81	3.57	1.24	3.15	5.26	4.82	6.47	1.61	24.39	20.24
9/9/2015 11:54:01 AM	0.14	0.00	0.70	0.44	0.00	0.00	0.00	0.00	1.28	100.00	6.67	26.05	76	0	315	13	0	0	0	0	404	316.55	4.12	1.49	2.11	5.42	5.18	7.10	1.65	24.41	20.26
9/9/2015 11:54:04 AM	0.01	0.02	0.66	0.53	0.00	0.00	0.00	0.01	1.21	100.00	7.08	25.97	4	23	295	16	0	0	0	0	338	316.13	4.27	1.98	2.75	5.74	5.13	6.45	1.69	24.44	20.28
9/9/2015 11:54:06 AM	0.41	0.11	0.80	0.30	0.00	0.00	0.00	0.00	1.62	100.00	7.43	25.63	218	107	358	9	0	0	0	0	692	316.10	4.33	1.90	3.40	6.94	5.24	7.92	1.73	24.47	20.31
9/9/2015 11:54:09 AM	0.09	0.04	1.13	0.49	0.00	0.00	0.00	0.04	1.75	100.00	7.76	24.80	46	38	510	15	0	0	0	0	609	315.74	5.90	2.02	3.48	8.67	6.00	9.81	1.76	24.51	20.31
9/9/2015 11:54:12 AM	0.11	0.03	1.12	0.51	0.00	0.00	0.00	0.07	1.77	100.00	7.90	24.13	60	30	504	15	0	0	0	0	609	315.71	6.05	1.81	3.42	9.44	6.20	10.23	1.77	24.53	20.32
9/9/2015 11:54:15 AM	0.27	0.04	0.91	0.62	0.00	0.00	0.00	0.10	1.84	100.00	8.22	23.31	141	36	410	19	0	0	0	0	606	316.55	5.97	1.98	3.64	10.16	6.57	10.54	1.81	24.55	20.32
9/9/2015 11:54:18 AM	0.17	0.14	1.03	0.54	0.00	0.00	0.00	0.09	1.87	100.00	8.51	22.05	89	139	461	16	0	0	0	0	706	316.95	6.05	2.01	4.14	9.96	6.80	10.29	1.83	24.58	20.31
9/9/2015 11:54:20 AM	0.00	0.03	0.77	0.74	0.00	0.00	0.00	0.15	1.54	100.00	8.81	20.97	0	28	346	22	0	0	0	0	396	317.30	5.92	1.90	3.35	10.09	6.63	9.51	1.86	24.59	20.35
9/9/2015 11:54:23 AM	0.04	0.06	0.96	0.50	0.00	0.00	0.00	0.13	1.56	100.00	9.12	19.91	22	57	432	15	0	0	0	0	526	317.71	5.66	1.88	3.34	9.88	5.97	9.52	1.89	24.63	20.35
9/9/2015 11:54:26 AM	0.33	0.06	0.80	0.51	0.00	0.00	0.00	0.15	1.70	100.00	9.34	19.27	173	59	358	15	0	0	0	0	606	317.95	5.45	1.81	3.46	10.59	6.15	10.04	1.92	24.64	20.39
9/9/2015 11:54:29 AM	0.24	0.03	0.76	0.61	0.00	0.00	0.00	0.16	1.64	100.00	9.57	18.81	125	28	343	18	0	0	0	0	516	318.19	5.59	1.92	3.36	10.57	6.25	9.98	1.94	24.64	20.35
9/9/2015 11:54:32 AM	0.12	0.05	0.73	0.61	0.00	0.00	0.00	0.19	1.51	100.00	9.86	18.49	62	53	329	18	0	0	0	0	462	317.95	5.49	1.90	3.34	10.65	6.21	9.51	1.97	24.67	20.36
9/9/2015 11:54:34 AM	0.33	0.00	0.68	0.67	0.00	0.00	0.00	0.17	1.67	100.00	10.17	18.04	172	0	304	20	0	0	0	0	497	318.26	5.56	2.07	3.34	10.89	6.26	10.25	2.00	24.66	20.42
9/9/2015 11:54:37 AM	0.16	0.02	0.67	0.60	0.00	0.00	0.00	0.21	1.45	100.00	10.47	17.48	84	19	302	18	0	0	0	0	423	318.43	5.34	1.70	3.03	10.93	6.04	9.48	2.03	24.67	20.40
9/9/2015 11:54:40 AM	0.25	0.00	0.68	0.57	0.00	0.00	0.00	0.20	1.49	100.00	10.78	17.27	130	0	304	17	0	0	0	0	451	318.61	5.29	1.75	2.96	11.08	5.87	9.74	2.06	24.68	20.40
9/9/2015 11:54:43 AM	0.25	0.08	0.75	0.44	0.00	0.00	0.00	0.19	1.51	100.00	11.07	17.15	131	77	339	13	0	0	0	0	560	318.08	5.14	1.73	3.28	10.80	5.78	9.45	2.08	24.70	20.42
9/9/2015 11:54:46 AM	0.07	0.08	0.70	0.47	0.00	0.00	0.00	0.24	1.32	100.00	11.37	16.78	35	76	317	14	0	0	0	0	442	318.86	5.10	1.77	3.12	11.07	5.67	8.96	2.11	24.70	20.41
9/9/2015 11:54:48 AM	0.04	0.05	0.66	0.51	0.00	0.00	0.00	0.23	1.26	100.00	11.71	16.49	21	46	298	15	0	0	0	0	380	318.49	5.05	1.70	2.91	10.84	5.63	8.75	2.15	24.71	20.45
