Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/28/2016 12:17:06 AM	1.07	0.00	1.86	0.48	0.00	0.00	0.00	0.15	3.41	100.00	0.63	23.05	570	0	836	14	0	0	0	0	1420	314.91	9.24	2.04	5.35	17.44	8.49	19.45	1.06	20.82	16.76
5/28/2016 12:17:08 AM	0.94	0.00	2.20	0.13	0.00	0.00	0.00	0.14	3.27	100.00	0.86	22.98	497	0	990	4	0	0	0	0	1492	315.19	9.03	1.94	4.65	17.14	7.32	19.17	1.08	20.81	16.78
5/28/2016 12:17:11 AM	0.94	0.00	2.32	0.08	0.00	0.00	0.00	0.14	3.34	100.00	1.10	22.76	498	0	1043	2	0	0	0	0	1543	315.36	9.23	2.05	4.70	17.46	7.23	19.63	1.11	20.87	16.77
5/28/2016 12:17:14 AM	0.92	0.00	2.24	0.17	0.00	0.00	0.00	0.15	3.33	100.00	1.43	22.52	489	0	1008	5	0	0	0	0	1502	315.38	9.30	1.99	4.93	17.53	7.47	19.55	1.14	20.87	16.83
5/28/2016 12:17:17 AM	0.86	0.00	2.28	0.10	0.00	0.00	0.00	0.17	3.24	100.00	1.76	22.17	455	0	1026	3	0	0	0	0	1484	314.84	9.23	1.92	4.62	17.69	7.27	19.41	1.17	20.90	16.77
5/28/2016 12:17:20 AM	0.82	0.06	2.10	0.30	0.00	0.00	0.00	0.19	3.27	100.00	2.17	21.08	432	60	945	9	0	0	0	0	1447	314.90	9.40	2.19	5.63	17.99	7.92	19.23	1.21	20.90	16.87
5/28/2016 12:17:22 AM	0.65	0.00	2.11	0.33	0.00	0.00	0.00	0.21	3.10	100.00	2.45	20.54	347	0	951	10	0	0	0	0	1307	314.72	9.42	2.22	4.88	18.03	7.69	19.03	1.24	20.94	16.84
5/28/2016 12:17:25 AM	0.56	0.00	2.03	0.43	0.00	0.00	0.00	0.23	3.01	100.00	2.78	20.26	295	0	914	13	0	0	0	0	1221	315.33	9.47	2.30	4.94	18.07	7.89	18.76	1.27	20.96	16.85
5/28/2016 12:17:28 AM	0.52	0.00	1.99	0.54	0.00	0.00	0.00	0.23	3.05	100.00	3.07	20.11	275	0	896	16	0	0	0	0	1188	315.06	9.71	2.43	5.11	18.20	8.29	18.95	1.30	20.96	16.93
