Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/28/2016 1:04:03 AM	0.87	0.00	2.18	0.06	0.00	0.00	0.00	0.17	3.11	100.00	0.70	22.57	459	0	980	2	0	0	0	0	1441	313.01	8.79	1.83	4.50	17.26	6.90	18.66	1.07	19.66	15.99
5/28/2016 1:04:06 AM	0.92	0.00	2.10	0.15	0.00	0.00	0.00	0.17	3.18	100.00	0.79	22.57	490	0	946	5	0	0	0	0	1440	312.99	8.88	1.91	4.82	17.33	7.18	18.83	1.08	19.69	16.04
5/28/2016 1:04:09 AM	0.86	0.00	2.23	0.05	0.00	0.00	0.00	0.17	3.14	100.00	1.00	22.82	453	0	1004	1	0	0	0	0	1459	314.53	8.91	1.87	4.44	17.48	6.94	18.93	1.10	19.72	16.03
5/28/2016 1:04:12 AM	0.90	0.00	2.20	0.08	0.00	0.00	0.00	0.17	3.18	100.00	1.23	22.92	477	0	989	2	0	0	0	0	1469	314.57	8.92	1.92	4.54	17.45	7.07	19.02	1.12	19.76	16.05
5/28/2016 1:04:15 AM	0.88	0.00	2.30	0.11	0.00	0.00	0.00	0.16	3.29	100.00	1.55	22.57	466	0	1036	3	0	0	0	0	1505	314.61	9.32	2.09	4.78	17.85	7.24	19.64	1.15	19.80	16.14
5/28/2016 1:04:17 AM	0.97	0.00	2.28	0.20	0.00	0.00	0.00	0.17	3.44	100.00	1.80	21.84	513	0	1024	6	0	0	0	0	1543	312.65	9.61	2.11	5.04	18.40	7.73	20.34	1.18	19.83	16.07
5/28/2016 1:04:20 AM	0.66	0.00	2.09	0.43	0.00	0.00	0.00	0.22	3.18	100.00	2.11	20.81	350	0	940	13	0	0	0	0	1304	313.92	9.73	2.31	5.11	18.43	8.13	19.49	1.21	19.87	16.05
5/28/2016 1:04:23 AM	0.51	0.00	2.14	0.47	0.00	0.00	0.00	0.23	3.12	100.00	2.39	20.45	273	0	961	14	0	0	0	0	1248	314.25	9.95	2.34	5.12	18.55	8.24	19.44	1.23	19.90	16.15
5/28/2016 1:04:26 AM	0.55	0.09	2.03	0.54	0.00	0.00	0.00	0.24	3.20	100.00	2.69	20.28	290	88	912	16	0	0	0	0	1306	314.50	9.93	2.69	6.05	18.66	8.62	19.26	1.26	19.91	16.19
