Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/30/2016 11:58:50 AM	0.00	1.60	0.00	0.16	0.00	0.00	0.00	0.00	1.76	40.28	0.03	21.68	0	1604	0	5	0	0	0	0	1609	112.99	5.39	6.64	10.64	2.91	10.57	-1.96	1.00	21.64	18.86
5/30/2016 11:58:53 AM	0.65	0.53	1.45	0.42	0.00	0.00	0.00	0.02	3.05	57.97	0.24	22.09	342	533	655	13	0	0	0	0	1542	162.67	7.50	2.33	7.66	11.86	9.73	13.63	1.02	21.68	18.90
5/30/2016 11:58:55 AM	3.00	0.85	0.00	0.77	0.00	0.00	0.00	0.00	4.62	100.00	0.63	22.54	1590	851	0	23	0	0	0	0	2464	302.13	4.69	-1.26	9.82	11.70	16.38	19.31	1.06	21.73	18.89
5/30/2016 11:58:58 AM	1.74	1.22	1.28	0.00	0.00	0.00	0.00	0.19	4.25	100.00	0.86	22.49	925	1222	578	0	0	0	0	0	2725	310.24	7.59	2.95	12.50	18.15	12.14	17.24	1.08	21.76	18.90
5/30/2016 11:59:01 AM	2.59	0.38	1.20	0.92	0.00	0.00	0.00	0.00	5.08	100.00	1.09	22.42	1372	380	538	28	0	0	0	0	2317	314.90	9.43	1.65	10.22	15.94	12.97	24.98	1.11	21.81	18.90
5/30/2016 11:59:04 AM	4.55	0.73	0.00	0.64	0.00	0.00	0.00	0.00	5.92	100.00	1.36	21.30	2413	726	0	19	0	0	0	0	3159	319.50	6.47	2.14	12.05	18.06	13.79	24.43	1.13	21.85	18.92
5/30/2016 11:59:07 AM	1.47	0.92	2.69	0.00	0.00	0.00	0.00	0.00	5.08	100.00	1.58	20.80	782	924	1209	0	0	0	0	0	2915	307.14	11.34	-0.74	13.67	17.23	11.54	23.87	1.15	21.89	18.91
5/30/2016 11:59:09 AM	1.48	0.47	2.82	0.00	0.00	0.00	0.00	0.11	4.77	100.00	1.80	20.40	786	466	1269	0	0	0	0	0	2521	314.40	11.44	3.49	10.77	21.42	8.53	24.54	1.18	21.94	18.95
5/30/2016 11:59:12 AM	1.90	0.79	2.96	0.00	0.00	0.00	0.00	0.00	5.65	100.00	1.95	20.14	1005	792	1331	0	0	0	0	0	3129	316.84	12.33	0.68	11.33	21.04	13.98	26.38	1.19	21.95	18.97
