Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
5/30/2016 6:00:56 PM	0.00	0.77	0.00	0.00	0.00	0.00	0.00	0.00	0.77	80.26	0.02	21.54	0	770	0	0	0	0	0	0	770	225.30	-0.31	2.76	5.06	1.31	6.79	-4.27	1.00	20.81	17.87
5/30/2016 6:00:59 PM	1.06	0.61	3.24	0.30	0.00	0.00	0.00	0.00	5.22	75.25	0.37	23.41	564	615	1459	9	0	0	0	0	2647	211.23	13.02	4.13	11.98	18.61	11.77	27.09	1.04	20.82	17.84
5/30/2016 6:01:02 PM	3.16	0.32	2.51	0.95	0.00	0.00	0.00	0.00	6.95	100.00	0.56	23.34	1674	324	1131	28	0	0	0	0	3157	299.91	14.25	2.52	12.45	23.96	15.36	35.67	1.06	20.89	17.88
5/30/2016 6:01:05 PM	4.05	0.42	2.36	0.67	0.00	0.00	0.00	0.00	7.51	100.00	0.78	22.47	2149	422	1062	20	0	0	0	0	3653	297.16	13.46	2.88	13.71	24.80	14.92	38.01	1.08	20.91	17.87
5/30/2016 6:01:08 PM	3.72	0.29	1.76	1.73	0.00	0.00	0.00	0.00	7.49	100.00	0.95	21.84	1972	290	791	52	0	0	0	0	3105	297.68	14.73	3.76	13.74	25.18	17.76	37.48	1.09	20.95	17.88
5/30/2016 6:01:10 PM	3.80	0.59	2.00	1.01	0.00	0.00	0.00	0.00	7.41	100.00	1.13	21.40	2016	586	901	30	0	0	0	0	3533	297.22	13.57	3.67	14.16	25.47	16.68	35.14	1.11	20.98	17.90
5/30/2016 6:01:13 PM	3.11	0.56	2.25	1.26	0.00	0.00	0.00	0.00	7.18	100.00	1.20	21.20	1649	558	1012	38	0	0	0	0	3257	297.27	14.63	4.13	14.18	24.94	17.13	34.77	1.12	21.02	17.91
5/30/2016 6:01:16 PM	4.23	0.48	1.57	1.34	0.00	0.00	0.00	0.00	7.61	100.00	1.23	21.18	2240	483	706	40	0	0	0	0	3468	297.69	13.45	3.86	14.13	25.93	17.34	36.04	1.12	21.08	17.92
5/30/2016 6:01:19 PM	3.34	0.65	2.25	0.99	0.00	0.00	0.00	0.00	7.23	100.00	1.36	20.95	1769	648	1014	30	0	0	0	0	3460	296.65	14.07	3.48	14.16	25.17	16.99	34.31	1.13	21.08	17.94
5/30/2016 6:01:22 PM	3.67	0.66	2.07	0.84	0.00	0.00	0.00	0.00	7.23	100.00	1.45	20.71	1943	660	930	25	0	0	0	0	3558	298.49	13.12	3.74	14.37	24.45	16.07	34.32	1.14	21.13	17.96
5/30/2016 6:01:24 PM	3.16	0.75	2.54	0.65	0.00	0.00	0.00	0.00	7.11	100.00	1.58	20.70	1674	754	1144	20	0	0	0	0	3592	297.81	13.90	3.46	14.02	25.57	16.37	33.00	1.16	21.16	17.95
5/30/2016 6:01:27 PM	3.34	0.72	2.03	0.96	0.00	0.00	0.00	0.00	7.05	100.00	1.66	20.64	1772	717	912	29	0	0	0	0	3430	298.73	13.28	3.39	14.22	24.11	16.87	32.84	1.16	21.18	17.94
5/30/2016 6:01:30 PM	3.65	0.79	1.74	0.98	0.00	0.00	0.00	0.00	7.17	100.00	1.73	20.39	1936	794	783	29	0	0	0	0	3543	297.44	12.72	3.98	14.72	24.48	17.06	32.34	1.17	21.22	17.99
5/30/2016 6:01:33 PM	3.34	0.55	1.92	1.11	0.00	0.00	0.00	0.00	6.91	100.00	1.80	20.37	1768	547	863	33	0	0	0	0	3211	297.79	13.19	4.38	13.57	24.11	15.91	32.70	1.18	21.25	18.03
5/30/2016 6:01:36 PM	3.79	0.81	1.50	1.00	0.00	0.00	0.00	0.00	7.09	100.00	1.88	20.49	2006	805	677	30	0	0	0	0	3519	296.79	12.15	3.41	14.51	23.89	17.25	31.63	1.18	21.28	17.98
5/30/2016 6:01:38 PM	3.89	0.73	1.66	0.80	0.00	0.00	0.00	0.00	7.08	100.00	1.96	20.50	2060	728	749	24	0	0	0	0	3561	298.52	12.06	3.13	13.77	24.50	16.44	31.82	1.19	21.30	18.01
5/30/2016 6:01:41 PM	3.68	0.94	1.95	0.52	0.00	0.00	0.00	0.00	7.09	100.00	2.03	20.47	1949	935	879	16	0	0	0	0	3779	298.12	12.09	2.73	14.64	24.00	16.62	31.54	1.20	21.33	18.02
5/30/2016 6:01:44 PM	3.74	0.61	1.15	1.37	0.00	0.00	0.00	0.00	6.87	100.00	2.14	20.30	1982	611	518	41	0	0	0	0	3152	297.56	11.98	4.49	13.77	23.52	16.82	30.86	1.21	21.36	18.04
5/30/2016 6:01:47 PM	3.73	1.00	1.73	0.64	0.00	0.00	0.00	0.00	7.10	100.00	2.24	19.96	1976	999	779	19	0	0	0	0	3774	295.47	11.96	3.25	14.77	24.73	17.25	30.26	1.22	21.38	18.06
5/30/2016 6:01:49 PM	3.62	1.00	1.51	0.78	0.00	0.00	0.00	0.00	6.91	100.00	2.33	19.79	1920	996	681	23	0	0	0	0	3620	295.01	11.50	3.71	15.02	23.22	16.98	29.61	1.23	21.42	18.05
5/30/2016 6:01:52 PM	3.60	0.86	1.59	0.77	0.00	0.00	0.00	0.00	6.83	100.00	2.38	19.77	1909	860	716	23	0	0	0	0	3508	295.34	11.66	3.71	14.01	23.97	16.44	29.43	1.23	21.44	18.06
5/30/2016 6:01:55 PM	3.86	0.90	1.37	0.81	0.00	0.00	0.00	0.00	6.94	100.00	2.46	19.89	2046	905	616	24	0	0	0	0	3591	295.10	11.29	3.75	14.32	24.12	16.78	29.38	1.24	21.46	18.06
