Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/25/2016 1:56:19 PM	1.34	0.00	0.00	0.93	0.00	0.00	0.00	0.15	2.27	89.08	0.51	25.73	712	0	0	28	0	0	0	0	740	250.07	5.40	4.50	1.83	11.34	6.92	12.57	1.05	24.53	20.90
6/25/2016 1:56:22 PM	3.20	0.47	0.01	0.00	0.00	0.00	0.00	0.08	3.68	97.81	0.59	25.74	1697	468	4	0	0	0	0	0	2169	274.59	3.46	1.47	7.23	14.25	8.09	14.81	1.06	24.57	20.86
6/25/2016 1:56:25 PM	0.64	0.00	0.93	0.51	0.00	0.00	0.00	0.23	2.09	100.00	0.71	25.68	341	0	418	15	0	0	0	0	775	294.58	6.12	2.49	3.12	13.66	6.69	13.04	1.07	24.61	20.91
6/25/2016 1:56:28 PM	0.00	0.12	0.02	1.30	0.00	0.00	0.00	0.52	1.44	100.00	0.77	25.66	0	119	7	39	0	0	0	0	165	293.70	10.81	2.11	4.57	17.31	8.19	8.72	1.08	24.63	20.88
6/25/2016 1:56:30 PM	0.00	0.00	1.34	0.48	0.00	0.00	0.00	0.39	1.82	95.64	0.82	25.66	0	0	601	15	0	0	0	0	616	268.51	8.99	3.17	3.38	16.89	5.85	13.08	1.08	24.67	20.92
6/25/2016 1:56:33 PM	1.49	0.41	1.06	0.00	0.00	0.00	0.00	0.24	2.96	100.00	0.89	25.66	787	410	477	0	0	0	0	0	1674	326.32	6.38	-0.20	9.40	16.30	4.52	15.07	1.09	24.69	20.96
6/25/2016 1:56:36 PM	0.00	0.00	2.05	0.49	0.00	0.00	0.00	0.21	2.54	100.00	0.97	25.61	0	0	921	15	0	0	0	0	935	304.80	12.19	2.13	0.20	15.94	8.84	15.53	1.09	24.74	20.92
6/25/2016 1:56:39 PM	0.00	0.00	1.89	1.12	0.00	0.00	0.00	0.00	3.01	100.00	1.03	25.46	0	0	852	34	0	0	0	0	885	301.51	12.23	2.61	2.64	11.40	10.77	17.00	1.10	24.77	20.97
6/25/2016 1:56:41 PM	1.99	0.00	0.75	0.00	0.00	0.00	0.00	0.00	2.74	91.70	1.11	25.30	1057	0	336	0	0	0	0	0	1393	257.43	4.22	-1.48	0.25	10.11	6.30	14.27	1.11	24.81	20.93
6/25/2016 1:56:44 PM	0.00	0.00	2.30	0.27	0.00	0.00	0.00	0.25	2.57	89.99	1.19	25.25	0	0	1033	8	0	0	0	0	1041	252.64	12.43	5.03	-2.31	17.07	7.94	16.91	1.12	24.83	20.98
6/25/2016 1:56:47 PM	4.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.26	97.10	1.25	25.27	2258	0	0	0	0	0	0	0	2258	272.62	0.89	-0.95	4.29	15.20	8.13	19.24	1.12	24.87	20.99
6/25/2016 1:56:50 PM	2.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.74	85.19	1.35	25.22	1450	0	0	0	0	0	0	0	1450	239.14	-1.12	-5.06	1.78	8.78	6.51	13.70	1.13	24.90	21.03
6/25/2016 1:56:53 PM	0.49	0.00	0.00	0.88	0.00	0.00	0.00	0.57	1.37	100.00	1.46	25.17	258	0	0	26	0	0	0	0	284	306.01	6.28	5.36	-1.29	17.08	6.25	13.26	1.14	24.93	21.00
6/25/2016 1:56:55 PM	0.71	0.00	1.55	0.12	0.00	0.00	0.00	0.47	2.38	100.00	1.54	25.18	377	0	697	3	0	0	0	0	1077	301.60	7.19	6.79	2.92	20.53	4.44	17.99	1.15	24.95	21.02
6/25/2016 1:56:58 PM	1.13	0.00	1.56	0.16	0.00	0.00	0.00	0.28	2.85	100.00	1.61	25.17	598	0	704	5	0	0	0	0	1306	298.98	7.26	3.81	0.91	17.90	7.34	18.57	1.16	24.98	21.01
6/25/2016 1:57:01 PM	0.83	0.00	3.64	0.00	0.00	0.00	0.00	0.00	4.46	100.00	1.67	25.11	439	0	1636	0	0	0	0	0	2076	318.98	12.47	4.74	8.16	18.32	6.33	26.40	1.16	25.01	21.01
6/25/2016 1:57:04 PM	2.16	0.00	0.77	1.17	0.00	0.00	0.00	0.38	4.11	100.00	1.73	25.11	1146	0	349	35	0	0	0	0	1530	328.84	9.53	2.70	5.53	23.89	11.79	23.77	1.17	25.05	21.04
6/25/2016 1:57:07 PM	3.26	0.24	2.13	0.18	0.00	0.00	0.00	0.00	5.81	100.00	1.82	25.04	1726	243	958	5	0	0	0	0	2932	321.08	10.54	1.99	9.16	21.85	11.16	28.34	1.18	25.07	21.06
6/25/2016 1:57:09 PM	2.64	0.00	2.79	0.00	0.00	0.00	0.00	0.06	5.43	100.00	1.88	24.96	1398	0	1257	0	0	0	0	0	2655	324.25	11.46	1.28	3.09	23.01	9.88	30.26	1.18	25.08	21.08
6/25/2016 1:57:12 PM	2.88	0.00	1.34	1.82	0.00	0.00	0.00	0.00	6.05	100.00	1.88	24.96	1528	0	603	55	0	0	0	0	2186	315.15	12.66	3.33	10.77	19.64	14.94	32.12	1.18	25.11	21.06
6/25/2016 1:57:15 PM	2.67	0.06	2.02	0.61	0.00	0.00	0.00	0.21	5.35	100.00	1.92	24.94	1415	60	907	18	0	0	0	0	2401	322.89	11.53	4.79	8.92	25.78	10.13	28.91	1.19	25.15	21.08
6/25/2016 1:57:18 PM	4.75	0.16	0.85	1.58	0.00	0.00	0.00	0.00	7.33	100.00	1.99	24.93	2516	156	381	47	0	0	0	0	3100	325.34	11.83	4.94	12.69	24.75	15.32	35.27	1.19	25.16	21.08
6/25/2016 1:57:21 PM	3.79	0.00	2.43	0.07	0.00	0.00	0.00	0.03	6.28	100.00	2.06	24.87	2007	0	1094	2	0	0	0	0	3103	326.46	11.28	3.97	8.23	25.55	9.65	32.09	1.20	25.19	21.11
6/25/2016 1:57:23 PM	2.45	0.00	3.64	0.00	0.00	0.00	0.00	0.00	6.09	100.00	2.16	24.88	1300	0	1636	0	0	0	0	0	2937	325.73	13.83	2.85	5.94	24.60	10.62	33.75	1.21	25.20	21.14
6/25/2016 1:57:26 PM	2.62	0.00	3.39	0.00	0.00	0.00	0.00	0.00	6.01	100.00	2.27	24.90	1391	0	1526	0	0	0	0	0	2916	324.76	13.39	1.63	8.36	24.26	10.31	32.30	1.22	25.23	21.13
6/25/2016 1:57:29 PM	3.45	0.00	2.53	0.71	0.00	0.00	0.00	0.00	6.70	100.00	2.37	24.90	1831	0	1139	21	0	0	0	0	2991	326.18	13.32	3.49	7.75	25.19	13.47	35.21	1.23	25.26	21.13
6/25/2016 1:57:32 PM	3.20	0.00	3.39	0.00	0.00	0.00	0.00	0.00	6.59	100.00	2.44	24.90	1693	0	1527	0	0	0	0	0	3220	324.41	13.63	1.32	6.87	24.95	10.92	36.51	1.24	25.28	21.15
6/25/2016 1:57:34 PM	1.15	0.00	4.61	0.00	0.00	0.00	0.00	0.00	5.76	100.00	2.54	24.90	607	0	2075	0	0	0	0	0	2682	324.79	16.05	1.63	8.28	22.59	9.70	34.88	1.25	25.30	21.16
