Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/26/2016 6:23:10 AM	1.27	0.67	1.45	0.00	0.00	0.00	0.00	0.17	3.40	82.07	0.21	22.36	674	672	654	0	0	0	0	0	2000	230.38	7.21	2.19	8.54	16.23	9.21	15.88	1.02	18.95	16.06
6/26/2016 6:23:13 AM	2.16	0.00	2.54	0.40	0.00	0.00	0.00	0.11	5.10	100.00	0.65	24.66	1145	0	1141	12	0	0	0	0	2298	308.94	11.87	2.89	7.04	23.22	10.27	27.83	1.06	18.99	16.09
6/26/2016 6:23:16 AM	1.95	0.00	2.80	0.23	0.00	0.00	0.00	0.11	4.98	100.00	1.03	24.76	1033	2	1260	7	0	0	0	0	2302	317.88	12.05	2.54	7.31	23.11	9.56	27.49	1.10	19.05	16.12
6/26/2016 6:23:19 AM	2.18	0.00	2.91	0.16	0.00	0.00	0.00	0.07	5.26	100.00	1.17	24.74	1157	0	1312	5	0	0	0	0	2474	319.88	12.21	2.53	7.18	23.24	9.79	28.55	1.11	19.09	16.16
6/26/2016 6:23:22 AM	1.97	0.00	2.74	0.20	0.00	0.00	0.00	0.12	4.91	100.00	1.45	24.74	1042	0	1235	6	0	0	0	0	2283	322.31	11.78	2.44	6.62	22.99	9.62	27.29	1.14	19.13	16.14
6/26/2016 6:23:24 AM	1.98	0.00	2.65	0.26	0.00	0.00	0.00	0.12	4.89	100.00	1.62	24.64	1049	0	1192	8	0	0	0	0	2250	322.25	11.69	2.70	6.84	22.92	9.58	27.10	1.16	19.17	16.20
6/26/2016 6:23:27 AM	1.93	0.00	2.30	0.73	0.00	0.00	0.00	0.14	4.95	100.00	1.75	24.66	1022	0	1033	22	0	0	0	0	2078	323.12	12.15	2.74	7.34	23.09	11.23	27.17	1.17	19.21	16.18
6/26/2016 6:23:30 AM	2.00	0.00	2.88	0.07	0.00	0.00	0.00	0.11	4.95	100.00	1.89	24.63	1061	0	1294	2	0	0	0	0	2357	323.74	11.75	2.26	6.32	22.91	9.39	27.48	1.19	19.26	16.20
6/26/2016 6:23:33 AM	2.11	0.00	2.75	0.19	0.00	0.00	0.00	0.10	5.05	100.00	2.02	24.59	1119	0	1238	6	0	0	0	0	2363	323.65	11.80	2.59	6.76	23.07	9.65	27.75	1.20	19.30	16.18
