Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/26/2016 11:29:55 AM	2.68	0.00	0.72	0.00	0.00	0.00	0.00	0.23	3.40	100.00	0.29	24.26	1422	0	323	0	0	0	0	0	1745	322.43	5.29	2.40	4.87	18.10	4.73	18.52	1.03	21.32	18.24
6/26/2016 11:29:58 AM	2.75	0.00	0.96	0.29	0.00	0.00	0.00	0.01	4.00	100.00	0.49	25.20	1459	0	430	9	0	0	0	0	1897	285.44	6.33	2.43	3.87	15.48	8.37	19.63	1.05	21.35	18.33
6/26/2016 11:30:01 AM	1.69	0.14	1.98	0.39	0.00	0.00	0.00	0.21	4.21	100.00	0.61	25.23	898	142	890	12	0	0	0	0	1942	325.66	10.16	2.51	7.18	21.45	9.57	23.15	1.06	21.39	18.29
6/26/2016 11:30:04 AM	1.70	0.00	2.37	0.00	0.00	0.00	0.00	0.10	4.07	100.00	0.70	25.16	903	0	1065	0	0	0	0	0	1967	326.09	9.53	1.98	4.06	19.13	7.75	23.10	1.07	21.43	18.34
6/26/2016 11:30:07 AM	0.75	0.00	3.48	0.00	0.00	0.00	0.00	0.05	4.24	100.00	0.89	25.13	399	0	1568	0	0	0	0	0	1966	326.22	12.46	0.85	4.77	19.54	7.24	25.48	1.09	21.48	18.34
6/26/2016 11:30:09 AM	1.38	0.05	2.88	0.18	0.00	0.00	0.00	0.10	4.49	100.00	1.07	25.18	730	52	1296	6	0	0	0	0	2084	324.67	11.74	2.50	7.01	21.17	9.09	25.10	1.11	21.52	18.32
6/26/2016 11:30:12 AM	2.05	0.08	2.69	0.02	0.00	0.00	0.00	0.12	4.84	100.00	1.21	25.15	1085	79	1210	1	0	0	0	0	2374	324.76	11.26	1.21	6.91	22.57	9.64	26.30	1.12	21.55	18.32
6/26/2016 11:30:15 AM	2.09	0.00	2.70	0.43	0.00	0.00	0.00	0.00	5.22	100.00	1.35	25.03	1109	0	1214	13	0	0	0	0	2336	327.51	11.98	2.44	6.05	20.51	11.13	28.34	1.13	21.60	18.41
6/26/2016 11:30:18 AM	1.31	0.09	3.08	0.27	0.00	0.00	0.00	0.15	4.76	100.00	1.48	24.96	695	89	1388	8	0	0	0	0	2180	324.80	12.95	1.63	7.31	23.27	10.60	26.95	1.14	21.64	18.34
6/26/2016 11:30:20 AM	3.13	0.00	2.78	0.00	0.00	0.00	0.00	0.01	5.91	100.00	1.60	24.93	1660	0	1250	0	0	0	0	0	2910	326.16	11.66	2.47	5.93	23.96	10.38	31.05	1.16	21.67	18.35
6/26/2016 11:30:23 AM	2.44	0.13	3.18	0.00	0.00	0.00	0.00	0.00	5.74	100.00	1.67	24.87	1291	126	1432	0	0	0	0	0	2849	324.65	12.59	3.05	9.11	22.93	9.65	30.18	1.16	21.71	18.43
6/26/2016 11:30:26 AM	0.93	0.00	4.03	0.00	0.00	0.00	0.00	0.07	4.96	100.00	1.74	24.81	493	0	1814	0	0	0	0	0	2307	325.81	14.26	3.06	5.89	23.02	9.01	29.37	1.17	21.76	18.36
6/26/2016 11:30:29 AM	1.87	0.00	3.77	0.00	0.00	0.00	0.00	0.00	5.64	100.00	1.78	24.82	993	0	1695	0	0	0	0	0	2689	326.50	13.66	2.55	5.53	21.68	9.55	33.27	1.17	21.81	18.42
6/26/2016 11:30:32 AM	2.11	0.00	3.19	0.00	0.00	0.00	0.00	0.04	5.30	100.00	1.83	24.81	1117	0	1437	0	0	0	0	0	2553	323.86	12.29	3.27	6.10	22.90	9.44	29.12	1.18	21.85	18.37
6/26/2016 11:30:34 AM	2.43	0.00	3.29	0.56	0.00	0.00	0.00	0.00	6.27	100.00	2.13	24.81	1287	0	1480	17	0	0	0	0	2784	327.67	14.51	4.93	8.90	25.05	11.53	33.79	1.21	21.89	18.36
6/26/2016 11:30:37 AM	3.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	5.99	100.00	2.02	24.79	1589	0	1348	0	0	0	0	0	2937	326.39	12.20	2.70	7.21	23.56	9.26	32.21	1.20	21.92	18.44
6/26/2016 11:30:40 AM	1.82	0.00	3.84	0.00	0.00	0.00	0.00	0.00	5.66	100.00	2.04	24.77	966	0	1728	0	0	0	0	0	2694	326.07	14.04	1.98	7.29	22.29	10.48	32.47	1.20	21.96	18.48
6/26/2016 11:30:43 AM	2.29	0.00	3.28	0.00	0.00	0.00	0.00	0.00	5.57	100.00	2.08	24.80	1216	0	1475	0	0	0	0	0	2691	326.42	12.66	2.20	6.53	22.66	9.71	30.41	1.20	22.02	18.44
6/26/2016 11:30:46 AM	1.59	0.00	3.67	0.07	0.00	0.00	0.00	0.02	5.33	100.00	2.15	24.76	841	0	1653	2	0	0	0	0	2496	326.55	13.80	2.14	7.06	23.02	10.17	29.51	1.21	22.04	18.49
6/26/2016 11:30:48 AM	1.19	0.00	4.12	0.00	0.00	0.00	0.00	0.00	5.30	100.00	2.19	24.72	629	0	1852	0	0	0	0	0	2481	325.76	14.37	3.45	5.97	22.06	9.89	30.96	1.21	22.09	18.50
6/26/2016 11:30:51 AM	1.94	0.00	3.69	0.00	0.00	0.00	0.00	0.01	5.63	100.00	2.29	24.64	1030	0	1660	0	0	0	0	0	2690	324.27	13.70	3.27	6.40	23.80	9.58	31.31	1.22	22.12	18.49
6/26/2016 11:30:54 AM	2.39	0.00	3.59	0.00	0.00	0.00	0.00	0.00	5.98	100.00	2.37	24.68	1265	0	1618	0	0	0	0	0	2882	326.88	13.76	2.08	6.17	24.36	10.12	33.07	1.23	22.15	18.54
6/26/2016 11:30:57 AM	2.47	0.00	3.56	0.00	0.00	0.00	0.00	0.00	6.03	100.00	2.46	24.70	1310	0	1602	0	0	0	0	0	2912	324.56	13.71	2.78	7.24	24.79	10.57	32.62	1.24	22.19	18.51
6/26/2016 11:31:00 AM	2.81	0.00	3.50	0.00	0.00	0.00	0.00	0.00	6.31	100.00	2.55	24.70	1487	0	1575	0	0	0	0	0	3062	325.65	13.70	2.47	6.56	25.15	10.68	34.50	1.25	22.22	18.53
6/26/2016 11:31:02 AM	2.09	0.00	3.89	0.00	0.00	0.00	0.00	0.00	5.98	100.00	2.67	24.70	1107	0	1749	0	0	0	0	0	2856	325.68	14.46	2.88	7.18	24.69	10.42	33.14	1.26	22.24	18.61
6/26/2016 11:31:05 AM	1.44	0.00	4.42	0.00	0.00	0.00	0.00	0.00	5.86	100.00	2.76	24.69	763	0	1989	0	0	0	0	0	2752	326.07	15.64	3.22	6.19	24.67	10.33	33.88	1.27	22.30	18.56
