Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#4	#5	#6	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/15/2016 10:15:21 AM	0.87	0.04	0.89	0.00	0.00	0.00	0.00	0.03	1.80	100.00	0.55	27.27	463	35	402	0	0	0	0	0	901	312.10	4.13	-0.67	2.94	8.27	5.05	9.07	1.05	24.80	21.47
7/15/2016 10:15:23 AM	1.21	0.10	0.00	0.33	0.00	0.00	0.00	0.10	1.64	100.00	0.74	27.24	642	102	0	10	0	0	0	0	753	313.67	1.82	2.18	2.96	8.40	5.94	7.59	1.07	24.83	21.49
7/15/2016 10:15:26 AM	0.26	0.14	0.95	0.00	0.00	0.00	0.00	0.15	1.35	100.00	0.91	27.24	139	142	426	0	0	0	0	0	708	311.92	4.19	1.32	3.85	9.26	3.89	7.95	1.09	24.87	21.47
7/15/2016 10:15:29 AM	1.32	0.25	0.56	0.00	0.00	0.00	0.00	0.00	2.13	100.00	1.10	27.26	700	252	250	0	0	0	0	0	1201	313.76	3.33	1.11	4.93	7.89	5.13	8.82	1.11	24.90	21.48
7/15/2016 10:15:32 AM	0.96	0.14	0.91	0.00	0.00	0.00	0.00	0.07	2.01	100.00	1.31	27.25	507	145	411	0	0	0	0	0	1062	313.64	4.43	0.15	3.93	9.66	5.48	9.99	1.13	24.94	21.51
7/15/2016 10:15:34 AM	0.67	0.32	1.08	0.00	0.00	0.00	0.00	0.05	2.08	100.00	1.52	27.21	357	325	487	0	0	0	0	0	1169	313.00	4.85	0.98	5.24	9.30	5.96	9.65	1.15	24.98	21.50
7/15/2016 10:15:37 AM	1.09	0.00	0.31	0.53	0.00	0.00	0.00	0.04	1.94	100.00	1.70	27.19	579	0	139	16	0	0	0	0	734	312.13	3.97	1.54	3.02	8.39	6.32	9.39	1.17	25.02	21.51
7/15/2016 10:15:40 AM	0.79	0.08	0.61	0.61	0.00	0.00	0.00	0.11	2.08	100.00	1.89	27.18	417	79	275	18	0	0	0	0	789	313.44	5.25	2.48	4.48	10.64	6.67	10.86	1.19	25.06	21.55
7/15/2016 10:15:43 AM	1.09	0.21	1.06	0.00	0.00	0.00	0.00	0.08	2.36	100.00	2.07	27.15	580	211	477	0	0	0	0	0	1267	312.76	5.06	0.99	4.69	11.22	6.13	11.66	1.20	25.09	21.54
7/15/2016 10:15:46 AM	1.01	0.20	1.20	0.09	0.00	0.00	0.00	0.05	2.51	100.00	2.19	27.14	538	205	539	3	0	0	0	0	1284	313.75	5.55	2.07	5.08	11.05	6.27	12.26	1.21	25.14	21.56
